Asymmetric LSH (ALSH) for sublinear time maximum inner product search (MIPS),Anshumali Shrivastava; Ping Li,Abstract We present the first provably sublinear time hashing algorithm forapproximate\emph {Maximum Inner Product Search}(MIPS). Searching with (un-normalized)inner product as the underlying similarity measure is a known difficult problem and findinghashing schemes for MIPS was considered hard. While the existing Locality SensitiveHashing (LSH) framework is insufficient for solving MIPS; in this paper we extend the LSHframework to allow asymmetric hashing schemes. Our proposal is based on a keyobservation that the problem of finding maximum inner products; after independentasymmetric transformations; can be converted into the problem of approximate nearneighbor search in classical settings. This key observation makes efficient sublinear hashingscheme for MIPS possible. Under the extended asymmetric LSH (ALSH) framework; this …,Advances in Neural Information Processing Systems,2014,133
Hashing algorithms for large-scale learning,Ping Li; Anshumali Shrivastava; Joshua L Moore; Arnd C König,Abstract Minwise hashing is a standard technique in the context of search for efficientlycomputing set similarities. The recent development of b-bit minwise hashing provides asubstantial improvement by storing only the lowest b bits of each hashed value. In thispaper; we demonstrate that b-bit minwise hashing can be naturally integrated with linearlearning algorithms such as linear SVM and logistic regression; to solve large-scale andhigh-dimensional statistical learning tasks; especially when the data do not fit in memory.We compare $ b $-bit minwise hashing with the Count-Min (CM) and Vowpal Wabbit (VW)algorithms; which have essentially the same variances as random projections. Ourtheoretical and empirical comparisons illustrate that b-bit minwise hashing is significantlymore accurate (at the same storage cost) than VW (and random projections) for binary …,Advances in neural information processing systems,2011,104
Densifying one permutation hashing via rotation for fast near neighbor search,Anshumali Shrivastava; Ping Li,Abstract The query complexity of\em locality sensitive hashing (LSH) based similarity searchis dominated by the number of hash evaluations; and this number grows with the datasize\citeProc: Indyk_STOC98. In industrial applications such as search where the data areoften high-dimensional and binary (eg; text n-grams);\em minwise hashing is widelyadopted; which requires applying a large number of permutations on the data. This is costlyin computation and energy-consumption. In this paper; we propose a hashing techniquewhich generates all the necessary hash evaluations needed for similarity search; using onesingle permutation. The heart of the proposed hash function is a “rotation” scheme whichdensifies the sparse sketches of\em one permutation hashing\citeProc:Li_Owen_Zhang_NIPS12 in an unbiased fashion thereby maintaining the LSH property …,International Conference on Machine Learning,2014,52
Improved asymmetric locality sensitive hashing (ALSH) for maximum inner product search (MIPS),Anshumali Shrivastava; Ping Li,Abstract: Recently it was shown that the problem of Maximum Inner Product Search (MIPS)is efficient and it admits provably sub-linear hashing algorithms. Asymmetric transformationsbefore hashing were the key in solving MIPS which was otherwise hard. In the prior work;the authors use asymmetric transformations which convert the problem of approximate MIPSinto the problem of approximate near neighbor search which can be efficiently solved usinghashing. In this work; we provide a different transformation which converts the problem ofapproximate MIPS into the problem of approximate cosine similarity search which can beefficiently solved using signed random projections. Theoretical analysis show that the newscheme is significantly better than the original scheme for MIPS. Experimental evaluationsstrongly support the theoretical findings.,arXiv preprint arXiv:1410.5410,2014,36
Asymmetric minwise hashing for indexing binary inner products and set containment,Anshumali Shrivastava; Ping Li,Abstract Minwise hashing (Minhash) is a widely popular indexing scheme in practice.Minhash is designed for estimating set resemblance and is known to be suboptimal in manyapplications where the desired measure is set overlap (ie; inner product between binaryvectors) or set containment. Minhash has inherent bias towards smaller sets; whichadversely affects its performance in applications where such a penalization is not desirable.In this paper; we propose asymmetric minwise hashing ({\em MH-ALSH}); to provide asolution to this well-known problem. The new scheme utilizes asymmetric transformations tocancel the bias of traditional minhash towards smaller sets; making the final``collisionprobability''monotonic in the inner product. Our theoretical comparisons show that; for thetask of retrieving with binary inner products; asymmetric minhash is provably better than …,Proceedings of the 24th International Conference on World Wide Web,2015,33
In defense of minhash over simhash,Anshumali Shrivastava; Ping Li,Abstract MinHash and SimHash are the two widely adopted Locality Sensitive Hashing(LSH) algorithms for large-scale data processing applications. Deciding which LSH to usefor a particular problem at hand is an important question; which has no clear answer in theexisting literature. In this study; we provide a theoretical answer (validated by experiments)that MinHash virtually always outperforms SimHash when the data are binary; as common inpractice such as search. The collision probability of MinHash is a function of\emresemblance similarity (\mathcalR); while the collision probability of SimHash is a functionof\em cosine similarity (\mathcalS). To provide a common basis for comparison; we evaluateretrieval results in terms of\mathcalS for both MinHash and SimHash. This evaluation is validas we can prove that MinHash is a valid LSH with respect to\mathcalS; by using a general …,Artificial Intelligence and Statistics,2014,32
Fast near neighbor search in high-dimensional binary data,Anshumali Shrivastava; Ping Li,Abstract Numerous applications in search; databases; machine learning; and computervision; can benefit from efficient algorithms for near neighbor search. This paper proposes asimple framework for fast near neighbor search in high-dimensional binary data; which arecommon in practice (eg; text). We develop a very simple and effective strategy for sub-lineartime near neighbor search; by creating hash tables directly using the bits generated by b-bitminwise hashing. The advantages of our method are demonstrated through thoroughcomparisons with two strong baselines: spectral hashing and sign (1-bit) randomprojections.,Joint European Conference on Machine Learning and Knowledge Discovery in Databases,2012,24
Improved Densification of One Permutation Hashing,Anshumali Shrivastava; Ping Li,Abstract: The existing work on densification of one permutation hashing reduces the queryprocessing cost of the $(K; L) $-parameterized Locality Sensitive Hashing (LSH) algorithmwith minwise hashing; from $ O (dKL) $ to merely $ O (d+ KL) $; where $ d $ is the number ofnonzeros of the data vector; $ K $ is the number of hashes in each hash table; and $ L $ isthe number of hash tables. While that is a substantial improvement; our analysis reveals thatthe existing densification scheme is sub-optimal. In particular; there is no enoughrandomness in that procedure; which affects its accuracy on very sparse datasets. In thispaper; we provide a new densification procedure which is provably better than the existingscheme. This improvement is more significant for very sparse datasets which are commonover the web. The improved technique has the same cost of $ O (d+ KL) $ for query …,Uncertainty In Artificial Intelligence 2014,2014,23
Scalable and sustainable deep learning via randomized hashing,Ryan Spring; Anshumali Shrivastava,Abstract Current deep learning architectures are growing larger in order to learn fromcomplex datasets. These architectures require giant matrix multiplication operations to trainmillions of parameters. Conversely; there is another growing trend to bring deep learning tolow-power; embedded devices. The matrix operations; associated with the training andtesting of deep networks; are very expensive from a computational and energy standpoint.We present a novel hashing-based technique to drastically reduce the amount ofcomputation needed to train and test neural networks. Our approach combines two recentideas; Adaptive Dropout and Randomized Hashing for Maximum Inner Product Search(MIPS); to select the nodes with the highest activations efficiently. Our new algorithm fordeep learning reduces the overall computational cost of the forward and backward …,Proceedings of the 23rd ACM SIGKDD International Conference on Knowledge Discovery and Data Mining,2017,19
Coding for random projections,Ping Li; Michael Mitzenmacher; Anshumali Shrivastava,Abstract The method of random projections has become popular for large-scale applicationsin statistical learning; information retrieval; bio-informatics and other applications. Using awell-designed\textbfcoding scheme for the projected data; which determines the number ofbits needed for each projected value and how to allocate these bits; can significantlyimprove the effectiveness of the algorithm; in storage cost as well as computational speed. Inthis paper; we study a number of simple coding schemes; focusing on the task of similarityestimation and on an application to training linear classifiers. We demonstratethat\textbfuniform quantization outperforms the standard and influential method\citeProc:Datar_SCG04; which used a\em window-and-random offset scheme. Indeed; we argue thatin many cases coding with just a small number of bits suffices. Furthermore; we also …,International Conference on Machine Learning,2014,19
