Data on the Web: from relations to semistructured data and XML,Serge Abiteboul; Peter Buneman; Dan Suciu,The Web is causing a revolution in how we represent; retrieve; and process information Itsgrowth has given us a universally accessible database-but in the form of a largelyunorganized collection of documents. This is changing; thanks to the simultaneousemergence of new ways of representing data: from within the Web community; XML; andfrom within the database community; semistructured data. The convergence of these twoapproaches has rendered them nearly identical. Now; there is a concerted effort to developeffective techniques for retrieving and processing both kinds of data. Data on the Web is theonly comprehensive; up-to-date examination of these rapidly evolving retrieval andprocessing strategies; which are of critical importance for almost all Web-and data-intensiveenterprises. This book offers detailed solutions to a wide range of practical problems …,*,2000,1733
A query language for XML,Alin Deutsch; Mary Fernandez; Daniela Florescu; Alon Levy; Dan Suciu,Abstract An important application of XML is the interchange of electronic data (EDI) betweenmultiple data sources on the Web. As XML data proliferates on the Web; applications willneed to integrate and aggregate data from multiple source and clean and transform data tofacilitate exchange. Data extraction; conversion; transformation; and integration are all well-understood database problems; and their solutions rely on a query language. We present aquery language for XML; called XML-QL; which we argue is suitable for performing theabove tasks. XML-QL is a declarative;relational complete'query language and is simpleenough that it can be optimized. XML-QL can extract data from existing XML documents andconstruct new XML documents.,Computer networks,1999,1343
Efficient query evaluation on probabilistic databases,Nilesh Dalvi; Dan Suciu,Abstract We describe a framework for supporting arbitrarily complex SQL queries with"uncertain" predicates. The query semantics is based on a probabilistic model and the resultsare ranked; much like in Information Retrieval. Our main focus is query evaluation. Wedescribe an optimization algorithm that can compute efficiently most queries. We show;however; that the data complexity of some queries is# P-complete; which implies that thesequeries do not admit any efficient evaluation methods. For these queries we describe bothan approximation algorithm and a Monte-Carlo simulation algorithm.,The VLDB Journal—The International Journal on Very Large Data Bases,2007,1077
Efficient query evaluation on probabilistic databases,Nilesh Dalvi; Dan Suciu,Abstract We describe a framework for supporting arbitrarily complex SQL queries with"uncertain" predicates. The query semantics is based on a probabilistic model and the resultsare ranked; much like in Information Retrieval. Our main focus is query evaluation. Wedescribe an optimization algorithm that can compute efficiently most queries. We show;however; that the data complexity of some queries is# P-complete; which implies that thesequeries do not admit any efficient evaluation methods. For these queries we describe bothan approximation algorithm and a Monte-Carlo simulation algorithm.,The VLDB Journal—The International Journal on Very Large Data Bases,2007,1077
Index structures for path expressions,Tova Milo; Dan Suciu,Abstract In recent years there has been an increased interest in managing data that does notconform to traditional data models; like the relational or object oriented model. The reasonsfor this non-conformance are diverse. On the one hand; data may not conform to suchmodels at the physical level: it may be stored in data exchange formats; fetched from theWeb; or stored as structured files. One the other hand; it may not conform at the logical level:data may have missing attributes; some attributes may be of different types in different dataitems; there may be heterogeneous collections; or the schema may be too complex orchanges too often. The term semistructured data has been used to refer to such data. Thesemistructured data model consists of an edge-labeled graph; in which nodes correspond toobjects and edges to attributes or values. Figure 1 illustrates a semistructured database …,International Conference on Database Theory,1999,905
A query language and optimization techniques for unstructured data,Peter Buneman; Susan Davidson; Gerd Hillebrand; Dan Suciu,Abstract A new kind of data model has recently emerged in which the database is notconstrained by a conventional schema. Systems like ACeDB; which has become verypopular with biologists; and the recent Tsimmis proposal for data integration organize datain tree-like structures whose components can be used equally well to represent sets andtuples. Such structures allow great flexibility y in data representation. What query languageis appropriate for such structures? Here we propose a simple language UnQL for queryingdata organized as a rooted; edge-labeled graph. In this model; relational data may berepresented as fixed-depth trees; and on such trees UnQL is equivalent to the relationalalgebra. The novelty of UnQL consists in its programming constructs for arbitrarily deep dataand for cyclic structures. While strictly more powerful than query languages with path …,ACM SIGMOD Record,1996,870
Storing semistructured data with STORED,Alin Deutsch; Mary Fernandez; Dan Suciu,Abstract Systems for managing and querying semistructured-data sources often store data inproprietary object repositories or in a tagged-text format. We describe a technique that canuse relational database management systems to store and manage semistructured data.Our technique relies on a mapping between the semistructured data model and therelational data model; expressed in a query language called STORED. When asemistructured data instance is given; a STORED mapping can be generated automaticallyusing data-mining techniques. We are interested in applying STORED to XML data; which isan instance of semistructured data. We show how a document-type-descriptor (DTD); whenpresent; can be exploited to further improve performance.,ACM SIGMOD Record,1999,833
XMill: an efficient compressor for XML data,Hartmut Liefke; Dan Suciu,Abstract We describe a tool for compressing XML data; with applications in data exchangeand archiving; which usually achieves about twice the compression ratio of gzip at roughlythe same speed. The compressor; called XMill; incorporates and combines existingcompressors in order to apply them to heterogeneous XML data: it uses zlib; the libraryfunction for gzip; a collection of datatype specific compressors for simple data types; and;possibly; user defined compressors for application specific data types.,ACM Sigmod Record,2000,752
Schema mediation in peer data management systems,Alon Y Halevy; Zachary G Ives; Dan Suciu; Igor Tatarinov,Intuitively; data management and data integration tools should be well-suited for exchanginginformation in a semantically meaningful way. Unfortunately; they suffer from two significantproblems: they typically require a comprehensive schema design before they can be used tostore or share information; and they are difficult to extend because schema evolution isheavyweight and may break backwards compatibility. As a result; many small-scale datasharing tasks are more easily facilitated by nondatabase-oriented tools that have littlesupport for semantics. The goal of the peer data management system (PDMS) is to addressthis need: we propose the use of a decentralized; easily extensible data managementarchitecture in which any user can contribute new data; schema information; or evenmappings between other peer's schemas. PDMSs represent a natural step beyond data …,Data Engineering; 2003. Proceedings. 19th International Conference on,2003,572
Adding structure to unstructured data,Peter Buneman; Susan Davidson; Mary Fernandez; Dan Suciu,Abstract We develop a new schema for unstructured data. Traditional schemas resemble thetype systems of programming languages. For unstructured data; however; the underlyingtype may be much less constrained and hence an alternative way of expressing constraintson the data is needed. Here; we propose that both data and schema be represented asedge-labeled graphs. We develop notions of conformance between a graph database and agraph schema and show that there is a natural and efficiently computable ordering on graphschemas. We then examine certain subclasses of schemas and show that schemas areclosed under query applications. Finally; we discuss how they may be used in querydecomposition and optimization.,International Conference on Database Theory,1997,508
