Vertebrate pigmentation: from underlying genes to adaptive function,Joanna K Hubbard; J Albert C Uy; Mark E Hauber; Hopi E Hoekstra; Rebecca J Safran,Animal coloration is a powerful model for studying the genetic mechanisms that determinephenotype. Genetic crosses of laboratory mice have provided extensive information aboutthe patterns of inheritance and pleiotropic effects of loci involved in pigmentation. Recently;the study of pigmentation genes and their functions has extended into wild populations;providing additional evidence that pigment gene function is largely conserved acrossdisparate vertebrate taxa and can influence adaptive coloration; often in predictable ways.These new and integrative studies; along with those using a genetic approach to understandcolor perception; raise some important questions. Most notably; how does selection shapeboth phenotypic and genetic variation; and how can we use this information to furtherunderstand the phenotypic diversity generated by evolutionary processes?,Trends in Genetics,2010,199
Plumage coloration; not length or symmetry of tail-streamers; is a sexually selected trait in North American barn swallows,Rebecca J Safran; Kevin J McGraw,Abstract Sexual adornments often vary markedly across a species' range; which presumablyis owing to differences in local environmental conditions and the associated selectionpressures; such as natural versus sexual selection or the relative signaling value of differentornamental traits. However; there are only a few reported examples in which the informationcontent of mating signals varies geographically; and even fewer in which a set of secondarysexual traits serves different signaling functions in different populations. Classic studies ofsexual selection in the European barn swallow (Hirundo rustica rustica) demonstrate thatelongate tail-streamers provide several reproductive advantages to males and females andare used as reliable signals of mate quality. Here; we show that tail-streamers do not appearto confer these same benefits in a population of barn swallows from North America …,Behavioral Ecology,2004,156
Evolutionary divergence in acoustic signals: causes and consequences,Matthew R Wilkins; Nathalie Seddon; Rebecca J Safran,Acoustic signals mediate mate choice; resource defense; and species recognition in a broadrange of taxa. It has been proposed; therefore; that divergence in acoustic signals plays akey role in speciation. Nonetheless; the processes driving divergence of acoustic traits andtheir consequences in terms of speciation are poorly understood. A review of empirical andcomparative studies reveals strong support for a role of sexual selection in acousticdivergence; but the possible concomitant influences of ecological context are rarelyexamined. We summarize a conceptual framework for testing the relative significance ofboth adaptive and neutral mechanisms leading to acoustic divergence; predictions for caseswhere these processes lead to speciation; and how their relative importance plays out overevolutionary time.,Trends in ecology & evolution,2013,144
Interspecific differences in habitat use of shorebirds and waterfowl foraging in managed wetlands of California's San Joaquin Valley,CR Isola; MA Colwell; OW Taft; RJ Safran,A common wetland management objective is to provide habitat for a diverse assemblage ofspecies; which requires data on interspecific differences in habitat use. Consequently; westudied habitat use by ten waterbird taxa (four dabbling ducks and six shorebirds) foragingin managed; seasonal wetlands in the northern San Joaquin Valley; California during latewinter and early spring of 1994 and 1995. A MANOVA analysis detected strong interspecificdifferences in habitat use; with water depth explaining 86% of differences among taxa in adiscriminant function analysis. ANOVA identified four groups based on similarities in use ofwater depth: 1) small shorebirds (< 5 cm); 2) large shorebirds (5-11 cm); 3) teal (10-15 cm);and large dabbling ducks (> 20 cm). Among these groups; variation in water depth atforaging locations increased with size; suggesting that water depth constrained foraging …,Waterbirds,2000,126
Dynamic paternity allocation as a function of male plumage color in barn swallows,RJ Safran; CR Neuman; KJ McGraw; IJ Lovette,Paternity in male animals can be influenced by their phenotypic signals of quality.Accordingly; the behavior underlying patterns of paternity should be flexible as signals ofquality change. To evaluate the dynamics of paternity allocation; we analyzed paternitybefore and after manipulating plumage coloration; a known signal of quality; in male barnswallows Hirundo rustica. We found that; in successive breeding bouts; only males whoseplumage color was experimentally enhanced received greater paternity from their socialmates; demonstrating evidence for flexible and dynamic paternity allocation and theimportance for males of maintaining signals of quality well after pair bond formation.,Science,2005,120
Waterbird responses to experimental drawdown: implications for the multispecies management of wetland mosaics,Oriane W Taft; Mark A Colwell; Craig R Isola; Rebecca J Safran,Summary 1 The loss and human modification of wetlands world-wide underscores theimportance of efficient management. For wetlands that provide habitats for non-breedingwaterbirds; such management often aims to support a rich and abundant waterbirdcommunity.,Journal of Applied Ecology,2002,118
You can't judge a pigment by its color: carotenoid and melanin content of yellow and brown feathers in swallows; bluebirds; penguins; and domestic chickens,Kevin J McGraw; Kazumasa Wakamatsu; Shosuke Ito; Paul M Nolan; Pierre Jouventin; F Stephen Dobson; Richard E Austic; Rebecca J Safran; Lynn M Siefferman; Geoffrey E Hill; Robert S Parker,Abstract The two main pigment types in bird feathers are the red; orange; and yellowcarotenoids and the black; gray; and brown melanins. Reports conflict; however; regardingthe potential for melanins to produce yellow colors or for carotenoids to produce brownplumages. We used high-performance liquid chromatography to analyze carotenoids andmelanins present in the yellow and brown feathers of five avian species: Eastern Bluebirds(Sialia sialis); Barn Swallows (Hirundo rustica); King Penguins (Aptenodytes patagonicus);Macaroni Penguins (Eudyptes chrysolophus); and neonatal chickens (Gallus domesticus). Innone of these species did we detect carotenoid pigments in feathers. Although carotenoidsare reportedly contained in the ventral plumage of European Barn Swallows (Hirundorustica rustica); we instead found high concentrations of both eumelanins and …,The Condor,2004,107
How feather colour reflects its melanin content,KJ McGraw; RJ Safran; K Wakamatsu,Previous article in issue: Do faster starts increase the probability of evading predators … Previousarticle in issue: Do faster starts increase the probability of evading predators … 1Melanin colorationis the most common type of colour in animals. Many species use melanin-based black;brown; grey or earth-toned colours as intraspecific signals of quality … 2Melanin comes in twomain forms in vertebrates – eumelanin and phaeomelanin – and these are said to create differentcolours; with eumelanin giving a darker black; brown or grey appearance and phaeomelanina lighter reddish or buff hue … 3However; the few studies that have examined the melanin contentof animal colours; namely from bird feathers; have shown that both phaeomelanin and eumelaninare present in nearly all melanized patches. These pigment types also have different syntheticorigins and may be differentially costly to display … 4Thus; to fully understand the costs …,Functional Ecology,2005,105
Sexual signal exaggeration affects physiological state in male barn swallows,Rebecca J Safran; James S Adelman; Kevin J McGraw; Michaela Hau,Summary A prevailing view in sexual selection theory is that costly physiological processesunderlie the development; maintenance and expression of sexual signals; and that the costsof these signals enforce their honesty [1; 2]. However; this unidirectional view of howphysiology governs signal expression is narrow; because many of the putative physiologicalunderpinnings of signals; such as health status; are themselves dynamic [3]. As such; wepredicted that physiological parameters should be affected by sexual signal expression. Wetherefore manipulated a known sexual signal—plumage coloration—in male barn swallows(Hirundo rustica erythrogaster) and measured circulating androgen levels and body massbefore and after the manipulation. We found that androgen concentrations increased in color-enhanced males; but decreased in control males; as expected due to typical seasonal …,Current Biology,2008,87
Contributions of natural and sexual selection to the evolution of premating reproductive isolation: a research agenda,Rebecca J Safran; Elizabeth SC Scordato; Laurel B Symes; Rafael L Rodríguez; Tamra C Mendelson,Speciation by divergent natural selection is well supported. However; the role of sexualselection in speciation is less well understood due to disagreement about whether sexualselection is a mechanism of evolution separate from natural selection; as well as confusionabout various models and tests of sexual selection. Here; we outline how sexual selectionand natural selection are different mechanisms of evolutionary change; and suggest that thisdistinction is critical when analyzing the role of sexual selection in speciation. Furthermore;we clarify models of sexual selection with respect to their interaction with ecology andnatural selection. In doing so; we outline a research agenda for testing hypotheses about therelative significance of divergent sexual and natural selection in the evolution ofreproductive isolation.,Trends in ecology & evolution,2013,82
Sexual selection accelerates signal evolution during speciation in birds,Nathalie Seddon; Carlos A Botero; Joseph A Tobias; Peter O Dunn; Hannah EA MacGregor; Dustin R Rubenstein; J Albert C Uy; Jason T Weir; Linda A Whittingham; Rebecca J Safran,Sexual selection is proposed to be an important driver of diversification in animal systems;yet previous tests of this hypothesis have produced mixed results and the mechanismsinvolved remain unclear. Here; we use a novel phylogenetic approach to assess theinfluence of sexual selection on patterns of evolutionary change during 84 recent speciationevents across 23 passerine bird families. We show that elevated levels of sexual selectionare associated with more rapid phenotypic divergence between related lineages; and thatthis effect is restricted to male plumage traits proposed to function in mate choice andspecies recognition. Conversely; we found no evidence that sexual selection promoteddivergence in female plumage traits; or in male traits related to foraging and locomotion.These results provide strong evidence that female choice and male–male competition are …,Proc. R. Soc. B,2013,79
Benthic invertebrates at foraging locations of nine waterbird species in managed wetlands of the northern San Joaquin Valley; California,Rebecca J Safran; Craig R Isola; Mark A Colwell; Oriane E Williams,Abstract The ecologies of waterbirds are closely tied to the distribution and abundance offood resources. For many species of waterfowl and shorebirds; benthic invertebrates(especially Chironomidae) are an important dietary component that influences habitatselection. Consequently; we sampled benthic invertebrates and measured water depth atforaging locations of nine waterbird species and paired random sites in the Grasslands ofthe northern San Joaquin Valley; California; USA from January to April 1994 and 1995. Ourresulting habitat-selection models indicate significant differences in benthic invertebratedensities or biomasses at foraging and random locations for three of nine species andsignificant differences in water depths between foraging and random locations for four ofnine species. Additionally; we observed significant interspecific differences in water …,Wetlands,1997,79
Adaptive site selection rules and variation in group size of barn swallows: individual decisions predict population patterns,Rebecca Jo Safran,Abstract: Variation in group size is ubiquitous among socially breeding organisms. Analternative to the traditional examination of average reproductive success in groups ofdifferent sizes is to examine individual decision making by determining the cues used for siteselection. Once factors used for decision making are known; one can determine whethergroup-level patterns; such as group size variation; are emergent properties of individual-level decision rules. The advantage of this alternative approach is that it can explain thedistribution of group sizes rather than just the occurrence of optimal group sizes. Using barnswallows; I tested; but did not support; the hypothesis that individuals settle at sites based onthe previous success of conspecifics (ie; performance-based conspecific attraction). Instead;I demonstrate that an adaptive site selection decision rule—to breed where it is possible …,The American Naturalist,2004,70
