Efficient similarity search in sequence databases,Rakesh Agrawal; Christos Faloutsos; Arun Swami,Abstract We propose an indexing method for time sequences for processing similarityqueries. We use the Discrete Fourier Transform (DFT) to map time sequences to thefrequency domain; the crucial observation being that; for most sequences of practicalinterest; only the first few frequencies are strong. Another important observation is Parseval'stheorem; which specifies that the Fourier transform preserves the Euclidean distance in thetime or frequency domain. Having thus mapped sequences to a lower-dimensionality spaceby using only the first few Fourier coefficients; we use R*-trees to index the sequences andefficiently answer similarity queries. We provide experimental results which show that ourmethod is superior to search based on sequential scanning. Our experiments show that afew coefficients (1–3) are adequate to provide good performance. The performance gain …,International Conference on Foundations of Data Organization and Algorithms,1993,2468
Structural joins: A primitive for efficient XML query pattern matching,Shurug Al-Khalifa; HV Jagadish; Nick Koudas; Jignesh M Patel; Divesh Srivastava; Yuqing Wu,XML queries typically specify patterns of selection predicates on multiple elements that havesome specified tree structured relationships. The primitive tree structured relationships areparent-child and ancestor-descendant; and finding all occurrences of these relationships inan XML database is a core operation for XML query processing. We develop two families ofstructural join algorithms for this task: tree-merge and stack-tree. The tree-merge algorithmsare a natural extension of traditional merge joins and the multi-predicate merge joins; whilethe stack-tree algorithms have no counterpart in traditional relational join processing. Wepresent experimental results on a range of data and queries using the TIMBER native XMLquery engine built on top of SHORE. We show that while; in some cases; tree-mergealgorithms can have performance comparable to stack-tree algorithms; in many cases …,Data Engineering; 2002. Proceedings. 18th International Conference on,2002,1206
The TV-tree: An index structure for high-dimensional data,King-Ip Lin; Hosagrahar V Jagadish; Christos Faloutsos,Abstract We propose a file structure to index high-dimensionality data; which are typicallypoints in some feature space. The idea is to use only a few of the features; using additionalfeatures only when the additional discriminatory power is absolutely necessary. We presentin detail the design of our tree structure and the associated algorithms that handle such“varying length” feature vectors. Finally; we report simulation results; comparing theproposed structure with the R*-tree; which is one of the most successful methods for low-dimensionality spaces. The results illustrate the superiority of our method; which saves up to80% in disk accesses.,The VLDB Journal,1994,777
Efficient retrieval of similar time sequences under time warping,Byoung-Kee Yi; HV Jagadish; Christos Faloutsos,Fast similarity searching in large time sequence databases has typically used Euclideandistance as a dissimilarity metric. However; for several applications; including matching ofvoice; audio and medical signals (eg; electrocardiograms); one is required to permit localaccelerations and decelerations in the rate of sequences; leading to a popular; field testeddissimilarity metric called the" time warping" distance. From the indexing viewpoint; thismetric presents two major challenges:(a) it does not lead to any natural indexable" features";and (b) comparing two sequences requires time quadratic in the sequence length. Toaddress each problem; we propose to use:(a) a modification of the so called" FastMap"; tomap sequences into points; with little compromise of" recall"(typically zero); and (b) a fastlinear test; to help us discard quickly many of the false alarms that FastMap will typically …,Data Engineering; 1998. Proceedings.; 14th International Conference on,1998,730
Analysis of the clustering properties of the Hilbert space-filling curve,Bongki Moon; Hosagrahar V Jagadish; Christos Faloutsos; Joel H.  Saltz,Several schemes for the linear mapping of a multidimensional space have been proposedfor various applications; such as access methods for spatio-temporal databases and imagecompression. In these applications; one of the most desired properties from such linearmappings is clustering; which means the locality between objects in the multidimensionalspace being preserved in the linear space. It is widely believed that the Hilbert space-fillingcurve achieves the best clustering (Abel and Mark; 1990; Jagadish; 1990). We analyze theclustering property of the Hilbert space-filling curve by deriving closed-form formulas for thenumber of clusters in a given query region of an arbitrary shape (eg; polygons andpolyhedra). Both the asymptotic solution for the general case and the exact solution for aspecial case generalize previous work. They agree with the empirical results that the …,IEEE Transactions on knowledge and data engineering,2001,711
Approximate string joins in a database (almost) for free,Luis Gravano; Panagiotis G Ipeirotis; Hosagrahar Visvesvaraya Jagadish; Nick Koudas; Shanmugauelayut Muthukrishnan; Divesh Srivastava,Abstract String data is ubiquitous; and its management has taken on particular importance inthe past few years. Approximate queries are very important on string data especially formore complex queries involving joins. This is due; for example; to the prevalence oftypographical errors in data; and multiple conventions for recording attributes such as nameand address. Commercial databases do not support approximate string joins directly; and itis a challenge to implement this functionality efficiently with user-defined functions (UDFs). Inthis paper; we develop a technique for building approximate string join capabilities on top ofcommercial databases by exploiting facilities already available in them. At the core; ourtechnique relies on matching short substrings of length а; called а-grams; and taking intoaccount both positions of individual matches and the total number of such matches. Our …,VLDB,2001,634
Approximate string joins in a database (almost) for free,Luis Gravano; Panagiotis G Ipeirotis; Hosagrahar Visvesvaraya Jagadish; Nick Koudas; Shanmugauelayut Muthukrishnan; Divesh Srivastava,Abstract String data is ubiquitous; and its management has taken on particular importance inthe past few years. Approximate queries are very important on string data especially formore complex queries involving joins. This is due; for example; to the prevalence oftypographical errors in data; and multiple conventions for recording attributes such as nameand address. Commercial databases do not support approximate string joins directly; and itis a challenge to implement this functionality efficiently with user-defined functions (UDFs). Inthis paper; we develop a technique for building approximate string join capabilities on top ofcommercial databases by exploiting facilities already available in them. At the core; ourtechnique relies on matching short substrings of length а; called а-grams; and taking intoaccount both positions of individual matches and the total number of such matches. Our …,VLDB,2001,634
Challenges and opportunities with big data,Alexandros Labrinidis; Hosagrahar V Jagadish,Abstract The promise of data-driven decision-making is now being recognized broadly; andthere is growing enthusiasm for the notion of" Big Data;" including the recent announcementfrom the White House about new funding initiatives across different agencies; that targetresearch for Big Data. While the promise of Big Data is real--for example; it is estimated thatGoogle alone contributed 54 billion dollars to the US economy in 2009--there is no clearconsensus on what is Big Data. In fact; there have been many controversial statementsabout Big Data; such as" Size is the only thing that matters." In this panel we will try toexplore the controversies and debunk the myths surrounding Big Data.,Proceedings of the VLDB Endowment,2012,604
Linear clustering of objects with multiple attributes,Hosagrahar V Jagadish,Abstract There is often a need to map a multi-dimensional space on to a one-dimensionalspace. For example; this kind of mapping has been proposed to permit the use of one-dimensional indexing techniques to a multi-dimensional index space such as in a spatialdatabase. This kind of mapping is also of value in assigning physical storage; such asassigning buckets to records that have been indexed on multiple attributes; to minimize thedisk access effort. In this paper; we discuss what the desired properties of such a mappingare; and evaluate; through analysis and simulation; several mappings that have beenproposed in the past. We present a mapping based on Hilbert's space-filling curve; whichout-performs previously proposed mappings on average over a variety of different operatingconditions.,ACM SIGMOD Record,1990,598
Timber: A native xml database,Hosagrahar V Jagadish; Shurug Al-Khalifa; Adriane Chapman; Laks VS Lakshmanan; Andrew Nierman; Stelios Paparizos; Jignesh M Patel; Divesh Srivastava; Nuwee Wiwatwattana; Yuqing Wu; Cong Yu,Abstract This paper describes the overall design and architecture of the Timber XMLdatabase system currently being implemented at the University of Michigan. The system isbased upon a bulk algebra for manipulating trees; and natively stores XML. New accessmethods have been developed to evaluate queries in the XML context; and new costestimation and query optimization techniques have also been developed. We presentperformance numbers to support some of our design decisions. We believe that the keyintellectual contribution of this system is a comprehensive set-at-a-time query processingability in a native XML store; with all the standard components of relational queryprocessing; including algebraic rewriting and a cost-based optimizer.,The VLDB Journal—The International Journal on Very Large Data Bases,2002,568
iDistance: An adaptive B+-tree based indexing method for nearest neighbor search,Hosagrahar V Jagadish; Beng Chin Ooi; Kian-Lee Tan; Cui Yu; Rui Zhang,Abstract In this article; we present an efficient B &plus;-tree based indexing method; callediDistance; for K-nearest neighbor (KNN) search in a high-dimensional metric space.iDistance partitions the data based on a space-or data-partitioning strategy; and selects areference point for each partition. The data points in each partition are transformed into asingle dimensional value based on their similarity with respect to the reference point. Thisallows the points to be indexed using a B &plus;-tree structure and KNN search to beperformed using one-dimensional range search. The choice of partition and reference pointsadapts the index structure to the data distribution. We conducted extensive experiments toevaluate the iDistance technique; and report results demonstrating its effectiveness. We alsopresent a cost model for iDistance KNN search; which can be exploited in query …,ACM Transactions on Database Systems (TODS),2005,565
Composite event specification in active databases: Model & implementation,Narain H Gehani; Hosagrahar V Jagadish; Oded Shmueli,ABSTRACT Active database systems require facilities to specify triggers that fire whenspecified events occur. We propose a language for specifying composite events as evetiexpressions; formed using event operators and events (primitive or composite). An eventexpression maps an event history to anothe-r event history that contains only the events atwhich the event expression is “satisfied” and at which the trigger should 6re. We presentseveral examples illustrating how quite complex event specifications are possible usingevent expressions. In addition to the basic event operators; we also provide facilities thatmake it easier to specify composite events.“Pipes” allow users to isolate sub-histories ofinterest.“Correlation variables” allow users to ensure that different parts of an eventexpression are satisfied by the same event; thereby facilitating the coordination of sub …,VLDB,1992,522
Efficiently supporting ad hoc queries in large datasets of time sequences,Flip Korn; Hosagrahar V Jagadish; Christos Faloutsos,Abstract Ad hoc querying is difficult on very large datasets; since it is usually not possible tohave the entire dataset on disk. While compression can be used to decrease the size of thedataset; compressed data is notoriously difficult to index or access. In this paper we considera very large dataset comprising multiple distinct time sequences. Each point in the sequenceis a numerical value. We show how to compress such a dataset into a format that supportsad hoc querying; provided that a small error can be tolerated when the data isuncompressed. Experiments on large; real world datasets (AT&T customer calling patterns)show that the proposed method achieves an average of less than 5% error in any data valueafter compressing to a mere 2.5% of the original space (ie; a 40: 1 compression ratio); withthese numbers not very sensitive to dataset size. Experiments on aggregate queries …,Acm Sigmod Record,1997,518
