MapReduce online,Tyson Condie; Neil Conway; Peter Alvaro; Joseph M Hellerstein; Khaled Elmeleegy; Russell Sears,Abstract MapReduce is a popular framework for data-intensive distributed computing ofbatch jobs. To simplify fault tolerance; many implementations of MapReduce materialize theentire output of each map and reduce task before it can be consumed. In this paper; wepropose a modified MapReduce architecture that allows data to be pipelined betweenoperators. This extends the MapReduce programming model beyond batch processing; andcan reduce completion times and improve system utilization for batch jobs as well. Wepresent a modified version of the Hadoop MapReduce framework that supports onlineaggregation; which allows users to see “early returns” from a job as it is being computed.Our Hadoop Online Prototype (HOP) also supports continuous queries; which enableMapReduce programs to be written for applications such as event monitoring and stream …,Proceedings of the 7th USENIX conference on Networked systems design and implementation,2010,899
Online aggregation and continuous query support in mapreduce,Tyson Condie; Neil Conway; Peter Alvaro; Joseph M Hellerstein; John Gerth; Justin Talbot; Khaled Elmeleegy; Russell Sears,Abstract MapReduce is a popular framework for data-intensive distributed computing ofbatch jobs. To simplify fault tolerance; the output of each MapReduce task and job ismaterialized to disk before it is consumed. In this demonstration; we describe a modifiedMapReduce architecture that allows data to be pipelined between operators. This extendsthe MapReduce programming model beyond batch processing; and can reduce completiontimes and improve system utilization for batch jobs as well. We demonstrate a modifiedversion of the Hadoop MapReduce framework that supports online aggregation; whichallows users to see" early returns" from a job as it is being computed. Our Hadoop OnlinePrototype (HOP) also supports continuous queries; which enable MapReduce programs tobe written for applications such as event monitoring and stream processing. HOP retains …,Proceedings of the 2010 ACM SIGMOD International Conference on Management of data,2010,164
Consistency Analysis in Bloom: a CALM and Collected Approach.,Peter Alvaro; Neil Conway; Joseph M Hellerstein; William R Marczak,ABSTRACT Distributed programming has become a topic of widespread interest; and manyprogrammers now wrestle with tradeoffs between data consistency; availability and latency.Distributed transactions are often rejected as an undesirable tradeoff today; but in theabsence of transactions there are few concrete principles or tools to help programmersdesign and verify the correctness of their applications. We address this situation with theCALM principle; which connects the idea of distributed consistency to program tests forlogical monotonicity. We then introduce Bloom; a distributed programming language that isamenable to high-level consistency analysis and encourages order-insensitiveprogramming. We present a prototype implementation of Bloom as a domain-specificlanguage in Ruby. We also propose a program analysis technique that identifies points of …,CIDR,2011,148
Boom analytics: exploring data-centric; declarative programming for the cloud,Peter Alvaro; Tyson Condie; Neil Conway; Khaled Elmeleegy; Joseph M Hellerstein; Russell Sears,Abstract Building and debugging distributed software remains extremely difficult. Weconjecture that by adopting a data-centric approach to system design and by employingdeclarative programming languages; a broad range of distributed software can be recastnaturally in a data-parallel programming model. Our hope is that this model can significantlyraise the level of abstraction for programmers; improving code simplicity; speed ofdevelopment; ease of software evolution; and program correctness. This paper presents ourexperience with an initial large-scale experiment in this direction. First; we used the Overloglanguage to implement a" Big Data" analytics stack that is API-compatible with Hadoop andHDFS and provides comparable performance. Second; we extended the system withcomplex distributed features not yet available in Hadoop; including high availability …,Proceedings of the 5th European conference on Computer systems,2010,128
Dedalus: Datalog in time and space,Peter Alvaro; William R Marczak; Neil Conway; Joseph M Hellerstein; David Maier; Russell Sears,Abstract Recent research has explored using Datalog-based languages to express adistributed system as a set of logical invariants. Two properties of distributed systems proveddifficult to model in Datalog. First; the state of any such system evolves with its execution.Second; deductions in these systems may be arbitrarily delayed; dropped; or reordered bythe unreliable network links they must traverse. Previous efforts addressed the former byextending Datalog to include updates; key constraints; persistence and events; and the latterby assuming ordered and reliable delivery while ignoring delay. These details have asemantics outside Datalog; which increases the complexity of the language and itsinterpretation; and forces programmers to think operationally. We argue that the missingcomponent from these previous languages is a notion of time. In this paper we present …,*,2011,112
Logic and lattices for distributed programming,Neil Conway; William R Marczak; Peter Alvaro; Joseph M Hellerstein; David Maier,Abstract In recent years there has been interest in achieving application-level consistencycriteria without the latency and availability costs of strongly consistent storage infrastructure.A standard technique is to adopt a vocabulary of commutative operations; this avoids the riskof inconsistency due to message reordering. Another approach was recently captured by theCALM theorem; which proves that logically monotonic programs are guaranteed to beeventually consistent. In logic languages such as Bloom; CALM analysis can automaticallyverify that programs achieve consistency without coordination. In this paper we presentBloom L; an extension to Bloom that takes inspiration from both of these traditions. Bloom Lgeneralizes Bloom to support lattices and extends the power of CALM analysis to wholeprograms containing arbitrary lattices. We show how the Bloom interpreter can be …,Proceedings of the Third ACM Symposium on Cloud Computing,2012,88
FATE and DESTINI: A framework for cloud recovery testing,Haryadi S Gunawi; Thanh Do; Pallavi Joshi; Peter Alvaro; Joseph M Hellerstein; Andrea C Arpaci-Dusseau; Remzi H Arpaci-Dusseau; Koushik Sen; Dhruba Borthakur,Abstract As the cloud era begins and failures become commonplace; failure recoverybecomes a critical factor in the availability; reliability and performance of cloud services.Unfortunately; recovery problems still take place; causing downtimes; data loss; and manyother problems. We propose a new testing framework for cloud recovery: FATE (FailureTesting Service) and DESTINI (Declarative Testing Specifications). With FATE; recovery issystematically tested in the face of multiple failures. With DESTINI; correct recovery isspecified clearly; concisely; and precisely. We have integrated our framework to severalcloud systems (eg; HDFS [33]); explored over 40;000 failure scenarios; wrote 74specifications; found 16 new bugs; and reproduced 51 old bugs.,Proceedings of NSDI’11: 8th USENIX Symposium on Networked Systems Design and Implementation,2011,65
I do declare: consensus in a logic language,Peter Alvaro; Tyson Condie; Neil Conway; Joseph M Hellerstein; Russell Sears,Abstract The Paxos consensus protocol can be specified concisely; but is notoriously difficultto implement in practice. We recount our experience building Paxos in Overlog; a distributeddeclarative programming language. We found that the Paxos algorithm is easily translated todeclarative logic; in large part because the primitives used in consensus protocolspecifications map directly to simple Overlog constructs such as aggregation and selection.We discuss the programming idioms that appear frequently in our implementation; and theapplicability of declarative programming to related application domains.,ACM SIGOPS Operating Systems Review,2010,34
Blazes: Coordination analysis for distributed programs,Peter Alvaro; Neil Conway; Joseph M Hellerstein; David Maier,Distributed consistency is perhaps the most discussed topic in distributed systems today.Coordination protocols can ensure consistency; but in practice they cause undesirableperformance unless used judiciously. Scalable distributed architectures avoid coordinationwhenever possible; but undercoordinated systems can exhibit behavioral anomalies underfault; which are often extremely difficult to debug. This raises significant challenges fordistributed system architects and developers. In this paper we present BLAZES; a cross-platform program analysis framework that (a) identifies program locations that requirecoordination to ensure consistent executions; and (b) automatically synthesizes application-specific coordination code that can significantly outperform general-purpose techniques. Wepresent two case studies; one using annotated programs in the Twitter Storm system; and …,Data Engineering (ICDE); 2014 IEEE 30th International Conference on,2014,32
Consistency without borders,Peter Alvaro; Peter Bailis; Neil Conway; Joseph M Hellerstein,Abstract Distributed consistency is a perennial research topic; in recent years it has becomean urgent practical matter as well. The research literature has focused on enforcing variousflavors of consistency at the I/O layer; such as linearizability of read/write registers. Forpractitioners; strong I/O consistency is often impractical at scale; while looser forms of I/Oconsistency are difficult to map to application-level concerns. Instead; it is common fordevelopers to take matters of distributed consistency into their own hands; leading toapplication-specific solutions that are tricky to write; test and maintain. In this paper; weagitate for the technical community to shift its attention to approaches that lie between theextremes of I/O-level and application-level consistency. We ground our discussion in earlywork in the area; including our own experiences building programmer tools and …,Proceedings of the 4th annual Symposium on Cloud Computing,2013,28
