PathSim: Meta path-based top-k similarity search in heterogeneous information networks,Yizhou Sun; Jiawei Han; Xifeng Yan; Philip S Yu; Tianyi Wu,ABSTRACT Similarity search is a primitive operation in database and Web search engines.With the advent of large-scale heterogeneous information networks that consist of multi-typed; interconnected objects; such as the bibliographic networks and social medianetworks; it is important to study similarity search in such networks. Intuitively; two objectsare similar if they are linked by many paths in the network. However; most existing similaritymeasures are defined for homogeneous networks. Different semantic meanings behindpaths are not taken into consideration. Thus they cannot be directly applied toheterogeneous networks. In this paper; we study similarity search that is defined among thesame type of objects in heterogeneous networks. Moreover; by considering different linkagepaths in a network; one could derive various similarity semantics. Therefore; we introduce …,Proceedings of the VLDB Endowment 4 (11),2011,506
Ranking-based clustering of heterogeneous information networks with star network schema,Yizhou Sun; Yintao Yu; Jiawei Han,ABSTRACT A heterogeneous information network is an information network composed ofmultiple types of objects. Clustering on such a network may lead to better understanding ofboth hidden structures of the network and the individual role played by every object in eachcluster. However; although clustering on homogeneous networks has been studied overdecades; clustering on heterogeneous networks has not been addressed until recently. Arecent study proposed a new algorithm; RankClus; for clustering on bi-typed heterogeneousnetworks. However; a real-world network may consist of more than two types; and theinteractions among multi-typed objects play a key role at disclosing the rich semantics that anetwork carries. In this paper; we study clustering of multi-typed heterogeneous networkswith a star network schema and propose a novel algorithm; NetClus; that utilizes links …,Proceedings of the 15th ACM SIGKDD international conference on Knowledge discovery and data mining,2009,362
RankClus: integrating clustering with ranking for heterogeneous information network analysis,Yizhou Sun; Jiawei Han; Peixiang Zhao; Zhijun Yin; Hong Cheng; Tianyi Wu,Abstract As information networks become ubiquitous; extracting knowledge from informationnetworks has become an important task. Both ranking and clustering can provide overallviews on information network data; and each has been a hot topic by itself. However;ranking objects globally without considering which clusters they belong to often leads todumb results; eg; ranking database and computer architecture conferences together may notmake much sense. Similarly; clustering a huge number of objects (eg; thousands of authors)in one huge cluster without distinction is dull as well. In this paper; we address the problemof generating clusters for a specified type of objects; as well as ranking information for alltypes of objects based on these clusters in a multi-typed (ie; heterogeneous) informationnetwork. A novel clustering framework called RankClus is proposed that directly …,Proceedings of the 12th International Conference on Extending Database Technology: Advances in Database Technology,2009,297
Co-author relationship prediction in heterogeneous bibliographic networks,Yizhou Sun; Rick Barber; Manish Gupta; Charu C Aggarwal; Jiawei Han,The problem of predicting links or interactions between objects in a network; is an importanttask in network analysis. Along this line; link prediction between co-authors in a co-authornetwork is a frequently studied problem. In most of these studies; authors are considered ina homogeneous network; ie; only one type of objects (author type) and one type of links (co-authorship) exist in the network. However; in a real bibliographic network; there are multipletypes of objects (eg; venues; topics; papers) and multiple types of links among these objects.In this paper; we study the problem of co-author relationship prediction in the heterogeneousbibliographic network; and a new methodology called PathPredict; ie; meta path-basedrelationship prediction model; is proposed to solve this problem. First; meta path-basedtopological features are systematically extracted from the network. Then; a supervised …,Advances in Social Networks Analysis and Mining (ASONAM); 2011 International Conference on,2011,279
LCARS: a location-content-aware recommender system,Hongzhi Yin; Yizhou Sun; Bin Cui; Zhiting Hu; Ling Chen,Abstract Newly emerging location-based and event-based social network services provideus with a new platform to understand users' preferences based on their activity history. Auser can only visit a limited number of venues/events and most of them are within a limiteddistance range; so the user-item matrix is very sparse; which creates a big challenge fortraditional collaborative filtering-based recommender systems. The problem becomes morechallenging when people travel to a new city where they have no activity history. In thispaper; we propose LCARS; a location-content-aware recommender system that offers aparticular user a set of venues (eg; restaurants) or events (eg; concerts and exhibitions) bygiving consideration to both personal interest and local preference. This recommendersystem can facilitate people's travel not only near the area in which they live; but also in a …,Proceedings of the 19th ACM SIGKDD international conference on Knowledge discovery and data mining,2013,215
Mining Heterogeneous Information Networks: Principles and Methodologies,Yizhou Sun; Jiawei Han,Abstract Real-world physical and abstract data objects are interconnected; forming gigantic;interconnected networks. By structuring these data objects and interactions between theseobjects into multiple types; such networks become semi-structured heterogeneousinformation networks. Most real-world applications that handle big data; includinginterconnected social media and social networks; scientific; engineering; or medicalinformation systems; online e-commerce systems; and most database systems; can bestructured into heterogeneous information networks. Therefore; effective analysis of large-scale heterogeneous information networks poses an interesting but critical challenge. In thisbook; we investigate the principles and methodologies of mining heterogeneous informationnetworks. Departing from many existing network models that view interconnected data as …,Synthesis Lectures on Data Mining and Knowledge Discovery,2012,203
P-Rank: a comprehensive structural similarity measure over information networks,Peixiang Zhao; Jiawei Han; Yizhou Sun,Abstract With the ubiquity of information networks and their broad applications; the issue ofsimilarity computation between entities of an information network arises and drawsextensive research interests. However; to effectively and comprehensively measure" howsimilar two entities are within an information network" is nontrivial; and the problem becomeseven more challenging when the information network to be examined is massive anddiverse. In this paper; we propose a new similarity measure; P-Rank (Penetrating Rank);toward effectively computing the structural similarities of entities in real information networks.P-Rank enriches the well-known similarity measure; SimRank; by jointly encoding both in-and out-link relationships into structural similarity computation. P-Rank is proven to be aunified structural similarity framework; under which all state-of-the-art similarity measures …,Proceeding of the 18th ACM conference on Information and knowledge management,2009,182
When will it happen? -- relationship prediction in heterogeneous information networks,Yizhou Sun; Jiawei Han; Charu C Aggarwal; Nitesh V Chawla,Abstract Link prediction; ie; predicting links or interactions between objects in a network; isan important task in network analysis. Although the problem has attracted much attentionrecently; there are several challenges that have not been addressed so far. First; mostexisting studies focus only on link prediction in homogeneous networks; where all objectsand links belong to the same type. However; in the real world; heterogeneous networks thatconsist of multi-typed objects and relationships are ubiquitous. Second; most current studiesonly concern the problem of whether a link will appear in the future but seldom pay attentionto the problem of when it will happen. In this paper; we address both issues and study theproblem of predicting when a certain relationship will happen in the scenario ofheterogeneous networks. First; we extend the link prediction problem to the relationship …,Proceedings of the fifth ACM international conference on Web search and data mining,2012,180
On community outliers and their efficient detection in information networks,Jing Gao; Feng Liang; Wei Fan; Chi Wang; Yizhou Sun; Jiawei Han,Abstract Linked or networked data are ubiquitous in many applications. Examples includeweb data or hypertext documents connected via hyperlinks; social networks or user profilesconnected via friend links; co-authorship and citation information; blog data; movie reviewsand so on. In these datasets (called" information networks"); closely related objects thatshare the same properties or interests form a community. For example; a community inblogsphere could be users mostly interested in cell phone reviews and news. Outlierdetection in information networks can reveal important anomalous and interesting behaviorsthat are not obvious if community information is ignored. An example could be a low-incomeperson being friends with many rich people even though his income is not anomalously lowwhen considered over the entire population. This paper first introduces the concept of …,Proceedings of the 16th ACM SIGKDD international conference on Knowledge discovery and data mining,2010,173
PathSelClus: Integrating Meta-Path Selection with User-Guided Object Clustering in Heterogeneous Information Networks,Yizhou Sun; Brandon Norick; Jiawei Han; Xifeng Yan; Philip S Yu; Xiao Yu,Abstract Real-world; multiple-typed objects are often interconnected; forming heterogeneousinformation networks. A major challenge for link-based clustering in such networks is theirpotential to generate many different results; carrying rather diverse semantic meanings. Inorder to generate desired clustering; we propose to use meta-path; a path that connectsobject types via a sequence of relations; to control clustering with distinct semantics.Nevertheless; it is easier for a user to provide a few examples (seeds) than a weightedcombination of sophisticated meta-paths to specify her clustering preference. Thus; wepropose to integrate meta-path selection with user-guided clustering to cluster objects innetworks; where a user first provides a small set of object seeds for each cluster asguidance. Then the system learns the weight for each meta-path that is consistent with the …,ACM Transactions on Knowledge Discovery from Data (TKDD),2013,167
Integrating Meta-Path Selection with User-Guided Object Clustering in Heterogeneous Information Networks,Yizhou Sun; Brandon Norick; Jiawei Han; Xifeng Yan; Philip S Yu; Xiao Yu,*,Proceedings of the 18th ACM SIGKDD international conference on Knowledge discovery and data mining,2012,167
Mining heterogeneous information networks: a structural analysis approach,Yizhou Sun; Jiawei Han,Abstract Most objects and data in the real world are of multiple types; interconnected;forming complex; heterogeneous but often semi-structured information networks. However;most network science researchers are focused on homogeneous networks; withoutdistinguishing different types of objects and links in the networks. We view interconnected;multityped data; including the typical relational database data; as heterogeneousinformation networks; study how to leverage the rich semantic meaning of structural types ofobjects and links in the networks; and develop a structural analysis approach on miningsemi-structured; multi-typed heterogeneous information networks. In this article; wesummarize a set of methodologies that can effectively and efficiently mine useful knowledgefrom such information networks; and point out some promising research directions.,ACM SIGKDD Explorations Newsletter,2012,148
Graph regularized transductive classification on heterogeneous information networks,Ming Ji; Yizhou Sun; Marina Danilevsky; Jiawei Han; Jing Gao,Abstract A heterogeneous information network is a network composed of multiple types ofobjects and links. Recently; it has been recognized that strongly-typed heterogeneousinformation networks are prevalent in the real world. Sometimes; label information isavailable for some objects. Learning from such labeled and unlabeled data via transductiveclassification can lead to good knowledge extraction of the hidden network structure.However; although classification on homogeneous networks has been studied for decades;classification on heterogeneous networks has not been explored until recently. In this paper;we consider the transductive classification problem on heterogeneous networked datawhich share a common topic. Only some objects in the given network are labeled; and weaim to predict labels for all types of the remaining objects. A novel graph-based …,Joint European Conference on Machine Learning and Knowledge Discovery in Databases,2010,139
Personalized entity recommendation: a heterogeneous information network approach,Xiao Yu; Xiang Ren; Yizhou Sun; Quanquan Gu; Bradley Sturt; Urvashi Khandelwal; Brandon Norick; Jiawei Han,Abstract Among different hybrid recommendation techniques; network-based entityrecommendation methods; which utilize user or item relationship information; are beginningto attract increasing attention recently. Most of the previous studies in this category onlyconsider a single relationship type; such as friendships in a social network. In manyscenarios; the entity recommendation problem exists in a heterogeneous informationnetwork environment. Different types of relationships can be potentially used to improve therecommendation quality. In this paper; we study the entity recommendation problem inheterogeneous information networks. Specifically; we propose to combine heterogeneousrelationship information for each user differently and aim to provide high-qualitypersonalized recommendation results using user implicit feedback data and personalized …,Proceedings of the 7th ACM international conference on Web search and data mining,2014,137
Fast computation of simrank for static and dynamic information networks,Cuiping Li; Jiawei Han; Guoming He; Xin Jin; Yizhou Sun; Yintao Yu; Tianyi Wu,Abstract Information networks are ubiquitous in many applications and analysis on suchnetworks has attracted significant attention in the academic communities. One of the mostimportant aspects of information network analysis is to measure similarity between nodes ina network. SimRank is a simple and influential measure of this kind; based on a solidtheoretical" random surfer" model. Existing work computes SimRank similarity scores in aniterative mode. We argue that the iterative method can be infeasible and inefficient when; asin many real-world scenarios; the networks change dynamically and frequently. We envisionnon-iterative method to bridge the gap. It allows users not only to update the similarity scoresincrementally; but also to derive similarity scores for an arbitrary subset of nodes. To enablethe non-iterative computation; we propose to rewrite the SimRank equation into a non …,Proceedings of the 13th International Conference on Extending Database Technology,2010,124
itopicmodel: Information network-integrated topic modeling,Yizhou Sun; Jiawei Han; Jing Gao; Yintao Yu,Document networks; ie; networks associated with text information; are becomingincreasingly popular due to the ubiquity of Web documents; blogs; and various kinds ofonline data. In this paper; we propose a novel topic modeling framework for documentnetworks; which builds a unified generative topic model that is able to consider both text andstructure information for documents. A graphical model is proposed to describe thegenerative model. On the top layer of this graphical model; we define a novel multivariateMarkov Random Field for topic distribution random variables for each document; to modelthe dependency relationships among documents over the network structure. On the bottomlayer; we follow the traditional topic model to model the generation of text for eachdocument. A joint distribution function for both the text and structure of the documents is …,2009 Ninth IEEE International Conference on Data Mining,2009,117
SHRINK: a structural clustering algorithm for detecting hierarchical communities in networks,Jianbin Huang; Heli Sun; Jiawei Han; Hongbo Deng; Yizhou Sun; Yaguang Liu,Abstract Community detection is an important task for mining the structure and function ofcomplex networks. Generally; there are several different kinds of nodes in a network whichare cluster nodes densely connected within communities; as well as some special nodeslike hubs bridging multiple communities and outliers marginally connected with acommunity. In addition; it has been shown that there is a hierarchical structure in complexnetworks with communities embedded within other communities. Therefore; a goodalgorithm is desirable to be able to not only detect hierarchical communities; but also identifyhubs and outliers. In this paper; we propose a parameter-free hierarchical network clusteringalgorithm SHRINK by combining the advantages of density-based clustering and modularityoptimization methods. Based on the structural connectivity information; the proposed …,Proceedings of the 19th ACM international conference on Information and knowledge management,2010,109
A Graph-Based Consensus Maximization Approach for Combining Multiple Supervised and Unsupervised Models,Jing Gao; Feng Liang; Wei Fan; Yizhou Sun; Jiawei Han,*,Knowledge and Data Engineering; IEEE Transactions on,2013,100
Graph-based consensus maximization among multiple supervised and unsupervised models,Jing Gao; Feng Liang; Wei Fan; Yizhou Sun; Jiawei Han,Abstract Little work has been done to directly combine the outputs of multiple supervisedand unsupervised models. However; it can increase the accuracy and applicability ofensemble methods. First; we can boost the diversity of classification ensemble byincorporating multiple clustering outputs; each of which provides grouping constraints for thejoint label predictions of a set of related objects. Secondly; ensemble of supervised modelsis limited in applications which have no access to raw data but to the meta-level modeloutputs. In this paper; we aim at calculating a consolidated classification solution for a set ofobjects by maximizing the consensus among both supervised predictions and unsupervisedgrouping constraints. We seek a global optimal label assignment for the target objects;which is different from the result of traditional majority voting and model combination …,Advances in Neural Information Processing Systems (NIPS),2009,100
Relation Strength-Aware Clustering of Heterogeneous Information Networks with Incomplete Attributes,Yizhou Sun; Charu C Aggarwal; Jiawei Han,Abstract With the rapid development of online social media; online shopping sites and cyber-physical systems; heterogeneous information networks have become increasingly popularand content-rich over time. In many cases; such networks contain multiple types of objectsand links; as well as different kinds of attributes. The clustering of these objects can provideuseful insights in many applications. However; the clustering of such networks can bechallenging since (a) the attribute values of objects are often incomplete; which implies thatan object may carry only partial attributes or even no attributes to correctly label itself; and(b) the links of different types may carry different kinds of semantic meanings; and it is adifficult task to determine the nature of their relative importance in helping the clustering for agiven purpose. In this paper; we address these challenges by proposing a model-based …,PVLDB,2012,96
Predicting links in multi-relational and heterogeneous networks,Yang Yang; Nitesh Chawla; Yizhou Sun; Jiawei Hani,Link prediction is an important task in network analysis; benefiting researchers andorganizations in a variety of fields. Many networks in the real world; for example socialnetworks; are heterogeneous; having multiple types of links and complex dependencystructures. Link prediction in such networks must model the influence propagating betweenheterogeneous relationships to achieve better link prediction performance than inhomogeneous networks. In this paper; we introduce Multi-Relational Influence Propagation(MRIP); a novel probabilistic method for heterogeneous networks. We demonstrate thatMRIP is useful for predicting links in sparse networks; which present a significant challengedue to the severe disproportion of the number of potential links to the number of real formedlinks. We also explore some factors that can inform the task of classification yet remain …,2012 IEEE 12th International Conference on Data Mining,2012,89
Integrating community matching and outlier detection for mining evolutionary community outliers,Manish Gupta; Jing Gao; Yizhou Sun; Jiawei Han,Abstract Temporal datasets; in which data evolves continuously; exist in a wide variety ofapplications; and identifying anomalous or outlying objects from temporal datasets is animportant and challenging task. Different from traditional outlier detection; which detectsobjects that have quite different behavior compared with the other objects; temporal outlierdetection tries to identify objects that have different evolutionary behavior compared withother objects. Usually objects form multiple communities; and most of the objects belongingto the same community follow similar patterns of evolution. However; there are some objectswhich evolve in a very different way relative to other community members; and we definesuch objects as evolutionary community outliers. This definition represents a novel type ofoutliers considering both temporal dimension and community patterns. We investigate the …,Proceedings of the 18th ACM SIGKDD international conference on Knowledge discovery and data mining,2012,84
