Spatio-textual similarity joins,Panagiotis Bouros; Shen Ge; Nikos Mamoulis,Abstract Given a collection of objects that carry both spatial and textual information; a spatio-textual similarity join retrieves the pairs of objects that are spatially close and textuallysimilar. As an example; consider a social network with spatially and textually tagged persons(ie; their locations and profiles). A useful task (for friendship recommendation) would be tofind pairs of persons that are spatially close and their profiles have a large overlap (ie; theyhave common interests). Another application is data de-duplication (eg; finding photographswhich are spatially close to each other and high overlap in their descriptive tags). Despitethe importance of this operation; there is very little previous work that studies its efficientevaluation and in fact under a different definition; only the best match for each object isidentified. In this paper; we combine ideas from state-of-the-art spatial distance join and …,Proceedings of the VLDB Endowment,2012,61
Caching dynamic skyline queries,Dimitris Sacharidis; Panagiotis Bouros; Timos Sellis,Abstract Given a query tuple q; the dynamic skyline query retrieves the tuples that are notdynamically dominated by any other in the data set with respect to q. A tuple dynamicallydominates another; wrt q; if it has closer to q's values in all attributes; and has strictly closerto q's value in at least one. The dynamic skyline query can be treated as a standard skylinequery; subject to the transformation of all tuples' values. In this work; we make theobservation that results to past dynamic skyline queries can help reduce the computationcost for future queries. To this end; we propose a caching mechanism for dynamic skylinequeries and devise a cache-aware algorithm. Our extensive experimental evaluationdemonstrates the efficiency of this mechanism compared to standard techniques withoutcaching.,International Conference on Scientific and Statistical Database Management,2008,28
Evaluating reachability queries over path collections,Panagiotis Bouros; Spiros Skiadopoulos; Theodore Dalamagas; Dimitris Sacharidis; Timos Sellis,Abstract Several applications in areas such as biochemistry; GIS; involve storing andquerying large volumes of sequential data stored as path collections. There is a number ofinteresting queries that can be posed on such data. This work focuses on reachabilityqueries: given a path collection and two nodes vs; vt; determine whether a path from vs to vtexists and identify it. To answer these queries; the path-first search paradigm; which treatspaths as first-class citizens; is proposed. To improve the performance of our techniques; twoindexing structures that capture the reachability information of paths are introduced. Further;methods for updating a path collection and its indices are discussed. Finally; an extensiveexperimental evaluation verifies the advantages of our approach.,International Conference on Scientific and Statistical Database Management,2009,25
Dynamic pickup and delivery with transfers,Panagiotis Bouros; Dimitris Sacharidis; Theodore Dalamagas; Timos Sellis,Abstract In the dynamic Pickup and Delivery Problem with Transfers (dPDPT); a set oftransportation requests that arrive at arbitrary times must be assigned to a fleet of vehicles.We use two cost metrics that capture both the company's and the customer's viewpointsregarding the quality of an assignment. In most related problems; the rule of thumb is toapply a two-phase local search algorithm to heuristically determine a good requests-to-vehicles assignment. This work proposes a novel solution based on a graph-basedformulation of the problem that treats each request independently. Briefly; in this conceptualgraph; the goal is to find a shortest path from a node representing the pickup location to thatof the delivery location. However; we show that efficient Bellman-Ford or Dijkstra-likealgorithms cannot be applied. Still; our method is able to find dPDPT solutions …,International Symposium on Spatial and Temporal Databases,2011,22
An empirical evaluation of set similarity join techniques,Willi Mann; Nikolaus Augsten; Panagiotis Bouros,Abstract Set similarity joins compute all pairs of similar sets from two collections of sets. Weconduct extensive experiments on seven state-of-the-art algorithms for set similarity joins.These algorithms adopt a filter-verification approach. Our analysis shows that verificationhas not received enough attention in previous works. In practice; efficient verificationinspects only a small; constant number of set elements and is faster than some of the moresophisticated filter techniques. Although we can identify three winners; we find that mostalgorithms show very similar performance. The key technique is the prefix filter; and AllPairs;the first algorithm adopting this techniques is still a relevant competitor. We repeatexperiments from previous work and discuss diverging results. All our claims are supportedby a detailed analysis of the factors that determine the overall runtime.,Proceedings of the VLDB Endowment,2016,19
Routing directions: keeping it fast and simple,Dimitris Sacharidis; Panagiotis Bouros,Abstract The problem of providing meaningful routing directions over road networks is ofgreat importance. In many real-life cases; the fastest route may not be the ideal choice forproviding directions in written/spoken text; or for an unfamiliar neighborhood; or in cases ofemergency. Rather; it is often more preferable to offer" simple" directions that are easy tomemorize; explain; understand or follow. However; there exist cases where the simplestroute is considerably longer than the fastest. This paper tries to address this issue; by findingnear-simplest routes which are as short as possible and near-fastest routes which are assimple as possible. Particularly; we focus on efficiency; and propose novel algorithms; whichare theoretically and experimentally shown to be significantly faster than existingapproaches.,Proceedings of the 21st ACM SIGSPATIAL International Conference on Advances in Geographic Information Systems,2013,18
Efficient answering of set containment queries for skewed item distributions,Manolis Terrovitis; Panagiotis Bouros; Panos Vassiliadis; Timos Sellis; Nikos Mamoulis,Abstract In this paper we address the problem of efficiently evaluating containment (ie;subset; equality; and superset) queries over set-valued data. We propose a novel indexingscheme; the Ordered Inverted File (OIF) which; differently from the state-of-the-art; indexesset-valued attributes in an ordered fashion. We introduce query processing algorithms thatpractically treat containment queries as range queries over the ordered postings lists of OIFand exploit this ordering to quickly prune unnecessary page accesses. OIF is simple toimplement and our experiments on both real and synthetic data show that it greatlyoutperforms the current state-of-the-art methods for all three classes of containment queries.,Proceedings of the 14th International Conference on Extending Database Technology,2011,14
An effective encoding scheme for spatial RDF data,John Liagouris; Nikos Mamoulis; Panagiotis Bouros; Manolis Terrovitis,Abstract The RDF data model has recently been extended to support representation andquerying of spatial information (ie; locations and geometries); which is associated with RDFentities. Still; there are limited efforts towards extending RDF stores to efficiently supportspatial queries; such as range selections (eg; find entities within a given range) and spatialjoins (eg; find pairs of entities whose locations are close to each other). In this paper; wepropose an extension for RDF stores that supports efficient spatial data management. Ourcontributions include an effective encoding scheme for entities having spatial locations; theintroduction of on-the-fly spatial filters and spatial join algorithms; and several optimizationsthat minimize the overhead of geometry and dictionary accesses. We implemented theproposed techniques as an extension to the opensource RDF-3X engine and we …,Proceedings of the VLDB Endowment,2014,12
Mining user navigation patterns for personalizing topic directories,Theodore Dalamagas; Panagiotis Bouros; Theodore Galanis; Magdalini Eirinaki; Timos Sellis,Abstract Topic directories are popular means of organizing information resources in the web.In this work; we introduce a methodology for personalizing topic directories. The key featureof our methodology is that the personalization is based on the mining of navigation patternsextracted from previous user visits. These patterns; expressed in the form of visitedcategories and retrieved resources; represent the navigation behaviour and interests ofdifferent users or user groups. Our work provides a set of mining tasks for user navigationpatterns and a set of personalization tasks that customize the organization of the topicdirectory according to these patterns for certain user groups.,Proceedings of the 9th annual ACM international workshop on Web information and data management,2007,12
Regionally influential users in location-aware social networks,Panagiotis Bouros; Dimitris Sacharidis; Nikos Bikakis,Abstract The ubiquity of mobile location aware devices and the proliferation of socialnetworks have given rise to Location-Aware Social Networks (LASN); where users formsocial connections and make geo-referenced posts. The goal of this paper is to identifyusers that can influence a large number of important other users; within a given spatialregion. Returning a ranked list of regionally influential LASN users is useful in viralmarketing and in other per-region analytical scenarios. We show that under a generalinfluence propagation model; the problem is# P-hard; while it becomes solvable inpolynomial time in a more restricted model. Under the more restrictive model; we then showthat the problem can be translated to computing a variant of the so-called closenesscentrality of users in the social network; and devise an evaluation method.,Proceedings of the 22nd ACM SIGSPATIAL International Conference on Advances in Geographic Information Systems,2014,11
Efficient point-based trajectory search,Shuyao Qi; Panagiotis Bouros; Dimitris Sacharidis; Nikos Mamoulis,Abstract Trajectory data capture the traveling history of moving objects such as people orvehicles. With the proliferation of GPS and tracking technology; huge volumes of trajectoriesare rapidly generated and collected. Under this; applications such as route recommendationand traveling behavior mining call for efficient trajectory retrieval. In this paper; we first focuson distance-based trajectory search; given a collection of trajectories and a set query points;the goal is to retrieve the top-k trajectories that pass as close as possible to all query points.We advance the state-of-the-art by combining existing approaches to a hybrid method andalso proposing an alternative; more efficient range-based approach. Second; we proposeand study the practical variant of bounded distance-based search; which takes into accountthe temporal characteristics of the searched trajectories. Through an extensive …,International Symposium on Spatial and Temporal Databases,2015,10
Evaluating path queries over frequently updated route collections,Panagiotis Bouros; Dimitris Sacharidis; Theodore Dalamagas; Spiros Skiadopoulos; Timos Sellis,The recent advances in the infrastructure of Geographic Information Systems (GIS); and theproliferation of GPS technology; have resulted in the abundance of geodata in the form ofsequences of points of interest (POIs); waypoints; etc. We refer to sets of such sequences asroute collections. In this work; we consider path queries on frequently updated routecollections: given a route collection and two points ns and nt; a path query returns a path; ie;a sequence of points; that connects ns to n t. We introduce two path query evaluationparadigms that enjoy the benefits of search algorithms (ie; fast index maintenance) whileutilizing transitivity information to terminate the search sooner. Efficient indexing schemesand appropriate updating procedures are introduced. An extensive experimental evaluationverifies the advantages of our methods compared to conventional graph-based search.,IEEE Transactions on Knowledge and Data Engineering,2012,8
Efficient top-k spatial distance joins,Shuyao Qi; Panagiotis Bouros; Nikos Mamoulis,Abstract Consider two sets of spatial objects R and S; where each object is assigned a score(eg; ranking). Given a spatial distance threshold ε and an integer k; the top-k spatial distancejoin (k-SDJ) returns the k pairs of objects; which have the highest combined score (based onan aggregate function γ) among all object pairs in R× S which have spatial distance at mostε. Despite the practical application value of this query; it has not received adequate attentionin the past. In this paper; we fill this gap by proposing methods that utilize both location andscore information from the objects; enabling top-k join computation by accessing a limitednumber of objects. Extensive experiments demonstrate that a technique which accessesblocks of data from R and S ordered by the object scores and then joins them using an aR-tree based module performs best in practice and outperforms alternative solutions by a …,International Symposium on Spatial and Temporal Databases,2013,6
Alternative routing: k-shortest paths with limited overlap,Theodoros Chondrogiannis; Panagiotis Bouros; Johann Gamper; Ulf Leser,Abstract Shortest path computation is a fundamental problem in road networks withapplication in various domains in research and industry. However; returning only theshortest path is often not satisfying; users are also interested in alternative paths which mightbe longer but have other advantages; eg; less frequent traffic congestion. In this paper; weformally introduce the k-Shortest Paths with Limited Overlap (k-SPwLO) problem seeking torecommend k alternative paths which are (a) as short as possible and (b) sufficientlydissimilar based on a user-controlled similarity threshold. We propose two algorithms thatexamine the paths from a source s to a target t in increasing order of their length andprogressively construct the result set. The baseline algorithm BSL builds upon a standardalgorithm for computing k-Shortest Paths; followed by a filter step. The OnePass algorithm …,Proceedings of the 23rd SIGSPATIAL International Conference on Advances in Geographic Information Systems,2015,5
