A reputation-based approach for choosing reliable resources in peer-to-peer networks,Ernesto Damiani; De Capitani di Vimercati; Stefano Paraboschi; Pierangela Samarati; Fabio Violante,Abstract Peer-to-peer (P2P) applications have seen an enormous success; and recentlyintroduced P2P services have reached tens of millions of users. A feature that significantlycontributes to the success of many P2P applications is user anonymity. However; anonymityopens the door to possible misuses and abuses; exploiting the P2P network as a way tospread tampered with resources; including Trojan Horses; viruses; and spam. To addressthis problem we propose a self-regulating system where the P2P network is used toimplement a robust reputation mechanism. Reputation sharing is realized through adistributed polling algorithm by which resource requestors can assess the reliability of aresource offered by a participant before initiating the download. This way; spreading ofmalicious contents will be reduced and eventually blocked. Our approach can be …,Proceedings of the 9th ACM conference on Computer and communications security,2002,874
A fine-grained access control system for XML documents,Ernesto Damiani; Sabrina De Capitani di Vimercati; Stefano Paraboschi; Pierangela Samarati,Abstract Web-based applications greatly increase information availability and ease ofaccess; which is optimal for public information. The distribution and sharing of informationvia the Web that must be accessed in a selective way; such as electronic commercetransactions; require the definition and enforcement of security controls; ensuring thatinformation will be accessible only to authorized entities. Different approaches have beenproposed that address the problem of protecting information in a Web system. However;these approaches typically operate at the file-system level; independently of the data thathave to be protected from unauthorized accesses. Part of this problem is due to thelimitations of HTML; historically used to design Web documents. The extensible markuplanguage (XML); a markup language promoted by the World Wide Web Consortium (W3C …,ACM Transactions on Information and System Security (TISSEC),2002,716
Choosing reputable servents in a P2P network,Fabrizio Cornelli; Ernesto Damiani; Sabrina De Capitani Di Vimercati; Stefano Paraboschi; Pierangela Samarati,Abstract Peer-to-peer information sharing environments are increasingly gainingacceptance on the Internet as they provide an infrastructure in which the desired informationcan be located and downloaded while preserving the anonymity of both requestors andproviders. As recent experience with P2P environments such as Gnutella shows; anonymityopens the door to possible misuses and abuses by resource providers exploiting thenetwork as a way to spread tampered with resources; including malicious programs; such asTrojan Horses and viruses. In this paper we propose an approach to P2P security whereservents can keep track; and share with others; information about the reputation of theirpeers. Reputation sharing is based on a distributed polling algorithm by which resourcerequestors can assess the reliability of perspective providers before initiating the …,Proceedings of the 11th international conference on World Wide Web,2002,629
Materialized Views Selection in a Multidimensional Database.,Elena Baralis; Stefano Paraboschi; Ernest Teniente,Abstract A multidimensional database is a data repository that supports the efficientexecution of complex business decision queries. Query response can be significantlyimproved by storing an appropriate set of materialized views. These views are selected fromthe multidimensional lattice whose elements represent the solution space of the problem.,VLDB,1997,494
Over-encryption: management of access control evolution on outsourced data,Sabrina De Capitani Di Vimercati; Sara Foresti; Sushil Jajodia; Stefano Paraboschi; Pierangela Samarati,Abstract Data outsourcing is emerging today as a successful paradigm allowing users andorganizations to exploit external services for the distribution of resources. A crucial problemto be addressed in this context concerns the enforcement of selective authorization policiesand the support of policy updates in dynamic scenarios. In this paper; we present a novelsolution to the enforcement of access control and the management of its evolution. Ourproposal is based on the application of selective encryption as a means to enforceauthorizations. Two layers of encryption are imposed on data: the inner layer is imposed bythe owner for providing initial protection; the outer layer is imposed by the server to reflectpolicy modifications. The combination of the two layers provides an efficient and robustsolution. The paper presents a model; an algorithm for the management of the two layers …,Proceedings of the 33rd international conference on Very large data bases,2007,450
Balancing confidentiality and efficiency in untrusted relational DBMSs,Ernesto Damiani; SDCD Vimercati; Sushil Jajodia; Stefano Paraboschi; Pierangela Samarati,Abstract The scope and character of today's computing environments are progressivelyshifting from traditional; one-on-one client-server interaction to the new cooperativeparadigm. It then becomes of primary importance to provide means of protecting the secrecyof the information; while guaranteeing its availability to legitimate clients. Operating on-linequerying services securely on open networks is very difficult; therefore many enterprisesoutsource their data center operations to external application service providers. A promisingdirection towards prevention of unauthorized access to outsourced data is represented byencryption. However; data encryption is often supported for the sole purpose of protectingthe data in storage and assumes trust in the server; that decrypts data for query execution. Inthis paper; we present a simple yet robust single-server solution for remote querying of …,Proceedings of the 10th ACM conference on Computer and communications security,2003,425
XML-GL: a graphical language for querying and restructuring XML documents1,Stefano Ceri; Sara Comai; Ernesto Damiani; Piero Fraternali; Stefano Paraboschi; Letizia Tanca,Abstract The growing acceptance of XML as a standard for semi-structured documents onthe Web opens up challenging opportunities for Web query languages. In this paper weintroduce XML-GL; a graphical query language for XML documents. The use of a visualformalism for representing both the content of XML documents (and of their DTDs) and thesyntax and semantics of queries enables an intuitive expression of queries; even when theyare rather complex. XML-GL is inspired by G-log; a general purpose; logic-based languagefor querying structured and semi-structured data. The paper presents the basic capabilitiesof XML-GL through a sequence of examples of increasing complexity.,Computer networks,1999,407
Specification and implementation of exceptions in workflow management systems,Fabio Casati; Stefano Ceri; Stefano Paraboschi; Guiseppe Pozzi,Abstract Although workflow management systems are most applicable when an organizationfollows standard business processes and routines; any of these processes faces the needfor handling exceptions; ie; asynchronous and anomalous situations that fall outside thenormal control flow. In this paper we concentrate upon anomalous situtations that; althoughunusual; are part of the semantics of workflow applications; and should be specified andmonitored coherently; in most real-life applications; such exceptions affect a significantfraction of workflow cases. However; very few workflow management systems are integratedwith a highly expressive language for specifying this kind of exception and with a systemcomponent capable of handling it. We present Chimera-Exc; a language for the specificationof exceptions for workflows based on detached active rules; and then describe the …,ACM Transactions on Database Systems (TODS),1999,342
Securing XML documents,Ernesto Damiani; Sabrina De Capitani di Vimercati; Stefano Paraboschi; Pierangela Samarati,Abstract Web-based applications greatly increase information availability and ease ofaccess; which is optimal for public information. The distribution and sharing by the Web ofinformation that must be accessed in a selective way requires the definition and enforcementof security controls; ensuring that information will be accessible only to authorized entities.Approaches proposed to this end level; independently from the semantics of the data to beprotected and for this reason result limited. The eXtensible Markup Language (XML); amarkup language promoted by the World Wide Web Consortium (W3C); represents animportant opportunity to solve this problem. We present an access control model to protectinformation distributed on the Web that; by exploiting XML's own capabilities; allows thedefinition and enforcement of access restrictions directly on the structure and content of …,International Conference on Extending Database Technology,2000,331
Managing and sharing servants' reputations in P2P systems,Ernesto Damiani; S De Capitani Di Vimercati; Stefano Paraboschi; Pierangela Samarati,Peer-to-peer information sharing environments are increasingly gaining acceptance on theInternet as they provide an infrastructure in which the desired information can be locatedand downloaded while preserving the anonymity of both requestors and providers. As recentexperience with P2P environments such as Gnutella shows; anonymity opens the door topossible misuses and abuses by resource providers exploiting the network as a way tospread tampered-with resources; including malicious programs; such as Trojan Horses andviruses. We propose an approach to P2P security where servants can keep track; and sharewith others; information about the reputation of their peers. Reputation sharing is based on adistributed polling algorithm by which resource requestors can assess the reliability ofperspective providers before initiating the download. The approach complements existing …,IEEE Transactions on Knowledge and Data Engineering,2003,269
Designing data marts for data warehouses,Angela Bonifati; Fabiano Cattaneo; Stefano Ceri; Alfonso Fuggetta; Stefano Paraboschi,Abstract Data warehouses are databases devoted to analytical processing. They are used tosupport decision-making activities in most modern business settings; when complex datasets have to be studied and analyzed. The technology for analytical processing assumesthat data are presented in the form of simple data marts; consisting of a well-identifiedcollection of facts and data analysis dimensions (star schema). Despite the wide diffusion ofdata warehouse technology and concepts; we still miss methods that help and guide thedesigner in identifying and extracting such data marts out of an enterprisewide informationsystem; covering the upstream; requirement-driven stages of the design process. Manyexisting methods and tools support the activities related to the efficient implementation ofdata marts on top of specialized technology (such as the ROLAP or MOLAP data servers) …,ACM transactions on software engineering and methodology,2001,268
