Indexing and querying XML data for regular path expressions,Quanzhong Li; Bongki Moon,Abstract With the advent of XML as a standard for data representation and exchange on theInternet; storing and querying XML data becomes more and more important. Several XMLquery languages have been proposed; and the common feature of the languages is the useof regular path expressions to query XML data. This poses a new challenge concerningindexing and searching XML data; because conventional approaches based on treetraversals may not meet the processing requirements under heavy access requests. In thispaper; we propose a new system for indexing and storing XML data based on a numberingscheme for elements. This numbering scheme quickly determines the ancestor-descendantrelationship between elements in the hierarchy of XML data. We also propose severalalgorithms for processing regular path expressions; namely;(1)-Join for searching paths …,VLDB,2001,1282
Analysis of the clustering properties of the Hilbert space-filling curve,Bongki Moon; Hosagrahar V Jagadish; Christos Faloutsos; Joel H.  Saltz,Several schemes for the linear mapping of a multidimensional space have been proposedfor various applications; such as access methods for spatio-temporal databases and imagecompression. In these applications; one of the most desired properties from such linearmappings is clustering; which means the locality between objects in the multidimensionalspace being preserved in the linear space. It is widely believed that the Hilbert space-fillingcurve achieves the best clustering (Abel and Mark; 1990; Jagadish; 1990). We analyze theclustering property of the Hilbert space-filling curve by deriving closed-form formulas for thenumber of clusters in a given query region of an arbitrary shape (eg; polygons andpolyhedra). Both the asymptotic solution for the general case and the exact solution for aspecial case generalize previous work. They agree with the empirical results that the …,IEEE Transactions on knowledge and data engineering,2001,711
Parallel data processing with MapReduce: a survey,Kyong-Ha Lee; Yoon-Joon Lee; Hyunsik Choi; Yon Dohn Chung; Bongki Moon,Abstract A prominent parallel data processing tool MapReduce is gaining significantmomentum from both industry and academia as the volume of data to analyze grows rapidly.While MapReduce is used in many areas where massive data analysis is required; there arestill debates on its performance; efficiency per node; and simple abstraction. This surveyintends to assist the database and open source communities in understanding varioustechnical aspects of the MapReduce framework. In this survey; we characterize theMapReduce framework and discuss its inherent pros and cons. We then introduce itsoptimization strategies reported in the recent literature. We also discuss the open issues andchallenges raised on parallel data analysis with MapReduce.,AcM sIGMoD Record,2012,546
Design of flash-based DBMS: an in-page logging approach,Sang-Won Lee; Bongki Moon,Abstract The popularity of high-density flash memory as data storage media has increasedsteadily for a wide spectrum of computing devices such as PDA's; MP3 players; mobilephones and digital cameras. More recently; computer manufacturers started launching newlines of mobile or portable computers that did away with magnetic disk drives altogether;replacing them with tens of gigabytes of NAND flash memory. Like EEPROM and magneticdisk drives; flash memory is non-volatile and retains its contents even when the power isturned off. As its capacity increases and price drops; flash memory will compete moresuccessfully with lower-end; lower-capacity disk drives. It is thus not inconceivable toconsider running a full database system on the flash-only computing platforms or running anembedded database system on the lightweight computing devices. In this paper; we …,Proceedings of the 2007 ACM SIGMOD international conference on Management of data,2007,427
A case for flash memory ssd in enterprise database applications,Sang-Won Lee; Bongki Moon; Chanik Park; Jae-Myung Kim; Sang-Woo Kim,Abstract Due to its superiority such as low access latency; low energy consumption; lightweight; and shock resistance; the success of flash memory as a storage alternative formobile computing devices has been steadily expanded into personal computer andenterprise server markets with ever increasing capacity of its storage. However; since flashmemory exhibits poor performance for small-to-moderate sized writes requested in arandom order; existing database systems may not be able to take full advantage of flashmemory without elaborate flash-aware data structures and algorithms. The objective of thiswork is to understand the applicability and potential impact that flash memory SSD (SolidState Drive) has for certain type of storage spaces of a database server where sequentialwrites and random reads are prevalent. We show empirically that up to more than an …,Proceedings of the 2008 ACM SIGMOD international conference on Management of data,2008,354
PRIX: Indexing and querying XML using prufer sequences,Praveen Rao; Bongki Moon,We propose a new way of indexing XML documents and processing twig patterns in an XMLdatabase. Every XML document in the database can be transformed into a sequence oflabels by Prufer's method that constructs a one-to-one correspondence between trees andsequences. During query processing; a twig pattern is also transformed into its Prufersequence. By performing subsequence matching on the set of sequences in the database;and performing a series of refinement phases that we have developed; we can find all theoccurrences of a twig pattern in the database. Our approach allows holistic processing of atwig pattern without breaking the twig into root-to-leaf paths and processing these pathsindividually. Furthermore; we show that all correct answers are found without any falsedismissals or false alarms. Experimental results demonstrate the performance benefits of …,Data Engineering; 2004. Proceedings. 20th International Conference on,2004,317
Adaptive multi-stage distance join processing,Hyoseop Shin; Bongki Moon; Sukho Lee,Abstract A spatial distance join is a relatively new type of operation introduced for spatialand multimedia database applications. Additional requirements for ranking and stoppingcardinality are often combined with the spatial distance join in on-line query processing orinternet search environments. These requirements pose new challenges as well asopportunities for more efficient processing of spatial distance join queries. In this paper; wefirst present an efficient k-distance join algorithm that uses spatial indexes such as R-trees.Bi-directional node expansion and plane-sweeping techniques are used for fast pruning ofdistant pairs; and the plane-sweeping is further optimized by novel strategies for selecting asweeping axis and direction. Furthermore; we propose adaptive multi-stage algorithms for k-distance join and incremental distance join operations. Our performance study shows that …,ACM SIGMOD Record,2000,187
The virtual microscope.,Renato Ferreira; Bongki Moon; Jim Humphries; Alan Sussman; Joel Saltz; Robert Miller; Angelo Demarzo,Abstract We present the design of the Virtual Microscope; a software system employing aclient/server architecture to provide a realistic emulation of a high power light microscope.We discuss several technical challenges related to providing the performance necessary toachieve rapid response time; mainly in dealing with the enormous amounts of data (tens tohundreds of gigabytes per slide) that must be retrieved from secondary storage andprocessed. To effectively implement the data server; the system design relies on thecomputational power and high I/O throughput available from an appropriately configuredparallel computer.,Proceedings of the AMIA Annual Fall Symposium,1997,175
Spatiotemporal aggregate computation: A survey,IF Vega Lopez; Richard T Snodgrass; Bongki Moon,Spatiotemporal databases are becoming increasingly more common. Typically; applicationsmodeling spatiotemporal objects need to process vast amounts of data. In such cases;generating aggregate information from the data set is more useful than individuallyanalyzing every entry. In this paper; we study the most relevant techniques for the evaluationof aggregate queries on spatial; temporal; and spatiotemporal data. We also present amodel that reduces the evaluation of aggregate queries to the problem of selectingqualifying tuples and the grouping of these tuples into collections on which an aggregatefunction is to be applied. This model gives us a framework that allows us to analyze andcompare the different existing techniques for the evaluation of aggregate queries. At thesame time; it allows us to identify opportunities for research on types of aggregate queries …,IEEE Transactions on Knowledge and Data Engineering,2005,170
Titan: a high-performance remote-sensing database,Chialin Chang; Bongki Moon; Anurag Acharya; Carter Shock; Alan Sussman; Joel Saltz,There are two major challenges for a high performance remote sensing database. First; itmust provide low latency retrieval of very large volumes of spatio temporal data. Thisrequires effective declustering and placement of a multidimensional dataset onto a largedisk farm. Second; the order of magnitude reduction in data size due to post processingmakes it imperative; from a performance perspective; that the post processing be done onthe machine that holds the data. This requires careful coordination of computation and dataretrieval. The paper describes the design; implementation and evaluation of Titan; a parallelshared nothing database designed for handling remote sensing data. The computationalplatform for Titan is a 16 processor IBM SP-2 with four fast disks attached to each processor.Titan is currently operational and contains about 24 GB of AVHRR data from the NOAA-7 …,Data Engineering; 1997. Proceedings. 13th International Conference on,1997,170
