Querying distributed RDF data sources with SPARQL,Bastian Quilitz; Ulf Leser,Abstract Integrated access to multiple distributed and autonomous RDF data sources is akey challenge for many semantic web applications. As a reaction to this challenge; SPARQL;the W3C Recommendation for an RDF query language; supports querying of multiple RDFgraphs. However; the current standard does not provide transparent query federation; whichmakes query formulation hard and lengthy. Furthermore; current implementations ofSPARQL load all RDF graphs mentioned in a query to the local machine. This usually incursa large overhead in network traffic; and sometimes is simply impossible for technical or legalreasons. To overcome these problems we present DARQ; an engine for federated SPARQLqueries. DARQ provides transparent query access to multiple SPARQL services; ie; it givesthe user the impression to query one single RDF graph despite the real data being …,European Semantic Web Conference,2008,482
The stratosphere platform for big data analytics,Alexander Alexandrov; Rico Bergmann; Stephan Ewen; Johann-Christoph Freytag; Fabian Hueske; Arvid Heise; Odej Kao; Marcus Leich; Ulf Leser; Volker Markl; Felix Naumann; Mathias Peters; Astrid Rheinländer; Matthias J Sax; Sebastian Schelter; Mareike Höger; Kostas Tzoumas; Daniel Warneke,Abstract We present Stratosphere; an open-source software stack for parallel data analysis.Stratosphere brings together a unique set of features that allow the expressive; easy; andefficient programming of analytical applications at very large scale. Stratosphere's featuresinclude “in situ” data processing; a declarative query language; treatment of user-definedfunctions as first-class citizens; automatic program parallelization and optimization; supportfor iterative programs; and a scalable and efficient execution engine. Stratosphere covers avariety of “Big Data” use cases; such as data warehousing; information extraction andintegration; data cleansing; graph analysis; and statistical analysis applications. In thispaper; we present the overall system architecture design decisions; introduce Stratospherethrough example queries; and then dive into the internal workings of the system's …,The VLDB Journal,2014,302
Quality-driven integration of heterogeneous information systems,Felix Naumann; Ulf Leser; Johann Christoph Freytag,*,*,1999,301
Fast and practical indexing and querying of very large graphs,Silke Trißl; Ulf Leser,Abstract Many applications work with graph-structured data. As graphs grow in size;indexing becomes essential to ensure sufficient query performance. We present the GRIPPindex structure (GRaph Indexing based on Pre-and Postorder numbering) for answeringreachability queries in graphs. GRIPP requires only linear time and space. Using GRIPP; wecan answer reachability queries on graphs with 5 million nodes on average in less than 5milliseconds; which is unrivaled by previous methods. We evaluate the performance andscalability of our approach on real and synthetic random and scale-free graphs andcompare our approach to existing indexing schemes. GRIPP is implemented as storedprocedure inside a relational database management system and can therefore very easilybe integrated into existing graph-oriented applications.,Proceedings of the 2007 ACM SIGMOD international conference on Management of data,2007,242
Federated information systems: Concepts; terminology and architectures,Susanne Busse; Ralf-Detlef Kutsche; Ulf Leser; Herbert Weber,Abstract We are currently witnessing the emerging of a new generation of software systems:Federated information systems. Their main characteristic is that they are constructed as anintegrating layer over existing legacy applications and databases. They can be broadlyclassified in three dimensions: the degree of autonomy they allow in integrated components;the degree of heterogeneity between components they can cope with; and whether or notthey support distribution. Whereas the communication and interoperation problem has comeinto a stage of applicable solutions over the past decade; semantic data integration has notbecome similarly clear. This report clarifies definitions and terms in the research area ofintegration of heterogeneous and distributed information systems. It gives classificationcriteria for such systems and particularly defines mediator-based information systems as …,Forschungsberichte des Fachbereichs Informatik,1999,216
Completeness of integrated information sources,Felix Naumann; Johann-Christoph Freytag; Ulf Leser,Abstract For many information domains there are numerous World Wide Web data sources.The sources vary both in their extension and their intension: They represent different real-world entities with possible overlap and provide different attributes of these entities. Mediator-based information systems allow integrated access to such sources by providing a commonschema against which the user can pose queries. Given a query; the mediator mustdetermine which participating sources to access and how to integrate the incoming results.This article describes how to support mediators in their source selection and query planningprocess. We propose three new merge operators; which formalize the integration of multiplesource responses. A completeness model describes the usefulness of a source to answer aquery. The completeness measure incorporates both extensional value (called coverage) …,Information Systems,2004,165
AliBaba: PubMed as a graph,Conrad Plake; Torsten Schiemann; Marcus Pankalla; Jörg Hakenberg; Ulf Leser,Abstract The biomedical literature contains a wealth of information on associations betweenmany different types of objects; such as protein–protein interactions; gene–diseaseassociations and subcellular locations of proteins. When searching such information usingconventional search engines; eg PubMed; users see the data only one-abstract at a timeand 'hidden'in natural language text. AliBaba is an interactive tool for graphicalsummarization of search results. It parses the set of abstracts that fit a PubMed query andpresents extracted information on biomedical objects and their relationships as a graphicalnetwork. AliBaba extracts associations between cells; diseases; drugs; proteins; species andtissues. Several filter options allow for a more focused search. Thus; researchers can graspcomplex networks described in various articles at a glance. Availability: Contact …,Bioinformatics,2006,163
Informationsintegration: Architekturen und Methoden zur Integration verteilter und heterogener Datenquellen,Ulf Leser; Felix Naumann,*,*,2006,157
What makes a gene name? Named entity recognition in the biomedical literature,Ulf Leser; Jörg Hakenberg,Abstract The recognition of biomedical concepts in natural text (named entity recognition;NER) is a key technology for automatic or semi-automatic analysis of textual resources.Precise NER tools are a prerequisite for many applications working on text; such asinformation retrieval; information extraction or document classification. Over the past years;the problem has achieved considerable attention in the bioinformatics community andexperience has shown that NER in the life sciences is a rather difficult problem. Severalsystems and algorithms have been devised and implemented. In this paper; the problemsand resources in NER research are described; the principal algorithms underlying mostsystems sketched; and the current state-of-the-art in the field surveyed.,Briefings in bioinformatics,2005,151
A comprehensive benchmark of kernel methods to extract protein–protein interactions from literature,Domonkos Tikk; Philippe Thomas; Peter Palaga; Jörg Hakenberg; Ulf Leser,The most important way of conveying new findings in biomedical research is scientificpublication. Extraction of protein–protein interactions (PPIs) reported in scientificpublications is one of the core topics of text mining in the life sciences. Recently; a new classof such methods has been proposed-convolution kernels that identify PPIs using deepparses of sentences. However; comparing published results of different PPI extractionmethods is impossible due to the use of different evaluation corpora; different evaluationmetrics; different tuning procedures; etc. In this paper; we study whether the reportedperformance metrics are robust across different corpora and learning settings and whetherthe use of deep parsing actually leads to an increase in extraction quality. Our ultimate goalis to identify the one method that performs best in real-life scenarios; where information …,PLoS computational biology,2010,145
ChemSpot: a hybrid system for chemical named entity recognition,Tim Rocktäschel; Michael Weidlich; Ulf Leser,Abstract Motivation: The accurate identification of chemicals in text is important for manyapplications; including computer-assisted reconstruction of metabolic networks or retrieval ofinformation about substances in drug development. But due to the diversity of namingconventions and traditions for such molecules; this task is highly complex and should besupported by computational tools. Results: We present ChemSpot; a named entityrecognition (NER) tool for identifying mentions of chemicals in natural language texts;including trivial names; drugs; abbreviations; molecular formulas and International Union ofPure and Applied Chemistry entities. Since the different classes of relevant entities haverather different naming characteristics; ChemSpot uses a hybrid approach combining aConditional Random Field with a dictionary. It achieves an F 1 measure of 68.1% on the …,Bioinformatics,2012,143
A flexible framework for integrating annotations from different tools and tagsets,Christian Chiarcos; Stefanie Dipper; Michael Götze; Ulf Leser; Anke Lüdeling; Julia Ritz; Manfred Stede,ABSTRACT. We present a general framework for integrating annotations from different toolsand tag sets. When annotating corpora at multiple linguistic levels; annotators may usedifferent expert tools for different phenomena or types of annotation. These tools employdifferent data models and accompanying approaches to visualization; and they producedifferent output formats. For the purposes of uniformly processing these outputs; wedeveloped a pivot format called PAULA; along with converters to and from tool formats.Different annotations are not only integrated at the level of data format; but are also joinedon the level of conceptual representation. For this purpose; we introduce OLiA; an ontologyof linguistic annotations that mediates between alternative tag sets that cover the same classof linguistic phenomena. All components are integrated in the linguistic information …,Traitement Automatique des Langues,2008,100
A query language for biological networks,Ulf Leser,Abstract Motivation: Many areas of modern biology are concerned with the management;storage; visualization; comparison and analysis of networks; but no appropriate querylanguage for such complex data structures yet exists. Results: We have designed andimplemented the pathway query language (PQL) for querying large protein interaction orpathway databases. PQL is based on a simple graph data model with extensions reflectingproperties of biological objects. Queries match subgraphs in the database based on nodeproperties and paths between nodes. The syntax is easy to learn for anybody familiar withSQL. As an important feature; a query may require a certain structure in the database to existbut return a different subgraph. We have tested PQL queries on networks of up to 16 000nodes and found it to scale very well. Availability: The code is available on request from …,Bioinformatics,2005,97
A hierarchical approach to model web query interfaces for web source integration,Eduard C Dragut; Thomas Kabisch; Clement Yu; Ulf Leser,Abstract Much data in the Web is hidden behind Web query interfaces. In most cases theonly means to" surface" the content of a Web database is by formulating complex queries onsuch interfaces. Applications such as Deep Web crawling and Web database integrationrequire an automatic usage of these interfaces. Therefore; an important problem to beaddressed is the automatic extraction of query interfaces into an appropriate model. Wehypothesize the existence of a set of domain-independent" commonsense design rules" thatguides the creation of Web query interfaces. These rules transform query interfaces intoschema trees. In this paper we describe a Web query interface extraction algorithm; whichcombines HTML tokens and the geometric layout of these tokens within a Web page. Tokensare classified into several classes out of which the most significant ones are text tokens …,Proceedings of the VLDB Endowment,2009,88
Gene mention normalization and interaction extraction with context models and sentence motifs,Jörg Hakenberg; Conrad Plake; Loic Royer; Hendrik Strobelt; Ulf Leser; Michael Schroeder,The goal of text mining is to make the information conveyed in scientific publicationsaccessible to structured search and automatic analysis. Two important subtasks of textmining are entity mention normalization-to identify biomedical objects in text-and extractionof qualified relationships between those objects. We describe a method for identifying genesand relationships between proteins. We present solutions to gene mention normalizationand extraction of protein-protein interactions. For the first task; we identify genes by usingbackground knowledge on each gene; namely annotations related to function; location;disease; and so on. Our approach currently achieves an f-measure of 86.4% on theBioCreative II gene normalization data. For the extraction of protein-protein interactions; wepursue an approach that builds on classical sequence analysis: motifs derived from …,Genome biology,2008,82
BioCreative III interactive task: an overview,Cecilia N Arighi; Phoebe M Roberts; Shashank Agarwal; Sanmitra Bhattacharya; Gianni Cesareni; Andrew Chatr-Aryamontri; Simon Clematide; Pascale Gaudet; Michelle Gwinn Giglio; Ian Harrow; Eva Huala; Martin Krallinger; Ulf Leser; Donghui Li; Feifan Liu; Zhiyong Lu; Lois J Maltais; Naoaki Okazaki; Livia Perfetto; Fabio Rinaldi; Rune Sætre; David Salgado; Padmini Srinivasan; Philippe E Thomas; Luca Toldo; Lynette Hirschman; Cathy H Wu,The BioCreative challenge evaluation is a community-wide effort for evaluating text miningand information extraction systems applied to the biological domain. The biocuratorcommunity; as an active user of biomedical literature; provides a diverse and engaged enduser group for text mining tools. Earlier BioCreative challenges involved many text miningteams in developing basic capabilities relevant to biological curation; but they did notaddress the issues of system usage; insertion into the workflow and adoption by curators.Thus in BioCreative III (BC-III); the InterActive Task (IAT) was introduced to address the utilityand usability of text mining tools for real-life biocuration tasks. To support the aims of the IATin BC-III; involvement of both developers and end users was solicited; and the developmentof a user interface to address the tasks interactively was requested. A User Advisory …,BMC bioinformatics,2011,71
GeneView: a comprehensive semantic search engine for PubMed,Philippe Thomas; Johannes Starlinger; Alexander Vowinkel; Sebastian Arzt; Ulf Leser,Abstract Research results are primarily published in scientific literature and curation effortscannot keep up with the rapid growth of published literature. The plethora of knowledgeremains hidden in large text repositories like MEDLINE. Consequently; life scientists have tospend a great amount of time searching for specific information. The enormous ambiguityamong most names of biomedical objects such as genes; chemicals and diseases oftenproduces too large and unspecific search results. We present GeneView; a semantic searchengine for biomedical knowledge. GeneView is built upon a comprehensively annotatedversion of PubMed abstracts and openly available PubMed Central full texts. This semi-structured representation of biomedical texts enables a number of features extendingclassical search engines. For instance; users may search for entities using unique …,Nucleic acids research,2012,64
Columba: an integrated database of proteins; structures; and annotations,Silke Trissl; Kristian Rother; Heiko Müller; Thomas Steinke; Ina Koch; Robert Preissner; Cornelius Frömmel; Ulf Leser,Structural and functional research often requires the computation of sets of protein structuresbased on certain properties of the proteins; such as sequence features; fold classification; orfunctional annotation. Compiling such sets using current web resources is tedious becausethe necessary data are spread over many different databases. To facilitate this task; we havecreated COLUMBA; an integrated database of annotations of protein structures. COLUMBAcurrently integrates twelve different databases; including PDB; KEGG; Swiss-Prot; CATH;SCOP; the Gene Ontology; and ENZYME. The database can be searched using eitherkeyword search or data source-specific web forms. Users can thus quickly select anddownload PDB entries that; for instance; participate in a particular pathway; are classified ascontaining a certain CATH architecture; are annotated as having a certain molecular …,BMC bioinformatics,2005,62
