High-performance complex event processing over streams,Eugene Wu; Yanlei Diao; Shariq Rizvi,Abstract In this paper; we present the design; implementation; and evaluation of a systemthat executes complex event queries over real-time streams of RFID readings encoded asevents. These complex event queries filter and correlate events to match specific patterns;and transform the relevant events into new composite events for the use of externalmonitoring applications. Stream-based execution of these queries enables time-criticalactions to be taken in environments such as supply chain management; surveillance andfacility management; healthcare; etc. We first propose a complex event language thatsignificantly extends existing event languages to meet the needs of a range of RFID-enabledmonitoring applications. We then describe a query plan-based approach to efficientlyimplementing this language. Our approach uses native operators to efficiently handle …,Proceedings of the 2006 ACM SIGMOD international conference on Management of data,2006,920
Fast and memory-efficient regular expression matching for deep packet inspection,Fang Yu; Zhifeng Chen; Yanlei Diao; TV Lakshman; Randy H Katz,Packet content scanning at high speed has become extremely important due to itsapplications in network security; network monitoring; HTTP load balancing; etc. In contentscanning; the packet payload is compared against a set of patterns specified as regularexpressions. In this paper; we first show that memory requirements using traditional methodsare prohibitively high for many patterns used in packet scanning applications. We thenpropose regular expression rewrite techniques that can effectively reduce memory usage.Further; we develop a grouping scheme that can strategically compile a set of regularexpressions into several engines; resulting in remarkable improvement of regularexpression matching speed without much increase in memory usage. We implement a newDFA-based packet scanner using the above techniques. Our experimental results using …,Architecture for Networking and Communications systems; 2006. ANCS 2006. ACM/IEEE Symposium on,2006,560
Path sharing and predicate evaluation for high-performance XML filtering,Yanlei Diao; Mehmet Altinel; Michael J Franklin; Hao Zhang; Peter Fischer,Abstract XML filtering systems aim to provide fast; on-the-fly matching of XML-encoded datato large numbers of query specifications containing constraints on both structure andcontent. It is now well accepted that approaches using event-based parsing and Finite StateMachines (FSMs) can provide the basis for highly scalable structure-oriented XML filteringsystems. The XFilter system [Altinel and Franklin 2000] was the first published FSM-basedXML filtering approach. XFilter used a separate FSM per path query and a novel indexingmechanism to allow all of the FSMs to be executed simultaneously during the processing ofa document. Building on the insights of the XFilter work; we describe a new method; called"YFilter" that combines all of the path queries into a single Nondeterministic Finite Automaton(NFA). YFilter exploits commonality among queries by merging common prefixes of the …,ACM Transactions on Database Systems (TODS),2003,517
Efficient pattern matching over event streams,Jagrati Agrawal; Yanlei Diao; Daniel Gyllstrom; Neil Immerman,Abstract Pattern matching over event streams is increasingly being employed in many areasincluding financial services; RFIDbased inventory management; click stream analysis; andelectronic health systems. While regular expression matching is well studied; patternmatching over streams presents two new challenges: Languages for pattern matching overstreams are significantly richer than languages for regular expression matching.Furthermore; efficient evaluation of these pattern queries over streams requires newalgorithms and optimizations: the conventional wisdom for stream query processing (ie;using selection-join-aggregation) is inadequate. In this paper; we present a formalevaluation model that offers precise semantics for this new class of queries and a queryevaluation framework permitting optimizations in a principled way. We further analyze the …,Proceedings of the 2008 ACM SIGMOD international conference on Management of data,2008,406
Yfilter: Efficient and scalable filtering of XML documents,Yanlei Diao; Peter Fischer; Michael J Franklin; Raymond To,Much of the data exchanged over the Internet will soon be encoded in XML; allowing forsophisticated filtering and content-based routing. We have built a filtering engine calledYFilter; which filters streaming XML documents according to XQuery or XPath queries thatinvolve both path expressions and predicates. Unlike previous work; YFilter uses a novelNFA-based execution model. We present the structures and algorithms underlying YFilter;and show its efficiency and scalability under various workloads.,Data Engineering; 2002. Proceedings. 18th International Conference on,2002,363
Towards an internet-scale XML dissemination service,Yanlei Diao; Shariq Rizvi; Michael J Franklin,Abstract Publish/subscribe systems have demonstrated the ability to scale to large numbersof users and high data rates when providing content-based data dissemination services onthe Internet. However; their services are limited by the data semantics and queryexpressiveness that they support. On the other hand; the recent work on selectivedissemination of XML data has made significant progress in moving from XML filtering to thericher functionality of transformation for result customization; but in general has ignored thechallenges of deploying such XML-based services on an Internet-scale. In this paper; weaddress these challenges in the context of incorporating the rich functionality of XML datadissemination in a highly scalable system. We present the architectural design of ONYX; asystem based on an overlay network. We identify the salient technical challenges in …,Proceedings of the Thirtieth international conference on Very large data bases-Volume 30,2004,227
SASE: Complex event processing over streams,Daniel Gyllstrom; Eugene Wu; Hee-Jin Chae; Yanlei Diao; Patrick Stahlberg; Gordon Anderson,Abstract: RFID technology is gaining adoption on an increasing scale for tracking andmonitoring purposes. Wide deployments of RFID devices will soon generate anunprecedented volume of data. Emerging applications require the RFID data to be filteredand correlated for complex pattern detection and transformed to events that providemeaningful; actionable information to end applications. In this work; we design and developSASE; a com-plex event processing system that performs such data-informationtransformation over real-time streams. We design a complex event language for specifyingapplication logic for such transformation; devise new query processing techniques to effi-ciently implement the language; and develop a comprehensive system that collects; cleans;and processes RFID data for deliv-ery of relevant; timely information as well as storing …,arXiv preprint cs/0612128,2006,218
Rethinking Data Management for Storage-centric Sensor Networks.,Yanlei Diao; Deepak Ganesan; Gaurav Mathur; Prashant J Shenoy,ABSTRACT Data management in wireless sensor networks has been an area of significantresearch in recent years. Many existing sensor data management systems view sensor dataas a continuous stream that is sensed; filtered; processed; and aggregated as it “flows” fromsensors to users. We argue that technology trends in flash memories and embeddedplatforms call for re-thinking this architecture. We articulate a vision of a storage-centricsensor network where sensor nodes will be equipped with high-capacity and energy-efficient local flash storage. We argue that the data management infrastructure will needsubstantial redesign to fully exploit the presence of local storage and processing capabilityin order to reduce expensive communication. We then describe how StonesDB enables thisvision through a number of innovative features including energyefficient use of flash …,CIDR,2007,181
A platform for scalable one-pass analytics using MapReduce,Boduo Li; Edward Mazur; Yanlei Diao; Andrew McGregor; Prashant Shenoy,Abstract Today's one-pass analytics applications tend to be data-intensive in nature andrequire the ability to process high volumes of data efficiently. MapReduce is a popularprogramming model for processing large datasets using a cluster of machines. However; thetraditional MapReduce model is not well-suited for one-pass analytics; since it is gearedtowards batch processing and requires the data set to be fully loaded into the cluster beforerunning analytical queries. This paper examines; from a systems standpoint; whatarchitectural design changes are necessary to bring the benefits of the MapReduce model toincremental one-pass analytics. Our empirical and theoretical analyses of Hadoop-basedMapReduce systems show that the widely-used sort-merge implementation for partitioningand parallel processing poses a fundamental barrier to incremental one-pass analytics …,Proceedings of the 2011 ACM SIGMOD International Conference on Management of data,2011,180
Lazy-adaptive tree: An optimized index structure for flash devices,Devesh Agrawal; Deepak Ganesan; Ramesh Sitaraman; Yanlei Diao; Shashi Singh,Abstract Flash memories are in ubiquitous use for storage on sensor nodes; mobile devices;and enterprise servers. However; they present significant challenges in designing treeindexes due to their fundamentally different read and write characteristics in comparison tomagnetic disks. In this paper; we present the Lazy-Adaptive Tree (LA-Tree); a novel indexstructure that is designed to improve performance by minimizing accesses to flash. The LA-tree has three key features: 1) it amortizes the cost of node reads and writes by performingupdate operations in a lazy manner using cascaded buffers; 2) it dynamically adapts buffersizes to workload using an online algorithm; which we prove to be optimal under the costmodel for raw NAND flashes; and 3) it optimizes index parameters; memory management;and storage reclamation to address flash constraints. Our performance results on raw …,Proceedings of the VLDB Endowment,2009,171
