Clustering binary data streams with K-means,Carlos Ordonez,Abstract Clustering data streams is an interesting Data Mining problem. This article presentsthree variants of the K-means algorithm to cluster binary data streams. The variants includeOn-line K-means; Scalable K-means; and Incremental K-means; a proposed variantintroduced that finds higher quality solutions in less time. Higher quality of solutions areobtained with a mean-based initialization and incremental learning. The speedup isachieved through a simplified set of sufficient statistics and operations with sparse matrices.A summary table of clusters is maintained on-line. The K-means variants are compared withrespect to quality of results and speed. The proposed algorithms can be used to monitortransactions.,Proceedings of the 8th ACM SIGMOD workshop on Research issues in data mining and knowledge discovery,2003,235
Discovering association rules based on image content,Carlos Ordonez; Edward Omiecinski,Our focus for data mining in the paper is concerned with knowledge discovery in imagedatabases. We present a data mining algorithm to find association rules in 2-dimensionalcolor images. The algorithm has four major steps: feature extraction; object identification;auxiliary image creation and object mining. Our emphasis is on data mining of imagecontent without the use of auxiliary domain knowledge. The purpose of our experiments is toexplore the feasibility of this approach. A synthetic image set containing geometric shapeswas generated to test our initial algorithm implementation. Our experimental results showthat there is promise in image mining based on content. We compare these results againstthe rules obtained from manually identifying the shapes. We analyze the reasons fordiscrepancies. We also suggest directions for future work.,Research and Technology Advances in Digital Libraries; 1999. Proceedings. IEEE Forum on,1999,203
Integrating K-means clustering with a relational DBMS using SQL,Carlos Ordonez,Integrating data mining algorithms with a relational DBMS is an important problem fordatabase programmers. We introduce three SQL implementations of the popular K-meansclustering algorithm to integrate it with a relational DBMS: 1) a straightforward translation ofK-means computations into SQL; 2) an optimized version based on improved dataorganization; efficient indexing; sufficient statistics; and rewritten queries; and 3) anincremental version that uses the optimized version as a building block with fastconvergence and automated reseeding. We experimentally show the proposed K-meansimplementations work correctly and can cluster large data sets. We identify which K-meanscomputations are more critical for performance. The optimized and incremental K-meansimplementations exhibit linear scalability. We compare K-means implementations in SQL …,IEEE transactions on Knowledge and Data engineering,2006,148
Association rule discovery with the train and test approach for heart disease prediction,Carlos Ordonez,Association rules represent a promising technique to improve heart disease prediction.Unfortunately; when association rules are applied on a medical data set; they produce anextremely large number of rules. Most of such rules are medically irrelevant and the timerequired to find them can be impractical. A more important issue is that; in general;association rules are mined on the entire data set without validation on an independentsample. To solve these limitations; we introduce an algorithm that uses search constraints toreduce the number of rules; searches for association rules on a training set; and finallyvalidates them on an independent test set. The medical significance of discovered rules isevaluated with support; confidence; and lift. Association rules are applied on a real data setcontaining medical records of patients with heart disease. In medical terms; association …,IEEE Transactions on Information Technology in Biomedicine,2006,131
Constraining and summarizing association rules in medical data,Carlos Ordonez; Norberto Ezquerra; Cesar A Santana,Abstract Association rules are a data mining technique used to discover frequent patterns ina data set. In this work; association rules are used in the medical domain; where data setsare generally high dimensional and small. The chief disadvantage about mining associationrules in a high dimensional data set is the huge number of patterns that are discovered; mostof which are irrelevant or redundant. Several constraints are proposed for filtering purposes;since our aim is to discover only significant association rules and accelerate the searchprocess. A greedy algorithm is introduced to compute rule covers in order to summarizerules having the same consequent. The significance of association rules is evaluated usingthree metrics: support; confidence and lift. Experiments focus on discovering associationrules on a real data set to predict absence or existence of heart disease. Constraints are …,Knowledge and information systems,2006,123
Mining constrained association rules to predict heart disease,Carlos Ordonez; Edward Omiecinski; Levien De Braal; Cesar A Santana; Norberto Ezquerra; Jose A Taboada; David Cooke; Elizabeth Krawczynska; Ernest V Garcia,This work describes our experiences in discovering association rules in medical data topredict heart disease. We focus on two aspects of this work: mapping medical data to atransaction format suitable for mining association rules; and identifying useful constraints.Based on these aspects we introduce an improved algorithm to discover constrainedassociation rules. We present an experimental section explaining several interestingdiscovered rules.,Data Mining; 2001. ICDM 2001; Proceedings IEEE International Conference on,2001,115
Efficient disk-based K-means clustering for relational databases,Carlos Ordonez; Edward Omiecinski,K-means is one of the most popular clustering algorithms. We introduce an efficient disk-based implementation of K-means. The proposed algorithm is designed to work inside arelational database management system. It can cluster large data sets having very highdimensionality. In general; it only requires three scans over the data set. It is optimized toperform heavy disk I/O and its memory requirements are low. Its parameters are easy to set.An extensive experimental section evaluates quality of results and performance. Theproposed algorithm is compared against the Standard K-means algorithm as well as theScalable K-means algorithm.,IEEE Transactions on Knowledge and Data Engineering,2004,104
Comparing association rules and decision trees for disease prediction,Carlos Ordonez,Abstract Association rules represent a promising technique to find hidden patterns in amedical data set. The main issue about mining association rules in a medical data set is thelarge number of rules that are discovered; most of which are irrelevant. Such number of rulesmakes search slow and interpretation by the domain expert difficult. In this work; searchconstraints are introduced to find only medically significant association rules and makesearch more efficient. In medical terms; association rules relate heart perfusionmeasurements and patient risk factors to the degree of stenosis in four specific arteries.Association rule medical significance is evaluated with the usual support and confidencemetrics; but also lift. Association rules are compared to predictive rules mined with decisiontrees; a well-known machine learning technique. Decision trees are shown to be not as …,Proceedings of the international workshop on Healthcare information and knowledge management,2006,100
Statistical model computation with UDFs,Carlos Ordonez,Statistical models are generally computed outside a DBMS due to their mathematicalcomplexity. We introduce techniques to efficiently compute fundamental statistical modelsinside a DBMS exploiting User-Defined Functions (UDFs). Specifically; we study thecomputation of linear regression; PCA; clustering; and Naive Bayes. Two summary matriceson the data set are mathematically shown to be essential for all models: the linear sum ofpoints and the quadratic sum of cross products of points. We consider two layouts for theinput data set: horizontal and vertical. We first introduce efficient SQL queries to computesummary matrices and score the data set. Based on the SQL framework; we introduce UDFsthat work in a single table scan: aggregate UDFs to compute summary matrices for allmodels and a set of primitive scalar UDFs to score data sets. Experiments compare UDFs …,IEEE Transactions on Knowledge and Data Engineering,2010,97
FREM: fast and robust EM clustering for large data sets,Carlos Ordonez; Edward Omiecinski,Abstract Clustering is a fundamental Data Mining technique. This article presents animproved EM algorithm to cluster large data sets having high dimensionality; noise and zerovariance problems. The algorithm incorporates improvements to increase the quality ofsolutions and speed. In general the algorithm can find a good clustering solution in 3 scansover the data set. Alternatively; it can be run until it converges. The algorithm has a fewparameters that are easy to set and have defaults for most cases. The proposed algorithm iscompared against the standard EM algorithm and the On-Line EM algorithm.,Proceedings of the eleventh international conference on Information and knowledge management,2002,95
Discovering Interesting Association Rules in Medical Data.,Carlos Ordonez; Cesar A Santana; Levien De Braal,ABSTRACT We are presently exploring the idea of discovering association rules in medicaldata. There are several technical aspects which make this problem challenging. In our casemedical data sets are small; but have high dimensionality. Information content is rich: thereexist numerical; categorical; time and even image attributes. Data records are generallynoisy. We explain how to map medical data to a transaction format suitable for mining rules.The combinatorial nature of association rules matches our needs; but current algorithms areunsuitable for our purpose. We thereby introduce an improved algorithm to discoverassociation rules in medical data which incorporates several important constraints. Someinteresting results obtained by our program are discussed and we explain how the programparameters were set. We believe many of the problems we come across are likely to …,ACM SIGMOD workshop on research issues in data mining and knowledge discovery,2000,92
SQLEM: Fast clustering in SQL using the EM algorithm,Carlos Ordonez; Paul Cereghini,Abstract Clustering is one of the most important tasks performed in Data Mining applications.This paper presents an efficient SQL implementation of the EM algorithm to performclustering in very large databases. Our version can effectively handle high dimensional data;a high number of clusters and more importantly; a very large number of data records. Wepresent three strategies to implement EM in SQL: horizontal; vertical and a hybrid one. Weexpect this work to be useful for data mining programmers and users who want to clusterlarge data sets inside a relational DBMS.,ACM SIGMOD Record,2000,83
Horizontal aggregations in SQL to prepare data sets for data mining analysis,Carlos Ordonez; Zhibo Chen,Preparing a data set for analysis is generally the most time consuming task in a data miningproject; requiring many complex SQL queries; joining tables; and aggregating columns.Existing SQL aggregations have limitations to prepare data sets because they return onecolumn per aggregated group. In general; a significant manual effort is required to build datasets; where a horizontal layout is required. We propose simple; yet powerful; methods togenerate SQL code to return aggregated columns in a horizontal tabular layout; returning aset of numbers instead of one number per row. This new class of functions is calledhorizontal aggregations. Horizontal aggregations build data sets with a horizontaldenormalized layout (eg; point-dimension; observation-variable; instance-feature); which isthe standard layout required by most data mining algorithms. We propose three …,IEEE transactions on knowledge and data engineering,2012,64
Bayesian classifiers programmed in SQL,Carlos Ordonez; Sasi K Pitchaimalai,The Bayesian classifier is a fundamental classification technique. In this work; we focus onprogramming Bayesian classifiers in SQL. We introduce two classifiers: naive Bayes and aclassifier based on class decomposition using K-means clustering. We consider twocomplementary tasks: model computation and scoring a data set. We study several layoutsfor tables and several indexing alternatives. We analyze how to transform equations intoefficient SQL queries and introduce several query optimizations. We conduct experimentswith real and synthetic data sets to evaluate classification accuracy; query optimizations; andscalability. Our Bayesian classifier is more accurate than naive Bayes and decision trees.Distance computation is significantly accelerated with horizontal layout for tables;denormalization; and pivoting. We also compare naive Bayes implementations in SQL …,IEEE Transactions on Knowledge and Data Engineering,2010,64
Improving heart disease prediction using constrained association rules,Carlos Ordonez,*,Seminar Presentation at University of Tokyo,2004,54
Vertical and horizontal percentage aggregations,Carlos Ordonez,Abstract Existing SQL aggregate functions present important limitations to computepercentages. This article proposes two SQL aggregate functions to compute percentagesaddressing such limitations. The first function returns one row for each percentage in verticalform like standard SQL aggregations. The second function returns each set of percentagesadding 100% on the same row in horizontal form. These novel aggregate functions are usedas a framework to introduce the concept of percentage queries and to generate efficient SQLcode. Experiments study different percentage query optimization strategies and compareevaluation time of percentage queries taking advantage of our proposed aggregationsagainst queries using available OLAP extensions. The proposed percentage aggregationsare easy to use; have wide applicability and can be efficiently evaluated.,Proceedings of the 2004 ACM SIGMOD international conference on Management of data,2004,53
Data set preprocessing and transformation in a database system,Carlos Ordonez,Abstract In general; there is a significant amount of data mining analysis performed outside adatabase system; which creates many data management issues. This article presents asummary of our experience and recommendations to compute data set preprocessing andtransformation inside a database system (ie data cleaning; record selection; summarization;denormalization; variable creation; coding); which is the most time-consuming task in datamining projects. This aspect is largely ignored in the literature. We present practical issues;common solutions and lessons learned when preparing and transforming data sets with theSQL language; based on experience from real-life projects. We then provide specificguidelines to translate programs written in a traditional programming language into SQLstatements. Based on successful real-life projects; we present time performance …,Intelligent Data Analysis,2011,47
Horizontal aggregations for building tabular data sets,Carlos Ordonez,Abstract In a data mining project; a significant portion of time is devoted to building a data setsuitable for analysis. In a relational database environment; building such data set usuallyrequires joining tables and aggregating columns with SQL queries. Existing SQLaggregations are limited since they return a single number per aggregated group; producingone row for each computed number. These aggregations help; but a significant effort is stillrequired to build data sets suitable for data mining purposes; where a tabular format isgenerally required. This work proposes very simple; yet powerful; extensions to SQLaggregate functions to produce aggregations in tabular form; returning a set of numbersinstead of one number per row. We call this new class of functions horizontal aggregations.Horizontal aggregations help building answer sets in tabular form (eg point-dimension …,Proceedings of the 9th ACM SIGMOD workshop on Research issues in data mining and knowledge discovery,2004,47
Optimization of linear recursive queries in SQL,Carlos Ordonez,Recursion is a fundamental computation mechanism which has been incorporated into theSQL language. This work focuses on the optimization of linear recursive queries in SQL.Query optimization is studied with two important graph problems: computing the transitiveclosure of a graph and getting the power matrix of its adjacency matrix. We present SQLimplementations for two fundamental algorithms: seminaive and direct. Five queryoptimizations are studied: 1) storage and indexing; 2) early selection; 3) early evaluation ofnonrecursive joins; 4) pushing duplicate elimination; and 5) pushing aggregation.Experiments compare both evaluation algorithms and systematically evaluate the impact ofoptimizations with large input tables. Optimizations are evaluated on four types of graphs:binary trees; lists; cyclic graphs; and complete graphs; going from the best to worst case …,IEEE Transactions on Knowledge and Data Engineering,2010,46
Referential integrity quality metrics,Carlos Ordonez; Javier García-García,Abstract Referential integrity is an essential global constraint in a relational database; thatmaintains it in a complete and consistent state. In this work; we assume the database mayviolate referential integrity and relations may be denormalized. We propose a set of qualitymetrics; defined at four granularity levels: database; relation; attribute and value; thatmeasure referential completeness and consistency. Quality metrics are efficiently computedwith standard SQL queries; that incorporate two query optimizations: left outer joins onforeign keys and early foreign key grouping. Experiments evaluate our proposed metricsand SQL query optimizations on real and synthetic databases; showing they can help indetecting and explaining referential errors.,Decision Support Systems,2008,44
Image mining: A new approach for data mining,Carlos Ordonez; Edward Robert Omiecinski,We introduce a new focus for data mining; which is concerned with knowledge discovery inimage databases. We expect all aspects of data mining to be relevant to image mining but inthis first work we concentrate on the problem of finding associations. To that end; we presenta data mining algorithm to find association rules in 2-dimensional color images. Thealgorithm has four major steps: feature extraction; object identification; auxiliary imagecreation and object mining. Our algorithm is general in that it does not rely on any type ofdomain knowledge. A synthetic image set containing geometric shapes was generated totest our initial algorithm implementation. Our experimental results show that image mining isfeasible. We also suggest several directions for future work in this area.,*,1998,41
Programming the K-means clustering algorithm in SQL,Carlos Ordonez,Abstract Using SQL has not been considered an efficient and feasible way to implementdata mining algorithms. Although this is true for many data mining; machine learning andstatistical algorithms; this work shows it is feasible to get an efficient SQL implementation ofthe well-known K-means clustering algorithm that can work on top of a relational DBMS. Thearticle emphasizes both correctness and performance. From a correctness point of view thearticle explains how to compute Euclidean distance; nearest-cluster queries and updatingclustering results in SQL. From a performance point of view it is explained how to clusterlarge data sets defining and indexing tables to store and retrieve intermediate and finalresults; optimizing and avoiding joins; optimizing and simplifying clustering aggregations;and taking advantage of sufficient statistics. Experiments evaluate scalability with …,Proceedings of the tenth ACM SIGKDD international conference on Knowledge discovery and data mining,2004,40
