Efficient retrieval of the top-k most relevant spatial web objects,Gao Cong; Christian S Jensen; Dingming Wu,Abstract The conventional Internet is acquiring a geo-spatial dimension. Web documents arebeing geo-tagged; and geo-referenced objects such as points of interest are beingassociated with descriptive text documents. The resulting fusion of geo-location anddocuments enables a new kind of top-k query that takes into account both location proximityand text relevancy. To our knowledge; only naive techniques exist that are capable ofcomputing a general web information retrieval query while also taking location into account.This paper proposes a new indexing framework for location-aware top-k text retrieval. Theframework leverages the inverted file for text retrieval and the R-tree for spatial proximityquerying. Several indexing approaches are explored within the framework. The frameworkencompasses algorithms that utilize the proposed indexes for computing the top-k query …,Proceedings of the VLDB Endowment,2009,500
Community-based greedy algorithm for mining top-k influential nodes in mobile social networks,Yu Wang; Gao Cong; Guojie Song; Kunqing Xie,Abstract With the proliferation of mobile devices and wireless technologies; mobile socialnetwork systems are increasingly available. A mobile social network plays an essential roleas the spread of information and influence in the form of" word-of-mouth". It is a fundamentalissue to find a subset of influential individuals in a mobile social network such that targetingthem initially (eg to adopt a new product) will maximize the spread of the influence (furtheradoptions of the new product). The problem of finding the most influential nodes isunfortunately NP-hard. It has been shown that a Greedy algorithm with provableapproximation guarantees can give good approximation; However; it is computationallyexpensive; if not prohibitive; to run the greedy algorithm on a large mobile network. In thispaper we propose a new algorithm called Community-based Greedy algorithm for mining …,Proceedings of the 16th ACM SIGKDD international conference on Knowledge discovery and data mining,2010,339
Time-aware point-of-interest recommendation,Quan Yuan; Gao Cong; Zongyang Ma; Aixin Sun; Nadia Magnenat Thalmann,Abstract The availability of user check-in data in large volume from the rapid growinglocation based social networks (LBSNs) enables many important location-aware services tousers. Point-of-interest (POI) recommendation is one of such services; which is torecommend places where users have not visited before. Several techniques have beenrecently proposed for the recommendation service. However; no existing work hasconsidered the temporal information for POI recommendations in LBSNs. We believe thattime plays an important role in POI recommendations because most users tend to visitdifferent places at different time in a day;\eg visiting a restaurant at noon and visiting a bar atnight. In this paper; we define a new problem; namely; the time-aware POI recommendation;to recommend POIs for a given user at a specified time in a day. To solve the problem; we …,Proceedings of the 36th international ACM SIGIR conference on Research and development in information retrieval,2013,325
Improving data quality: Consistency and accuracy,Gao Cong; Wenfei Fan; Floris Geerts; Xibei Jia; Shuai Ma,Abstract Two central criteria for data quality are consistency and accuracy. Inconsistenciesand errors in a database often emerge as violations of integrity constraints. Given a dirtydatabase D; one needs automated methods to make it consistent; ie; find a repair D'thatsatisfies the constraints and" minimally" differs from D. Equally important is to ensure that theautomatically-generated repair D'is accurate; or makes sense; ie; D'differs from the" correct"data within a predefined bound. This paper studies effective methods for improving bothdata consistency and accuracy. We employ a class of conditional functional dependencies(CFDs) proposed in [6] to specify the consistency of the data; which are able to captureinconsistencies and errors beyond what their traditional counterparts can catch. To improvethe consistency of the data; we propose two algorithms: one for automatically computing a …,Proceedings of the 33rd international conference on Very large data bases,2007,304
Collective spatial keyword querying,Xin Cao; Gao Cong; Christian S Jensen; Beng Chin Ooi,Abstract With the proliferation of geo-positioning and geo-tagging; spatial web objects thatpossess both a geographical location and a textual description are gaining in prevalence;and spatial keyword queries that exploit both location and textual description are gaining inprominence. However; the queries studied so far generally focus on finding individualobjects that each satisfy a query rather than finding groups of objects where the objects in agroup collectively satisfy a query. We define the problem of retrieving a group of spatial webobjects such that the group's keywords cover the query's keywords and such that objects arenearest to the query location and have the lowest inter-object distances. Specifically; westudy two variants of this problem; both of which are NP-complete. We devise exact solutionsas well as approximate solutions with provable approximation bounds to the problems …,Proceedings of the 2011 ACM SIGMOD International Conference on Management of data,2011,295
Mining significant semantic locations from GPS data,Xin Cao; Gao Cong; Christian S Jensen,Abstract With the increasing deployment and use of GPS-enabled devices; massiveamounts of GPS data are becoming available. We propose a general framework for themining of semantically meaningful; significant locations; eg; shopping malls and restaurants;from such data. We present techniques capable of extracting semantic locations from GPSdata. We capture the relationships between locations and between locations and users witha graph. Significance is then assigned to locations using random walks over the graph thatpropagates significance among the locations. In doing so; mutual reinforcement betweenlocation significance and user authority is exploited for determining significance; as areaspects such as the number of visits to a location; the durations of the visits; and thedistances users travel to reach locations. Studies using up to 100 million GPS records …,Proceedings of the VLDB Endowment,2010,280
Carpenter: Finding closed patterns in long biological datasets,Feng Pan; Gao Cong; Anthony KH Tung; Jiong Yang; Mohammed J Zaki,Abstract The growth of bioinformatics has resulted in datasets with new characteristics.These datasets typically contain a large number of columns and a small number of rows. Forexample; many gene expression datasets may contain 10;000-100;000 columns but only100-1000 rows. Such datasets pose a great challenge for existing (closed) frequent patterndiscovery algorithms; since they have an exponential dependence on the average rowlength. In this paper; we describe a new algorithm called CARPENTER that is speciallydesigned to handle datasets having a large number of attributes and relatively small numberof rows. Several experiments on real bioinformatics datasets show that CARPENTER isorders of magnitude better than previous closed pattern mining algorithms like CLOSET andCHARM.,Proceedings of the ninth ACM SIGKDD international conference on Knowledge discovery and data mining,2003,253
Finding question-answer pairs from online forums,Gao Cong; Long Wang; Chin-Yew Lin; Young-In Song; Yueheng Sun,Abstract Online forums contain a huge amount of valuable user generated content. In thispaper we address the problem of extracting question-answer pairs from forums. Question-answer pairs extracted from forums can be used to help Question Answering services (egYahoo! Answers) among other applications. We propose a sequential patterns basedclassification method to detect questions in a forum thread; and a graph based propagationmethod to detect answers for questions in the same thread. Experimental results show thatour techniques are very promising.,Proceedings of the 31st annual international ACM SIGIR conference on Research and development in information retrieval,2008,235
Retrieving top-k prestige-based relevant spatial web objects,Xin Cao; Gao Cong; Christian S Jensen,Abstract The location-aware keyword query returns ranked objects that are near a querylocation and that have textual descriptions that match query keywords. This query occursinherently in many types of mobile and traditional web services and applications; eg; YellowPages and Maps services. Previous work considers the potential results of such a query asbeing independent when ranking them. However; a relevant result object with nearbyobjects that are also relevant to the query is likely to be preferable over a relevant objectwithout relevant nearby objects. The paper proposes the concept of prestige-basedrelevance to capture both the textual relevance of an object to a query and the effects ofnearby objects. Based on this; a new type of query; the Location-aware top-k Prestige-basedText retrieval (LkPT) query; is proposed that retrieves the top-k spatial web objects ranked …,Proceedings of the VLDB Endowment,2010,214
Spatial keyword query processing: an experimental evaluation,Lisi Chen; Gao Cong; Christian S Jensen; Dingming Wu,Abstract Geo-textual indices play an important role in spatial keyword querying. The existinggeo-textual indices have not been compared systematically under the same experimentalframework. This makes it difficult to determine which indexing technique best supportsspecific functionality. We provide an all-around survey of 12 state-of-the-art geo-textualindices. We propose a benchmark that enables the comparison of the spatial keyword queryperformance. We also report on the findings obtained when applying the benchmark to theindices; thus uncovering new insights that may guide index selection as well as furtherresearch.,Proceedings of the VLDB Endowment,2013,177
