Querying regular graph patterns,Pablo Barceló; Leonid Libkin; Juan L Reutter,Abstract Graph data appears in a variety of application domains; and many uses of it; suchas querying; matching; and transforming data; naturally result in incompletely specifiedgraph data; that is; graph patterns. While queries need to be posed against such data;techniques for querying patterns are generally lacking; and properties of such queries arenot well understood. Our goal is to study the basics of querying graph patterns. The keyfeatures of patterns we consider here are node and label variables and edges specified byregular expressions. We provide a classification of patterns; and study standard graphqueries on graph patterns. We give precise characterizations of both data and combinedcomplexity for each class of patterns. If complexity is high; we do further analysis of featuresthat lead to intractability; as well as lower-complexity restrictions. Since our patterns are …,Journal of the ACM (JACM),2014,79
Data exchange beyond complete data,Marcelo Arenas; Jorge Pérez; Juan Reutter,Abstract In the traditional data exchange setting; source instances are restricted to becomplete in the sense that every fact is either true or false in these instances. Althoughnatural for a typical database translation scenario; this restriction is gradually becoming animpediment to the development of a wide range of applications that need to exchangeobjects that admit several interpretations. In particular; we are motivated by two specificapplications that go beyond the usual data exchange scenario: exchanging incompleteinformation and exchanging knowledge bases. In this article; we propose a generalframework for data exchange that can deal with these two applications. More specifically; weaddress the problem of exchanging information given by representation systems; which areessentially finite descriptions of (possibly infinite) sets of complete instances. We make …,Journal of the ACM (JACM),2013,45
Relative Expressiveness of Nested Regular Expressions.,Pablo Barceló; Jorge Pérez; Juan L Reutter,Abstract. Nested regular expressions (NREs) have been proposed as a powerful formalismfor querying RDFS graphs; but not too much investigation on NREs has been pursued in amore general graph database context. In this paper we study the relative expressiveness ofNREs by comparing it with the language of conjunctive regular path queries (CR-PQs);which is one of the most widely studied query languages for graph databases. Among otherresults; we show that NREs and CRPQs are incomparable in terms of expressive power; butNREs properly extend the language of acyclic CRPQs. Even more; there is a naturalfragment of NREs that coincide in expressive power with the class of acyclic CRPQs. Ourresults; plus previous results that show that NREs can be evaluated in linear time incombined complexity; put forward NREs as a query language for graph-structured data …,AMW,2012,40
SPARQL with property paths,Egor V Kostylev; Juan L Reutter; Miguel Romero; Domagoj Vrgoč,Abstract The original SPARQL proposal was often criticized for its inability to navigatethrough the structure of RDF documents. For this reason property paths were introduced inSPARQL 1.1; but up to date there are no theoretical studies examining how their addition tothe language affects main computational tasks such as query evaluation; query containment;and query subsumption. In this paper we tackle all of these problems and show thatalthough the addition of property paths has no impact on query evaluation; they do make thecontainment and subsumption problems substantially more difficult.,International Semantic Web Conference,2015,38
Trial for RDF: adapting graph query languages for RDF data,Leonid Libkin; Juan Reutter; Domagoj Vrgoč,Abstract Querying RDF data is viewed as one of the main applications of graph querylanguages; and yet the standard model of graph databases--essentially labeled graphs--isdifferent from the triples-based model of RDF. While encodings of RDF databases into graphdata exist; we show that even the most natural ones are bound to lose some functionalitywhen used in conjunction with graph query languages. The solution is to work directly withtriples; but then many properties taken for granted in the graph database context (eg;reachability) lose their natural meaning. Our goal is to introduce languages that work directlyover triples and are closed; ie; they produce sets of triples; rather than graphs. Our basiclanguage is called TriAL; or Triple Algebra: it guarantees closure properties by replacing theproduct with a family of join operations. We extend TriAL with recursion; and explain why …,Proceedings of the 32nd ACM SIGMOD-SIGACT-SIGAI symposium on Principles of database systems,2013,38
Foundations of schema mapping management,Marcelo Arenas; Jorge Pérez; Juan L Reutter; Cristian Riveros,Abstract In the last few years; a lot of attention has been paid to the specification andsubsequent manipulation of schema mappings; a problem which is of fundamentalimportance in metadata management. There have been many achievements in this area;and semantics have been defined for operators on schema mappings such as compositionand inverse. However; little research has been pursued towards providing formal tools tocompare schema mappings; in terms of their ability to transfer data and avoid storingredundant information; which has hampered the development of foundations for morecomplex operators as many of them involve these notions. In this paper; we address theproblem of providing foundations for metadata management by developing an order tocompare the amount of information transferred by schema mappings. From this order we …,Proceedings of the twenty-ninth ACM SIGMOD-SIGACT-SIGART symposium on Principles of database systems,2010,36
Query languages for data exchange: Beyond unions of conjunctive queries,Marcelo Arenas; Pablo Barceló; Juan Reutter,Abstract The class of unions of conjunctive queries (UCQ) has been shown to be particularlywell-behaved for data exchange; its certain answers can be computed in polynomial time (interms of data complexity). However; this is not the only class with this property; the certainanswers to any Datalog program can also can be computed in polynomial time. The problemis that both UCQ and Datalog do not allow negated atoms; as adding an unrestricted form ofnegation to these languages yields to intractability. In this paper; we propose a languagecalled Datalog C (≠) that extends Datalog with a restricted form of negation; and study someof its fundamental properties. In particular; we show that the certain answers to a Datalog C(≠) program can be computed in polynomial time (in terms of data complexity); and thatevery union of conjunctive queries with at most one inequality or negated relational atom …,Theory of Computing Systems,2011,34
Composition and inversion of schema mappings,Marcelo Arenas; Jorge Pérez; Juan Reutter; Cristian Riveros,A schema mapping is a specification that describes how data from a source schema is to bemapped to a target schema. Schema mappings have proved to be essential for data-interoperability tasks such as data exchange and data integration. The research on this areahas mainly focused on performing these tasks. However; as Bernstein pointed out [7]; manyinformation-system problems involve not only the design and integration of complexapplication artifacts; but also their subsequent manipulation. Driven by this consideration;Bernstein proposed in [7] a general framework for managing schema mappings. In thisframework; mappings are usually specified in a logical language; and high-level algebraicoperators are used to manipulate them [7; 16; 33; 12; 8]. Two of the most fundamentaloperators in this framework are the composition and inversion of schema mappings …,ACM SIGMOD Record,2010,31
Inverting schema mappings: bridging the gap between theory and practice,Marcelo Arenas; Jorge Pérez; Juan Reutter; Cristian Riveros,Abstract The inversion of schema mappings has been identified as one of the fundamentaloperators for the development of a general framework for metadata management. In fact;during the last years three alternative notions of inversion for schema mappings have beenproposed (Fagin-inverse [10]; quasi-inverse [14] and maximum recovery [2]). However; theprocedures that have been developed for computing these operators have some featuresthat limit their practical applicability. First; these algorithms work in exponential time andproduce inverse mappings of exponential size. Second; these algorithms express inversesin some mappings languages which include features that are difficult to use in practice. Atypical example is the use of disjunction in the conclusion of the mapping rules; whichmakes the process of exchanging data much more complicated. In this paper; we propose …,Proceedings of the VLDB Endowment,2009,31
Foundations of JSON schema,Felipe Pezoa; Juan L Reutter; Fernando Suarez; Martín Ugarte; Domagoj Vrgoč,Abstract JSON--the most popular data format for sending API requests and responses--is stilllacking a standardized schema or meta-data definition that allows the developers to specifythe structure of JSON documents. JSON Schema is an attempt to provide a general purposeschema language for JSON; but it is still work in progress; and the formal specification hasnot yet been agreed upon. Why this could be a problem becomes evident when examiningthe behaviour of numerous tools for validating JSON documents against this initial schemaproposal: although they agree on most general cases; when presented with the greyer areasof the specification they tend to differ significantly. In this paper we provide the first formaldefinition of syntax and semantics for JSON Schema and use it to show that implementingthis layer on top of JSON is feasible in practice. This is done both by analysing the …,Proceedings of the 25th International Conference on World Wide Web,2016,28
Regular queries on graph databases,Juan L Reutter; Miguel Romero; Moshe Y Vardi,Abstract Graph databases are currently one of the most popular paradigms for storing data.One of the key conceptual differences between graph and relational databases is the focuson navigational queries that ask whether some nodes are connected by paths satisfyingcertain restrictions. This focus has driven the definition of several different query languagesand the subsequent study of their fundamental properties. We define the graph querylanguage of Regular Queries; which is a natural extension of unions of conjunctive 2-wayregular path queries (UC2RPQs) and unions of conjunctive nested 2-way regular pathqueries (UCN2RPQs). Regular queries allow expressing complex regular patterns betweennodes. We formalize regular queries as nonrecursive Datalog programs extended with thetransitive closure of binary predicates. This language has been previously considered …,Theory of Computing Systems,2017,25
Containment of Data Graph Queries.,Egor V Kostylev; Juan L Reutter; Domagoj Vrgoc,ABSTRACT The graph database model is currently one of the most popular paradigms forstoring data; used in applications such as social networks; biological databases and theSemantic Web. Despite the popularity of this model; the development of graph databasemanagement systems is still in its infancy; and there are several fundamental issuesregarding graph databases that are not fully understood. Indeed; while graph querylanguages that concentrate on topological properties are now well developed; not much isknown about languages that can query both the topology of graphs and their underlyingdata. Our goal is to conduct a detailed study of static analysis problems for such languages.In this paper we consider the containment problem for several recently proposed classes ofqueries that manipulate both topology and data: regular queries with memory; regular …,ICDT,2014,24
Foundations of Modern Query Languages for Graph Databases,Renzo Angles; Marcelo Arenas; Pablo Barceló; Aidan Hogan; Juan Reutter; Domagoj Vrgoč,Abstract We survey foundational features underlying modern graph query languages. Wefirst discuss two popular graph data models: edge-labelled graphs; where nodes areconnected by directed; labelled edges; and property graphs; where nodes and edges canfurther have attributes. Next we discuss the two most fundamental graph queryingfunctionalities: graph patterns and navigational expressions. We start with graph patterns; inwhich a graph-structured query is matched against the data. Thereafter; we discussnavigational expressions; in which patterns can be matched recursively against the graph tonavigate paths of arbitrary length; we give an overview of what kinds of expressions havebeen proposed and how they can be combined with graph patterns. We also discuss severalsemantics under which queries using the previous features can be evaluated; what …,ACM Computing Surveys (CSUR),2017,23
Schema mappings and data exchange for graph databases,Pablo Barceló; Jorge Pérez; Juan Reutter,Abstract Data exchange and schema mapping management have received little attention sofar in the graph database scenario; and tools developed in this context for relationaldatabases have significant drawbacks in the context of graph-structured data. In this paperwe embark on the study of interoperability issues for graph databases; including schemamappings; data exchange and certain answers computation. We start by analyzing differentpossibilities for specifying mappings in graph databases. Our mapping languages are basedon the most typical graph databases queries; ranging from regular path queries toconjunctions of nested regular expressions. They subsume all previously consideredmapping languages; and let one express many data exchange scenarios in the graphdatabase context. We study the problems of materializing solutions and query answering …,Proceedings of the 16th International Conference on Database Theory,2013,23
CONSTRUCT queries in SPARQL,Egor V Kostylev; Juan L Reutter; Martín Ugarte,Abstract SPARQL has become the most popular language for querying RDF datasets; thestandard data model for representing information in the Web. This query language hasreceived a good deal of attention in the last few years: two versions of W3C standards havebeen issued; several SPARQL query engines have been deployed; and importanttheoretical foundations have been laid. However; many fundamental aspects of SPARQLqueries are not yet fully understood. To this end; it is crucial to understand thecorrespondence between SPARQL and well-developed frameworks like relational algebraor first order logic. But one of the main obstacles on the way to such understanding is the factthat the well-studied fragments of SPARQL do not produce RDF as output. In this paper weembark on the study of SPARQL CONSTRUCT queries; that is; queries which output RDF …,LIPIcs-Leibniz International Proceedings in Informatics,2015,20
Parameterized regular expressions and their languages,Pablo Barceló; Juan Reutter; Leonid Libkin,Abstract We study regular expressions that use variables; or parameters; which areinterpreted as alphabet letters. We consider two classes of languages denoted by suchexpressions: under the possibility semantics; a word belongs to the language if it is denotedby some regular expression obtained by replacing variables with letters; under the certaintysemantics; the word must be denoted by every such expression. Such languages areregular; and we show that they naturally arise in several applications such as queryinggraph databases and program analysis. As the main contribution of the paper; we provide acomplete characterization of the complexity of the main computational problems related tosuch languages: nonemptiness; universality; containment; membership; as well as theproblem of constructing NFAs capturing such languages. We also look at the extension …,Theoretical Computer Science,2013,18
Tractable XML data exchange via relations,Rada Chirkova; Leonid Libkin; Juan L Reutter,Abstract We consider data exchange for XML documents: given source and target schemas;a mapping between them; and a document conforming to the source schema; construct atarget document and answer target queries in a way that is consistent with sourceinformation. The problem has primarily been studied in the relational context; in which data-exchange systems have also been built. Since many XML documents are stored in relations;it is natural to consider using a relational system for XML data exchange. However; there is acomplexity mismatch between query answering in relational and XML data exchange; whichindicates that restrictions have to be imposed on XML schemas and mappings; and on XMLshredding schemes; to make the use of relational systems possible. We isolate a set of fiverequirements that must be fulfilled in order to have a faithful representation of the XML …,Proceedings of the 20th ACM international conference on information and knowledge management,2011,16
The language of plain SO-tgds: Composition; inversion and structural properties,Marcelo Arenas; Jorge Pérez; Juan Reutter; Cristian Riveros,Abstract The problems of composing and inverting schema mappings specified by source-to-target tuple-generating dependencies (st-tgds) have attracted a lot of attention; as they are offundamental importance for the development of Bernsteinʼs metadata managementframework. In the case of the composition operator; a natural semantics has been proposedand the language of second-order tuple generating dependencies (SO-tgds) has beenidentified as the right language to express it. In the case of the inverse operator; severalsemantics have been proposed; most notably the maximum recovery; the only inversenotion that guarantees that every mapping specified by st-tgds is invertible. Unfortunately;less attention has been paid to combining both operators; which is the motivation of thispaper. More precisely; we start our investigation by showing that SO-tgds are not good for …,Journal of Computer and System Sciences,2013,15
Recursion in SPARQL,Juan L Reutter; Adrián Soto; Domagoj Vrgoč,Abstract In this paper we propose a general purpose recursion operator to be added toSPARQL; formalize its syntax and develop algorithms for evaluating it in practical scenarios.We also show how to implement recursion as a plug-in on top of existing systems and test itsperformance on several real world datasets.,International Semantic Web Conference,2015,14
Containment of nested regular expressions,Juan L Reutter,Abstract: Nested regular expressions (NREs) have been proposed as a powerful formalismfor querying RDFS graphs; but research in a more general graph database context has beenscarce; and static analysis results are currently lacking. In this paper we investigate theproblem of containment of NREs; and show that it can be solved in PSPACE; ie; the samecomplexity as the problem of containment of regular expressions or regular path queries(RPQs). Subjects: Databases (cs. DB) Cite as: arXiv: 1304.2637 [cs. DB](or arXiv: 1304.2637v2 [cs. DB] for this version) Submission history From: Juan Reutter L [view email][v1] Tue; 9Apr 2013 15: 40: 21 GMT (18kb)[v2] Wed; 19 Jun 2013 18: 47: 43 GMT (24kb),arXiv preprint arXiv:1304.2637,2013,13
