SPIRIT: Sequential pattern mining with regular expression constraints,Minos N Garofalakis; Rajeev Rastogi; Kyuseok Shim,Abstract Discovering sequential patterns is an important problem in data mining with a hostof application domains including medicine; telecommunications; and the World Wide Web.Conventional mining systems provide users with only a very restricted mechanism (basedon minimum support) for specifying patterns of interest. In this paper; we propose the use ofRegular Expressions (REs) as a flexible constraint specification tool that enables user-controlled focus to be incorporated into the pattern mining process. We develop a family ofnovel algorithms (termed SPIRIT–Sequential Pattern mIning with Regular expressIonconsTraints) for mining frequent sequential patterns that also satisfy user-specified REconstraints. The main distinguishing factor among the proposed schemes is the degree towhich the RE constraints are enforced to prune the search space of patterns during …,VLDB,1999,646
Approximate query processing using wavelets,Kaushik Chakrabarti; Minos Garofalakis; Rajeev Rastogi; Kyuseok Shim,Abstract Approximate query processing has emerged as a cost-effective approach fordealing with the huge data volumes and stringent response-time requirements of today'sdecision support systems (DSS). Most work in this area; however; has so far been limited inits query processing scope; typically focusing on specific forms of aggregate queries.Furthermore; conventional approaches based on sampling or histograms appear to beinherently limited when it comes to approximating the results of complex queries over high-dimensional DSS data sets. In this paper; we propose the use of multi-dimensional waveletsas an effective tool for general-purpose approximate query processing in modern; high-dimensional applications. Our approach is based on building wavelet-coefficient synopsesof the data and using these synopses to provide approximate answers to queries. We …,The VLDB Journal—The International Journal on Very Large Data Bases,2001,576
Efficient filtering of XML documents with XPath expressions,C-Y Chan; Pascal Felber; Minos Garofalakis; Rajeev Rastogi,Abstract The publish/subscribe paradigm is a popular model for allowing publishers (ie; datagenerators) to selectively disseminate data to a large number of widely dispersedsubscribers (ie; data consumers) who have registered their interest in specific informationitems. Early publish/subscribe systems have typically relied on simple subscriptionmechanisms; such as keyword or” bag of words” matching; or simple comparison predicateson attribute values. The emergence of XML as a standard for information exchange on theInternet has led to an increased interest in using more expressive subscription mechanisms(eg; based on XPath expressions) that exploit both the structure and the content of publishedXML documents. Given the increased complexity of these new data-filtering mechanisms;the problem of effectively identifying the subscription profiles that match an incoming XML …,The VLDB Journal—The International Journal on Very Large Data Bases,2002,565
Adaptive cleaning for RFID data streams,Shawn R Jeffery; Minos Garofalakis; Michael J Franklin,Abstract To compensate for the inherent unreliability of RFID data streams; most RFIDmiddleware systems employ a" smoothing filter"; a sliding-window aggregate thatinterpolates for lost readings. In this paper; we propose SMURF; the first declarative;adaptive smoothing filter for RFID data cleaning. SMURF models the unreliability of RFIDreadings by viewing RFID streams as a statistical sample of tags in the physical world; andexploits techniques grounded in sampling theory to drive its cleaning processes. Throughthe use of tools such as binomial sampling and π-estimators; SMURF continuously adaptsthe smoothing window size in a principled manner to provide accurate RFID data toapplications.,Proceedings of the 32nd international conference on Very large data bases,2006,529
Processing complex aggregate queries over data streams,Alin Dobra; Minos Garofalakis; Johannes Gehrke; Rajeev Rastogi,Abstract Recent years have witnessed an increasing interest in designing algorithms forquerying and analyzing streaming data (ie; data that is seen only once in a fixed order) withonly limited memory. Providing (perhaps approximate) answers to queries over suchcontinuous data streams is a crucial requirement for many application environments;examples include large telecom and IP network installations where performance data fromdifferent parts of the network needs to be continuously collected and analyzed. In this paper;we consider the problem of approximately answering general aggregate SQL queries overcontinuous data streams with limited memory. Our method relies on randomizing techniquesthat compute small" sketch" summaries of the streams that can then be used to provideapproximate answers to aggregate queries with provable guarantees on the …,Proceedings of the 2002 ACM SIGMOD international conference on Management of data,2002,396
Secure XML querying with security views,Wenfei Fan; Chee-Yong Chan; Minos Garofalakis,Abstract The prevalent use of XML highlights the need for a generic; flexible access-controlmechanism for XML documents that supports efficient and secure query access; withoutrevealing sensitive information unauthorized users. This paper introduces a novel paradigmfor specifying XML security constraints and investigates the enforcement of such constraintsduring XML query evaluation. Our approach is based on the novel concept of security views;which provide for each user group (a) an XML view consisting of all and only the informationthat the users are authorized to access; and (b) a view DTD that the XML view conforms to.Security views effectively protect sensitive data from access and potential inferences byunauthorized user; and provide authorized users with necessary schema information tofacilitate effective query formulation and optimization. We propose an efficient algorithm …,Proceedings of the 2004 ACM SIGMOD international conference on Management of data,2004,344
Querying and mining data streams: you only get one look a tutorial,Minos Garofalakis; Johannes Gehrke; Rajeev Rastogi,Traditional Database Management Systems (DBMS) software is built on the concept ofpersistent data sets; that are stored reliably in stable storage and queried/updated severaltimes throughout their lifetime. For several emerging application domains; however; dataarrives and needs to be processed on a continuous (24 x 7) basis; without the benefit ofseveral passes over a static; persistent data image. Such continuous data streams arisenaturally; for example; in the network installations of large Telecom and Internet serviceproviders where detailed usage information (Call-Detail-Records (CDRs); SNMP/RMONpacket-flow data; etc.) from different parts of the underlying network needs to becontinuously collected and analyzed for interesting trends. Other applications that generaterapid; continuous and large volumes of stream data include transactions in retail chains …,Proceedings of the 2002 ACM SIGMOD international conference on Management of data,2002,322
XTRACT: a system for extracting document type descriptors from XML documents,Minos Garofalakis; Aristides Gionis; Rajeev Rastogi; Sridhar Seshadri; Kyuseok Shim,Abstract XML is rapidly emerging as the new standard for data representation and exchangeon the Web. An XML document can be accompanied by a Document Type Descriptor (DTD)which plays the role of a schema for an XML data collection. DTDs contain valuableinformation on the structure of documents and thus have a crucial role in the efficient storageof XML data; as well as the effective formulation and optimization of XML queries. In thispaper; we propose XTRACT; a novel system for inferring a DTD schema for a database ofXML documents. Since the DTD syntax incorporates the full expressive power of regularexpressions; naive approaches typically fail to produce concise and intuitive DTDs. Instead;the XTRACT inference algorithms employ a sequence of sophisticated steps that involve:(1)finding patterns in the input sequences and replacing them with regular expressions to …,ACM SIGMOD Record,2000,321
Topology discovery in heterogeneous IP networks,Yuri Breitbart; Minos Garofalakis; Cliff Martin; Rajeev Rastogi; S Seshadri; Avi Silberschatz,Knowledge of the up-to-date physical topology of an IP network is crucial to a number ofcritical network management tasks; including reactive and proactive resource management;event correlation; and root-cause analysis. Given the dynamic nature of today's IP networks;keeping track of topology information manually is a daunting (if not impossible) task. Thus;effective algorithms for automatically discovering physical network topology are necessary.Earlier work has typically concentrated on either:(a) discovering logical (ie; layer-3)topology; which implies that the connectivity of all layer-2 elements (eg; switches andbridges) is ignored; or (b) proprietary solutions targeting specific product families. In thispaper; we present novel algorithms for discovering physical topology in heterogeneous (ie;multi-vendor) IP networks. Our algorithms rely on standard SNMP MIB information that is …,INFOCOM 2000. Nineteenth Annual Joint Conference of the IEEE Computer and Communications Societies. Proceedings. IEEE,2000,304
Declarative networking: language; execution and optimization,Boon Thau Loo; Tyson Condie; Minos Garofalakis; David E Gay; Joseph M Hellerstein; Petros Maniatis; Raghu Ramakrishnan; Timothy Roscoe; Ion Stoica,Abstract The networking and distributed systems communities have recently explored avariety of new network architectures; both for application-level overlay networks; and asprototypes for a next-generation Internet architecture. In this context; we have investigateddeclarative networking: the use of a distributed recursive query engine as a powerful vehiclefor accelerating innovation in network architectures [23; 24; 33]. Declarative networkingrepresents a significant new application area for database research on recursive queryprocessing. In this paper; we address fundamental database issues in this domain. First; wemotivate and formally define the Network Datalog (NDlog) language for declarative networkspecifications. Second; we introduce and prove correct relaxed versions of the traditionalsemi-naïve query evaluation technique; to overcome fundamental problems of the …,Proceedings of the 2006 ACM SIGMOD international conference on Management of data,2006,280
