Matching events in a content-based subscription system,Marcos K Aguilera; Robert E Strom; Daniel C Sturman; Mark Astley; Tushar D Chandra,Content-based subscription systems are an emerging alternative to traditional publish-subscribe systems; because they permit more flexible subscriptions along multipledimensions. In these systems; each subscription is a predicate which may test arbitraryattributes within an event. However; the matching problem for content-based systems-determining for each event the subset of all subscriptions whose predicates match the event-is still an open problem. We present an efficient; scalable solution to the matching problem.Our solution has an expected time complexity that is sub-linear in the number ofsubscriptions; and it has a spacecomplexity that is linear. Specifically; we prove that forpredicates reducible to conjunctions of elementary tests; the expected time to match arandom event is no greater than O (N'-') where N is the number of subscriptions; and X is …,Proceedings of the eighteenth annual ACM symposium on Principles of distributed computing,1999,839
Performance debugging for distributed systems of black boxes,Marcos K Aguilera; Jeffrey C Mogul; Janet L Wiener; Patrick Reynolds; Athicha Muthitacharoen,Abstract Many interesting large-scale systems are distributed systems of multiplecommunicating components. Such systems can be very hard to debug; especially when theyexhibit poor performance. The problem becomes much harder when systems are composedof" black-box" components: software from many different (perhaps competing) vendors;usually without source code available. Typical solutions-provider employees are not alwaysskilled or experienced enough to debug these systems efficiently. Our goal is to design toolsthat enable modestly-skilled programmers (and experts; too) to isolate performancebottlenecks in distributed systems composed of black-box nodes. We approach this problemby obtaining message-level traces of system activity; as passively as possible and withoutany knowledge of node internals or message semantics. We have developed two very …,ACM SIGOPS Operating Systems Review,2003,715
On the quality of service of failure detectors,Wei Chen; Sam Toueg; Marcos Kawazoe Aguilera,We study the quality of service (QoS) of failure detectors. By QoS; we mean a specificationthat quantifies:(1) how fast the failure detector detects actual failures and (2) how well itavoids false detections. We first propose a set of QoS metrics to specify failure detectors forsystems with probabilistic behaviors; ie; for systems where message delays and messagelosses follow some probability distributions. We then give a new failure detector algorithmand analyze its QoS in terms of the proposed metrics. We show that; among a large class offailure detectors; the new algorithm is optimal with respect to some of these QoS metrics.Given a set of failure detector QoS requirements; we show how to compute the parametersof our algorithm so that it satisfies these requirements and we show how this can be doneeven if the probabilistic behavior of the system is not known. We then present some …,IEEE Transactions on computers,2002,583
Transactional storage for geo-replicated systems,Yair Sovran; Russell Power; Marcos K Aguilera; Jinyang Li,Abstract We describe the design and implementation of Walter; a key-value store thatsupports transactions and replicates data across distant sites. A key feature behind Walter isa new property called Parallel Snapshot Isolation (PSI). PSI allows Walter to replicate dataasynchronously; while providing strong guarantees within each site. PSI precludes write-write conflicts; so that developers need not worry about conflict-resolution logic. To preventwrite-write conflicts and implement PSI; Walter uses two new and simple techniques:preferred sites and counting sets. We use Walter to build a social networking application andport a Twitter-like application.,Proceedings of the Twenty-Third ACM Symposium on Operating Systems Principles,2011,295
Sinfonia: a new paradigm for building scalable distributed systems,Marcos K Aguilera; Arif Merchant; Mehul Shah; Alistair Veitch; Christos Karamanolis,Abstract We propose a new paradigm for building scalable distributed systems. Ourapproach does not require dealing with message-passing protocols--a major complication inexisting distributed systems. Instead; developers just design and manipulate data structureswithin our service called Sinfonia. Sinfonia keeps data for applications on a set of memorynodes; each exporting a linear address space. At the core of Sinfonia is a novelminitransaction primitive that enables efficient and consistent access to data; while hidingthe complexities that arise from concurrency and failures. Using Sinfonia; we implementedtwo very different and complex applications in a few months: a cluster file system and agroup communication service. Our implementations perform well and scale to hundreds ofmachines.,ACM SIGOPS Operating Systems Review,2007,287
Failure detection and consensus in the crash-recovery model,Marcos Kawazoe Aguilera; Wei Chen; Sam Toueg,Summary. We study the problems of failure detection and consensus in asynchronoussystems in which processes may crash and recover; and links may lose messages. We firstpropose new failure detectors that are particularly suitable to the crash-recovery model. Wenext determine under what conditions stable storage is necessary to solve consensus in thismodel. Using the new failure detectors; we give two consensus algorithms that match theseconditions: one requires stable storage and the other does not. Both algorithms tolerate linkfailures and are particularly efficient in the runs that are most likely in practice–those with nofailures or failure detector mistakes. In such runs; consensus is achieved within 3δ time andwith 4 n messages; where δ is the maximum message delay and n is the number ofprocesses in the system.,Distributed computing,2000,209
Heartbeat: A timeout-free failure detector for quiescent reliable communication,Marcos Kawazoe Aguilera; Wei Chen; Sam Toueg,Abstract We study the problem of achieving reliable communication with quiescentalgorithms (ie; algorithms that eventually stop sending messages) in asynchronous systemswith process crashes and lossy links. We first show that it is impossible to solve this problemwithout failure detectors. We then show how to solve it using a new failure detector; calledheartbeat. In contrast to previous failure detectors that have been used to circumventimpossibility results; the heartbeat failure detector is implementable; and its implementationdoes not use timeouts. These results have wide applicability: they can be used to transformmany existing algorithms that tolerate only process crashes into quiescent algorithms thattolerate both process crashes and message losses. This can be applied to consensus;atomic broadcast; k-set agreement; atomic commitment; etc. The heartbeat failure …,International Workshop on Distributed Algorithms,1997,199
Stable leader election,Marcos K Aguilera; Carole Delporte-Gallet; Hugues Fauconnier; Sam Toueg,Abstract We introduce the notion of stable leader election and derive several algorithms forthis problem. Roughly speaking; a leader election algorithm is stable if it ensures that once aleader is elected; it remains the leader for as long as it does not crash and its links havebeen behaving well; irrespective of the behavior of other processes and links. In addition tobeing stable; our leader election algorithms have several desirable properties. In particular;they are all communication-efficient; ie; they eventually use only n links to carry messages;and they are robust; ie; they work in systems where only the links to/from some correctprocess are required to be eventually timely. Moreover; our best leader election algorithmtolerates message losses; and it ensures that a leader is elected in constant time when thesystem is stable. We conclude the paper by applying the above ideas to derive a robust …,International Symposium on Distributed Computing,2001,171
Consistency-based service level agreements for cloud storage,Douglas B Terry; Vijayan Prabhakaran; Ramakrishna Kotla; Mahesh Balakrishnan; Marcos K Aguilera; Hussam Abu-Libdeh,Abstract Choosing a cloud storage system and specific operations for reading and writingdata requires developers to make decisions that trade off consistency for availability andperformance. Applications may be locked into a choice that is not ideal for all clients andchanging conditions. Pileus is a replicated key-value store that allows applications todeclare their consistency and latency priorities via consistency-based service levelagreements (SLAs). It dynamically selects which servers to access in order to deliver thebest service given the current configuration and system conditions. In application-specificSLAs; developers can request both strong and eventual consistency as well as intermediateguarantees such as read-my-writes. Evaluations running on a worldwide test bed with geo-replicated data show that the system adapts to varying client-server latencies to provide …,Proceedings of the Twenty-Fourth ACM Symposium on Operating Systems Principles,2013,158
On implementing omega with weak reliability and synchrony assumptions,Marcos K Aguilera; Carole Delporte-Gallet; Hugues Fauconnier; Sam Toueg,Abstract We study the feasibility and cost of implementing Ω---a fundamental failure detectorat the core of many algorithms---in systems with weak reliability and synchrony assumptions.Intuitively; Ω allows processes to eventually elect a common leader. We first give analgorithm that implements Ω in a weak system S where processes are synchronous; but:(a)any number of them may crash; and (b) only the output links of an unknown correct processare eventually timely (all other links can be asynchronous and/or lossy). This is in contrast toprevious implementations of Ω which assume that a quadratic number of links are eventuallytimely; or systems that are strong enough to implement the eventually perfect failure detectorP. We next show that implementing Ω in S is expensive: even if we want an implementationthat tolerates just one process crash; all correct processes (except possibly one) must …,Proceedings of the twenty-second annual symposium on Principles of distributed computing,2003,155
Communication-efficient leader election and consensus with limited link synchrony,Marcos K Aguilera; Carole Delporte-Gallet; Hugues Fauconnier; Sam Toueg,Abstract We study the degree of synchrony required to implement the leader election failuredetector Ω and to solve consensus in partially synchronous systems. We show that in asystem with n processes and up to f process crashes; one can implement Ω and solveconsensus provided there exists some (unknown) correct process with f outgoing links thatare eventually timely. In the special case where f= 1; an important case in practice; thisimplies that to implement Ω and solve consensus it is sufficient to have just one eventuallytimely link--all the other links in the system; Θ (n 2) of them; may be asynchronous. There isno need to know which link p→ q is eventually timely; when it becomes timely; or what is itsbound on message delay. Surprisingly; it is not even required that the source p ordestination q of this link be correct: either p or q may actually crash; in which case the link …,Proceedings of the twenty-third annual ACM symposium on Principles of distributed computing,2004,150
A practical scalable distributed b-tree,Marcos K Aguilera; Wojciech Golab; Mehul A Shah,Abstract Internet applications increasingly rely on scalable data structures that must supporthigh throughput and store huge amounts of data. These data structures can be hard toimplement efficiently. Recent proposals have overcome this problem by giving up ongenerality and implementing specialized interfaces and functionality (eg; Dynamo [4]). Wepresent the design of a more general and flexible solution: a fault-tolerant and scalabledistributed B-tree. In addition to the usual B-tree operations; our B-tree provides someimportant practical features: transactions for atomically executing several operations in oneor more B-trees; online migration of B-tree nodes between servers for load-balancing; anddynamic addition and removal of servers for supporting incremental growth of the system.Our design is conceptually simple. Rather than using complex concurrency and locking …,Proceedings of the VLDB Endowment,2008,136
Using erasure codes efficiently for storage in a distributed system,Marcos Kawazoe Aguilera; Ramaprabhu Janakiraman; Lihao Xu,Erasure codes provide space-optimal data redundancy to protect against data loss. Acommon use is to reliably store data in a distributed system; where erasure-coded data arekept in different nodes to tolerate node failures without losing data. In this paper; we proposea new approach to maintain ensure-encoded data in a distributed system. The approachallows the use of space efficient k-of-n erasure codes where n and k are large and theoverhead nk is small. Concurrent updates and accesses to data are highly optimized: incommon cases; they require no locks; no two-phase commits; and no logs of old versions ofdata. We evaluate our approach using an implementation and simulations for largersystems.,Dependable Systems and Networks; 2005. DSN 2005. Proceedings. International Conference on,2005,131
WAP5: black-box performance debugging for wide-area systems,Patrick Reynolds; Janet L Wiener; Jeffrey C Mogul; Marcos K Aguilera; Amin Vahdat,Abstract Wide-area distributed applications are challenging to debug; optimize; andmaintain. We present Wide-Area Project 5 (WAP5); which aims to make these tasks easierby exposing the causal structure of communication within an application and by exposingdelays that imply bottlenecks. These bottlenecks might not otherwise be obvious; with orwithout the application's source code. Previous research projects have presented algorithmsto reconstruct application structure and the corresponding timing information from black-boxmessage traces of local-area systems. In this paper we present (1) a new algorithm forreconstructing application structure in both local-and wide-area distributed systems;(2) aninfrastructure for gathering application traces in PlanetLab; and (3) our experiences tracingand analyzing three systems: CoDeeN and Coral; two content-distribution networks in …,Proceedings of the 15th international conference on World Wide Web,2006,129
Using the heartbeat failure detector for quiescent reliable communication and consensus in partitionable networks,Marcos Kawazoe Aguilera; Wei Chen; Sam Toueg,Abstract We consider partitionable networks with process crashes and lossy links; and focuson the problems of reliable communication and consensus for such networks. For bothproblems we seek algorithms that are quiescent; ie; algorithms that eventually stop sendingmessages. We first tackle the problem of reliable communication for partitionable networksby extending the results of Aguilera et al.(1997). In particular; we generalize the specificationof the heartbeat failure detector HB; show how to implement it; and show how to use it toachieve quiescent reliable communication. We then turn our attention to the problem ofconsensus for partitionable networks. We first show that; even though this problem can besolved using a natural extension of failure detector♢ L; such solutions are not quiescent—inother words;♢ L alone is not sufficient to achieve quiescent consensus in partitionable …,Theoretical Computer Science,1999,128
