CrowdDB: Answering queries with crowdsourcing,Michael Franklin; Donald Kossmann; Tim Kraska; Sukriti Ramesh; Reynold Xin,Abstract Some queries cannot be answered by machines only. Processing such queriesrequires human input for providing information that is missing from the database; forperforming computationally difficult functions; and for matching; ranking; or aggregatingresults based on fuzzy criteria. CrowdDB uses human input via crowdsourcing to processqueries that neither database systems nor search engines can adequately answer. It usesSQL both as a language for posing complex queries and as a way to model data. WhileCrowdDB leverages many aspects of traditional database systems; there are also importantdifferences. Conceptually; a major change is that the traditional closed-world assumption forquery processing does not hold for human input. From an implementation perspective;human-oriented query operators are needed to solicit; integrate and cleanse …,SIGMOD 2011,2011,567
MLlib: Machine Learning in Apache Spark,Xiangrui Meng; Joseph Bradley; Burak Yavuz; Evan Sparks; Shivaram Venkataraman; Davies Liu; Jeremy Freeman; DB Tsai; Manish Amde; Sean Owen; Doris Xin; Reynold Xin; Michael J Franklin; Reza Zadeh; Matei Zaharia; Ameet Talwalkar,Abstract Apache Spark is a popular open-source platform for large-scale data processingthat is well-suited for iterative machine learning tasks. In this paper we present MLlib;Spark's open-source distributed machine learning library. MLlib provides efficientfunctionality for a wide range of learning settings and includes several underlying statistical;optimization; and linear algebra primitives. Shipped with Spark; MLlib supports severallanguages and provides a high-level API that leverages Spark's rich ecosystem to simplifythe development of end-to-end machine learning pipelines. MLlib has experienced a rapidgrowth due to its vibrant open-source community of over 140 contributors; and includesextensive documentation to support further growth and to let users quickly get up to speed.,The Journal of Machine Learning Research,2016,511
GraphX: Graph Processing in a Distributed Dataflow Framework,Joseph E Gonzalez; Reynold S Xin; Ankur Dave; Daniel Crankshaw; Michael J Franklin; Ion Stoica,Abstract In pursuit of graph processing performance; the systems community has largelyabandoned general-purpose distributed dataflow frameworks in favor of specialized graphprocessing systems that provide tailored programming abstractions and accelerate theexecution of iterative graph algorithms. In this paper we argue that many of the advantagesof specialized graph processing systems can be recovered in a modern general-purposedistributed dataflow system. We introduce GraphX; an embedded graph processingframework built on top of Apache Spark; a widely used distributed dataflow system. GraphXpresents a familiar composable graph abstraction that is sufficient to express existing graphAPIs; yet can be implemented using only a few basic dataflow operators (eg; join; map;group-by). To achieve performance parity with specialized graph systems; GraphX …,OSDI 2014,2014,471
Spark SQL: Relational Data Processing in Spark,Michael Armbrust; Reynold S Xin; Cheng Lian; Yin Huai; Davies Liu; Joseph K Bradley; Xiangrui Meng; Tomer Kaftan; Michael J Franklin; Ali Ghodsi; Matei Zaharia,Abstract Spark SQL is a new module in Apache Spark that integrates relational processingwith Spark's functional programming API. Built on our experience with Shark; Spark SQL letsSpark programmers leverage the benefits of relational processing (eg declarative queriesand optimized storage); and lets SQL users call complex analytics libraries in Spark (egmachine learning). Compared to previous systems; Spark SQL makes two main additions.First; it offers much tighter integration between relational and procedural processing; througha declarative DataFrame API that integrates with procedural Spark code. Second; it includesa highly extensible optimizer; Catalyst; built using features of the Scala programminglanguage; that makes it easy to add composable rules; control code generation; and defineextension points. Using Catalyst; we have built a variety of features (eg schema inference …,SIGMOD 2015,2015,466
GraphX: A Resilient Distributed Graph System on Spark,Reynold S Xin; Joseph E Gonzalez; Michael J Franklin; Ion Stoica; EECS AMPLab,Abstract From social networks to targeted advertising; big graphs capture the structure indata and are central to recent advances in machine learning and data mining. Unfortunately;directly applying existing data-parallel tools to graph computation tasks can be cumbersomeand inefficient. The need for intuitive; scalable tools for graph computation has lead to thedevelopment of new graph-parallel systems (eg.; Pregel; PowerGraph) which are designedto efficiently execute graph algorithms. Unfortunately; these new graph-parallel systems donot address the challenges of graph construction and transformation which are often just asproblematic as the subsequent computation. Furthermore; existing graph-parallel systemsprovide limited fault-tolerance and support for interactive data mining. We introduce GraphX;which combines the advantages of both data-parallel and graph-parallel systems by …,GRADES (SIGMOD workshop),2013,415
Shark: SQL and Rich Analytics at Scale,Reynold Xin; Josh Rosen; Matei Zaharia; Michael J Franklin; Scott Shenker; Ion Stoica,Abstract Shark is a new data analysis system that marries query processing with complexanalytics on large clusters. It leverages a novel distributed memory abstraction to provide aunified engine that can run SQL queries and sophisticated analytics functions (eg iterativemachine learning) at scale; and efficiently recovers from failures mid-query. This allowsShark to run SQL queries up to 100X faster than Apache Hive; and machine learningprograms more than 100X faster than Hadoop. Unlike previous systems; Shark shows that itis possible to achieve these speedups while retaining a MapReduce-like execution engine;and the fine-grained fault tolerance properties that such engine provides. It extends such anengine in several ways; including column-oriented in-memory storage and dynamic mid-query replanning; to effectively execute SQL. The result is a system that matches the …,SIGMOD 2013,2013,411
Apache Spark: a unified engine for big data processing,Matei Zaharia; Reynold S Xin; Patrick Wendell; Tathagata Das; Michael Armbrust; Ankur Dave; Xiangrui Meng; Josh Rosen; Shivaram Venkataraman; Michael J Franklin; Ali Ghodsi; Joseph Gonzalez; Scott Shenker; Ion Stoica,The growth of data volumes in industry and research poses tremendous opportunities; as wellas tremendous computational challenges. As data sizes have outpaced the capabilities of singlemachines; users have needed new systems to scale out computations to multiple nodes. As aresult; there has been an explosion of new cluster programming models targeting diverse computingworkloads. 1;4;7;10 At first; these models were relatively specialized; with new models developedfor new workloads; for example; MapReduce 4 supported batch processing; but Google alsodeveloped Dremel 13 for interactive SQL queries and Pregel 11 for iterative graphalgorithms. In the open source Apache Hadoop stack; systems like Storm 1 and Impala 9 arealso specialized. Even in the relational database world; the trend has been to move away from"one-size-fits-all" systems. 18 Unfortunately; most big data applications need to combine …,Communications of the ACM,2016,138
Shark: fast data analysis using coarse-grained distributed memory,Cliff Engle; Antonio Lupher; Reynold Xin; Matei Zaharia; Michael J Franklin; Scott Shenker; Ion Stoica,Abstract Shark is a research data analysis system built on a novel coarse-grained distributedshared-memory abstraction. Shark marries query processing with deep data analysis;providing a unified system for easy data manipulation using SQL and pushing sophisticatedanalysis closer to data. It scales to thousands of nodes in a fault-tolerant manner. Shark cananswer queries 40X faster than Apache Hive and run machine learning programs 25X fasterthan MapReduce programs in Apache Hadoop on large datasets.,SIGMOD 2012,2012,121
Finding related tables,Anish Das Sarma; Lujun Fang; Nitin Gupta; Alon Halevy; Hongrae Lee; Fei Wu; Reynold Xin; Cong Yu,Abstract We consider the problem of finding related tables in a large corpus of heterogenoustables. Detecting related tables provides users a powerful tool for enhancing their tables withadditional data and enables effective reuse of available public data. Our first contribution is aframework that captures several types of relatedness; including tables that are candidatesfor joins and tables that are candidates for union. Our second contribution is a set ofalgorithms for detecting related tables that can be either unioned or joined. We describe aset of experiments that demonstrate that our algorithms produce highly related tables. Wealso show that we can often improve the results of table search by pulling up tables that areranked much lower based on their relatedness to top-ranked tables. Finally; we describehow to scale up our algorithms and show the results of running it on a corpus of over a …,SIGMOD 2012,2012,89
Graphx: Unifying data-parallel and graph-parallel analytics,Reynold S Xin; Daniel Crankshaw; Ankur Dave; Joseph E Gonzalez; Michael J Franklin; Ion Stoica,Abstract: From social networks to language modeling; the growing scale and importance ofgraph data has driven the development of numerous new graph-parallel systems (eg;Pregel; GraphLab). By restricting the computation that can be expressed and introducingnew techniques to partition and distribute the graph; these systems can efficiently executeiterative graph algorithms orders of magnitude faster than more general data-parallelsystems. However; the same restrictions that enable the performance gains also make itdifficult to express many of the important stages in a typical graph-analytics pipeline:constructing the graph; modifying its structure; or expressing computation that spans multiplegraphs. As a consequence; existing graph analytics pipelines compose graph-parallel anddata-parallel systems using external storage systems; leading to extensive data …,arXiv preprint arXiv:1402.2394,2014,56
The case for tiny tasks in compute clusters,Kay Ousterhout; Aurojit Panda; Joshua Rosen; Shivaram Venkataraman; Reynold Xin; Sylvia Ratnasamy; Scott Shenker; Ion Stoica,Abstract We argue for breaking data-parallel jobs in compute clusters into tiny tasks thateach complete in hundreds of milliseconds. Tiny tasks avoid the need for complex skewmitigation techniques: by breaking a large job into millions of tiny tasks; work will be evenlyspread over available resources by the scheduler. Furthermore; tiny tasks alleviate long waittimes seen in today's clusters for interactive jobs: even large batch jobs can be split intosmall tasks that finish quickly. We demonstrate a 5.2 x improvement in response times due tothe use of smaller tasks. In current data-parallel computing frameworks; high task launchoverheads and scalability limitations prevent users from running short tasks. Recentresearch has addressed many of these bottlenecks; we discuss remaining challenges andpropose a task execution framework that can efficiently support tiny tasks.,HotOS,2013,50
