A foundation for capturing and querying complex multidimensional data,Torben Bach Pedersen; Christian S Jensen; Curtis E Dyreson,Abstract On-line analytical processing (OLAP) systems considerably improve data analysisand are finding wide-spread use. OLAP systems typically employ multidimensional datamodels to structure their data. This paper identifies 11 modeling requirements formultidimensional data models. These requirements are derived from an assessment ofcomplex data found in real-world applications. A survey of 14 multidimensional data modelsreveals shortcomings in meeting some of the requirements. Existing models do not supportmany-to-many relationships between facts and dimensions; lack built-in mechanisms forhandling change and time; lack support for imprecision; and are generally unable to insertdata with varying granularities. This paper defines an extended multidimensional datamodel and algebraic query language that address all 11 requirements. The model reuses …,Information Systems,2001,340
Multidimensional data modeling for complex data,TB Pedersen; CS Jensen,Online Analytical Processing (OLAP) systems considerably ease the process of analyzingbusiness data and have become widely used in industry. Such systems primarily employmultidimensional data models to structure their data. However current multidimensional datamodels fall short in their abilities to model the complex data found in some real worldapplication domains. The paper presents nine requirements to multidimensional datamodels; each of which is exemplified by a real world; clinical case study. A survey of theexisting models reveals that the requirements not currently met include support for many-to-many relationships between facts and dimensions; built-in support for handling chance andtime; and support for uncertainty as well as different levels of granularity in the data. Thepaper defines an extended multidimensional data model; and an associated algebra …,Proceedings of the Fifteenth IEEE International Conference on Data Engineering (ICDE 99); Sydney; Australia,1999,297
Multidimensional database technology,Torben Bach Pedersen; Christian S Jensen,Multidimensional database technology is a key factor in the interactive analysis of largeamounts of data for decision making purposes. In contrast to previous technologies; thesedatabases view data as multidimensional cubes that are particularly well suited for dataanalysis. Multidimensional models categorize data either as facts with associated numericalmeasures or as textual dimensions that characterize the facts. Queries aggregate measurevalues over a range of dimension values to provide results such as total sales per month of agiven product. Multidimensional database technology is being applied to distributed dataand to new types of data that current technology often cannot adequately analyze. Forexample; classic techniques such as preaggregation cannot ensure fast query responsetimes when data-such as that obtained from sensors or GPS-equipped moving objects …,Computer,2001,267
Nearest neighbor queries in road networks,Christian S Jensen; Jan Kolářvr; Torben Bach Pedersen; Igor Timko,Abstract With wireless communications and geo-positioning being widely available; itbecomes possible to offer new e-services that provide mobile users with information aboutother mobile objects. This paper concerns active; ordered k-nearest neighbor queries forquery and data objects that are moving in road networks. Such queries may be of use inmany services. Specifically; we present an easily implementable data model that serves wellas a foundation for such queries. We also present the design of a prototype system thatimplements the queries based on the data model. The algorithm used for the nearestneighbor search in the prototype is presented in detail. In addition; the paper reports onresults from experiments with the prototype system.,Proceedings of the 11th ACM international symposium on Advances in geographic information systems,2003,224
Multidimensional Data Modeling for Location-Based Services,CS Jensen; A Kligys; TB Pedersen; I Timko,Abstract With the recent and continuing advances in areas such as wireless communicationsand positioning technologies; mobile; location-based services are becoming possible. Suchservices deliver location-dependent content to their users. More specifically; these servicesmay capture the movements and requests of their users in multidimensional databases; ie;data warehouses; and content delivery may be based on the results of complex queries onthese data warehouses. Such queries aggregate detailed data in order to find usefulpatterns; eg; in the interaction of a particular user with the services. The application ofmultidimensional technology in this context poses a range of new challenges. The specificchallenge addressed here concerns the provision of an appropriate multidimensional datamodel. In particular; the paper extends an existing multidimensional data model and …,The VLDB Journal—The International Journal on Very Large Data Bases,2004,196
Integrating data warehouses with web data: a survey,Juan Manuel Pérez; Rafael Berlanga; Maria Jose Aramburu; Torben Bach Pedersen,*,IEEE Transactions on Knowledge and Data Engineering,2008,158
Specifying OLAP cubes on XML data,Mikael R Jensen; Thomas H Møller; Torben Bach Pedersen,Abstract On-Line Analytical Processing (OLAP) enables analysts to gain insight about datathrough fast and interactive access to a variety of possible views on information; organizedin a dimensional model. The demand for data integration is rapidly becoming larger as moreand more information sources appear in modern enterprises. In the data warehousingapproach; selected information is extracted in advance and stored in a repository; yieldinggood query performance. However; in many situations a logical (rather than physical)integration of data is preferable. Previous web-based data integration efforts have focusedalmost exclusively on the logical level of data models; creating a need for techniquesfocused on the conceptual level. Also; previous integration techniques for web-based datahave not addressed the special needs of OLAP tools such as handling dimensions with …,Journal of Intelligent Information Systems,2001,150
Location-Based Services–A Database Perspective,CS Jensen; A Friis-Christensen; TB Pedersen; D Pfoser; S Saltenis; N. Tryfona,Abstract. We are heading rapidly towards a global computing and information infrastructurethat will contain billions of wirelessly connected devices; many of which will offer so-calledlocation-based services to their mobile users always and everywhere. Indeed; users willsoon take ubiquitous wireless access to information and services for granted. This scenariois made possible by the rapid advances in the underlying hardware technologies; whichcontinue to follow variants of Moore's Law. Examples of location-based services includetracking; way-finding; traffic management; safety-related services; and mixed-reality games;to name but a few. This paper outlines a general usage scenario for location-based services;in which data warehousing plays a central role; and it describes central challenges to be metby the involved software technologies in order for them to reach their full potential for …,Proceedings of the Eighth Scandinavian Research Conference on Geographical Information Science; As; Norway,2001,114
Extending practical pre-aggregation in on-line analytical processing,Torben Bach PedersenÝ; Christian S JensenÞ; Curtis E Dyreson,Abstract On-Line Analytical Processing (OLAP) based on a dimensional view of data isbeing used increasingly in traditional business applications as well as in applications suchas health care for the purpose of analyzing very large amounts of data. Pre-aggregation; theprior materialization of aggregate queries for later use; is an essential technique for ensuringadequate response time during data analysis. Full pre-aggregation; where all combinationsof aggregates are materialized; is infeasible. Instead; modern OLAP systems adopt thepractical pre-aggregation approach of materializing only select combinations of aggregatesand then re-use these for efficiently computing other aggregates. However; this re-use ofaggregates is contingent on the dimension hierarchies and the relationships between factsand dimensions satisfying stringent constraints. This severely limits the scope of the …,*,1999,112
Research issues in clinical data warehousing,Torben Bach Pedersen; Christian S Jensen,Medical informatics has been an important area for the application of computing anddatabase technology for at least four decades. This area may benefit from the functionalityoffered by data warehousing. However; the special nature of clinical applications posesdifferent and new requirements to data warehousing technologies; over those posed byconventional data warehouse applications. This article presents a number of exciting newresearch challenges posed by clinical applications; to be met by the database researchcommunity. These include the need for complex data modeling features; advanced temporalsupport; advanced classification structures; continuously valued data; dimensionallyreduced data; and the integration of very complex data. In addition; the support for clinicaltreatment protocols and medical research are interesting areas for research.,Scientific and Statistical Database Management; 1998. Proceedings. Tenth International Conference on,1998,108
