Vapor-phase fabrication and properties of continuous-filament ceramic composites,TM Besmann; BW Sheldon; RA Lowden; DP Stinton,The continuous-filament ceramic composite is becoming recognized as necessary for new;high-temperature structural applications. Yet because of the susceptibility of the filaments todamage from traditional methods for the preparation of ceramics; vapor-phase infiltrationhas become the fabrication method of choice. The chemical vapor infiltration methods forproducing these composites are now being studied in earnest; with the complexity offilament weaves and deposition chemistry being merged with standard heat and mass-transport relationships. Two of the most influential effects on the mechanical properties ofthese materials are the adhesion and frictional force between the fibers and the matrix;which can be controlled by a tailored interface coating. A variety of materials are availablefor producing these composites including carbide; nitride; boride; and oxide filaments and …,Science,1991,382
Advanced ceramics by chemical vapor deposition techniques,DAVIDP STINTON; THEODOREM BESMANN; RICHARDA LOWDEN,*,American ceramic society bulletin,1988,265
Thermodynamic review and calculations—alkali-metal oxide systems with nuclear fuels; fission products; and structural materials,Terrence B Lindemer; Theodore M Besmann; Carl E Johnson,Abstract This paper considers the phase equilibria of alkali metal oxides and theircombinations with other oxides relevant to nuclear fuels; fission products; and structuralmaterials. The other oxides include those of the lanthanides; the actinides; iron; nickel;aluminum; silicon; as well as those of periodic table groups IIA; IVB; VB; VIB; and VIA. Thealkali metal halides; chalcogenides; and hydroxides are also included. Techniques aredeveloped to permit calculation of phase equilibria and Ellingham diagrams in ternary andhigher-order systems. These techniques include estimation of previously unknown 298.15 Kvalues of the enthalpies of formation and the entropies of many compounds.,*,1981,218
Carbon/carbon composite bipolar plate for proton exchange membrane fuel cells,Theodore M Besmann; James W Klett; John J Henry; Edgar Lara‐Curzio,Abstract Carbon/carbon‐composite bipolar plates for proton exchange membrane fuel cells(PEMFC) have been fabricated by slurry molding a chopped‐fiber preform followed bysealing with chemically vapor‐infiltrated carbon. The resulting component is hermetic withrespect to through‐thickness leakage and has a high electronic conductivity (200–300 S/cm)as a result of the deposited graphitic carbon. The material has a low density Formula due toretained porosity resulting in a low‐weight component. Biaxial flexure strength wasmeasured to be 175±26 MPa. Cell testing of a Formula active area; single‐sided plateindicated very low cell resistance and high efficiency; but with a somewhat steep drop‐off involtage with current at high values. Corrosion testing indicated minimal corrosion in fuel cellenvironments.© 2000 The Electrochemical Society. All rights reserved.,Journal of the Electrochemical Society,2000,189
SOLGASMIX-PV; a computer program to calculate equilibrium relationships in complex chemical systems,Theodore M Besmann,ABSTRACT The use of the computer program SOLGASMIX-PV for calculating equilibriumcompositions is described. The program can calculate equilibria in systems containing agaseous phase; condensed phase solutions; and condensed phases of invariant or variablestoichiometry. Either a constant total gas volimie or a constant total pressure caji beassumed. Unit activities for condensed phases and ideality for solutions are assumed;although nonideal systems can be handled provided activity coefficient relationships areavailable.,*,1977,175
Chemical thermodynamic representation of< UO2±x,Terrence B Lindemer; Theodore M Besmann,Abstract The entire 2±x>★★ data base for the dependence of the nonstoichiometry; x; ontemperature and chemical potential of oxygen (oxygen potential) was retrieved from theliterature and represented. This data base was interpreted by least-squares analysis usingequations derived from the classical thermodynamic theory for the solid solution of a solutein a solvent. For hyperstoichiometric oxide at oxygen potentials more positive than−266700+ 16.5 TJ/mol; the data were best represented by a [UO 2]-[U 3 O 7] solution. For O/Uratios above 2 and oxygen potentials below this boundary; a [UO 2]-[U 2 O 4.5] solutionrepresented the data. The 2− x> data were represented by a [UO 2]-[U 1 3] solution. Theresulting equations represent the experimental ln (P★ O 2)− ln (x) behavior and can beused in thermodynamic calculations to predict phase boundary compositions consistent …,Journal of Nuclear Materials,1985,169
Fiber-reinforced SiC composites with improved mechanical properties,Anthony J Caputo; David P Stinton; Richard A Lowden; Theodore M Besmann,*,Am. Ceram. Soc. Bull.;(United States),1987,149
Chemical thermodynamic representations of< PuO2− x> and< U1− zPuzOw,Theodore M Besmann; Terrence B Lindemer,Abstract All available oxygen potential-temperature-composition data for the calcium fluorite-structure< PuO 2− x>★★ phase were retrieved from the literature and utilized in thedevelopment of a binary solid solution representation of the phase. The data and phaserelations are found to be best described by a solution of [Pu 4 3 O 2] and [PuO 2] with atemperature dependent interaction energy. The fluorite-structure 1− z Pu z O w> is assumedto be represented by a combination of the binaries 2− x> and 2±x>; and thus treated as asolution of [Pu 4 3 O 2];[PuO 2];[UO 2]; and either [U 2 O 4.5] or [U 3 O 7]. The resultingequations well reproduce the large amount of oxygen potential-temperature-compositiondata for the mixed oxide system; all of which were also retrieved from the literature. Thesemodels are the first that appear to display the appropriate oxygen potential-temperature …,Journal of Nuclear Materials,1985,97
Depletion effects of silicon carbide deposition from methyltrichlorosilane,Theodore M Besmann; Brian W Sheldon; Thomas S Moss; Michael D Kaster,Abstract The deposition rate of SiC on carbon-coated Nicalon fibers frommethyltrichlorosilane in hydrogen was measured as a function of temperature; pressure;total flow rate; and simulated reactant depletion. The results; together with kinetic informationon the stability of methyltrichlorosilane; led to two conclusions:(1) two different mechanismsof deposition can occur depending on whether the methyltrichlorosilane has an opportunityto dissociate into separate silicon-and carbon-containing precursors; and (2) the depositionrate is strongly reduced by the generation of byproduct HCl. The data were fitted to a simpleetch model to obtain a kinetic expression that accounts for the significant effect of HCl.,Journal of the American Ceramic Society,1992,93
Properties of Multilayered Interphases in SiC/SiC Chemical‐Vapor‐Infiltrated Composites with “Weak” and “Strong” Interfaces,Francis Rebillat; Jacques Lamon; Roger Naslain; Edgar Lara‐Curzio; Mattison K Ferber; Theodore M Besmann,Abstract The interfacial properties of SiC/SiC composites with interphases that consist of (C-SiC) sequences deposited on the fibers have been determined by single-fiber push-outtests. The matrix has been reinforced with either as-received or treated Nicalon fibers. Themeasured interfacial properties are correlated with the fiber-coatingbond strength and thenumber of interlayers. For the composites reinforced with as-received (weakly bonded)fibers; interfacial characteristics are extracted from the nonlinear portion of the stress-displacement curve by fitting Hsueh's push-out model. The interfacial characteristics arecontrolled by the carbon layer adjacent to the fiber. The resistance to interface crack growthand fiber sliding increases as the number of (C-SiC) sequences increases. For thecomposites reinforced with treated (strongly bonded) fibers; the push-out curves exhibit …,Journal of the American Ceramic Society,1998,81
