Delegatable pseudorandom functions and applications,Aggelos Kiayias; Stavros Papadopoulos; Nikos Triandopoulos; Thomas Zacharias,Abstract We put forth the problem of delegating the evaluation of a pseudorandom function(PRF) to an untrusted proxy and introduce a novel cryptographic primitive called delegatablepseudorandom functions; or DPRFs for short: A DPRF enables a proxy to evaluate apseudorandom function on a strict subset of its domain using a trapdoor derived from theDPRF secret key. The trapdoor is constructed with respect to a certain policy predicate thatdetermines the subset of input values which the proxy is allowed to compute. The mainchallenge in constructing DPRFs is to achieve bandwidth efficiency (which mandates thatthe trapdoor is smaller than the precomputed sequence of the PRF values conforming to thepredicate); while maintaining the pseudorandomness of unknown values against an attackerthat adaptively controls the proxy. A DPRF may be optionally equipped with an additional …,Proceedings of the 2013 ACM SIGSAC conference on Computer & communications security,2013,154
Nearest neighbor search with strong location privacy,Stavros Papadopoulos; Spiridon Bakiras; Dimitris Papadias,Abstract The tremendous growth of the Internet has significantly reduced the cost ofobtaining and sharing information about individuals; raising many concerns about userprivacy. Spatial queries pose an additional threat to privacy because the location of a querymay be sufficient to reveal sensitive information about the querier. In this paper we focus onk nearest neighbor (kNN) queries and define the notion of strong location privacy; whichrenders a query indistinguishable from any location in the data space. We argue thatprevious work fails to support this property for arbitrary kNN search. Towards this end; weintroduce methods that offer strong location privacy; by integrating private informationretrieval (PIR) functionality. Specifically; we employ secure hardware-aided PIR; which hasbeen proven very efficient and is currently considered as a practical mechanism for PIR …,Proceedings of the VLDB Endowment,2010,152
Authenticated join processing in outsourced databases,Yin Yang; Dimitris Papadias; Stavros Papadopoulos; Panos Kalnis,Abstract Database outsourcing requires that a query server constructs a proof of resultcorrectness; which can be verified by the client using the data owner's signature. Previousauthentication techniques deal with range queries on a single relation using anauthenticated data structure (ADS). On the other hand; authenticated join processing isinherently more complex than ranges since only the base relations (but not theircombination) are signed by the owner. In this paper; we present three novel join algorithmsdepending on the ADS availability:(i) Authenticated Indexed Sort Merge Join (AISM); whichutilizes a single ADS on the join attribute;(ii) Authenticated Index Merge Join (AIM) thatrequires an ADS (on the join attribute) for both relations; and (iii) Authenticated Sort MergeJoin (ASM); which does not rely on any ADS. We experimentally demonstrate that the …,Proceedings of the 2009 ACM SIGMOD International Conference on Management of data,2009,110
Spatial outsourcing for location-based services,Yin Yang; Stavros Papadopoulos; Dimitris Papadias; George Kollios,The embedding of positioning capabilities in mobile devices and the emergence of location-based applications have created novel opportunities for utilizing several types of multi-dimensional data through spatial outsourcing. In this setting; a data owner (DO) delegates itsdata management tasks to a location-based service (LBS) that processes queries originatingfrom several clients/subscribers. Because the LBS is not the real owner of the data; it mustprove (to each client) the correctness of query output using an authenticated structuresigned by the DO. Currently there is very narrow selection of multi-dimensionalauthenticated structures; among which the VR-tree is the best choice. Our first contribution isthe MR-tree; a novel index suitable for spatial outsourcing. We show; analytically andexperimentally; that the MR-tree outperforms the VR-tree; usually by orders of magnitude …,Data Engineering; 2008. ICDE 2008. IEEE 24th International Conference on,2008,92
Authenticated indexing for outsourced spatial databases,Yin Yang; Stavros Papadopoulos; Dimitris Papadias; George Kollios,Abstract In spatial database outsourcing; a data owner delegates its data management tasksto a location-based service (LBS); which indexes the data with an authenticated datastructure (ADS). The LBS receives queries (ranges; nearest neighbors) originating fromseveral clients/subscribers. Each query initiates the computation of a verification object (VO)based on the ADS. The VO is returned to the client that can verify the result correctnessusing the public key of the owner. Our first contribution is the MR-tree; a space-efficient ADSthat supports fast query processing and verification. Our second contribution is the MR*-tree;a modified version of the MR-tree; which significantly reduces the VO size through a novelembedding technique. Finally; whereas most ADSs must be constructed and maintained bythe owner; we outsource the MR-and MR*-tree construction and maintenance to the LBS …,The VLDB Journal,2009,90
Continuous authentication on relational streams,Stavros Papadopoulos; Yin Yang; Dimitris Papadias,Abstract According to the database outsourcing model; a data owner delegates databasefunctionality to a third-party service provider; which answers queries received from clients.Authenticated query processing enables the clients to verify the correctness of query results.Despite the abundance of methods for authenticated processing in conventional databases;there is limited work on outsourced data streams. Stream environments pose newchallenges such as the need for fast structure updating; support for continuous queryprocessing and authentication; and provision for temporal completeness. Specifically; inaddition to the correctness of individual results; the client must be able to verify that there areno missing results in between data updates. This paper presents a comprehensive set ofmethods covering relational streams. We first describe REF; a technique that achieves …,The VLDB Journal—The International Journal on Very Large Data Bases,2010,88
Practical differential privacy via grouping and smoothing,Georgios Kellaris; Stavros Papadopoulos,Abstract We address one-time publishing of non-overlapping counts with ε-differentialprivacy. These statistics are useful in a wide and important range of applications; includingtransactional; traffic and medical data analysis. Prior work on the topic publishes suchstatistics with prohibitively low utility in several practical scenarios. Towards this end; wepresent GS; a method that pre-processes the counts by elaborately grouping and smoothingthem via averaging. This step acts as a form of preliminary perturbation that diminishessensitivity; and enables GS to achieve ε-differential privacy through low Laplace noiseinjection. The grouping strategy is dictated by a sampling mechanism; which minimizes thesmoothing perturbation. We demonstrate the superiority of GS over its competitors; andconfirm its practicality; via extensive experiments on real datasets.,Proceedings of the 39th international conference on Very Large Data Bases,2013,58
A demonstration of the bigdawg polystore system,Aaron Elmore; Jennie Duggan; Mike Stonebraker; Magdalena Balazinska; Ugur Cetintemel; Vijay Gadepally; Jeffrey Heer; Bill Howe; Jeremy Kepner; Tim Kraska; Samuel Madden; David Maier; Timothy Mattson; Stavros Papadopoulos; Jeff Parkhurst; Nesime Tatbul; Manasi Vartak; Stan Zdonik,Abstract This paper presents BigDAWG; a reference implementation of a new architecturefor" Big Data" applications. Such applications not only call for large-scale analytics; but alsofor real-time streaming support; smaller analytics at interactive speeds; data visualization;and cross-storage-system queries. Guided by the principle that" one size does not fit all"; webuild on top of a variety of storage engines; each designed for a specialized use case. Toillustrate the promise of this approach; we demonstrate its effectiveness on a hospitalapplication using data from an intensive care unit (ICU). This complex application serves theneeds of doctors and researchers and provides real-time support for streams of patient data.It showcases novel approaches for querying across multiple storage engines; datavisualization; and scalable real-time analytics.,Proceedings of the VLDB Endowment,2015,55
Differentially private event sequences over infinite streams,Georgios Kellaris; Stavros Papadopoulos; Xiaokui Xiao; Dimitris Papadias,Abstract Numerous applications require continuous publication of statistics or monitoringpurposes; such as real-time traffic analysis; timely disease outbreak discovery; and socialtrends observation. These statistics may be derived from sensitive user data and; hence;necessitate privacy preservation. A notable paradigm for offering strong privacy guaranteesin statistics publishing is ε-differential privacy. However; there is limited literature that adaptsthis concept to settings where the statistics are computed over an infinite stream of"events"(ie; data items generated by the users); and published periodically. These works aimat hiding a single event over the entire stream. We argue that; in most practical scenarios;sensitive information is revealed from multiple events occurring at contiguous timeinstances. Towards this end; we put forth the novel notion of w-event privacy over infinite …,Proceedings of the VLDB Endowment,2014,55
Topologically sorted skylines for partially ordered domains,Dimitris Sacharidis; Stavros Papadopoulos; Dimitris Papadias,The vast majority of work on skyline queries considers totally ordered domains; whereas inmany applications some attributes are partially ordered; as for instance; domains of setvalues; hierarchies; intervals and preferences. The only work addressing this issue haslimited progressiveness and pruning ability; and it is only applicable to static skylines. Thispaper overcomes these problems with the following contributions.(i) We introduce a genericframework; termed TSS; for handling partially ordered domains using topological sorting.(ii)We propose a novel dominance check that eliminates false hits/misses; further enhancingprogressiveness and pruning ability.(iii) We extend our methodology to dynamic skylineswith respect to an input query. In this case; the dominance relationships change according tothe query specification; and their computation is rather complex. We perform an extensive …,Data Engineering; 2009. ICDE'09. IEEE 25th International Conference on,2009,53
