The PSP approach for mining sequential patterns,Florent Masseglia; Fabienne Cathala; Pascal Poncelet,Abstract In this paper; we present an approach; called PSP; for mining sequential patternsembedded in a database. Close to the problem of discovering association rules; miningsequential patterns requires handling time constraints. Originally introduced in [3]; the issueis addressed by the GSP approach [10]. Our proposal resumes the general principles ofGSP but it makes use of a different intermediary data structure which is proved to be moreefficient than in GSP.,European Symposium on Principles of Data Mining and Knowledge Discovery,1998,361
Incremental mining of sequential patterns in large databases,Florent Masseglia; Pascal Poncelet; Maguelonne Teisseire,Abstract In this paper; we consider the problem of the incremental mining of sequentialpatterns when new transactions or new customers are added to an original database. Wepresent a new algorithm for mining frequent sequences that uses information collectedduring an earlier mining process to cut down the cost of finding new sequential patterns inthe updated database. Our test shows that the algorithm performs significantly faster than thenaive approach of mining the whole updated database from scratch. The difference is sopronounced that this algorithm could also be useful for mining sequential patterns; since inmany cases it is faster to apply our algorithm than to mine sequential patterns using astandard algorithm; by breaking down the database into an original database plus anincrement.,Data & Knowledge Engineering,2003,239
An efficient algorithm for web usage mining,Florent Masseglia; Pascal Poncelet; Rosine Cicchetti,ABSTRACT. With the growing popularity of the World Wide Web (Web); large volumes ofdata are gathered automatically by Web servers and collected in access log files. Analysis ofserver access data can provide significant and useful information. In this paper; we addressthe problem of Web usage mining; ie mining user patterns from one or more Web servers forfinding relationships between data stored [COO 97]; and pay particular attention to thehandling of time constraints [SRI 96]. We adapt a very efficient algorithm for miningsequential patterns in the “market-basket” approach [MAS 98]; to this particular context.RЩSUMЩ. Avec la popularitщ du World Wide Web (Web); de grandes quantitщsd'information sont automatiquement collectщes par des serveurs Web et stockщes dans desfichiers access log. L'analyse de ces fichiers peut fournir des informations pertinentes et …,Networking and Information Systems Journal,2000,117
Using data mining techniques on web access logs to dynamically improve hypertext structure,Florent Masseglia; Pascal Poncelet; Maguelonne Teisseire,Abstract With the growing popularity of the World Wide Web (Web); large volumes of datasuch as user address or URL requested are gathered automatically by Web servers andcollected in access log files. Discovering relationships and global patterns that exist in suchfiles can provide significant and useful information for performance enhancement;restructuring a Web site for increased effectiveness; and customer targeting in electroniccommerce. In this paper; we propose an integrated system (WebTool) for applying datamining techniques such as association rules or sequential patterns on access log files. Onceinteresting patterns are discovered; we illustrate how they can be used to customize theserver hypertext organization dynamically.,ACM sigweb Newsletter,1999,98
Web usage mining: extracting unexpected periods from web logs,Florent Masseglia; Pascal Poncelet; Maguelonne Teisseire; Alice Marascu,Abstract Existing Web usage mining techniques are currently based on an arbitrary divisionof the data (eg “one log per month”) or guided by presumed results (eg “what is thecustomers' behaviour for the period of Christmas purchases?”). These approaches have twomain drawbacks. First; they depend on the above-mentioned arbitrary organization of data.Second; they cannot automatically extract “seasonal peaks” from among the stored data. Inthis paper; we propose a specific data mining process (in particular; to extract frequentbehaviour patterns) in order to reveal the densest periods automatically. From the whole setof possible combinations; our method extracts the frequent sequential patterns related to theextracted periods. A period is considered to be dense if it contains at least one frequentsequential pattern for the set of users connected to the website in that period. Our …,Data Mining and Knowledge Discovery,2008,55
Multimedia data mining: a systematic introduction to concepts and theory,Zhongfei Zhang; Ruofei Zhang,Collecting the latest developments in the field; Multimedia Data Mining: A SystematicIntroduction to Concepts and Theory defines multimedia data mining; its theory; and itsapplications. Two of the most active researchers in multimedia data mining explore how thisyoung area has rapidly developed in recent years. The book first discusses the theoreticalfoundations of multimedia data mining; presenting commonly used feature representation;knowledge representation; statistical learning; and soft computing techniques. It thenprovides application examples that showcase the great potential of multimedia data miningtechnologies. In this part; the authors show how to develop a semantic repository trainingmethod and a concept discovery method in an imagery database. They demonstrate howknowledge discovery helps achieve the goal of imagery annotation. The authors also …,*,2008,51
Mining sequential patterns from data streams: a centroid approach,Alice Marascu; Florent Masseglia,Abstract In recent years; emerging applications introduced new constraints for data miningmethods. These constraints are typical of a new kind of data: the data streams. In datastream processing; memory usage is restricted; new elements are generated continuouslyand have to be considered in a linear time; no blocking operator can be performed and thedata can be examined only once. At this time; only a few methods has been proposed formining sequential patterns in data streams. We argue that the main reason is thecombinatory phenomenon related to sequential pattern mining. In this paper; we propose analgorithm based on sequences alignment for mining approximate sequential patterns inWeb usage data streams. To meet the constraint of one scan; a greedy clustering algorithmassociated to an alignment method is proposed. We will show that our proposal is able to …,Journal of Intelligent Information Systems,2006,50
Pre-processing time constraints for efficiently mining generalized sequential patterns,Florent Masseglia; Pascal Poncelet; Maguelonne Teisseire,In this paper we consider the problem of discovering sequential patterns by handling timeconstraints. While sequential patterns could be seen as temporal relationships betweenfacts embedded in the database; generalized sequential patterns aim at providing the enduser with a more flexible handling of the transactions embedded in the database. Wepropose a new efficient algorithm; called GTC (graph for time constraints) for mining suchpatterns in very large databases. It is based on the idea that handling time constraints in theearlier stage of the algorithm can be highly beneficial since it minimizes computational costsby preprocessing data sequences. Our test shows that the proposed algorithm performssignificantly faster than a state-of-the-art sequence mining algorithm.,Temporal Representation and Reasoning; 2004. TIME 2004. Proceedings. 11th International Symposium on,2004,50
Efficient mining of sequential patterns with time constraints: Reducing the combinations,Florent Masseglia; Pascal Poncelet; Maguelonne Teisseire,Abstract In this paper we consider the problem of discovering sequential patterns byhandling time constraints as defined in the G sp algorithm. While sequential patterns couldbe seen as temporal relationships between facts embedded in the database whereconsidered facts are merely characteristics of individuals or observations of individualbehavior; generalized sequential patterns aim to provide the end user with a more flexiblehandling of the transactions embedded in the database. We thus propose a new efficientalgorithm; called G tc (Graph for Time Constraints) for mining such patterns in very largedatabases. It is based on the idea that handling time constraints in the earlier stage of thedata mining process can be highly beneficial. One of the most significant new feature of ourapproach is that handling of time constraints can be easily taken into account in …,Expert Systems with Applications,2009,48
Sequential pattern mining,Florent Masseglia; Maguelonne Teisseire; Pascal Poncelet,Abstract Sequential pattern mining deals with data represented as sequences (a sequencecontains sorted sets of items). Compared to the association rule problem; a study of suchdata provides “inter-transaction” analysis (Agrawal & Srikant; 1995). Applications forsequential pattern extraction are numerous and the problem definition has been slightlymodified in different ways. Associated to elegant solutions; these problems can match withreal-life timestamped data (when association rules fail) and provide useful results.,*,2005,43
