Time-aware point-of-interest recommendation,Quan Yuan; Gao Cong; Zongyang Ma; Aixin Sun; Nadia Magnenat Thalmann,Abstract The availability of user check-in data in large volume from the rapid growinglocation based social networks (LBSNs) enables many important location-aware services tousers. Point-of-interest (POI) recommendation is one of such services; which is torecommend places where users have not visited before. Several techniques have beenrecently proposed for the recommendation service. However; no existing work hasconsidered the temporal information for POI recommendations in LBSNs. We believe thattime plays an important role in POI recommendations because most users tend to visitdifferent places at different time in a day;\eg visiting a restaurant at noon and visiting a bar atnight. In this paper; we define a new problem; namely; the time-aware POI recommendation;to recommend POIs for a given user at a specified time in a day. To solve the problem; we …,Proceedings of the 36th international ACM SIGIR conference on Research and development in information retrieval,2013,329
Who; where; when and what: discover spatio-temporal topics for twitter users,Quan Yuan; Gao Cong; Zongyang Ma; Aixin Sun; Nadia Magnenat Thalmann,Abstract Micro-blogging services; such as Twitter; and location-based social networkapplications have generated short text messages associated with geographic information;posting time; and user ids. The availability of such data received from users offers a goodopportunity to study the user's spatial-temporal behavior and preference. In this paper; wepropose a probabilistic model W 4 (short for Who+Where+When+What) to exploit such datato discover individual users' mobility behaviors from spatial; temporal and activity aspects.To the best of our knowledge; our work offers the first solution to jointly model individualuser's mobility behavior from the three aspects. Our model has a variety of applications; suchas user profiling and location prediction; it can be employed to answer questions suchas``Can we infer the location of a user given a tweet posted by the user and the posting …,Proceedings of the 19th ACM SIGKDD international conference on Knowledge discovery and data mining,2013,138
Graph-based point-of-interest recommendation with geographical and temporal influences,Quan Yuan; Gao Cong; Aixin Sun,Abstract The availability of user check-in data in large volume from the rapid growinglocation-based social networks (LBSNs) enables a number of important location-awareservices. Point-of-interest (POI) recommendation is one of such services; which is torecommend POIs that users have not visited before. It has been observed that:(i) users tendto visit nearby places; and (ii) users tend to visit different places in different time slots; and inthe same time slot; users tend to periodically visit the same places. For example; usersusually visit a restaurant during lunch hours; and visit a pub at night. In this paper; we focuson the problem of time-aware POI recommendation; which aims at recommending a list ofPOIs for a user to visit at a given time. To exploit both geographical and temporal influencesin time aware POI recommendation; we propose the Geographical-Temporal influences …,Proceedings of the 23rd ACM International Conference on Conference on Information and Knowledge Management,2014,100
Personalized Ranking Metric Embedding for Next New POI Recommendation.,Shanshan Feng; Xutao Li; Yifeng Zeng; Gao Cong; Yeow Meng Chee; Quan Yuan,Abstract The rapidly growing of Location-based Social Networks (LBSNs) provides a vastamount of check-in data; which enables many services; eg; point-ofinterest (POI)recommendation. In this paper; we study the next new POI recommendation problem inwhich new POIs with respect to users' current location are to be recommended. Thechallenge lies in the difficulty in precisely learning users' sequential information andpersonalizing the recommendation model. To this end; we resort to the Metric Embeddingmethod for the recommendation; which avoids drawbacks of the Matrix Factorizationtechnique. We propose a personalized ranking metric embedding method (PRME) to modelpersonalized check-in sequences. We further develop a PRME-G model; which integratessequential information; individual preference; and geographical influence; to improve the …,IJCAI,2015,58
COM: a generative model for group recommendation,Quan Yuan; Gao Cong; Chin-Yew Lin,Abstract With the rapid development of online social networks; a growing number of peopleare willing to share their group activities; eg having dinners with colleagues; and watchingmovies with spouses. This motivates the studies on group recommendation; which aims torecommend items for a group of users. Group recommendation is a challenging problembecause different group members have different preferences; and how to make a trade-offamong their preferences for recommendation is still an open problem. In this paper; wepropose a probabilistic model named COM (COnsensus Model) to model the generativeprocess of group activities; and make group recommendations. Intuitively; users in a groupmay have different influences; and those who are expert in topics relevant to the group areusually more influential. In addition; users in a group may behave differently as group …,Proceedings of the 20th ACM SIGKDD international conference on Knowledge discovery and data mining,2014,48
Topic-driven reader comments summarization,Zongyang Ma; Aixin Sun; Quan Yuan; Gao Cong,Abstract Readers of a news article often read its comments contributed by other readers. Byreading comments; readers obtain not only complementary information about this newsarticle but also the opinions from other readers. However; the existing ranking mechanismsfor comments (eg; by recency or by user rating) fail to offer an overall picture of topicsdiscussed in comments. In this paper; we first propose to study Topic-driven ReaderComments Summarization (Torcs) problem. We observe that many news articles from anews stream are related to each other; so are their comments. Hence; news articles andtheir associated comments provide context information for user commenting. To implicitlycapture the context information; we propose two topic models to address the Torcs problem;namely; Master-Slave Topic Model (MSTM) and Extended Master-Slave Topic Model …,Proceedings of the 21st ACM international conference on Information and knowledge management,2012,44
Enhancing naive bayes with various smoothing methods for short text classification,Quan Yuan; Gao Cong; Nadia Magnenat Thalmann,Abstract Partly due to the proliferance of microblog; short texts are becoming prominent. Ahuge number of short texts are generated every day; which calls for a method that canefficiently accommodate new data to incrementally adjust classification models. Naive Bayesmeets such a need. We apply several smoothing models to Naive Bayes for question topicclassification; as an example of short text classification; and study their performance. Theexperimental results on a large real question data show that the smoothing methods areable to significantly improve the question classification performance of Naive Bayes. Wealso study the effect of training data size; and question length on performance.,Proceedings of the 21st International Conference on World Wide Web,2012,43
Who; where; when; and what: A nonparametric bayesian approach to context-aware recommendation and search for twitter users,Quan Yuan; Gao Cong; Kaiqi Zhao; Zongyang Ma; Aixin Sun,Abstract Micro-blogging services and location-based social networks; such as Twitter;Weibo; and Foursquare; enable users to post short messages with timestamps andgeographical annotations. The rich spatial-temporal-semantic information of individualsembedded in these geo-annotated short messages provides exciting opportunity to developmany context-aware applications in ubiquitous computing environments. Exampleapplications include contextual recommendation and contextual search. To obtain accuraterecommendations and most relevant search results; it is important to capture users'contextual information (eg; time and location) and to understand users' topical interests andintentions. While time and location can be readily captured by smartphones; understandinguser's interests and intentions calls for effective methods in modeling user mobility …,ACM Transactions on Information Systems (TOIS),2015,38
Geoburst: Real-time local event detection in geo-tagged tweet streams,Chao Zhang; Guangyu Zhou; Quan Yuan; Honglei Zhuang; Yu Zheng; Lance Kaplan; Shaowen Wang; Jiawei Han,Abstract The real-time discovery of local events (eg; protests; crimes; disasters) is of greatimportance to various applications; such as crime monitoring; disaster alarming; and activityrecommendation. While this task was nearly impossible years ago due to the lack of timelyand reliable data sources; the recent explosive growth in geo-tagged tweet data brings newopportunities to it. That said; how to extract quality local events from geo-tagged tweetstreams in real time remains largely unsolved so far. We propose GeoBurst; a method thatenables effective and real-time local event detection from geo-tagged tweet streams. With anovel authority measure that captures the geo-topic correlations among tweets; GeoBurstfirst identifies several pivots in the query window. Such pivots serve as representative tweetsfor potential local events and naturally attract similar tweets to form candidate events. To …,Proceedings of the 39th International ACM SIGIR conference on Research and Development in Information Retrieval,2016,36
Tagging your tweets: A probabilistic modeling of hashtag annotation in twitter,Zongyang Ma; Aixin Sun; Quan Yuan; Gao Cong,Abstract The adoption of hashtags in major social networks including Twitter; Facebook; andGoogle+ is a strong evidence of its importance in facilitating information diffusion and socialchatting. To understand the factors (eg; user interest; posting time and tweet content) thatmay affect hashtag annotation in Twitter and to capture the implicit relations between latenttopics in tweets and their corresponding hashtags; we propose two PLSA-style topic modelsto model the hashtag annotation behavior in Twitter. Content-Pivoted Model (CPM) assumesthat tweet content guides the generation of hashtags while Hashtag-Pivoted Model (HPM)assumes that hashtags guide the generation of tweet content. Both models jointlyincorporate user; time; hashtag and tweet content in a probabilistic framework. The PLSA-style models also enable us to verify the impact of social factor on hashtag annotation by …,Proceedings of the 23rd ACM International Conference on Conference on Information and Knowledge Management,2014,33
