Computing consistent query answers using conflict hypergraphs,Jan Chomicki; Jerzy Marcinkowski; Slawomir Staworko,Abstract A consistent query answer in a possibly inconsistent database is an answer whichis true in every (minimal) repair of the database. We present here a practical framework forcomputing consistent query answers for large; possibly inconsistent relational databases.We consider relational algebra queries without projection; and denial constraints. Becauseour framework handles union queries; we can effectively (and efficiently) extract indefinitedisjunctive information from an inconsistent database. We describe a number of noveloptimization techniques applicable in this context and summarize experimental results thatvalidate our approach.,Proceedings of the thirteenth ACM international conference on Information and knowledge management,2004,102
Prioritized repairing and consistent query answering in relational databases,Sławek Staworko; Jan Chomicki; Jerzy Marcinkowski,Abstract A consistent query answer in an inconsistent database is an answer obtained inevery (minimal) repair. The repairs are obtained by resolving all conflicts in all possibleways. Often; however; the user is able to provide a preference on how conflicts should beresolved. We investigate here the framework of preferred consistent query answers; in whichuser preferences are used to narrow down the set of repairs to a set of preferred repairs. Weaxiomatize desirable properties of preferred repairs. We present three different families ofpreferred repairs and study their mutual relationships. Finally; we investigate the complexityof preferred repairing and computing preferred consistent query answers.,Annals of Mathematics and Artificial Intelligence,2012,54
Hippo: A system for computing consistent answers to a class of SQL queries,Jan Chomicki; Jerzy Marcinkowski; Slawomir Staworko,Abstract Integrity constraints express important properties of data; but the task of preservingdata consistency is becoming increasingly problematic with new database applications. Forexample; in the case of integration of several data sources; even if the sources areseparately consistent; the integrated data can violate the integrity constraints. The traditionalapproach; removing the conflicting data; is not a good option because the sources can beautonomous. Another scenario is a long-running activity where consistency can be violatedonly temporarily and future updates will restore it. Finally; data consistency may beneglected because of efficiency or other reasons.,International Conference on Extending Database Technology,2004,50
Validity-sensitive querying of XML databases,Slawomir Staworko; Jan Chomicki,Abstract We consider the problem of querying XML documents which are not valid withrespect to given DTDs. We propose a framework for measuring the invalidity of XMLdocuments and compactly representing minimal repairing scenarios. Furthermore; wepresent a validity-sensitive method of querying XML documents; which extracts moreinformation from invalid XML documents than does the standard query evaluation. Finally;we provide experimental results which validate our approach.,International Conference on Extending Database Technology,2006,49
Learning twig and path queries,Sławek Staworko; Piotr Wieczorek,Abstract We investigate the problem of learning XML queries; path queries and twig queries;from examples given by the user. A learning algorithm takes on the input a set of XMLdocuments with nodes annotated by the user and returns a query that selects the nodes in amanner consistent with the annotation. We study two learning settings that differ with thetypes of annotations. In the first setting the user may only indicate required nodes that thequery must select (ie; positive examples). In the second; more general; setting; the user mayalso indicate forbidden nodes that the query must not select (ie; negative examples). Thequery may or may not select any node with no annotation. We formalize what it means for aclass of queries to be learnable. One requirement is the existence of a learning algorithmthat is sound ie; always returning a query consistent with the examples given by the user …,Proceedings of the 15th International Conference on Database Theory,2012,34
Consistent query answers in the presence of universal constraints,Sławomir Staworko; Jan Chomicki,Abstract The framework of consistent query answers and repairs has been introduced toalleviate the impact of inconsistent data on the answers to a query. A repair is a minimallydifferent consistent instance and an answer is consistent if it is present in every repair. In thisarticle we study the complexity of consistent query answers and repair checking in thepresence of universal constraints. We propose an extended version of the conflicthypergraph which allows to capture all repairs wrt a set of universal constraints. We showthat repair checking is in PTIME for the class of full tuple-generating dependencies anddenial constraints; and we present a polynomial repair algorithm. This algorithm is sound; iealways produces a repair; but also complete; ie every repair can be constructed. Next; wepresent a polynomial-time algorithm computing consistent answers to ground quantifier …,Information Systems,2010,34
Preference-driven querying of inconsistent relational databases,Slawomir Staworko; Jan Chomicki; Jerzy Marcinkowski,Abstract One of the goals of cleaning an inconsistent database is to remove conflictsbetween tuples. Typically; the user specifies how the conflicts should be resolved.Sometimes this specification is incomplete; and the cleaned database may still beinconsistent. At the same time; data cleaning is a rather drastic approach to conflictresolution: It removes tuples from the database; which may lead to information loss andinaccurate query answers. We investigate an approach which constitutes an alternative todata cleaning. The approach incorporates preference-driven conflict resolution into queryanswering. The database is not changed. These goals are achieved by augmenting theframework of consistent query answers through various notions of preferred repair. Weaxiomatize desirable properties of preferred repair families and propose different notions …,International Conference on Extending Database Technology,2006,33
gMark: schema-driven generation of graphs and queries,Guillaume Bagan; Angela Bonifati; Radu Ciucanu; George HL Fletcher; Aurélien Lemay; Nicky Advokaat,Massive graph data sets are pervasive in contemporary application domains. Hence; graphdatabase systems are becoming increasingly important. In the experimental study of thesesystems; it is vital that the research community has shared solutions for the generation ofdatabase instances and query workloads having predictable and controllable properties. Inthis paper; we present the design and engineering principles of gMark; a domainand querylanguage-independent graph instance and query workload generator. A core contribution ofgMark is its ability to target and control the diversity of properties of both the generatedinstances and the generated workloads coupled to these instances. Further noveltiesinclude support for regular path queries; a fundamental graph query paradigm; and schema-driven selectivity estimation of queries; a key feature in controlling workload chokepoints …,IEEE transactions on knowledge and data engineering,2017,25
Equivalence of deterministic nested word to word transducers,Sławomir Staworko; Grégoire Laurence; Aurélien Lemay; Joachim Niehren,Abstract We study the equivalence problem of deterministic nested word to word transducersand show it to be surprisingly robust. Modulo polynomial time reductions; it can be identifiedwith 4 equivalence problems for diverse classes of deterministic non-copying order-preserving transducers. In particular; we present polynomial time back and fourth reductionsto the morphism equivalence problem on context free languages; which is known to besolvable in polynomial time.,International Symposium on Fundamentals of Computation Theory,2009,24
Complexity and Expressiveness of ShEx for RDF,Slawek Staworko; Iovka Boneva; Jose E Labra Gayo; Samuel Hym; Eric G Prud'hommeaux; Harold Solbrig,Abstract We study the expressiveness and complexity of Shape Expression Schema (ShEx);a novel schema formalism for RDF currently under development by W3C. A ShEx assignstypes to the nodes of an RDF graph and allows to constrain the admissible neighborhoodsof nodes of a given type with regular bag expressions (RBEs). We formalize and investigatetwo alternative semantics; multi-and single-type; depending on whether or not a node mayhave more than one type. We study the expressive power of ShEx and study the complexityof the validation problem. We show that the single-type semantics is strictly more expressivethan the multi-type semantics; single-type validation is generally intractable and multi-typevalidation is feasible for a small (yet practical) subclass of RBEs. To curb the highcomputational complexity of validation; we propose a natural notion of determinism and …,LIPIcs-Leibniz International Proceedings in Informatics,2015,21
