Consistent query answers in inconsistent databases,Marcelo Arenas; Leopoldo Bertossi; Jan Chomicki,Abstract In this paper we consider the problem of the logical characterization of the notion ofconsistent answer in a relational database that may violate given integrity constraints. Thisnotion is captured in terms of the possible repaired versions of the database. A rnethod forcomputing consistent answers is given and its soundness and completeness (for someclasses of constraints and queries) proved. The method is based on an iterative procedurewhose termination for several classes of constraints is proved as well.,Proceedings of the eighteenth ACM SIGMOD-SIGACT-SIGART symposium on Principles of database systems,1999,824
Semantics and complexity of SPARQL,Jorge Pérez; Marcelo Arenas; Claudio Gutierrez,Abstract SPARQL is the standard language for querying RDF data. In this article; we addresssystematically the formal study of the database aspects of SPARQL; concentrating in itsgraph pattern matching facility. We provide a compositional semantics for the core part ofSPARQL; and study the complexity of the evaluation of several fragments of the language.Among other complexity results; we show that the evaluation of general SPARQL patterns isPSPACE-complete. We identify a large class of SPARQL patterns; defined by imposing asimple and natural syntactic restriction; where the query evaluation problem can be solvedmore efficiently. This restriction gives rise to the class of well-designed patterns. We showthat the evaluation problem is coNP-complete for well-designed patterns. Moreover; weprovide several rewriting rules for well-designed patterns whose application may have a …,ACM Transactions on Database Systems (TODS),2009,651
A normal form for XML documents,Marcelo Arenas; Leonid Libkin,Abstract This article takes a first step towards the design and normalization theory for XMLdocuments. We show that; like relational databases; XML documents may contain redundantinformation; and may be prone to update anomalies. Furthermore; such problems arecaused by certain functional dependencies among paths in the document. Our goal is to finda way of converting an arbitrary DTD into a well-designed one; that avoids these problems.We first introduce the concept of a functional dependency for XML; and define its semanticsvia a relational representation of XML. We then define an XML normal form; XNF; that avoidsupdate anomalies and redundancies. We study its properties; and show that XNFgeneralizes BCNF; we also discuss the relationship between XNF and normal forms fornested relations. Finally; we present a lossless algorithm for converting any DTD into one …,ACM Transactions on Database Systems (TODS),2004,560
Semantics and Complexity of SPARQL,Jorge Pérez; Marcelo Arenas; Claudio Gutierrez,Abstract SPARQL is the W3C candidate recommendation query language for RDF. In thispaper we address systematically the formal study of SPARQL; concentrating in its graphpattern facility. We consider for this study simple RDF graphs without special semantics forliterals and a simplified version of filters which encompasses all the main issues. We providea compositional semantics; prove there are normal forms; prove complexity bounds; amongothers that the evaluation of SPARQL patterns is PSPACE-complete; compare our semanticsto an alternative operational semantics; give simple and natural conditions when bothsemantics coincide and discuss optimization procedures.,International semantic web conference,2006,558
Mapping data in peer-to-peer systems: Semantics and algorithmic issues,Anastasios Kementsietsidis; Marcelo Arenas; Renée J Miller,Abstract We consider the problem of mapping data in peer-to-peer data-sharing systems.Such systems often rely on the use of mapping tables listing pairs of corresponding values tosearch for data residing in different peers. In this paper; we address semantic andalgorithmic issues related to the use of mapping tables. We begin by arguing why mappingtables are appropriate for data mapping in a peer-to-peer environment. We discussalternative semantics for these tables and we present a language that allows the user tospecify mapping tables under different semantics. Then; we show that by treating mappingtables as constraints (called mapping constraints) on the exchange of information betweenpeers it is possible to reason about them. We motivate why reasoning capabilities areneeded to manage mapping tables and show the importance of inferring new mapping …,Proceedings of the 2003 ACM SIGMOD international conference on Management of data,2003,323
XML data exchange: consistency and query answering,Marcelo Arenas; Leonid Libkin,Abstract Data exchange is the problem of finding an instance of a target schema; given aninstance of a source schema and a specification of the relationship between the source andthe target. Theoretical foundations of data exchange have recently been investigated forrelational data. In this article; we start looking into the basic properties of XML dataexchange; that is; restructuring of XML documents that conform to a source DTD under atarget DTD; and answering queries written over the target schema. We define XML dataexchange settings in which source-to-target dependencies refer to the hierarchical structureof the data. Combining DTDs and dependencies makes some XML data exchange settingsinconsistent. We investigate the consistency problem and determine its exact complexity.,Journal of the ACM (JACM),2008,254
The hyperion project: from data integration to data coordination,Marcelo Arenas; Vasiliki Kantere; Anastasios Kementsietsidis; Iluju Kiringa; Renée J Miller; John Mylopoulos,Abstract We present an architecture and a set of challenges for peer database managementsystems. These systems team up to build a network of nodes (peers) that coordinate at runtime most of the typical DBMS tasks such as the querying; updating; and sharing of data.Such a network works in a way similar to conventional multidatabases. Conventionalmultidatabase systems are founded on key concepts such as those of a global schema;central administrative authority; data integration; global access to multiple databases;permanent participation of databases; etc. Instead; our proposal assumes total absence ofany central authority or control; no global schema; transient participation of peer databases;and constantly evolving coordination rules among databases. In this work; we describe thestatus of the Hyperion project; present our current solutions; and outline remaining …,ACM SIGMOD Record,2003,227
Answer sets for consistent query answering in inconsistent databases,Marcelo Arenas; Leopoldo Bertossi; Jan Chomicki,Abstract: A relational database is inconsistent if it does not satisfy a given set of integrityconstraints. Nevertheless; it is likely that most of the data in it is consistent with theconstraints. In this paper we apply logic programming based on answer sets to the problemof retrieving consistent information from a possibly inconsistent database. Since consistentinformation persists from the original database to every of its minimal repairs; the approachis based on a specification of database repairs using disjunctive logic programs withexceptions; whose answer set semantics can be represented and computed by systems thatimplement stable model semantics. These programs allow us to declare persistence bydefaults and repairing changes by exceptions. We concentrate mainly on logic programs forbinary integrity constraints; among which we find most of the integrity constraints found in …,arXiv preprint cs/0207094,2002,195
An information-theoretic approach to normal forms for relational and XML data,Marcelo Arenas; Leonid Libkin,Abstract Normalization as a way of producing good relational database designs is a well-understood topic. However; the same problem of distinguishing well-designed databasesfrom poorly designed ones arises in other data models; in particular; XML. While; in therelational world; the criteria for being well designed are usually very intuitive and clear tostate; they become more obscure when one moves to more complex data models. Our goalis to provide a set of tools for testing when a condition on a database design; specified by anormal form; corresponds to a good design. We use techniques of information theory; anddefine a measure of information content of elements in a database with respect to a set ofconstraints. We first test this measure in the relational context; providing information-theoretic justification for familiar normal forms such as BCNF; 4NF; PJ/NF; 5NFR; DK/NF …,Journal of the ACM (JACM),2005,158
nSPARQL: A navigational language for RDF,Jorge Pérez; Marcelo Arenas; Claudio Gutierrez,Abstract Navigational features have been largely recognized as fundamental for graphdatabase query languages. This fact has motivated several authors to propose RDF querylanguages with navigational capabilities. In this paper; we propose the query languagenSPARQL that uses nested regular expressions to navigate RDF data. We study some of thefundamental properties of nSPARQL and nested regular expressions concerningexpressiveness and complexity of evaluation. Regarding expressiveness; we show thatnSPARQL is expressive enough to answer queries considering the semantics of the RDFSvocabulary by directly traversing the input graph. We also show that nesting is necessary innSPARQL to obtain this last result; and we study the expressiveness of the combination ofnested regular expressions and SPARQL operators. Regarding complexity of evaluation …,Web Semantics: Science; Services and Agents on the World Wide Web,2010,139
Scalar aggregation in inconsistent databases,Marcelo Arenas; Leopoldo Bertossi; Jan Chomicki; Xin He; Vijay Raghavan; Jeremy Spinrad,Abstract We consider here scalar aggregation queries in databases that may violate a givenset of functional dependencies. We define consistent answers to such queries to be greatest-lowest/least-upper bounds on the value of the scalar function across all (minimal) repairs ofthe database. We show how to compute such answers. We provide a completecharacterization of the computational complexity of this problem. We also show howtractability can be improved in several special cases (one involves a novel application ofBoyce–Codd Normal Form) and present a practical hybrid query evaluation method.,Theoretical Computer Science,2003,132
