Morgan Kaufmann series in data management systems: Designing data-intensive Web applications,Stefano Ceri; Piero Fraternali; Aldo Bongio; Marco Brambilla; Sara Comai; Maristella Matera,The most prominent Web applications in use today are data-intensive. Scores of databasemanagement systems across the Internet access and maintain large amounts of structureddata for e-commerce; on-line trading; banking; digital libraries; and other high-volume sites.Developing and maintaining these data-intensive applications is an especially complex;multi-disciplinary activity; requiring all the tools and techniques that software engineeringcan provide. This book represents a breakthrough for Web application developers. Usinghundreds of illustrations and an elegant intuitive modeling language; the authors-allinternationally-known database researchers-present a methodology that fully exploits theconceptual modeling approach of software engineering; from idea to application. Readerswill learn not only how to harness the design technologies of relational databases for use …,*,2003,706
Model-driven software engineering in practice,Marco Brambilla; Jordi Cabot; Manuel Wimmer,Abstract This book discusses how model-based approaches can improve the daily practiceof software professionals. This is known as Model-Driven Software Engineering (MDSE) or;simply; Model-Driven Engineering (MDE). MDSE practices have proved to increaseefficiency and effectiveness in software development; as demonstrated by variousquantitative and qualitative studies. MDSE adoption in the software industry is foreseen togrow exponentially in the near future; eg; due to the convergence of software developmentand business analysis. The aim of this book is to provide you with an agile and flexible toolto introduce you to the MDSE world; thus allowing you to quickly understand its basicprinciples and techniques and to choose the right set of MDSE instruments for your needs sothat you can start to benefit from MDSE right away. The book is organized into two main …,Synthesis Lectures on Software Engineering,2012,546
Process modeling in web applications,Marco Brambilla; Stefano Ceri; Piero Fraternali; Ioana Manolescu,Abstract While Web applications evolve towards ubiquitous; enterprise-wide ormultienterprise information systems; they face new requirements; such as the capability ofmanaging complex processes spanning multiple users and organizations; byinterconnecting software provided by different organizations. Significant efforts are currentlybeing invested in application integration; to support the composition of business processesof different companies; so as to create complex; multiparty business scenarios. In thissetting; Web applications; which were originally conceived to allow the user-to-systemdialogue; are extended with Web services; which enable system-to-system interaction; andwith process control primitives; which permit the implementation of the required businessconstraints. This article presents new Web engineering methods for the high-level …,ACM Transactions on Software Engineering and Methodology (TOSEM),2006,208
Model-driven design and deployment of service-enabled web applications,Ioana Manolescu; Marco Brambilla; Stefano Ceri; Sara Comai; Piero Fraternali,Abstract Significant effort is currently invested in application integration; enabling businessprocesses of different companies to interact and form complex multiparty processes. Webservice standards; based on WSDL (Web Service Definition Language); have been adoptedas process-to-process communication paradigms. However; the conceptual modeling ofapplications using Web services has not yet been addressed. Interaction with Web servicesis often specified at the level of the source code; thus; Web service interfaces are buriedwithin a programmatic specification. In this article; we argue that Web services should beconsidered first-class citizens in the specification of Web applications. Thus; service-enabledWeb applications should benefit from the high-level modeling and automatic codegeneration techniques that have long been advocated for Web application design and …,ACM Transactions on Internet Technology (TOIT),2005,141
Answering search queries with crowdsearcher,Alessandro Bozzon; Marco Brambilla; Stefano Ceri,Abstract Web users are increasingly relying on social interaction to complete and validatethe results of their search activities. While search systems are superior machines to getworld-wide information; the opinions collected within friends and expert/local communitiescan ultimately determine our decisions: human curiosity and creativity is often capable ofgoing much beyond the capabilities of search systems in scouting" interesting" results; orsuggesting new; unexpected search directions. Such personalized interaction occurs inmost times aside of the search systems and processes; possibly instrumented and mediatedby a social network; when such interaction is completed and users resort to the use ofsearch systems; they do it through new queries; loosely related to the previous search or tothe social interaction. In this paper we propose CrowdSearcher; a novel search paradigm …,Proceedings of the 21st international conference on World Wide Web,2012,117
Choosing the right crowd: expert finding in social networks,Alessandro Bozzon; Marco Brambilla; Stefano Ceri; Matteo Silvestri; Giuliano Vesci,Abstract Expert selection is an important aspect of many Web applications; eg; when theyaim at matching contents; tasks or advertisement based on user profiles; possibly retrievedfrom social networks. This paper focuses on selecting experts within the population of socialnetworks; according to the information about the social activities of their users. We considerthe following problem: given an expertise need (expressed for instance as a naturallanguage query) and a set of social network members; who are the most knowledgeablepeople for addressing that need? We considers social networks both as a source ofexpertise information and as a route to reach expert users; and define models and methodsfor evaluating people's expertise by considering their profiles and by tracing their activities insocial networks. For matching queries to social resources; we use both text analysis and …,Proceedings of the 16th International Conference on Extending Database Technology,2013,106
Search computing,Stefano Ceri,Abstract Search Computing is a new paradigm for composing search services. While state-of-art search systems answer generic or domain-specific queries; Search Computing enablesanswering questions via a constellation of dynamically selected; cooperating searchservices; which are correlated by means of join operations. The idea is simple; yetpervasive. New language and description paradigms are required for expressing queriesand for connecting services. New user interfaces and protocols help capturing rankingpreferences and enabling their refinement.,*,2010,99
Search computing,Stefano Ceri,Abstract Search Computing is a new paradigm for composing search services. While state-of-art search systems answer generic or domain-specific queries; Search Computing enablesanswering questions via a constellation of dynamically selected; cooperating searchservices; which are correlated by means of join operations. The idea is simple; yetpervasive. New language and description paradigms are required for expressing queriesand for connecting services. New user interfaces and protocols help capturing rankingpreferences and enabling their refinement.,*,2010,86
Liquid query: multi-domain exploratory search on the web,Alessandro Bozzon; Marco Brambilla; Stefano Ceri; Piero Fraternali,Abstract In this paper we propose the Liquid Query paradigm; to support users in findingresponses to multi-domain queries through exploratory information seeking acrossstructured information sources (Web documents; deep Web data; and personal datarepositories); wrapped by means of a uniform notion of search service. Liquid Query aims atfilling the gap between general-purpose search engines; which are unable to findinformation spanning multiple topics; and domain-specific search systems; which cannot gobeyond their domain limits. The Liquid Query interface consists of interaction primitives thatlet users pose questions and explore results spanning over multiple sources incrementally;thus getting closer and closer to the sought information. We demonstrate our approach witha prototype built upon the YQL (Yahoo! Query Language) framework.,Proceedings of the 19th international conference on World wide web,2010,83
Exception handling in workflow-driven web applications,Marco Brambilla; Stefano Ceri; Sara Comai; Christina Tziviskou,Abstract As the Web becomes a platform for implementing B2B applications; the need arisesof Web conceptual models for describing Web oriented workflow applications implementingbusiness processes. In this context; new problems about process correctness arise; due tothe loose control of Web applications upon the behavior of their Web clients. Indeed;incoherent user's behavior can lead to inconsistent processes. This paper presents a highlevel approach to the management of exceptions that occur during the execution ofprocesses on the Web. We present a classification of exceptions that can be raised insideworkflow-driven Web applications; and recovery policies to retrieve coherent status and dataafter an exception. We devise these concepts at high level and then we exploit them using aWeb modeling language (WebML) that in turn provides development facilities like …,Proceedings of the 14th international conference on World Wide Web,2005,83
Specification and design of workflow-driven hypertexts,Marco Brambilla; Stefano Ceri; Sara Comai; Piero Fraternali; Ioana Manolescu,Abstract While the Web consolidates as the ubiquitous application delivery platform; thefeatures of Web applications evolve to cover new requirements; like the capability ofmanaging complex workflows spanning multiple users and organizations. This scenariochallenges the Web engineering methods to address a broader class of applications. Thispaper introduces workflow-driven hypertexts; defined as Web-enabled hypertextualapplications serving the workflow of multiple users; and proposes a design methodintegrating data; hypertext; and workflow modeling concepts for modeling lightweightWebenabled workflows; this approach extends the benefits of high-level conceptualmodeling and automatic code generation to a much broader class of Web applications.,Journal of Web Engineering,2002,82
Model-driven design and development of semantic Web service applications,Marco Brambilla; Stefano Ceri; Federico Michele Facca; Irene Celino; Dario Cerizza; Emanuele Della Valle,Abstract This article proposes a model-driven methodology to design and develop semanticWeb service applications and their components; described according to the emergingWSMO standard. In particular; we show that business processes and Web engineeringmodels have sufficient expressive power to support the semiautomatic extraction of semanticdescriptions (ie; WSMO ontologies; goals; Web services; and mediators); thus partiallyhiding the complexity of dealing with semantics. Our method is based on existing models forthe specification of business processes (BPMN) combined with Web engineering models fordesigning and developing semantically rich Web applications (WebML). The proposedapproach leads from an abstract view of the business needs to a concrete implementation ofthe application by means of several design steps; high-level models are transformed into …,ACM Transactions on Internet Technology (TOIT),2007,73
A software engineering approach to design and development of semantic web service applications,Marco Brambilla; Irene Celino; Stefano Ceri; Dario Cerizza; Emanuele Della Valle; Federico Michele Facca,Abstract We present a framework for designing and developing Semantic Web Serviceapplications that span over several enterprises by applying techniques; methodologies; andnotations offered by Software engineering; Web engineering; and Business Processmodeling. In particular; we propose to exploit existing standards for the specification ofbusiness processes (eg; BPMN); for modeling the cross enterprise process; combined withpowerful methodologies; tools and notations (eg; WebML) borrowed from the Webengineering field for designing and developing semantically rich Web applications; withsemi-automatic elicitation of semantic descriptions (ie; WSMO Ontologies; Goals; WebServices and Mediators) from the design of the applications; with huge advantages in termsof efficiency of the design and reduction of the extra work necessary for semantically …,International Semantic Web Conference,2006,72
Designing web applications with WebML and WebRatio,Marco Brambilla; Sara Comai; Piero Fraternali; Maristella Matera,The Web Modeling Language (WebML) is a third-generation Web design methodology;conceived in 1998 in the wake of the early hypermedia models and the pioneering works onhypermedia and Web design; like HDM (Garzotto et al.; 1993) and RMM (Isakowitz et al.;1995). The original goal of WebML was to support the design and implementation of so-called dataintensive Web applications (Ceri et al.; 2002); defined as Web sites for accessingand maintaining large amounts of structured data; typically stored as records in a databasemanagement system; like online trading and ecommerce applications; institutional Web sitesof private and public organizations; digital libraries; corporate portals; and community sites.To achieve this goal; WebML reused existing conceptual data models and proposed anoriginal notation for expressing the navigation and composition features of hypertext …,*,2008,69
Combining social web and BPM for improving enterprise performances: the BPM4People approach to social BPM,Marco Brambilla; Piero Fraternali; Carmen Karina Vaca Ruiz,Abstract Social BPM fuses business process management practices with social networkingapplications; with the aim of enhancing the enterprise performance by means of a controlledparticipation of external stakeholders to process design and enactment. This project-centered demonstration paper proposes a model-driven approach to participatory and socialenactment of business processes. The approach consists of defining a specific notation fordescribing Social BPM behaviors (defined as a BPMN 2.0 extension); a methodology; and atechnical framework that allows enterprises to implement of social processes as Webapplications integrated with public or private Web social networks. The presented work isperformed within the BPM4People SME Capacities project,Proceedings of the 21st International Conference on World Wide Web,2012,67
Webratio 5: An eclipse-based case tool for engineering web applications,Roberto Acerbis; Aldo Bongio; Marco Brambilla; Stefano Butti,Abstract The goal of this work is to present the software WebRatio 5; which is a goodrepresentative of a new generation of CASE tools for model-driven design of Webapplications. WebRatio 5 supports the WebML language and methodology; and exploits theimplementation experience of previous versions of the software for providing user-friendlyapplication design paradigms and reliable code generation engines. The tool is developedas a set of Eclipse plug-ins and takes advantage of all the features of this IDE framework.Moreover; it provides new capabilities in terms of support of extensions to the models;project documentation; and coverage of new phases of the development lifecycle. Theoverall approach moves towards a full coverage of the specification; design; verification; andimplementation of Web applications.,International Conference on Web Engineering,2007,65
BPMN and design patterns for engineering social BPM solutions,Marco Brambilla; Piero Fraternali; Carmen Vaca,Abstract The integration of social software and BPM can help organizations harness thevalue of informal relationships and weak ties; without compromising the consolidatedbusiness practices embedded in conventional BPM solutions. This paper presents a processdesign methodology; supported by a tool suite; for addressing the extension of businessprocesses with social features. The social process design exploits an extension of BPMN forcapturing social requirements; a gallery of social BPM design patterns that representreusable solutions to recurrent process socialization requirements; and a model-to-modeland mode-to-code transformation technology that automatically produces a processenactment Web application connected with mainstream social platforms.,International Conference on Business Process Management,2011,64
