SAP HANA database: data management for modern business applications,Franz Färber; Sang Kyun Cha; Jürgen Primsch; Christof Bornhövd; Stefan Sigg; Wolfgang Lehner,Abstract The SAP HANA database is positioned as the core of the SAP HANA Appliance tosupport complex business analytical processes in combination with transactionallyconsistent operational workloads. Within this paper; we outline the basic characteristics ofthe SAP HANA database; emphasizing the distinctive features that differentiate the SAPHANA database from other classical relational database management systems. On thetechnical side; the SAP HANA database consists of multiple data processing engines with adistributed query processing environment to provide the full spectrum of data processing--from classical relational data supporting both row-and column-oriented physicalrepresentations in a hybrid engine; to graph and text processing for semi-and unstructureddata management within the same system. From a more application-oriented perspective …,ACM Sigmod Record,2012,313
Modeling large scale OLAP scenarios,Wolfgang Lehner,Abstract In the recent past; different multidimensional data models were introduced to modelOLAP ('Online Analytical Processing') scenarios. Design problems arise; when the modeledOLAP scenarios become very large and the dimensionality increases; which greatlydecreases the support for an efficient ad-hoc data analysis process. Therefore; we extendthe classical multidimensional model by grouping functionally dependent attributes withinsingle dimensions; yielding in real orthogonal dimensions; which are easy to create and tomaintain on schema design level. During the multidimensional data analysis phase; thistechnique yields in nested data cubes reflecting an intuitive two-step navigation process:classification-oriented 'drill-down'/'roll-up'and description-oriented 'split'/'merge'operators ondata cubes. Thus; the proposed Nested Multidimensional Data Model provides great …,International Conference on Extending Database Technology,1998,246
Normal forms for multidimensional databases,Wolfgang Lehner; Jens Albrecht; Hartmut Wedekind,In the area of online analytical processing (OLAP); the concept of multidimensionaldatabases is receiving much popularity. Thus; a couple of different multidimensional datamodels were proposed from the research as well as from the commercial product side; eachemphasizing different perspectives. However; very little work has been done investigatingguidelines for good schema design within such a multidimensional data model. Based on alogical reconstruction of multidimensional schema design; this paper proposes twomultidimensional normal forms. These normal forms define modeling constraints forsummary attributes describing the cells within a multidimensional data cube and constraintsto model complex dimensional structures appropriately. Multidimensional schemascompliant to these normal forms do not only ensure the validity of analytical computations …,Scientific and Statistical Database Management; 1998. Proceedings. Tenth International Conference on,1998,194
The SAP HANA Database--An Architecture Overview.,Franz Färber; Norman May; Wolfgang Lehner; Philipp Große; Ingo Müller; Hannes Rauhe; Jonathan Dees,Abstract Requirements of enterprise applications have become much more demanding.They require the computation of complex reports on transactional data while thousands ofusers may read or update records of the same data. The goal of the SAP HANA database isthe integration of transactional and analytical workload within the same databasemanagement system. To achieve this; a columnar engine exploits modern hardware(multiple CPU cores; large main memory; and caches); compression of database content;maximum parallelization in the database kernel; and database extensions required byenterprise applications; eg; specialized data structures for hierarchies or support for domainspecific languages. In this paper we highlight the architectural concepts employed in theSAP HANA database. We also report on insights gathered with the SAP HANA database …,IEEE Data Eng. Bull.,2012,191
Efficient transaction processing in SAP HANA database: the end of a column store myth,Vishal Sikka; Franz Färber; Wolfgang Lehner; Sang Kyun Cha; Thomas Peh; Christof Bornhövd,Abstract The SAP HANA database is the core of SAP's new data management platform. Theoverall goal of the SAP HANA database is to provide a generic but powerful system fordifferent query scenarios; both transactional and analytical; on the same data representationwithin a highly scalable execution environment. Within this paper; we highlight the mainfeatures that differentiate the SAP HANA database from classical relational databaseengines. Therefore; we outline the general architecture and design criteria of the SAP HANAin a first step. In a second step; we challenge the common belief that column store datastructures are only superior in analytical workloads and not well suited for transactionalworkloads. We outline the concept of record life cycle management to use different storageformats for the different stages of a record. We not only discuss the general concept but …,Proceedings of the 2012 ACM SIGMOD International Conference on Management of Data,2012,145
Efficient exploitation of similar subexpressions for query processing,Jingren Zhou; Per-Ake Larson; Johann-Christoph Freytag; Wolfgang Lehner,Abstract Complex queries often contain common or similar subexpressions; either within asingle query or among multiple queries submitted as a batch. If so; query execution time canbe improved by evaluating a common subexpression once and reusing the result in multipleplaces. However; current query optimizers do not recognize and exploit similarsubexpressions; even within the same query. We present an efficient; scalable; andprincipled solution to this long-standing optimization problem. We introduce a light-weightand effective mechanism to detect potential sharing opportunities among expressions.Candidate covering subexpressions are constructed and optimization is resumed todetermine which; if any; such subexpressions to include in the final query plan. The chosensubexpression (s) are computed only once and the results are reused to answer other …,Proceedings of the 2007 ACM SIGMOD international conference on Management of data,2007,94
Representing data quality in sensor data streaming environments,Anja Klein; Wolfgang Lehner,Abstract Sensors in smart-item environments capture data about product conditions andusage to support business decisions as well as production automation processes. Achallenging issue in this application area is the restricted quality of sensor data due tolimited sensor precision and sensor failures. Moreover; data stream processing to meetresource constraints in streaming environments introduces additional noise and decreasesthe data quality. In order to avoid wrong business decisions due to dirty data; qualitycharacteristics have to be captured; processed; and provided to the respective businesstask. However; the issue of how to efficiently provide applications with information aboutdata quality is still an open research problem. In this article; we address this problem bypresenting a flexible model for the propagation and processing of data quality. The …,Journal of Data and Information Quality (JDIQ),2009,72
RiTE: Providing on-demand data for right-time data warehousing,Christian Thomsen; Torben Bach Pedersen; Wolfgang Lehner,Data warehouses (DWs) have traditionally been loaded with data at regular time intervals;eg; monthly; weekly; or daily; using fast bulk loading techniques. Recently; the trend is toinsert all (or only some) new source data very quickly into DWs; called near-realtime DWs(right-time DWs). This is done using regular INSERT statements; resulting in too low insertspeeds. There is thus a great need for a solution that makes inserted data available quickly;while still providing bulk-load insert speeds. This paper presents RiTE (" Right-Time ETL"); amiddleware system that provides exactly that. A data producer (ETL) can insert data thatbecomes available to data consumers on demand. RiTE includes an innovative main-memory based catalyst that provides fast storage and offers concurrency control. A numberof policies controlling the bulk movement of data based on user requirements for …,Data Engineering; 2008. ICDE 2008. IEEE 24th International Conference on,2008,69
The state of open data,Katrin Braunschweig; Julian Eberius; Maik Thiele; Wolfgang Lehner,ABSTRACT Following the Open Data trend; governments and public agencies have startedmaking their data available to the public using web portals; web services or REST interfaces.Ideally; making this data available on the web would lead to more transparency;participation and innovation throughout society. However; just publishing the data on theweb is not enough. To truly advance the open society; the publication platforms need to fulfillcertain legal; administrative as well as technical requirements. In this paper we present asurvey of existing Open Government Data platforms; focusing on the technical aspects. Westudied over fifty Open Data repositories operated by national; regional and communalgovernments; as well as international organizations. Features such as standardization;discoverability and machinereadability of data were taken into account. Furthermore; a …,Limits of current open data platforms,2012,57
On solving the view selection problem in distributed data warehouse architectures,Andreas Bauer; Wolfgang Lehner,The use of materialized views in a data warehouse installation is a common tool to speed upmostly aggregation queries. The problems coming along with materialized aggregate viewshave triggered a huge variety of proposals; such as picking the optimal set of aggregationcombinations; transparently rewriting user queries to take advantage of the summary data;or synchronizing pre-computed summary data as soon as the base data changes. The paperfocuses on the problem of view selection in the context of distributed data warehousearchitectures. While much research was done with regard to the view selection problem inthe central case; we are not aware to any other work discussing the problem of viewselection in distributed data warehouse systems. The paper proposes an extension of theconcept of an aggregation lattice to capture the distributed semantics. Moreover; we …,Scientific and Statistical Database Management; 2003. 15th International Conference on,2003,55
