Gestures without libraries; toolkits or training: a $1 recognizer for user interface prototypes,Jacob O Wobbrock; Andrew D Wilson; Yang Li,Abstract Although mobile; tablet; large display; and tabletop computers increasingly presentopportunities for using pen; finger; and wand gestures in user interfaces; implementinggesture recognition largely has been the privilege of pattern matching experts; not userinterface prototypers. Although some user interface libraries and toolkits offer gesturerecognizers; such infrastructure is often unavailable in design-oriented environments likeFlash; scripting environments like JavaScript; or brand new off-desktop prototypingenvironments. To enable novice programmers to incorporate gestures into their UIprototypes; we present a" $1 recognizer" that is easy; cheap; and usable almost anywhere inabout 100 lines of code. In a study comparing our $1 recognizer; Dynamic Time Warping;and the Rubine classifier on user-supplied gestures; we found that $1 obtains over 97 …,Proceedings of the 20th annual ACM symposium on User interface software and technology,2007,734
User-defined motion gestures for mobile interaction,Jaime Ruiz; Yang Li; Edward Lank,Abstract Modern smartphones contain sophisticated sensors to monitor three-dimensionalmovement of the device. These sensors permit devices to recognize motion gestures-deliberate movements of the device by end-users to invoke commands. However; little isknown about best-practices in motion gesture design for the mobile computing paradigm. Toaddress this issue; we present the results of a guessability study that elicits end-user motiongestures to invoke commands on a smartphone device. We demonstrate that consensusexists among our participants on parameters of movement and on mappings of motiongestures onto commands. We use this consensus to develop a taxonomy for motiongestures and to specify an end-user inspired motion gesture set. We highlight theimplications of this work to the design of smartphone applications and hardware. Finally …,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,2011,283
Experimental analysis of mode switching techniques in pen-based user interfaces,Yang Li; Ken Hinckley; Zhiwei Guan; James A Landay,Abstract Inking and gesturing are two central tasks in pen-based user interfaces. Switchingbetween modes for entry of uninterpreted ink and entry of gestures is required by many pen-based user interfaces. Without an appropriate mode switching technique; pen-basedinteractions in such situations may be inefficient and cumbersome. In this paper; weinvestigate five techniques for switching between ink and gesture modes in pen interfaces;including a pen-pressure based mode switching technique that allows implicit modetransition. A quantitative experimental study was conducted to evaluate the performance ofthese techniques. The results suggest that pressing a button with the non-preferred handoffers the fastest performance; while the technique of holding the pen still is significantlyslower and more prone to error than the other techniques. Pressure; while promising; did …,Proceedings of the SIGCHI conference on Human factors in computing systems,2005,200
Topiary: a tool for prototyping location-enhanced applications,Yang Li; Jason I Hong; James A Landay,Abstract Location-enhanced applications use the location of people; places; and things toaugment or streamline interaction. Location-enhanced applications are just starting toemerge in several different domains; and many people believe that this type of applicationwill experience tremendous growth in the near future. However; it currently requires a highlevel of technical expertise to build location-enhanced applications; making it hard to iterateon designs. To address this problem we introduce Topiary; a tool for rapidly prototypinglocation-enhanced applications. Topiary lets designers create a map that models thelocation of people; places; and things; use this active map to demonstrate scenariosdepicting location contexts; use these scenarios in creating storyboards that describeinteraction sequences; and then run these storyboards on mobile devices; with a wizard …,Proceedings of the 17th annual ACM symposium on User interface software and technology,2004,195
Protractor: a fast and accurate gesture recognizer,Yang Li,Abstract Protractor is a novel gesture recognizer that can be easily implemented and quicklycustomized for different users. Protractor uses a nearest neighbor approach; whichrecognizes an unknown gesture based on its similarity to each of the known gestures; eg;training samples or examples given by a user. In particular; it employs a novel method tomeasure the similarity between gestures; by calculating a minimum angular distancebetween them with a closed-form solution. As a result; Protractor is more accurate; naturallycovers more gesture variation; runs significantly faster and uses much less memory than itspeers. This makes Protractor suitable for mobile computing; which is limited in processingpower and memory. An evaluation on both a previously published gesture data set and anewly collected gesture data set indicates that Protractor outperforms its peers in many …,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,2010,151
Experimental analysis of touch-screen gesture designs in mobile environments,Andrew Bragdon; Eugene Nelson; Yang Li; Ken Hinckley,Abstract Direct-touch interaction on mobile phones revolves around screens that competefor visual attention with users' real-world tasks and activities. This paper investigates theimpact of these situational impairments on touch-screen interaction. We probe severaldesign factors for touch-screen gestures; under various levels of environmental demands onattention; in comparison to the status-quo approach of soft buttons. We find that in thepresence of environmental distractions; gestures can offer significant performance gains andreduced attentional load; while performing as well as soft buttons when the user's attentionis focused on the phone. In fact; the speed and accuracy of bezel gestures did not appear tobe significantly affected by environment; and some gestures could be articulated eyes-free;with one hand. Bezel-initiated gestures offered the fastest performance; and mark-based …,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,2011,144
Gesture recognition on computing device correlating input to a template,*,A computer-implemented user interface method is disclosed. The method includesdisplaying information on a touchscreen of a computing device; receiving from a user of thedevice an input drawn on the touchscreen; correlating the input to a template; where thecorrelating includes employing a closed-form solution to find a rotation that reduces angulardistance between the input and the template; and providing output based on a result of thecorrelating.,*,2012,99
FFitts law: modeling finger touch with fitts' law,Xiaojun Bi; Yang Li; Shumin Zhai,Abstract Fitts' law has proven to be a strong predictor of pointing performance under a widerange of conditions. However; it has been insufficient in modeling small-target acquisitionwith finger-touch based input on screens. We propose a dual-distribution hypothesis tointerpret the distribution of the endpoints in finger touch input. We hypothesize themovement endpoint distribution as a sum of two independent normal distributions. Onedistribution reflects the relative precision governed by the speed-accuracy tradeoff rule in thehuman motor system; and the other captures the absolute precision of finger touchindependent of the speed-accuracy tradeoff effect. Based on this hypothesis; we derived theFFitts model-an expansion of Fitts' law for finger touch input. We present three experimentsin 1D target acquisition; 2D target acquisition and touchscreen keyboard typing tasks …,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,2013,91
Gesture search: a tool for fast mobile data access,Yang Li,Abstract Modern mobile phones can store a large amount of data; such as contacts;applications and music. However; it is difficult to access specific data items via existingmobile user interfaces. In this paper; we present Gesture Search; a tool that allows a user toquickly access various data items on a mobile phone by drawing gestures on its touchscreen. Gesture Search contributes a unique way of combining gesture-based interactionand search for fast mobile data access. It also demonstrates a novel approach for couplinggestures with standard GUI interaction. A real world deployment with mobile phone usersshowed that Gesture Search enabled fast; easy access to mobile data in their day-to-daylives. Gesture Search has been released to public and is currently in use by hundreds ofthousands of mobile users. It was rated positively by users; with a mean of 4.5 out of 5 for …,Proceedings of the 23nd annual ACM symposium on User interface software and technology,2010,91
Activity-based prototyping of ubicomp applications for long-lived; everyday human activities,Yang Li; James A Landay,Abstract We designed an activity-based prototyping process realized in the ActivityDesignersystem that combines the theoretical framework of Activity-Centered Design with traditionaliterative design. This process allows designers to leverage human activities as first classobjects for design and is supported in ActivityDesigner by three novel features. First; this toolallows designers to model activities based on concrete scenarios collected from everydaylives. The models form a context for design and computational constructs for creatingfunctional prototypes. Second; it allows designers to prototype interaction behaviors basedon activity streams spanning time. Third; it allows designers to easily test these prototypeswith real users continuously; in situ. We have garnered positive feedback from a series oflaboratory user studies and several case studies in which ActivityDesigner was used in …,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,2008,87
Cascadia: a system for specifying; detecting; and managing RFID events,Evan Welbourne; Nodira Khoussainova; Julie Letchner; Yang Li; Magdalena Balazinska; Gaetano Borriello; Dan Suciu,Abstract Cascadia is a system that provides RFID-based pervasive computing applicationswith an infrastructure for specifying; extracting and managing meaningful high-level eventsfrom raw RFID data. Cascadia provides three important services. First; it allows applicationdevelopers and even users to specify events using either a declarative query language oran intuitive visual language based on direct manipulation. Second; it provides an API thatfacilitates the development of applications which rely on RFID-based events. Third; itautomatically detects the specified events; forwards them to registered applications andstores them for later use (eg; for historical queries). We present the design andimplementation of Cascadia along with an evaluation that includes both a user study andmeasurements on traces collected in a building-wide RFID deployment. To demonstrate …,Proceeding of the 6th international conference on Mobile systems; applications; and services,2008,83
