Yago: a core of semantic knowledge,Fabian M Suchanek; Gjergji Kasneci; Gerhard Weikum,Abstract We present YAGO; a light-weight and extensible ontology with high coverage andquality. YAGO builds on entities and relations and currently contains more than 1 millionentities and 5 million facts. This includes the Is-A hierarchy as well as non-taxonomicrelations between entities (such as HASONEPRIZE). The facts have been automaticallyextracted from Wikipedia and unified with WordNet; using a carefully designed combinationof rule-based and heuristic methods described in this paper. The resulting knowledge baseis a major step beyond WordNet: in quality by adding knowledge about individuals likepersons; organizations; products; etc. with their semantic relationships-and in quantity byincreasing the number of facts by more than an order of magnitude. Our empirical evaluationof fact correctness shows an accuracy of about 95%. YAGO is based on a logically clean …,Proceedings of the 16th international conference on World Wide Web,2007,2475
Yago: A large ontology from wikipedia and wordnet,Fabian M Suchanek; Gjergji Kasneci; Gerhard Weikum,Abstract This article presents YAGO; a large ontology with high coverage and precision.YAGO has been automatically derived from Wikipedia and WordNet. It comprises entitiesand relations; and currently contains more than 1.7 million entities and 15 million facts.These include the taxonomic Is-A hierarchy as well as semantic relations between entities.The facts for YAGO have been extracted from the category system and the infoboxes ofWikipedia and have been combined with taxonomic relations from WordNet. Type checkingtechniques help us keep YAGO's precision at 95%—as proven by an extensive evaluationstudy. YAGO is based on a clean logical model with a decidable consistency. Furthermore; itallows representing n-ary relations in a natural way while maintaining compatibility withRDFS. A powerful query model facilitates access to YAGO's data.,Web Semantics: Science; Services and Agents on the World Wide Web,2008,748
Naga: Searching and ranking knowledge,Gjergji Kasneci; Fabian M Suchanek; Georgiana Ifrim; Maya Ramanath; Gerhard Weikum,The Web has the potential to become the world's largest knowledge base. In order tounleash this potential; the wealth of information available on the Web needs to be extractedand organized. There is a need for new querying techniques that are simple and yet moreexpressive than those provided by standard keyword-based search engines. Searching forknowledge rather than Web pages needs to consider inherent semantic structures likeentities (person; organization; etc.) and relationships (isA; locatedIn; etc.). In this paper; wepropose NAGA; a new semantic search engine. NAGA builds on a knowledge base; which isorganized as a graph with typed edges; and consists of millions of entities and relationshipsextracted from Web-based corpora. A graph-based query language enables the formulationof queries with additional semantic information. We introduce a novel scoring model …,Data Engineering; 2008. ICDE 2008. IEEE 24th International Conference on,2008,252
Star: Steiner-tree approximation in relationship graphs,Gjergji Kasneci; Maya Ramanath; Mauro Sozio; Fabian M Suchanek; Gerhard Weikum,Large graphs and networks are abundant in modern information systems: entity-relationshipgraphs over relational data or Web-extracted entities; biological networks; social onlinecommunities; knowledge bases; and many more. Often such data comes with expressivenode and edge labels that allow an interpretation as a semantic graph; and edge weightsthat reflect the strengths of semantic relations between entities. Finding close relationshipsbetween a given set of two; three; or more entities is an important building block for manysearch; ranking; and analysis tasks. From an algorithmic point of view; this translates intocomputing the best Steiner trees between the given nodes; a classical NP-hard problem. Inthis paper; we present a new approximation algorithm; coined STAR; for relationship queriesover large relationship graphs. We prove that for n query entities; STAR yields an O (log …,Data Engineering; 2009. ICDE'09. IEEE 25th International Conference on,2009,131
YAWN: A Semantically Annotated Wikipedia XML Corpus.,Ralf Schenkel; Fabian M Suchanek; Gjergji Kasneci,Abstract: The paper presents YAWN; a system to convert the well-known and widely usedWikipedia collection into an XML corpus with semantically rich; self-explaining tags. Weintroduce algorithms to annotate pages and links with concepts from the WordNet thesaurus.This annotation process exploits categorical information in Wikipedia; which is a high-quality; manually assigned source of information; extracts additional information from lists;and utilizes the invocations of templates with named parameters. We give examples howsuch annotations can be exploited for high-precision queries.,BTW,2007,118
The YAGO-NAGA approach to knowledge discovery,Gjergji Kasneci; Maya Ramanath; Fabian Suchanek; Gerhard Weikum,Abstract This paper gives an overview on the YAGO-NAGA approach to informationextraction for building a conveniently searchable; large-scale; highly accurate knowledgebase of common facts. YAGO harvests infoboxes and category names of Wikipedia for factsabout individual entities; and it reconciles these with the taxonomic backbone of WordNet inorder to ensure that all entities have proper classes and the class system is consistent.Currently; the YAGO knowledge base contains about 19 million instances of binary relationsfor about 1.95 million entities. Based on intensive sampling; its accuracy is estimated to beabove 95 percent. The paper presents the architecture of the YAGO extractor toolkit; itsdistinctive approach to consistency checking; its provisions for maintenance and furthergrowth; and the query engine for YAGO; coined NAGA. It also discusses ongoing work on …,ACM SIGMOD Record,2009,114
Analyzing and predicting viral tweets,Maximilian Jenders; Gjergji Kasneci; Felix Naumann,Abstract Twitter and other microblogging services have become indispensable sources ofinformation in today's web. Understanding the main factors that make certain pieces ofinformation spread quickly in these platforms can be decisive for the analysis of opinionformation and many other opinion mining tasks. This paper addresses important questionsconcerning the spread of information on Twitter. What makes Twitter users retweet a tweet?Is it possible to predict whether a tweet will become" viral"; ie; will be frequently retweeted?To answer these questions we provide an extensive analysis of a wide range of tweet anduser features regarding their influence on the spread of tweets. The most impactful featuresare chosen to build a learning model that predicts viral tweets with high accuracy. Allexperiments are performed on a real-world dataset; extracted through a public Twitter API …,Proceedings of the 22nd international conference on World Wide Web,2013,75
Ming: mining informative entity relationship subgraphs,Gjergji Kasneci; Shady Elbassuoni; Gerhard Weikum,Abstract Many modern applications are faced with the task of knowledge discovery in entity-relationship graphs; such as domain-specific knowledge bases or social networks. Miningan" informative" subgraph that can explain the relations between k (>= 2) given entities ofinterest is a frequent knowledge discovery scenario on such graphs. We present MING; aprincipled method for extracting an informative subgraph for given query nodes. MING buildson a new notion of informativeness of nodes. This is used in a random-walk-with-restartsprocess to compute the informativeness of entire subgraphs.,Proceedings of the 18th ACM conference on Information and knowledge management,2009,67
Database and information-retrieval methods for knowledge discovery,Gerhard Weikum; Gjergji Kasneci; Maya Ramanath; Fabian Suchanek,Our aim here is to advocate for the integration of database systems (DB) and information-retrieval(IR) methods to address applications that are emerging from the ongoing explosion and diversificationof digital information. One grand goal of such an endeavor is the automatic building and maintenanceof a comprehensive knowledge base of facts from encyclopedic sources and the scientificliterature. Facts should be represented in terms of typed entities and relationships and allowexpressive queries that return ranked results with precision in an efficient and scalablemanner. We thus explore how DB and IR methods might contribute toward this ambitiousgoal … DB and IR are separate fields in computer science due to historical accident. Both investigateconcepts; models; and computational methods for managing large amounts of complexinformation; though each began almost 40 years ago with very different application areas …,Communications of the ACM,2009,66
Sigma: Simple greedy matching for aligning large knowledge bases,Simon Lacoste-Julien; Konstantina Palla; Alex Davies; Gjergji Kasneci; Thore Graepel; Zoubin Ghahramani,Abstract The Internet has enabled the creation of a growing number of large-scaleknowledge bases in a variety of domains containing complementary information. Tools forautomatically aligning these knowledge bases would make it possible to unify many sourcesof structured knowledge and answer complex queries. However; the efficient alignment oflarge-scale knowledge bases still poses a considerable challenge. Here; we present SimpleGreedy Matching (SiGMa); a simple algorithm for aligning knowledge bases with millions ofentities and facts. SiGMa is an iterative propagation algorithm that leverages both thestructural information from the relationship graph and flexible similarity measures betweenentity properties in a greedy local search; which makes it scalable. Despite its greedy nature;our experiments indicate that SiGMa can efficiently match some of the world's largest …,Proceedings of the 19th ACM SIGKDD international conference on Knowledge discovery and data mining,2013,61
