Natural language watermarking: Design; analysis; and a proof-of-concept implementation,Mikhail J Atallah; Victor Raskin; Michael Crogan; Christian Hempelmann; Florian Kerschbaum; Dina Mohamed; Sanket Naik,Abstract We describe a scheme for watermarking natural language text by embedding smallportions of the watermark bit string in the syntactic structure of a number of selectedsentences in the text; with both the selection and embedding keyed (via quadratic residue)to a large prime number. Meaning-preserving transformations of sentences of the text (eg;translation to another natural language) cannot damage the watermark. Meaning-modifyingtransformations have a probability; of damaging the watermark; proportional to thewatermark length over the number of sentences. Having the key is all that is required forreading the watermark. The approach is best suited for longish meaning-rather than style-oriented” expository” texts (eg; reports; directives; manuals; etc.); of which governments andindustry produce in abundance and which need protection more frequently than fiction or …,International Workshop on Information Hiding,2001,259
Secure and private sequence comparisons,Mikhail J Atallah; Florian Kerschbaum; Wenliang Du,Abstract We give an efficient protocol for sequence comparisons of the edit-distance kind;such that neither party reveals anything about their private sequence to the other party (otherthan what can be inferred from the edit distance between their two sequences-which isunavoidable because computing that distance is the purpose of the protocol). The amount ofcommunication done by our protocol is proportional to the time complexity of the best-knownalgorithm for performing the sequence comparison. The problem of determining thesimilarity between two sequences arises in a large number of applications; in particular inbioinformatics. In these application areas; the edit distance is one of the most widely usednotions of sequence similarity: It is the least-cost set of insertions; deletions; andsubstitutions required to transform one string into the other. The generalizations of edit …,Proceedings of the 2003 ACM workshop on Privacy in the electronic society,2003,176
Analysis of vulnerabilities in internet firewalls,Seny Kamara; Sonia Fahmy; Eugene Schultz; Florian Kerschbaum; Michael Frantzen,Abstract Firewalls protect a trusted network from an untrusted network by filtering trafficaccording to a specified security policy. A diverse set of firewalls is being used today. As it isinfeasible to examine and test each firewall for all possible potential problems; a taxonomyis needed to understand firewall vulnerabilities in the context of firewall operations. Thispaper describes a novel methodology for analyzing vulnerabilities in Internet firewalls. Afirewall vulnerability is defined as an error made during firewall design; implementation; orconfiguration; that can be exploited to attack the trusted network that the firewall is supposedto protect. We examine firewall internals; and cross-reference each firewall operation withcauses and effects of weaknesses in that operation; analyzing twenty reported problemswith available firewalls. The result of our analysis is a set of matrices that illustrate the …,Computers & Security,2003,152
Plug-in privacy for smart metering billing,Marek Jawurek; Martin Johns; Florian Kerschbaum,Abstract Traditional electricity meters are replaced by Smart Meters in customers'households. Smart Meters collect fine-grained utility consumption profiles from customers;which in turn enables the introduction of dynamic; time-of-use tariffs. However; the fine-grained usage data that is compiled in this process also allows to infer the inhabitant'spersonal schedules and habits. We propose a privacy-preserving protocol that enablesbilling with time-of-use tariffs without disclosing the actual consumption profile to thesupplier. Our approach relies on a zero-knowledge proof based on Pedersen Commitmentsperformed by a plug-in privacy component that is put into the communication link betweenSmart Meter and supplier's back-end system. We require no changes to the Smart Meterhardware and only small changes to the software of Smart Meter and back-end system. In …,International Symposium on Privacy Enhancing Technologies Symposium,2011,104
Simple cross-site attack prevention,Florian Kerschbaum,Many web applications are security critical; since they involve real-world monetarytransactions; eg online auctions or online banking. Attackers have found new attacks toexploit vulnerabilities in these web applications. Among these attacks reflected cross-sitescripting and request forgery attacks have received much attention in the recent scientificliterature. There are client-side and server-side solutions which can complement each otherin protecting against these cross-site attacks. Server-side solutions are currently limited toeither cross-site request forgery attacks or cross-site scripting attacks which attack theintegrity of the session (session theft). This paper presents a lightweight and efficientsolution that prevents reflected cross-site scripting and request forgery attacks using agateway at the server. It is so strikingly simple (yet solves this practically pressing problem …,Security and Privacy in Communications Networks and the Workshops; 2007. SecureComm 2007. Third International Conference on,2007,93
Pathtrust: A trust-based reputation service for virtual organization formation,Florian Kerschbaum; Jochen Haller; Yücel Karabulut; Philip Robinson,Abstract Virtual Organizations enable new forms of collaboration for businesses in anetworked society. During their formation business partners are selected on an as-neededbasis. We consider the problem of using a reputation system to enhance the memberselection in Virtual Organizations. The paper identifies the requirements for and the benefitsof using a reputation system for this task. We identify attacks and analyze their impact andthreat to using reputation systems. Based on these findings we propose the use of a specificmodel of reputation different from the prevalent models of reputation. The major contributionof this paper is an algorithm (called PathTrust) in this model that exploits the graph ofrelationships among the participants. It strongly emphasizes the transitive model of trust in aweb of trust. We evaluate its performance; especially under attack; and show that it …,International Conference on Trust Management,2006,83
Searchable encryption with secure and efficient updates,Florian Hahn; Florian Kerschbaum,Abstract Searchable (symmetric) encryption allows encryption while still enabling search forkeywords. Its immediate application is cloud storage where a client outsources its files whilethe (cloud) service provider should search and selectively retrieve those. Searchableencryption is an active area of research and a number of schemes with different efficiencyand security characteristics have been proposed in the literature. Any scheme for practicaladoption should be efficient--ie have sub-linear search time--; dynamic--ie allow updates--and semantically secure to the most possible extent. Unfortunately; efficient; dynamicsearchable encryption schemes suffer from various drawbacks. Either they deteriorate fromsemantic security to the security of deterministic encryption under updates; they require tostore information on the client and for deleted files and keywords or they have very large …,Proceedings of the 2014 ACM SIGSAC Conference on Computer and Communications Security,2014,79
Outsourced private set intersection using homomorphic encryption,Florian Kerschbaum,Abstract Private set intersection enables two parties--a client and a server--to compute theintersection of their respective sets without disclosing anything else. It is a fundamentaloperation--equivalent to a secure; distributed database join--and has many applicationsparticularly in privacy-preserving law enforcement. In this paper we present a novel protocolthat has linear complexity; is secure in the malicious model without random oracles; is clientset size-independent and efficient. Furthermore; the computation of the intersection can beoutsourced to an oblivious service provider; as in secure cloud computing. We leverage acompletely novel construction for computing the intersection using Bloom filter andhomomorphic encryption. For outsourcing we require and introduce a new homomorphicencryption scheme which may be of independent interest.,Proceedings of the 7th ACM Symposium on Information; Computer and Communications Security,2012,75
Optimal average-complexity ideal-security order-preserving encryption,Florian Kerschbaum; Axel Schroepfer,Abstract Order-preserving encryption enables performing many classes of queries--including range queries--on encrypted databases. Popa et al. recently presented an ideal-secure order-preserving encryption (or encoding) scheme; but their cost of insertions(encryption) is very high. In this paper we present an also ideal-secure; but significantlymore efficient order-preserving encryption scheme. Our scheme is inspired by Reed'sreferenced work on the average height of random binary search trees. We show that ourscheme improves the average communication complexity from O (n log n) to O (n) underuniform distribution. Our scheme also integrates efficiently with adjustable encryption asused in CryptDB. In our experiments for database inserts we achieve a performanceincrease of up to 81% in LANs and 95% in WANs.,Proceedings of the 2014 ACM SIGSAC Conference on Computer and Communications Security,2014,70
A Framework for Understanding Vulnerabilities in Firewalls Using a Dataflow Model of Firewall Internals1,Mike Frantzen; Florian Kerschbaum; E Eugene Schultz; Sonia Fahmy,Abstract Vulnerabilities in vendor as well as freeware implementations of firewalls continueto emerge at a rapid pace. Each vulnerability superficially appears to be the result ofsomething such as a coding flaw in one case; or a configuration weakness in another. Giventhe large number of firewall vulnerabilities that have surfaced in recent years; it is importantto develop a comprehensive framework for understanding both what firewalls actually dowhen they receive incoming traffic and what can go wrong when they process this traffic. Anintuitive starting point is to create a firewall dataflow model composed of discrete processingstages that reflect the processing characteristics of a given firewall. These stages do notnecessarily all occur in all firewalls; nor do they always conform to the sequential orderindicated in this paper. This paper also provides a more complete view of what happens …,Computers & Security,2001,62
