Conceptual database design: an Entity-relationship approach,Carlo Batini; Stefano Ceri; Shamkant B Navathe,Conceptual database design; an introduction to database design; data modeling concepts;methodologies for conceptual design; view design; view integration; improving the quality ofa database schema; schema documentation and maintenance; functional analysis fordatabase design; functional analysis using the dataflow model; joint data andfunctionalanalysis; case study; logical design and design tools; high-level logical designusing the entity-relationship model; logical design for therelational model; logical design forthe network model; logical designfor the hierarchical model; database design tools.,*,1992,1738
Web Modeling Language (WebML): a modeling language for designing Web sites,Stefano Ceri; Piero Fraternali; Aldo Bongio,Abstract Designing and maintaining Web applications is one of the major challenges for thesoftware industry of the year 2000. In this paper we present Web Modeling Language(WebML); a notation for specifying complex Web sites at the conceptual level. WebMLenables the high-level description of a Web site under distinct orthogonal dimensions: itsdata content (structural model); the pages that compose it (composition model); the topologyof links between pages (navigation model); the layout and graphic requirements for pagerendering (presentation model); and the customization features for one-to-one contentdelivery (personalization model). All the concepts of WebML are associated with a graphicnotation and a textual XML syntax. WebML specifications are independent of both the client-side language used for delivering the application to users; and of the server-side platform …,Computer Networks,2000,1378
Distributed databases principles and systems,Stefano Ceri; Giuseppe Pelagatti,*,*,1984,1342
Active database systems: Triggers and rules for advanced database processing,Jennifer Widom; Stefano Ceri,Active database systems enhance traditional database functionality with powerful rule-processing capabilities; providing a uniform and efficient mechanism for many databasesystem applications. Among these applications are integrity constraints; views; authorization;statistics gathering; monitoring and alerting; knowledge-based systems; expert systems; andworkflow management. This significant collection focuses on the most prominent researchprojects in active database systems. The project leaders for each prototype system providedetailed discussions of their projects and the relevance of their results to the future of activedatabase systems.* A broad overview of current active database systems and how they canbe extended and improved* A comprehensive introduction to the core topics of the field;including its motivation and history* Coverage of active database (trigger) capabilities in …,*,1996,1279
Logic programming and databases,Stefano Ceri; Georg Gottlob; Letizia Tanca,The topic of logic programming and databases. has gained in creasing interest in recentyears. Several events have marked the rapid evolution of this field: the selection; by theJapanese Fifth Generation Project; of Prolog and of the relational data model as the basis forthe development of new machine archi tectures; the focusing of research in database theoryon logic queries and on recursive query processing; and the pragmatic; application-orienteddevelopment of expert database systems and of knowledge-base systems. As a result; anenormous amount of work has been produced in the recent literature; coupled with thespontaneous growth of several advanced projects in this area. The goal of this book is topresent a systematic overview of a rapidly evolving discipline; which is presently notdescribed with the same approach in other books. We intend to introduce stu dents and …,*,2012,1074
Data-Centric Systems and Applications,MJ Carey; S Ceri; P Bernstein; U Dayal; C Faloutsos; JC Freytag; G Gardarin; W Jonker; V Krishnamurthy; MA Neimat; P Valduriez; G Weikum; KY Whang; J Widom,The rapid growth of the Web in the past two decades has made it the largest publiclyaccessible data source in the world. Web mining aims to discover useful information orknowledge from Web hyperlinks; page contents; and usage logs. Based on the primarykinds of data used in the mining process; Web mining tasks can be categorized into threemain types: Web structure mining; Web content mining and Web usage mining. Webstructure mining discovers knowledge from hyperlinks; which represent the structure of theWeb. Web content mining extracts useful information/knowledge from Web page contents.Web usage mining mines user activity patterns from usage logs and other forms of logs ofuser interactions with Web systems. Since the publication of the first edition at the end of2006; there have been some important advances in several areas. To reflect these …,*,2006,1026
Morgan Kaufmann series in data management systems: Designing data-intensive Web applications,Stefano Ceri; Piero Fraternali; Aldo Bongio; Marco Brambilla; Sara Comai; Maristella Matera,The most prominent Web applications in use today are data-intensive. Scores of databasemanagement systems across the Internet access and maintain large amounts of structureddata for e-commerce; on-line trading; banking; digital libraries; and other high-volume sites.Developing and maintaining these data-intensive applications is an especially complex;multi-disciplinary activity; requiring all the tools and techniques that software engineeringcan provide. This book represents a breakthrough for Web application developers. Usinghundreds of illustrations and an elegant intuitive modeling language; the authors-allinternationally-known database researchers-present a methodology that fully exploits theconceptual modeling approach of software engineering; from idea to application. Readerswill learn not only how to harness the design technologies of relational databases for use …,*,2003,705
What you always wanted to know about Datalog (and never dared to ask),Stefano Ceri; Georg Gottlob; Letizia Tanca,Datalog; a database query language based on the logic programming paradigm; isdescribed. The syntax and semantics of Datalog and its use for querying a relationaldatabase are presented. Optimization methods for achieving efficient evaluations of Datalogqueries are classified; and the most relevant methods are presented. Various improvementsof Datalog currently under study are discussed; and what is still needed in order to extendDatalog's applicability to the solution of real-life problems is indicated.,IEEE transactions on knowledge and data engineering,1989,636
Deriving production rules for incremental view maintenance,Stefano Ceri; Jennifer Widom,It is widely recognized that production rules in database systems can be used toautomatically maintain derived data such as views. However; writing a correct set of rules foreffciently maintaining a given view can be a diffcult and ad-hoc process. We provide a facilitywhereby a user defines a view as an SQL select expression; from which the systemautomatically derives set-oriented production rules that maintain a materialization of thatview. The maintenance rules are triggered by operations on the view's base tables.Generally; the rules perform incremental maintenance: the materialized view is modifiedaccording to the sets of changes made to the base tables; which are accessible throughlogical tables provided by the rule language. However; for some operations substantialrecomputation may be required. We give algorithms that; based on key information …,*,1991,540
Deriving production rules for constraint maintenance,Stefano Ceri; Jennifer Widom,Traditionally; integrity constraints in database systems are maintained either by rolling backany transaction that produces an inconsistent state or by disallowing or modifying operationsthat may produce an inconsistent state. An alternative approach is to provide automatic"repair" of inconsistent states using production rules. For each constraint; a production rule isused to detect constraint violation and to initiate database operations that restoreconsistency. We describe an SQL-based language for defining integrity constraints and aframework for translating these constraints into constraint-maintaining production rules.Some parts of the translation are automatic while other parts require user intervention.Based on the semantics of our set-oriented production rules language and under certainassumptions; we prove that at the end of each transaction the rules are guaranteed to …,*,1990,509
