Distributed verification and hardness of distributed approximation,Atish Das Sarma; Stephan Holzer; Liah Kor; Amos Korman; Danupon Nanongkai; Gopal Pandurangan; David Peleg; Roger Wattenhofer,We study the verification problem in distributed networks; stated as follows. Let H be asubgraph of a network G where each vertex of G knows which edges incident on it are in H.We would like to verify whether H has some properties; eg; if it is a tree or if it is connected(every node knows at the end of the process whether H has the specified property or not).We would like to perform this verification in a decentralized fashion via a distributedalgorithm. The time complexity of verification is measured as the number of rounds ofdistributed communication. In this paper we initiate a systematic study of distributedverification and give almost tight lower bounds on the running time of distributed verificationalgorithms for many fundamental problems such as connectivity; spanning connectedsubgraph; and st cut verification. We then show applications of these results in deriving …,SIAM Journal on Computing,2012,165
What makes an image popular?,Aditya Khosla; Atish Das Sarma; Raffay Hamid,Abstract Hundreds of thousands of photographs are uploaded to the internet every minutethrough various social networking and photo sharing platforms. While some images getmillions of views; others are completely ignored. Even from the same users; differentphotographs receive different number of views. This begs the question: What makes aphotograph popular? Can we predict the number of views a photograph will receive evenbefore it is uploaded? These are some of the questions we address in this work. Weinvestigate two key components of an image that affect its popularity; namely the imagecontent and social context. Using a dataset of about 2.3 million images from Flickr; wedemonstrate that we can reliably predict the normalized view count of images with a rankcorrelation of 0.81 using both image content and social cues. In this paper; we show the …,Proceedings of the 23rd international conference on World wide web,2014,144
Estimating pagerank on graph streams,Atish Das Sarma; Sreenivas Gollapudi; Rina Panigrahy,Abstract This article focuses on computations on large graphs (eg; the web-graph) where theedges of the graph are presented as a stream. The objective in the streaming model is touse small amount of memory (preferably sub-linear in the number of nodes n) and a smallernumber of passes. In the streaming model; we show how to perform several graphcomputations including estimating the probability distribution after a random walk of length l;the mixing time M; and other related quantities such as the conductance of the graph. Byapplying our algorithm for computing probability distribution on the web-graph; we canestimate the PageRank p of any node up to an additive error of &sqrt; ε p+ ε in Õ (&sqrt; M/α)passes and Õ (min (nα+ 1/ε&sqrt; M/α+(1/ε) Mα; α n&sqrt; Mα+(1/ε) &sqrt; M/α)) space; for anyα &in;(0; 1]. Specifically; for ε &equals; M/n; α &equals; M− 1/2; we can compute the …,Journal of the ACM (JACM),2011,138
Personalized social recommendations: accurate or private,Ashwin Machanavajjhala; Aleksandra Korolova; Atish Das Sarma,Abstract With the recent surge of social networks such as Facebook; new forms ofrecommendations have become possible--recommendations that rely on one's socialconnections in order to make personalized recommendations of ads; content; products; andpeople. Since recommendations may use sensitive information; it is speculated that theserecommendations are associated with privacy risks. The main contribution of this work is informalizing trade-offs between accuracy and privacy of personalized socialrecommendations. We study whether" social recommendations"; or recommendations thatare solely based on a user's social network; can be made without disclosing sensitive linksin the social graph. More precisely; we quantify the loss in utility when existingrecommendation algorithms are modified to satisfy a strong notion of privacy; called …,Proceedings of the VLDB Endowment,2011,131
eTrust: Understanding trust evolution in an online world,Jiliang Tang; Huiji Gao; Huan Liu; Atish Das Sarma,Abstract Most existing research about online trust assumes static trust relations betweenusers. As we are informed by social sciences; trust evolves as humans interact. Little workexists studying trust evolution in an online world. Researching online trust evolution facesunique challenges because more often than not; available data is from passive observation.In this paper; we leverage social science theories to develop a methodology that enablesthe study of online trust evolution. In particular; we propose a framework of evolution trust;eTrust; which exploits the dynamics of user preferences in the context of online productreview. We present technical details about modeling trust evolution; and performexperiments to show how the exploitation of trust evolution can help improve theperformance of online applications such as rating and trust prediction.,Proceedings of the 18th ACM SIGKDD international conference on Knowledge discovery and data mining,2012,107
A sketch-based distance oracle for web-scale graphs,Atish Das Sarma; Sreenivas Gollapudi; Marc Najork; Rina Panigrahy,Abstract We study the fundamental problem of computing distances between nodes in largegraphs such as the web graph and social networks. Our objective is to be able to answerdistance queries between pairs of nodes in real time. Since the standard shortest pathalgorithms are expensive; our approach moves the time-consuming shortest-pathcomputation offline; and at query time only looks up precomputed values and performssimple and fast computations on these precomputed values. More specifically; during theoffline phase we compute and store a small" sketch" for each node in the graph; and atquery-time we look up the sketches of the source and destination nodes and perform asimple computation using these two sketches to estimate the distance.,Proceedings of the third ACM international conference on Web search and data mining,2010,107
PyCUDA: GPU run-time code generation for high-performance computing,Andreas Klöckner; Nicolas Pinto; Yunsup Lee; Bryan Catanzaro; Paul Ivanov; Ahmed Fasih; AD Sarma; D Nanongkai; G Pandurangan; P Tetali,Abstract High-performance scientific computing has recently seen a surge of interest inheterogeneous systems; with an emphasis on modern Graphics Processing Units (GPUs).These devices offer tremendous potential for performance and efficiency in important large-scale applications of computational science. However; exploiting this potential can bechallenging; as one must adapt to the specialized and rapidly evolving computingenvironment currently exhibited by GPUs. One way of addressing this challenge is toembrace better techniques and develop tools tailored to their needs. This article presentsone simple technique; GPU run-time code generation (RTCG); and PyCUDA; an open-source toolkit that supports this technique. In introducing PyCUDA; this article proposes thecombination of a dynamic; high-level scripting language with the massive performance of …,Arxiv preprint arXiv,2009,95
Ranking mechanisms in twitter-like forums,Anish Das Sarma; Atish Das Sarma; Sreenivas Gollapudi; Rina Panigrahy,Abstract We study the problem of designing a mechanism to rank items in forums by makinguse of the user reviews such as thumb and star ratings. We compare mechanisms whereforum users rate individual posts and also mechanisms where the user is asked to perform apairwise comparison and state which one is better. The main metric used to evaluate amechanism is the ranking accuracy vs the cost of reviews; where the cost is measured as theaverage number of reviews used per post. We show that for many reasonable probabilitymodels; there is no thumb (or star) based ranking mechanism that can produceapproximately accurate rankings with bounded number of reviews per item. On the otherhand we provide a review mechanism based on pairwise comparisons which achievesapproximate rankings with bounded cost. We have implemented a system; shoutvelocity …,Proceedings of the third ACM international conference on Web search and data mining,2010,80
Fast distributed pagerank computation,Atish Das Sarma; Anisur Rahaman Molla; Gopal Pandurangan; Eli Upfal,Abstract Over the last decade; PageRank has gained importance in a wide range ofapplications and domains; ever since it first proved to be effective in determining nodeimportance in large graphs (and was a pioneering idea behind Google's search engine). Indistributed computing alone; PageRank vector; or more generally random walk basedquantities have been used for several different applications ranging from determiningimportant nodes; load balancing; search; and identifying connectivity structures.Surprisingly; however; there has been little work towards designing provably efficient fully-distributed algorithms for computing PageRank. The difficulty is that traditional matrix–vectormultiplication style iterative methods may not always adapt well to the distributed settingowing to communication bandwidth restrictions and convergence rates. In this paper; we …,Theoretical Computer Science,2015,77
Multi-skill collaborative teams based on densest subgraphs,Amita Gajewar; Atish Das Sarma,Abstract We consider the problem of identifying a team of skilled individuals forcollaboration; in the presence of a social network; with the goal to maximize thecollaborative compatibility of the team. Each node in the social network is associated withskills; and edge-weights specify affinity between respective nodes. We measurecollaborative compatibility objective as the density of the induced subgraph on selectednodes. This problem is NP-hard even when the team requires individuals of only one skill.We present a 3-approximation algorithm for the single-skill team formulation problem. Weshow the same approximation can be extended to a special case of multiple skills. Ourproblem generalizes the formulation studied by Lappas et al.[KDD′ 09] who measure teamcompatibility in terms of diameter or spanning tree. The experimental results show that the …,*,2012,69
