The hyperion project: from data integration to data coordination,Marcelo Arenas; Vasiliki Kantere; Anastasios Kementsietsidis; Iluju Kiringa; Renée J Miller; John Mylopoulos,Abstract We present an architecture and a set of challenges for peer database managementsystems. These systems team up to build a network of nodes (peers) that coordinate at runtime most of the typical DBMS tasks such as the querying; updating; and sharing of data.Such a network works in a way similar to conventional multidatabases. Conventionalmultidatabase systems are founded on key concepts such as those of a global schema;central administrative authority; data integration; global access to multiple databases;permanent participation of databases; etc. Instead; our proposal assumes total absence ofany central authority or control; no global schema; transient participation of peer databases;and constantly evolving coordination rules among databases. In this work; we describe thestatus of the Hyperion project; present our current solutions; and outline remaining …,ACM SIGMOD Record,2003,227
Managing scientific data,Anastasia Ailamaki; Verena Kantere; Debabrata Dash,Data-oriented scientific processes depend on fast; accurate analysis of experimental data generatedthrough empirical observation and simulation. However; scientists are increasingly overwhelmedby the volume of data produced by their own experiments. With improving instrument precisionand the complexity of the simulated models; data overload promises to only get worse. The inefficiencyof existing database management systems (DBMSs) for addressing the requirements of scientistshas led to many application-specific systems. Unlike their general-purpose counterparts; thesesystems require more resources; hindering reuse of knowledge. Still; the data-management communityaspires to general-purpose scientific data management. Here; we explore the most importantrequirements of such systems and the techniques being used to address them … Observationand simulation of phenomena are keys for proving scientific theories and discovering …,Communications of the ACM,2010,103
Optimal service pricing for a cloud cache,Verena Kantere; Debabrata Dash; Gregory Francois; Sofia Kyriakopoulou; Anastasia Ailamaki,Cloud applications that offer data management services are emerging. Such clouds supportcaching of data in order to provide quality query services. The users can query the clouddata; paying the price for the infrastructure they use. Cloud management necessitates aneconomy that manages the service of multiple users in an efficient; but also; resource-economic way that allows for cloud profit. Naturally; the maximization of cloud profit givensome guarantees for user satisfaction presumes an appropriate price-demand model thatenables optimal pricing of query services. The model should be plausible in that it reflectsthe correlation of cache structures involved in the queries. Optimal pricing is achieved basedon a dynamic pricing scheme that adapts to time changes. This paper proposes a novelprice-demand model designed for a cloud cache and a dynamic pricing scheme for …,IEEE Transactions on Knowledge and Data Engineering,2011,102
An economic model for self-tuned cloud caching,Debabrata Dash; Verena Kantere; Anastasia Ailamaki,Cloud computing; the new trend for service infrastructures requires user multi-tenancy aswell as minimal capital expenditure. In a cloud that services large amounts of data that aremassively collected and queried; such as scientific data; users typically pay for queryservices. The cloud supports caching of data in order to provide quality query services. Userpayments cover query execution costs and maintenance of cloud infrastructure; and incurcloud profit. The challenge resides in providing efficient and resource-economic queryservices while maintaining a profitable cloud. In this work we propose an economic modelfor self-tuned cloud caching targeting the service of scientific data. The proposed economy isadapted to policies that encourage high-quality individual and overall query services butalso brace the profit of the cloud. We propose a cost model that takes into account all …,Data Engineering; 2009. ICDE'09. IEEE 25th International Conference on,2009,87
Top-k dominant web services under multi-criteria matching,Dimitrios Skoutas; Dimitris Sacharidis; Alkis Simitsis; Verena Kantere; Timos Sellis,Abstract As we move from a Web of data to a Web of services; enhancing the capabilities ofthe current Web search engines with effective and efficient techniques for Web servicesretrieval and selection becomes an important issue. Traditionally; the relevance of a Webservice advertisement to a service request is determined by computing an overall score thataggregates individual matching scores among the various parameters in their descriptions.Two drawbacks characterize such approaches. First; there is no single matching criterionthat is optimal for determining the similarity between parameters. Instead; there arenumerous approaches ranging from using Information Retrieval similarity metrics up tosemantic logic-based inference rules. Second; the reduction of individual scores to anoverall similarity leads to significant information loss. Since there is no consensus on how …,Proceedings of the 12th international conference on extending database technology: advances in database technology,2009,67
On-line discovery of hot motion paths,Dimitris Sacharidis; Kostas Patroumpas; Manolis Terrovitis; Verena Kantere; Michalis Potamias; Kyriakos Mouratidis; Timos Sellis,Abstract We consider an environment of numerous moving objects; equipped with location-sensing devices and capable of communicating with a central coordinator. In this setting; weinvestigate the problem of maintaining hot motion paths; ie; routes frequently followed bymultiple objects over the recent past. Motion paths approximate portions of objects'movement within a tolerance margin that depends on the uncertainty inherent in positionalmeasurements. Discovery of hot motion paths is important to applications requiringclassification/profiling based on monitored movement patterns; such as targeted advertising;resource allocation; etc. To achieve this goal; we delegate part of the path extraction processto objects; by assigning to them adaptive lightweight filters that dynamically suppressunnecessary location updates and; thus; help reducing the communication overhead. We …,Proceedings of the 11th international conference on Extending database technology: Advances in database technology,2008,61
Efficient semantic web service discovery in centralized and P2P environments,Dimitrios Skoutas; Dimitris Sacharidis; Verena Kantere; Timos Sellis,Abstract Efficient and scalable discovery mechanisms are critical for enabling service-oriented architectures on the Semantic Web. The majority of currently existing approachesfocuses on centralized architectures; and deals with efficiency typically by pre-computingand storing the results of the semantic matcher for all possible query concepts. Suchapproaches; however; fail to scale with respect to the number of service advertisements andthe size of the ontologies involved. On the other hand; this paper presents an efficient andscalable index-based method for Semantic Web service discovery that allows for fastselection of services at query time and is suitable for both centralized and P2Penvironments. We employ a novel encoding of the service descriptions; allowing the matchbetween a request and an advertisement to be evaluated in constant time; and we index …,International Semantic Web Conference,2008,51
Coordinating peer databases using ECA rules,Vasiliki Kantere; Iluju Kiringa; John Mylopoulos; Anastasios Kementsietsidis; Marcelo Arenas,Abstract Peer databases are stand-alone; independently developed databases that arelinked to each other through acquaintances. They each contain local data; a set of mappingtables and expressions; and a set of ECA rules that are used to exchange data among them.The set of acquaintances and peers constitutes a dynamic peer-to-peer network in whichacquaintances are continuously established and abolished. We present techniques forspecifying data exchange policies on-the-fly based on constraints imposed on the way inwhich peers exchange and share data. We realize the on-the-fly specification of dataexchange policies by building coordination ECA rules at acquaintance time. Finally; wedescribe mechanisms related to establishing and abolishing acquaintances by means ofexamples. Specifically; we consider syntactical constructs and executional semantics of …,International Workshop on Databases; Information Systems; and Peer-to-Peer Computing,2003,51
GrouPeer: Dynamic clustering of P2P databases,Verena Kantere; Dimitrios Tsoumakos; Timos Sellis; Nick Roussopoulos,Abstract Sharing structured data in a P2P network is a challenging problem; especially in theabsence of a mediated schema. The standard practice of answering a consecutivelyrewritten query along the propagation path often results in significant loss of information. Onthe opposite; the use of mediated schemas requires human interaction and globalagreement; both during creation and maintenance. In this paper we present GrouPeer; anadaptive; automated approach to both issues in the context of unstructured P2P databaseoverlays. By allowing peers to individually choose which rewritten version of a query toanswer and evaluate the received answers; information-rich sources left hidden otherwiseare discovered. Gradually; the overlay is restructured as semantically similar peers areclustered together. Experimental results show that our technique produces very accurate …,Information Systems,2009,47
Storing and indexing spatial data in p2p systems,Verena Kantere; Spiros Skiadopoulos; Timos Sellis,The peer-to-peer (P2P) paradigm has become very popular for storing and sharinginformation in a totally decentralized manner. At first; research focused on P2P systems thathost 1D data. Nowadays; the need for P2P applications with multidimensional data hasemerged; motivating research on P2P systems that manage such data. The majority of theproposed techniques are based either on the distribution of centralized indexes or on thereduction of multidimensional data to one dimension. Our goal is to create from scratch atechnique that is inherently distributed and also maintains the multidimensionality of data.Our focus is on structured P2P systems that share spatial information. We presentSpatialP2P; a totally decentralized indexing and searching framework that is suitable forspatial data. SpatialP2P supports P2P applications in which spatial information of various …,IEEE Transactions on Knowledge and Data Engineering,2009,43
