CrowdDB: answering queries with crowdsourcing,Michael J Franklin; Donald Kossmann; Tim Kraska; Sukriti Ramesh; Reynold Xin,Abstract Some queries cannot be answered by machines only. Processing such queriesrequires human input for providing information that is missing from the database; forperforming computationally difficult functions; and for matching; ranking; or aggregatingresults based on fuzzy criteria. CrowdDB uses human input via crowdsourcing to processqueries that neither database systems nor search engines can adequately answer. It usesSQL both as a language for posing complex queries and as a way to model data. WhileCrowdDB leverages many aspects of traditional database systems; there are also importantdifferences. Conceptually; a major change is that the traditional closed-world assumption forquery processing does not hold for human input. From an implementation perspective;human-oriented query operators are needed to solicit; integrate and cleanse …,Proceedings of the 2011 ACM SIGMOD International Conference on Management of data,2011,567
Crowder: Crowdsourcing entity resolution,Jiannan Wang; Tim Kraska; Michael J Franklin; Jianhua Feng,Abstract Entity resolution is central to data integration and data cleaning. Algorithmicapproaches have been improving in quality; but remain far from perfect. Crowdsourcingplatforms offer a more accurate but expensive (and slow) way to bring human insight into theprocess. Previous work has proposed batching verification tasks for presentation to humanworkers but even with batching; a human-only approach is infeasible for data sets of evenmoderate size; due to the large numbers of matches to be tested. Instead; we propose ahybrid human-machine approach in which machines are used to do an initial; coarse passover all the data; and people are used to verify only the most likely matching pairs. We showthat for such a hybrid system; generating the minimum number of verification tasks of a givensize is NP-Hard; but we develop a novel two-tiered heuristic approach for creating …,Proceedings of the VLDB Endowment,2012,333
Building a database on S3,Matthias Brantner; Daniela Florescu; David Graf; Donald Kossmann; Tim Kraska,Abstract There has been a great deal of hype about Amazon's simple storage service (S3).S3 provides infinite scalability and high availability at low cost. Currently; S3 is used mostlyto store multi-media documents (videos; photos; audio) which are shared by a community ofpeople and rarely updated. The purpose of this paper is to demonstrate the opportunitiesand limitations of using S3 as a storage system for general-purpose database applicationswhich involve small objects and frequent updates. Read; write; and commit protocols arepresented. Furthermore; the cost ($); performance; and consistency properties of such astorage system are studied.,Proceedings of the 2008 ACM SIGMOD international conference on Management of data,2008,331
An evaluation of alternative architectures for transaction processing in the cloud,Donald Kossmann; Tim Kraska; Simon Loesing,Abstract Cloud computing promises a number of advantages for the deployment of data-intensive applications. One important promise is reduced cost with a pay-as-you-gobusiness model. Another promise is (virtually) unlimited throughput by adding servers if theworkload increases. This paper lists alternative architectures to effect cloud computing fordatabase applications and reports on the results of a comprehensive evaluation of existingcommercial cloud services that have adopted these architectures. The focus of this work ison transaction processing (ie; read and update workloads); rather than analytics or OLAPworkloads; which have recently gained a great deal of attention. The results are surprising inseveral ways. Most importantly; it seems that all major vendors have adopted a differentarchitecture for their cloud services. As a result; the cost and performance of the services …,Proceedings of the 2010 ACM SIGMOD International Conference on Management of data,2010,275
Consistency rationing in the cloud: pay only when it matters,Tim Kraska; Martin Hentschel; Gustavo Alonso; Donald Kossmann,Abstract Cloud storage solutions promise high scalability and low cost. Existing solutions;however; differ in the degree of consistency they provide. Our experience using suchsystems indicates that there is a non-trivial trade-off between cost; consistency andavailability. High consistency implies high cost per transaction and; in some situations;reduced availability. Low consistency is cheaper but it might result in higher operational costbecause of; eg; overselling of products in a Web shop. In this paper; we present a newtransaction paradigm; that not only allows designers to define the consistency guaranteeson the data instead at the transaction level; but also allows to automatically switchconsistency guarantees at runtime. We present a number of techniques that let the systemdynamically adapt the consistency level by monitoring the data and/or gathering temporal …,Proceedings of the VLDB Endowment,2009,257
MLbase: A Distributed Machine-learning System.,Tim Kraska; Ameet Talwalkar; John C Duchi; Rean Griffith; Michael J Franklin; Michael I Jordan,ABSTRACT Machine learning (ML) and statistical techniques are key to transforming bigdata into actionable knowledge. In spite of the modern primacy of data; the complexity ofexisting ML algorithms is often overwhelming—many users do not understand the trade-offsand challenges of parameterizing and choosing between different learning techniques.Furthermore; existing scalable systems that support machine learning are typically notaccessible to ML researchers without a strong background in distributed systems and low-level primitives. In this work; we present our vision for MLbase; a novel system harnessingthe power of machine learning for both end-users and ML researchers. MLbase provides (1)a simple declarative way to specify ML tasks;(2) a novel optimizer to select and dynamicallyadapt the choice of learning algorithm;(3) a set of high-level operators to enable ML …,Cidr,2013,206
How is the weather tomorrow?: towards a benchmark for the cloud,Carsten Binnig; Donald Kossmann; Tim Kraska; Simon Loesing,Abstract Traditionally; the goal of benchmarking a software system is to evaluate itsperformance under a particular workload for a fixed configuration. The most prominentexamples for evaluating transactional database systems as well as other components on top(such as a application-servers or web-servers) are the various TPC benchmarks. In thispaper we argue that traditional benchmarks (like the TPC benchmarks) are not sufficient foranalyzing the novel cloud services. Moreover; we present some initial ideas how such a newbenchmark should look like that fits better to the characteristics of cloud computing (eg;scalability; pay-per-use and fault-tolerance). The main challenge of such a new benchmarkis to make the reported results comparable because different providers offer differentservices with different capabilities and guarantees.,Proceedings of the Second International Workshop on Testing Database Systems,2009,180
MDCC: Multi-data center consistency,Tim Kraska; Gene Pang; Michael J Franklin; Samuel Madden; Alan Fekete,Abstract Replicating data across multiple data centers allows using data closer to the client;reducing latency for applications; and increases the availability in the event of a data centerfailure. MDCC (Multi-Data Center Consistency) is an optimistic commit protocol for geo-replicated transactions; that does not require a master or static partitioning; and is stronglyconsistent at a cost similar to eventually consistent protocols. MDCC takes advantage ofGeneralized Paxos for transaction processing and exploits commutative updates with valueconstraints in a quorum-based system. Our experiments show that MDCC outperformsexisting synchronous transactional replication protocols; such as Megastore; by requiringonly a single message round-trip in the normal operational case independent of the master-location and by scaling linearly with the number of machines as long as transaction …,Proceedings of the 8th ACM European Conference on Computer Systems,2013,169
Leveraging transitive relations for crowdsourced joins,Jiannan Wang; Guoliang Li; Tim Kraska; Michael J Franklin; Jianhua Feng,Abstract The development of crowdsourced query processing systems has recently attracteda significant attention in the database community. A variety of crowdsourced queries havebeen investigated. In this paper; we focus on the crowdsourced join query which aims toutilize humans to find all pairs of matching objects from two collections. As a human-onlysolution is expensive; we adopt a hybrid human-machine approach which first usesmachines to generate a candidate set of matching pairs; and then asks humans to label thepairs in the candidate set as either matching or non-matching. Given the candidate pairs;existing approaches will publish all pairs for verification to a crowdsourcing platform.However; they neglect the fact that the pairs satisfy transitive relations. As an example; if o 1matches with o 2; and o 2 matches with o 3; then we can deduce that o 1 matches with o 3 …,Proceedings of the 2013 ACM SIGMOD International Conference on Management of Data,2013,131
MLI: An API for distributed machine learning,Evan R Sparks; Ameet Talwalkar; Virginia Smith; Jey Kottalam; Xinghao Pan; Joseph Gonzalez; Michael J Franklin; Michael I Jordan; Tim Kraska,MLI is an Application Programming Interface designed to address the challenges of buildingMachine Learning algorithms in a distributed setting based on data-centric computing. Itsprimary goal is to simplify the development of high-performance; scalable; distributedalgorithms. Our initial results show that; relative to existing systems; this interface can beused to build distributed implementations of a wide variety of common Machine Learningalgorithms with minimal complexity and highly competitive performance and scalability.,Data Mining (ICDM); 2013 IEEE 13th International Conference on,2013,122
Crowdsourced enumeration queries,Beth Trushkowsky; Tim Kraska; Michael J Franklin; Purnamrita Sarkar,Hybrid human/computer database systems promise to greatly expand the usefulness ofquery processing by incorporating the crowd for data gathering and other tasks. Suchsystems raise many implementation questions. Perhaps the most fundamental question isthat the closed world assumption underlying relational query semantics does not hold insuch systems. As a consequence the meaning of even simple queries can be called intoquestion. Furthermore; query progress monitoring becomes difficult due to non-uniformitiesin the arrival of crowdsourced data and peculiarities of how people work in crowdsourcingsystems. To address these issues; we develop statistical tools that enable users andsystems developers to reason about query completeness. These tools can also help drivequery execution and crowdsourcing strategies. We evaluate our techniques using …,Data Engineering (ICDE); 2013 IEEE 29th International Conference on,2013,95
Extending XQuery with window functions,Irina Botan; Donald Kossmann; Peter M Fischer; Tim Kraska; Dana Florescu; Rokas Tamosevicius,Abstract This paper presents two extensions for XQuery. The first extension allows thedefinition and processing of different kinds of windows over an input sequence; ie; tumbling;sliding; and landmark windows. The second extension extends the XQuery data model(XDM) to support infinite sequences. This extension makes it possible to use XQuery as alanguage for continuous queries. Both extensions have been integrated into a Java-basedopen source XQuery engine. This paper gives details of this implementation and presentsthe results of running the Linear Road benchmark on the extended XQuery engine.,Proceedings of the 33rd international conference on Very large data bases,2007,94
