Effective xml keyword search with relevance oriented ranking,Zhifeng Bao; Tok Wang Ling; Bo Chen; Jiaheng Lu,Inspired by the great success of information retrieval (IR) style keyword search on the web;keyword search on XML has emerged recently. The difference between text database andXML database results in three new challenges:(1) Identify the user search intention; ieidentify the XML node types that user wants to search for and search via.(2) Resolvekeyword ambiguity problems: a keyword can appear as both a tag name and a text value ofsome node; a keyword can appear as the text values of different XML node types and carrydifferent meanings.(3) As the search results are sub-trees of the XML document; new scoringfunction is needed to estimate its relevance to a given query. However; existing methodscannot resolve these challenges; thus return low result quality in term of query relevance. Inthis paper; we propose an IR-style approach which basically utilizes the statistics of …,Data Engineering; 2009. ICDE'09. IEEE 25th International Conference on,2009,221
DDE: from dewey to a fully dynamic XML labeling scheme,Liang Xu; Tok Wang Ling; Huayu Wu; Zhifeng Bao,Abstract Labeling schemes lie at the core of query processing for many XML databasemanagement systems. Designing labeling schemes for dynamic XML documents is animportant problem that has received a lot of research attention. Existing dynamic labelingschemes; however; often sacrifice query performance and introduce additional labeling costto facilitate arbitrary updates even when the documents actually seldom get updated. Sincethe line between static and dynamic XML documents is often blurred in practice; we believeit is important to design a labeling scheme that is compact and efficient regardless ofwhether the documents are frequently updated or not. In this paper; we propose a novellabeling scheme called DDE (for Dynamic DEwey) which is tailored for both static anddynamic XML documents. For static documents; the labels of DDE are the same as those …,Proceedings of the 2009 ACM SIGMOD International Conference on Management of data,2009,99
Towards an effective XML keyword search,Zhifeng Bao; Jiaheng Lu; Tok Wang Ling; Bo Chen,Inspired by the great success of information retrieval (IR) style keyword search on the web;keyword search on XML has emerged recently. The difference between text database andXML database results in three new challenges: 1) Identify the user search intention; ie;identify the XML node types that user wants to search for and search via. 2) Resolvekeyword ambiguity problems: a keyword can appear as both a tag name and a text value ofsome node; a keyword can appear as the text values of different XML node types and carrydifferent meanings; a keyword can appear as the tag name of different XML node types withdifferent meanings. 3) As the search results are subtrees of the XML document; new scoringfunction is needed to estimate its relevance to a given query. However; existing methodscannot resolve these challenges; thus return low result quality in term of query relevance …,IEEE Transactions on Knowledge and Data Engineering,2010,66
Extended XML tree pattern matching: theories and algorithms,Jiaheng Lu; Tok Wang Ling; Zhifeng Bao; Chen Wang,As business and enterprises generate and exchange XML data more often; there is anincreasing need for efficient processing of queries on XML data. Searching for theoccurrences of a tree pattern query in an XML database is a core operation in XML queryprocessing. Prior works demonstrate that holistic twig pattern matching algorithm is anefficient technique to answer an XML tree pattern with parent-child (PC) and ancestor-descendant (AD) relationships; as it can effectively control the size of intermediate resultsduring query processing. However; XML query languages (eg; XPath and XQuery) definemore axes and functions such as negation function; order-based axis; and wildcards. In thispaper; we research a large set of XML tree pattern; called extended XML tree pattern; whichmay include PC; AD relationships; negation functions; wildcards; and order restriction. We …,IEEE transactions on knowledge and data engineering,2011,60
Fast SLCA and ELCA computation for XML keyword queries based on set intersection,Junfeng Zhou; Zhifeng Bao; Wei Wang; Tok Wang Ling; Ziyang Chen; Xudong Lin; Jingfeng Guo,In this paper; we focus on efficient keyword query processing for XML data based on theSLCA and ELCA semantics. We propose a novel form of inverted lists for keywords whichinclude IDs of nodes that directly or indirectly contain a given keyword. We propose a familyof efficient algorithms that are based on the set intersection operation for both semantics. Weshow that the problem of SLCA/ELCA computation becomes finding a set of nodes thatappear in all involved inverted lists and satisfy certain conditions. We also propose severaloptimization techniques to further improve the query processing performance. We haveconducted extensive experiments with many alternative methods. The results demonstratethat our proposed methods outperform previous methods by up to two orders of magnitudein many cases.,Data Engineering (ICDE); 2012 IEEE 28th International Conference on,2012,47
A dynamic labeling scheme using vectors,Liang Xu; Zhifeng Bao; Tok Wang Ling,Abstract The labeling problem of dynamic XML documents has received increasing researchattention. When XML documents are subject to insertions and deletions of nodes; it isimportant to design a labeling scheme that efficiently facilitates updates as well asprocessing of XML queries. This paper proposes a novel encoding scheme; vector encodingwhich is orthogonal to existing labeling schemes and can completely avoid re-labeling.Extensive experiments show that our vector encoding outperforms existing labelingschemes on both label updates and query processing especially in the case of skewedupdates. Besides; it has the nice property of being conceptually easy to understand throughits graphical representation.,International Conference on Database and Expert Systems Applications,2007,37
High-power nanosecond optical parametric oscillator based on a long LiB3O5 crystal,HQ Li; HB Zhang; Z Bao; J Zhang; ZP Sun; YP Kong; Y Bi; XC Lin; AY Yao; GL Wang; W Hou; RN Li; DF Cui; ZY Xu,Abstract We report on a compact high average power optical parametric oscillator (OPO)pumped by an all-solid-state nanosecond 532 nm laser. Based on the merit of non-criticallyphase-matched crystal without walk-off effect; a 50-mm-long LiB 3 O 5 (LBO) crystal is usedas OPO nonlinear crystal to enhance the conversion efficiency and increase the outputpower. With the available mirror set; continuous tuning from 778 to 1036 nm for signal waveis obtained by changing LBO phase-matching temperature. The maximum average power ofsignal output is up to 9.4 W at 900 nm for pump power of 18 W inside the LBO crystal;corresponding to a conversion efficiency of 52% only for the signal output. This is; to the bestof our knowledge; the highest signal average power generated by nanosecond OPO insingle bulk LBO.,Optics communications,2004,31
Effective location identification from microblogs,Guoliang Li; Jun Hu; Jianhua Feng; Kian-lee Tan,The rapid development of social networks has resulted in a proliferation of user-generatedcontent (UGC). The UGC data; when properly analyzed; can be beneficial to manyapplications. For example; identifying a user's locations from microblogs is very important foreffective location-based advertisement and recommendation. In this paper; we study theproblem of identifying a user's locations from microblogs. This problem is rather challengingbecause the location information in a microblog is incomplete and we cannot get anaccurate location from a local microblog. To address this challenge; we propose a globallocation identification method; called Glitter. Glitter combines multiple microblogs of a userand utilizes them to identify the user's locations. Glitter not only improves the quality ofidentifying a user's location but also supplements the location of a microblog so as to …,Data Engineering (ICDE); 2014 IEEE 30th International Conference on,2014,30
Real time personalized search on social networks,Yuchen Li; Zhifeng Bao; Guoliang Li; Kian-Lee Tan,Internet users are shifting from searching on traditional media to social network platforms(SNPs) to retrieve up-to-date and valuable information. SNPs have two uniquecharacteristics: frequent content update and small world phenomenon. However; existingworks are not able to support these two features simultaneously. To address this problem;we develop a general framework to enable real time personalized top-k query. Ourframework is based on a general ranking function that incorporates time freshness; socialrelevance and textual similarity. To ensure efficient update and query processing; there aretwo key challenges. The first is to design an index structure that is update-friendly whilesupporting instant query processing. The second is to efficiently compute the socialrelevance in a complex graph. To address these challenges; we first design a novel 3D …,Data Engineering (ICDE); 2015 IEEE 31st International Conference on,2015,29
A framework of joint graph embedding and sparse regression for dimensionality reduction,Xiaoshuang Shi; Zhenhua Guo; Zhihui Lai; Yujiu Yang; Zhifeng Bao; David Zhang,Over the past few decades; a large number of algorithms have been developed fordimensionality reduction. Despite the different motivations of these algorithms; they can beinterpreted by a common framework known as graph embedding. In order to explore thesignificant features of data; some sparse regression algorithms have been proposed basedon graph embedding. However; the problem is that these algorithms include two separatesteps:(1) embedding learning and (2) sparse regression. Thus their performance is largelydetermined by the effectiveness of the constructed graph. In this paper; we present aframework by combining the objective functions of graph embedding and sparse regressionso that embedding learning and sparse regression can be jointly implemented andoptimized; instead of simply using the graph spectral for sparse regression. By the …,IEEE Transactions on Image Processing,2015,29
