E-store: Fine-grained elastic partitioning for distributed transaction processing systems,Rebecca Taft; Essam Mansour; Marco Serafini; Jennie Duggan; Aaron J Elmore; Ashraf Aboulnaga; Andrew Pavlo; Michael Stonebraker,Abstract On-line transaction processing (OLTP) database management systems (DBMSs)often serve time-varying workloads due to daily; weekly or seasonal fluctuations in demand;or because of rapid growth in demand due to a company's business success. In addition;many OLTP workloads are heavily skewed to" hot" tuples or ranges of tuples. For example;the majority of NYSE volume involves only 40 stocks. To deal with such fluctuations; anOLTP DBMS needs to be elastic; that is; it must be able to expand and contract resources inresponse to load fluctuations and dynamically balance load as hot tuples vary over time.This paper presents E-Store; an elastic partitioning framework for distributed OLTP DBMSs.It automatically scales resources in response to demand spikes; periodic events; andgradual changes in an application's workload. E-Store addresses localized bottlenecks …,Proceedings of the VLDB Endowment,2014,55
ERA: efficient serial and parallel suffix tree construction for very long strings,Essam Mansour; Amin Allam; Spiros Skiadopoulos; Panos Kalnis,Abstract The suffix tree is a data structure for indexing strings. It is used in a variety ofapplications such as bioinformatics; time series analysis; clustering; text editing and datacompression. However; when the string and the resulting suffix tree are too large to fit intothe main memory; most existing construction algorithms become very inefficient. This paperpresents a disk-based suffix tree construction method; called Elastic Range (ERa); whichworks efficiently with very long strings that are much larger than the available memory. ERapartitions the tree construction process horizontally and vertically and minimizes I/Os bydynamically adjusting the horizontal partitions independently for each vertical partition;based on the evolving shape of the tree and the available memory. Where appropriate; ERaalso groups vertical partitions together to amortize the I/O cost. We developed a serial …,Proceedings of the VLDB Endowment,2011,39
Choosing the" Best" Sorting Algorithm for Optimal Energy Consumption.,Christian Bunse; Hagen Höpfner; Suman Roychoudhury; Essam Mansour,Abstract: Reducing energy consumption of mobile systems in order to prolong theiroperating time has been an interesting research topic over the past several years. Suchsystems are typically battery powered. Hence; their uptime depends on the energyconsumptions of the used components. By applying novel strategies that allow systems todynamically adapt at runtime can be effectively used to reduce energy consumption. Thefocus of this paper is based on a case study that uses an energy management componentthat can dynamically choose the “best” sorting algorithm duing a multi-party mobilecommunication. The results indicate that Insertionsort is the most optimal sorting algorithmwhen in comes to saving energy.,ICSOFT (2),2009,38
Exploring the energy consumption of data sorting algorithms in embedded and mobile environments,Christian Bunse; Hagen Höpfner; Essam Mansour; Suman Roychoudhury,Most mobile and embedded devices are battery powered. Hence; their uptime depends onthe energy consumption of the used components. Developers made severe effort to optimizehardware components in order to reduce their energy consumption. However; in this paperwe show that one also has to consider energy awareness in terms of software. In this studywe focus on sorting algorithms; which are not only used directly by the user of a device butalso very often implicitly by other algorithms. Our experiments show; that different sortingalgorithms consume different amounts of energy. In detail; the experiments show that thereis no direct correlation between the time complexity of an algorithm and its energyconsumption.,Mobile Data Management: Systems; Services and Middleware; 2009. MDM'09. Tenth International Conference on,2009,37
Accordion: Elastic scalability for database systems supporting distributed transactions,Marco Serafini; Essam Mansour; Ashraf Aboulnaga; Kenneth Salem; Taha Rafiq; Umar Farooq Minhas,Abstract Providing the ability to elastically use more or fewer servers on demand (scale outand scale in) as the load varies is essential for database management systems (DBMSes)deployed on today's distributed computing platforms; such as the cloud. This requiressolving the problem of dynamic (online) data placement; which has so far been addressedonly for workloads where all transactions are local to one sever. In DBMSes where ACIDtransactions can access more than one partition; distributed transactions represent a majorperformance bottleneck. Scaling out and spreading data across a larger number of serversdoes not necessarily result in a linear increase in the overall system throughput; becausetransactions that used to access only one server may become distributed. In this paper wepresent Accordion; a dynamic data placement system for partition-based DBMSes that …,Proceedings of the VLDB Endowment,2014,29
An event-driven approach to computerizing clinical guidelines using XML,Essam Mansour; Bing Wu; Kudakwashe Dube; Jian Xing Li,Clinical events form the basis of patient care practice. Their computerization is an importantaid to the work of clinicians. Clinical guidelines or protocols direct clinicians and patients onwhen and how to handle clinical problems. Thus; clinical guidelines are an encapsulation ofclinical events. Hence; an event-driven approach to computerizing the management ofclinical guidelines is worthy of investigation. In our framework; called SpEM; the main clinicalguideline management dimensions are specification; execution; and manipulation. Thispaper presents an event-driven approach; within the context of the SpEM framework; tomanage clinical guidelines. The event-driven approach is based on the event-condition-action (ECA) rule paradigm in which the ECA rules are specified using an XML-basedlanguage over an electronic healthcare record (EHCR) implemented using an XML …,Services Computing Workshops; 2006. SCW'06. IEEE,2006,15
A demonstration of the solid platform for social web applications,Essam Mansour; Andrei Vlad Sambra; Sandro Hawke; Maged Zereba; Sarven Capadisli; Abdurrahman Ghanem; Ashraf Aboulnaga; Tim Berners-Lee,Abstract Solid is a decentralized platform for social Web applications. In the Solid platform;users' data is managed independently of the applications that create and consume this data.Each user stores their data in a Web-accessible personal online datastore (or pod). Eachuser can have one or more pods from different pod providers; and can easily switch betweenproviders. Applications access data in users' pods using well defined protocols; and adecentralized authentication and access control mechanism guarantees the privacy of thedata. In this decentralized architecture; applications can operate on users' data wherever it isstored. Users control access to their data; and have the option to switch betweenapplications at any time. We will demonstrate the utility of Solid and how it is experiencedfrom the point of view of end users and application developers. For this; we will use a set …,Proceedings of the 25th International Conference Companion on World Wide Web,2016,14
Energy efficient data sorting using standard sorting algorithms,Christian Bunse; Hagen Höpfner; Suman Roychoudhury; Essam Mansour,Abstract Protecting the environment by saving energy and thus reducing carbon dioxideemissions is one of today's hottest and most challenging topics. Although the perspective forreducing energy consumption; from ecological and business perspectives is clear; from atechnological point of view; the realization especially for mobile systems still falls behindexpectations. Novel strategies that allow (software) systems to dynamically adaptthemselves at runtime can be effectively used to reduce energy consumption. This paperpresents a case study that examines the impact of using an energy management componentthat dynamically selects and applies the “optimal” sorting algorithm; from an energyperspective; during multi-party mobile communication. Interestingly; the results indicate thatalgorithmic performance is not key and that dynamically switching algorithms at runtime …,International Conference on Software and Data Technologies,2009,13
ACME: A scalable parallel system for extracting frequent patterns from a very long sequence,Majed Sahli; Essam Mansour; Panos Kalnis,Abstract Modern applications; including bioinformatics; time series; and web log analysis;require the extraction of frequent patterns; called motifs; from one very long (ie; severalgigabytes) sequence. Existing approaches are either heuristics that are error-prone; or exact(also called combinatorial) methods that are extremely slow; therefore; applicable only tovery small sequences (ie; in the order of megabytes). This paper presents ACME; acombinatorial approach that scales to gigabyte-long sequences and is the first to supportsupermaximal motifs. ACME is a versatile parallel system that can be deployed on desktopmulti-core systems; or on thousands of CPUs in the cloud. However; merely using morecompute nodes does not guarantee efficiency; because of the related overheads. To thisend; ACME introduces an automatic tuning mechanism that suggests the appropriate …,The VLDB Journal,2014,11
Parallel motif extraction from very long sequences,Majed Sahli; Essam Mansour; Panos Kalnis,Abstract Motifs are frequent patterns used to identify biological functionality in genomicsequences; periodicity in time series; or user trends in web logs. In contrast to a lot ofexisting work that focuses on collections of many short sequences; modern applicationsrequire mining of motifs in one very long sequence (ie; in the order of several gigabytes). Forthis case; there exist statistical approaches that are fast but inaccurate; or combinatorialmethods that are sound and complete. Unfortunately; existing combinatorial methods areserial and very slow. Consequently; they are limited to very short sequences (ie; a fewmegabytes); small alphabets (typically 4 symbols for DNA sequences); and restricted typesof motifs. This paper presents ACME; a combinatorial method for extracting motifs from asingle very long sequence. ACME arranges the search space in contiguous blocks that …,Proceedings of the 22nd ACM international conference on Information & Knowledge Management,2013,10
Supporting collaboration and information sharing in computer-based clinical guideline management,Kudakwashe Dube; Essam Mansour; Bing Wu,Collaboration and information sharing for facilitating patient and clinician mobility isimportant to consider in supporting computer-based clinical guidelines and protocols. Thispaper presents part of ongoing work to develop a generic approach to supportinginformation sharing and collaboration in computer-based clinical guideline management. Aframework for guideline management is presented with enhancements for supportingcollaboration and information sharing. The generic approach combines the active ruleparadigm and XML technologies to create the basis for supporting collaboration and sharingin a distributed healthcare environment.,Computer-Based Medical Systems; 2005. Proceedings. 18th IEEE Symposium on,2005,10
Automatic tuning of bag-of-tasks applications,Majed Sahli; Essam Mansour; Tariq Alturkestani; Panos Kalnis,This paper presents APlug; a framework for automatic tuning of large scale applications ofmany independent tasks. APlug suggests the best decomposition of the original computationinto smaller tasks and the best number of CPUs to use; in order to meet user-specificconstraints. We show that the problem is not trivial because there is large variability in theexecution time of tasks; and it is possible for a task to occupy a CPU by performing uselesscomputations. APlug collects a sample of task execution times and builds a model; which isthen used by a discrete event simulator to calculate the optimal parameters. We provide aC++ API and a stand-alone implementation of APlug; and we integrate it with three typicalapplications from computational chemistry; bioinformatics; and data mining. A scenario foroptimizing resources utilization is used to demonstrate our framework. We run …,Data Engineering (ICDE); 2015 IEEE 31st International Conference on,2015,8
MyMIDP: An JDBC driver for accessing MySQL from mobile devices,Hagen Höpfner; Jörg Schad; Sebastian Wendland; Essam Mansour,Cell phones are no longer merely used to make phone calls or to send short or multimediamessages. They more and more become information systems clients. Recent developmentsin the areas of mobile computing; wireless networks and information systems provide accessto data at almost every place and anytime by using this kind of lightweight mobile device. Buteven though mobile clients support the Java Mobile Edition or the. NET Micro Framework;most information systems for mobile clients require a middle-ware that handles datacommunication. Java's JDBC provides a standard way to access databases in Java; but thisinterface is missing in Java ME. In this paper we present our implementation of an MIDP-based Java ME driver for My SQL similar to JDBC that allows direct communication of MIDPapplications to My SQL servers without a middleware.,Advances in Databases; Knowledge; and Data Applications; 2009. DBKDA'09. First International Conference on,2009,8
A Generic Approach and Framework for Managing Complex Information,Essam Mansour,Abstract Several application domains; such as healthcare; incorporate domain knowledgeinto their day-to-day activities to standardise and enhance their performance. Suchincorporation produces complex information; which contains two main clusters (active andpassive) of information that have internal connections between them. The active clusterdetermines the recommended procedure that should be taken as a reaction to specificsituations. The passive cluster determines the information that describes these situationsand other descriptive information plus the execution history of the complex information. Inthe healthcare domain; a medical patient plan is an example for complex informationproduced during the disease management activity from specific clinical guidelines.,Doctoral,2008,6
