Towards time-aware link prediction in evolving social networks,Tomasz Tylenda; Ralitsa Angelova; Srikanta Bedathur,Abstract Prediction of links-both new as well as recurring-in a social network representinginteractions between individuals is an important problem. In the recent years; there issignificant interest in methods that use only the graph structure to make predictions.However; most of them consider a single snapshot of the network as the input; neglecting animportant aspect of these social networks viz.; their evolution over time. In this work; weinvestigate the value of incorporating the history information available on the interactions (orlinks) of the current social network state. Our results unequivocally show that time-stamps ofpast interactions significantly improve the prediction accuracy of new and recurrent linksover rather sophisticated methods proposed recently. Furthermore; we introduce a noveltesting method which reflects the application of link prediction better than previous …,Proceedings of the 3rd workshop on social network mining and analysis,2009,175
A language modeling approach for temporal information needs,Klaus Berberich; Srikanta Bedathur; Omar Alonso; Gerhard Weikum,Abstract This work addresses information needs that have a temporal dimension conveyedby a temporal expression in the user's query. Temporal expressions such as “in the 1990s”are frequent; easily extractable; but not leveraged by existing retrieval models. Onechallenge when dealing with them is their inherent uncertainty. It is often unclear whichexact time interval a temporal expression refers to. We integrate temporal expressions into alanguage modeling approach; thus making them first-class citizens of the retrieval modeland considering their inherent uncertainty. Experiments on the New York Times AnnotatedCorpus using Amazon Mechanical Turk to collect queries and obtain relevanceassessments demonstrate that our approach yields substantial improvements in retrievaleffectiveness.,European Conference on Information Retrieval,2010,165
Fast and accurate estimation of shortest paths in large graphs,Andrey Gubichev; Srikanta Bedathur; Stephan Seufert; Gerhard Weikum,Abstract Computing shortest paths between two given nodes is a fundamental operationover graphs; but known to be nontrivial over large disk-resident instances of graph data.While a number of techniques exist for answering reachability queries and approximatingnode distances efficiently; determining actual shortest paths (ie the sequence of nodesinvolved) is often neglected. However; in applications arising in massive online socialnetworks; biological networks; and knowledge graphs it is often essential to find out many; ifnot all; shortest paths between two given nodes. In this paper; we address this problem andpresent a scalable sketch-based index structure that not only supports estimation of nodedistances; but also computes corresponding shortest paths themselves. Generating theactual path information allows for further improvements to the estimation accuracy of …,Proceedings of the 19th ACM international conference on Information and knowledge management,2010,130
A time machine for text search,Klaus Berberich; Srikanta Bedathur; Thomas Neumann; Gerhard Weikum,Abstract Text search over temporally versioned document collections such as web archiveshas received little attention as a research problem. As a consequence; there is no scalableand principled solution to search such a collection as of a specified time. In this work; weaddress this shortcoming and propose an efficient solution for time-travel text search byextending the inverted file index to make it ready for temporal search. We introduceapproximate temporal coalescing as a tunable method to reduce the index size withoutsignificantly affecting the quality of results. In order to further improve the performance oftime-travel queries; we introduce two principled techniques to trade off index size for itsperformance. These techniques can be formulated as optimization problems that can besolved to near-optimality. Finally; our approach is evaluated in a comprehensive series of …,Proceedings of the 30th annual international ACM SIGIR conference on Research and development in information retrieval,2007,107
Engineering a fast online persistent suffix tree construction,Srikanta J Bedathur; Jayant R Haritsa,Online persistent suffix tree construction has been considered impractical due to itsexcessive I/O costs. However; these prior studies have not taken into account the effects ofthe buffer management policy and the internal node structure of the suffix tree on I/Obehavior of construction and subsequent retrievals over the tree. We study these two issuesin detail in the context of large genomic DNA and protein sequences. In particular; we makethe following contributions:(i) a novel; low-overhead buffering policy called TOP-Q whichimproves the on-disk behavior of suffix tree construction and subsequent retrievals; and (ii)empirical evidence that the space efficient linked-list representation of suffix tree nodesprovides significantly inferior performance when compared to the array representation.These results demonstrate that a careful choice of implementation strategies can make …,Data Engineering; 2004. Proceedings. 20th International Conference on,2004,68
High-Performance Reachability Query Processing under Index Size Restrictions,Stephan Seufert; Avishek Anand; Srikanta Bedathur; Gerhard Weikum,Abstract: In this paper; we propose a scalable and highly efficient index structure for thereachability problem over graphs. We build on the well-known node interval labelingscheme where the set of vertices reachable from a particular node is compactly encoded asa collection of node identifier ranges. We impose an explicit bound on the size of the indexand flexibly assign approximate reachability ranges to nodes of the graph such that thenumber of index probes to answer a query is minimized. The resulting tunable indexstructure generates a better range labeling if the space budget is increased; thus providing adirect control over the trade off between index size and the query processing performance.By using a fast recursive querying method in conjunction with our index structure; we showthat in practice; reachability queries can be answered in the order of microseconds on an …,arXiv preprint arXiv:1211.3375,2012,53
Bridging the Terminology Gap in Web Archive Search.,Klaus Berberich; Srikanta J Bedathur; Mauro Sozio; Gerhard Weikum,Page 1. Bridging the Terminology Gap in Web Archive Search Klaus Berberich; Srikanta Bedathur;Mauro Sozio; Gerhard Weikum Max-Planck Institute for Informatics; Saarbrücken; Germany Page2. Bridging the Terminology Gap in Web Archives (Klaus Berberich) ∎ http://www.liwa-project.eu ∎ European Union FP7 project that develops next generation web archiving technologiesPage 3. Bridging the Terminology Gap in Web Archives (Klaus Berberich) Web Archives ∎Archived contents increasingly made available on the Web – Web content increasingly archived ∎Web archives play an important role in providing access and preserving our cultural heritagehttp://archives.timesonline.co.uk Issues since 1785 digitized http://archive.org/web 150B webpages archived since 1996 Page 4. Bridging the Terminology Gap in Web Archives (KlausBerberich) What is the Terminology Gap? ∎ Terminology evolves constantly …,WebDB,2009,36
Time will tell: Leveraging temporal expressions in ir,Irem Arikan; Srikanta Bedathur; Klaus Berberich,Abstract Temporal expressions; such as between 1992 and 2000; are frequent across manykinds of documents. Text retrieval; though; treats them as common terms; thus ignoring theirinherent semantics. For queries with a strong temporal component; such as US president1997; this leads to a decrease in retrieval effectiveness; since relevant documents (eg; abiography of Bill Clinton containing the aforementioned temporal expression) can not bereliably matched to the query. We propose a novel approach; based on language models; tomake temporal expressions first-class citizens of the retrieval model. In addition; we presentexperiments that show actual improvements in retrieval effectiveness.,In WSDM,2009,32
Durable top-k search in document archives,Nikos Mamoulis; Klaus Berberich; Srikanta Bedathur,Abstract We propose and study a new ranking problem in versioned databases. Consider adatabase of versioned objects which have different valid instances along a history (eg;documents in a web archive). Durable top-k search finds the set of objects that areconsistently in the top-k results of a query (eg; a keyword query) throughout a given timeinterval (eg; from June 2008 to May 2009). Existing work on temporal top-k queries mainlyfocuses on finding the most representative top-k elements within a time interval. Suchmethods are not readily applicable to durable top-k queries. To address this need; wepropose two techniques that compute the durable top-k result. The first is adapted from theclassic top-k rank aggregation algorithm NRA. The second technique is based on a sharedexecution paradigm and is more efficient than the first approach. In addition; we propose …,Proceedings of the 2010 ACM SIGMOD International Conference on Management of data,2010,31
Index maintenance for time-travel text search,Avishek Anand; Srikanta Bedathur; Klaus Berberich; Ralf Schenkel,Abstract Time-travel text search enriches standard text search by temporal predicates; sothat users of web archives can easily retrieve document versions that are consideredrelevant to a given keyword query and existed during a given time interval. Different indexstructures have been proposed to efficiently support time-travel text search. None of them;however; can easily be updated as the Web evolves and new document versions are addedto the web archive. In this work; we describe a novel index structure that efficiently supportstime-travel text search and can be maintained incrementally as new document versions areadded to the web archive. Our solution uses a sharded index organization; bounds thenumber of spuriously read index entries per shard; and can be maintained using small in-memory buffers and append-only operations. We present experiments on two large-scale …,Proceedings of the 35th international ACM SIGIR conference on Research and development in information retrieval,2012,28
Sparqling kleene: fast property paths in RDF-3X,Andrey Gubichev; Srikanta J Bedathur; Stephan Seufert,Abstract As Semantic Web efforts continue to gather steam; the RDF engines are faced withgraphs with millions of nodes and billions of edges. While much recent work in addressingthe resulting scalability issues in processing queries over these datasets have mainlyconsidered SPARQL 1.0; the next-generation query language recommendations haveproposed the addition of regular expression restricted navigation queries into SPARQL. Weaddress the problem of supporting efficient processing of property paths into RDF-3X--a high-performance RDF engine. In this paper; we restrict our attention to a restricted definition ofproperty paths that is not only tractable but also most commonly used--instead ofenumerating all paths that satisfy the given query; we focus on regular expression basedreachability queries. Based on this; we make the following three major technical …,First International Workshop on Graph Data Management Experiences and Systems,2013,27
Temporal diversification of search results,Klaus Berberich; Srikanta Bedathur,ABSTRACT We investigate the notion of temporal diversity; bringing together two recentlyactive threads of research; namely temporal ranking and diversification of search results. Anovel method is developed to determine search results consisting of documents that arerelevant to the query and were published at diverse times of interest to the query.Preliminary experiments on twenty years' worth of newspaper articles from The New YorkTimes demonstrate characteristics of our method and compare it against two baselines.,Proceedings of the SIGIR 2013 workshop on time-aware information access,2013,24
Antourage: mining distance-constrained trips from flickr,Saral Jain; Stephan Seufert; Srikanta Bedathur,Abstract We study how to automatically extract tourist trips from large volumes of geo-taggedphotographs. Working with more than 8 million of these photographs that are publiclyavailable via photo-sharing communities such as Flickr and Panoramio; our goal is to satisfythe needs of a tourist who specifies a starting location (typically a hotel) together with abounded travel distance and demands a tour that visits the popular sites along the way. Oursystem; named ANTOURAGE; solves this intractable problem using a novel adaptation ofthe max-min ant system (MMAS) meta-heuristic. Experiments using GPS metadata crawledfrom Flickr show that ANTOURAGE can generate high-quality tours.,Proceedings of the 19th international conference on World wide web,2010,24
Temporal index sharding for space-time efficiency in archive search,Avishek Anand; Srikanta Bedathur; Klaus Berberich; Ralf Schenkel,Abstract Time-travel queries that couple temporal constraints with keyword queries areuseful in searching large-scale archives of time-evolving content such as the web archivesor wikis. Typical approaches for efficient evaluation of these queries involve slicing either theentire collection [20] or individual index lists [10] along the time-axis. Both these methods arenot satisfactory since they sacrifice compactness of index for processing efficiency makingthem either too big or; otherwise; too slow. We present a novel index organization schemethat shards each index list with almost zero increase in index size but still minimizes the costof reading index entries during query processing. Based on the optimal sharding thusbtained; we develop a practically efficient sharding that takes into account the different costsof random and sequential accesses. Our algorithm merges shards from the optimal …,Proceedings of the 34th international ACM SIGIR conference on Research and development in Information Retrieval,2011,23
Interesting-phrase mining for ad-hoc text analytics,Srikanta Bedathur; Klaus Berberich; Jens Dittrich; Nikos Mamoulis; Gerhard Weikum,Abstract Large text corpora with news; customer mail and reports; or Web 2.0 contributionsoffer a great potential for enhancing business-intelligence applications. We propose aframework for performing text analytics on such data in a versatile; efficient; and scalablemanner. While much of the prior literature has emphasized mining keywords or tags in blogsor social-tagging communities; we emphasize the analysis of interesting phrases. Theseinclude named entities; important quotations; market slogans; and other multi-word phrasesthat are prominent in a dynamically derived ad-hoc subset of the corpus; eg; being frequentin the subset but relatively infrequent in the overall corpus. We develop preprocessing andindexing methods for phrases; paired with new search techniques for the top-k mostinteresting phrases in ad-hoc subsets of the corpus. Our framework is evaluated using a …,Proceedings of the VLDB Endowment,2010,23
