Creating a Web community chart for navigating related communities,Masashi Toyoda; Masaru Kitsuregawa,Abstract Recent research on link analysis has shown the existence of numerous webcommunities on the Web. A web community is a collection of web pages created byindividuals or any kind of associations that have a common interest on a specific topic. In thispaper; we propose a technique to create a web community chart; that connects related webcommunities; from thousands of seed pages. This allows the user to navigate throughrelated web communities; and can be used for aWhat's Related Community'service thatprovides not only the web community including a given page but also related webcommunities. Our technique is based on a related page algorithm that gives related pages toa given page using only link analysis. We show that the algorithm can be used for creatingthe chart by applying the algorithm to each seed; then using similarities of the results to …,Proceedings of the 12th ACM conference on Hypertext and Hypermedia,2001,153
Extracting evolution of web communities from a series of web archives,Masashi Toyoda; Masaru Kitsuregawa,Abstract Recent advances in storage technology make it possible to store a series of largeWeb archives. It is now an exciting challenge for us to observe evolution of the Web. In thispaper; we propose a method for observing evolution of web communities. A web communityis a set of web pages created by individuals or associations with a common interest on atopic. So far; various link analysis techniques have been developed to extract webcommunities. We analyze evolution of web communities by comparing four Japanese webarchives crawled from 1999 to 2002. Statistics of these archives and community evolutionare examined; and the global behavior of evolution is described. Several metrics areintroduced to measure the degree of web community evolution; such as growth rate; novelty;and stability. We developed a system for extracting detailed evolution of communities …,Proceedings of the fourteenth ACM conference on Hypertext and hypermedia,2003,104
A large-scale study of link spam detection by graph algorithms,Hiroo Saito; Masashi Toyoda; Masaru Kitsuregawa; Kazuyuki Aihara,Abstract Link spam refers to attempts to promote the ranking of spammers' web sites bydeceiving link-based ranking algorithms in search engines. Spammers often create denselyconnected link structure of sites so called" link farm". In this paper; we study the overallstructure and distribution of link farms in a large-scale graph of the Japanese Web with 5.8million sites and 283 million links. To examine the spam structure; we apply three graphalgorithms to the web graph. First; the web graph is decomposed into strongly connectedcomponents (SCC). Beside the largest SCC (core) in the center of the web; we haveobserved that most of large components consist of link farms. Next; to extract spam sites inthe core; we enumerate maximal cliques as seeds of link farms. Finally; we expand theselink farms as a reliable spam seed set by a minimum cut technique that separates links …,Proceedings of the 3rd international workshop on Adversarial information retrieval on the web,2007,74
Quantifying collective attention from tweet stream,Kazutoshi Sasahara; Yoshito Hirata; Masashi Toyoda; Masaru Kitsuregawa; Kazuyuki Aihara,Online social media are increasingly facilitating our social interactions; thereby makingavailable a massive “digital fossil” of human behavior. Discovering and quantifying distinctpatterns using these data is important for studying social behavior; although the rapid time-variant nature and large volumes of these data make this task difficult and challenging. Inthis study; we focused on the emergence of “collective attention” on Twitter; a popular socialnetworking service. We propose a simple method for detecting and measuring the collectiveattention evoked by various types of events. This method exploits the fact that tweetingactivity exhibits a burst-like increase and an irregular oscillation when a particular real-worldevent occurs; otherwise; it follows regular circadian rhythms. The difference between regularand irregular states in the tweet stream was measured using the Jensen-Shannon …,PloS one,2013,49
A system for visualizing and analyzing the evolution of the web with a time series of graphs,Masashi Toyoda; Masaru Kitsuregawa,Abstract We propose WebRelievo; a system for visualizing and analyzing the evolution ofthe web structure based on a large Web archive with a series of snapshots. It visualizes theevolution with a time series of graphs; in which nodes are web pages; and edges arerelationships between pages. Graphs can be clustered to show the overview of changes ingraphs. WebRelievo aligns these graphs according to their time; and automaticallydetermines their layout keeping positions of nodes synchronized over time; so that the usercan keep track pages and clusters. This visualization enables us to understand when pagesappeared; how their relationships have evolved; and how clusters are merged and split overtime. Current implementation of WebRelievo is based on six Japanese web archivescrawled from 1999 to 2003. The user can interactively browse those graphs by changing …,Proceedings of the sixteenth ACM conference on Hypertext and hypermedia,2005,46
A study of link farm distribution and evolution using a time series of web snapshots,Young-joo Chung; Masashi Toyoda; Masaru Kitsuregawa,Abstract In this paper; we study the overall link-based spam structure and its evolution whichwould be helpful for the development of robust analysis tools and research for Webspamming as a social activity in the cyber space. First; we use strongly connectedcomponent (SCC) decomposition to separate many link farms from the largest SCC; socalled the core. We show that denser link farms in the core can be extracted by node filteringand recursive application of SCC decomposition to the core. Surprisingly; we can find newlarge link farms during each iteration and this trend continues until at least 10 iterations. Inaddition; we measure the spamicity of such link farms. Next; the evolution of link farms isexamined over two years. Results show that almost all large link farms do not grow anymorewhile some of them shrink; and many large link farms are created in one year.,Proceedings of the 5th international workshop on Adversarial information retrieval on the Web,2009,38
What's really new on the web?: identifying new pages from a series of unstable web snapshots,Masashi Toyoda; Masaru Kitsuregawa,Abstract Identifying and tracking new information on the Web is important in sociology;marketing; and survey research; since new trends might be apparent in the new information.Such changes can be observed by crawling the Web periodically. In practice; however; it isimpossible to crawl the entire expanding Web repeatedly. This means that the novelty of apage remains unknown; even if that page did not exist in previous snapshots. In this paper;we propose a novelty measure for estimating the certainty that a newly crawled pageappeared between the previous and current crawls. Using this novelty measure; new pagescan be extracted from a series of unstable snapshots for further analysis and mining toidentify new trends on the Web. We evaluated the precision; recall; and miss rate of thenovelty measure using our Japanese web archive; and applied it to a Web archive search …,Proceedings of the 15th international conference on World Wide Web,2006,37
Web community mining and web log mining: commodity cluster based execution,Masaru Kitsuregawa; Masashi Toyoda; Iko Pramudiono,Abstract The emergence of WWW has drawn new frontiers for database research. Webmining has become a hot topic since WWW rapid expansion rate and chaotic nature haveexposed some technical challenges as well as interesting discoveries. In general webmining can be classified into web structure mining and web usage mining. Here weintroduce two applications of web mining; first from mining the web structure we identify webcommunities; and the second we mine web usage of mobile internet users on locationaware search engine. Those applications require heavy computational power as well asgood scalability. Cluster of commodity PCs is suitable as the platform to handle suchapplications. Here we also report some approaches for optimal parallel execution of miningalgorithms on PC cluster.,Australian Computer Science Communications,2002,33
An interactive visualization framework for time-series of web graphs in a 3D environment,Masahiko Itoh; Masashi Toyoda; Masaru Kitsuregawa,We propose an interactive framework for the 3D visualization of the time-series of Webgraphs. The purpose of our framework is to enable users to examine the evolution of Webgraphs by comparing multiple graphs that have different timings and topics. To achieve this;we provide TimeSlices that are 2D planes to visualize Web graphs in a 3D environment.Users can interactively add new TimeSlices along the timeline; and they can manipulatethem to animate Web graphs. Visualized Web graphs on TimeSlices are snapshots ofdifferent timings. Moreover; we provide mechanisms to generate and manipulate overlayviews and parallel views in the 3D environment to enable Web graphs to be compared.Users can seamlessly change these viewing modes. Our system can also visualize two Webgraphs created from different keywords to display the evolutional correlation between …,Information Visualisation (IV); 2010 14th International Conference,2010,32
Predicting and eliciting addressee’s emotion in online dialogue,Takayuki Hasegawa; Nobuhiro Kaji; Naoki Yoshinaga; Masashi Toyoda,Abstract While there have been many attempts to estimate the emotion of an addresser fromher/his utterance; few studies have explored how her/his utterance affects the emotion of theaddressee. This has motivated us to investigate two novel tasks: predicting the emotion ofthe addressee and generating a response that elicits a specific emotion in the addressee'smind. We target Japanese Twitter posts as a source of dialogue data and automatically buildtraining data for learning the predictors and generators. The feasibility of our approaches isassessed by using 1099 utterance-response pairs that are built by five human workers.,Proceedings of the 51st Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),2013,26
Analysis and visualization of temporal changes in bloggers' activities and interests,Masahiko Itoh; Naoki Yoshinaga; Masashi Toyoda; Masaru Kitsuregawa,Social media such as blogs and microblogs enable users to easily and rapidly publishinformation on their personal activities and interests. They are considered to providevaluable information from the viewpoints of sociology; linguistics; and marketing. This paperproposes a novel system for analyzing temporal changes in the activities and interests ofbloggers through a 3D visualization of phrase dependency structures in sentences. We firstextract events that represent bloggers' activities and interests through analyzing the phrasedependencies of sentences in a blog archive. We roughly categorize the retrieved eventsaccording to the thematic roles (such as the experiencer; agent; and location) of the nounwithin the events; and then store them in a dependency database so that we can retrieveevents that involve a given topic. Second; we present a 3D visualization framework for …,Visualization Symposium (PacificVis); 2012 IEEE Pacific,2012,26
文の構造を考慮した評判抽出手法,藤村滋， 豊田正史， 喜連川優,Abstract It is important to specify evaluation expression which is a reason of reputations soas to deal with reputations on the Web; In recent researches; features which are made bywords of adjectives and adjective verbs are often adopted. However; word-level features areinadequate to understand the reason of reputations. In other way; features using arbitrarystructure of sentence are often adopted too. But these features cause decrease of coverage.In this paper; we propose features which are made by only main words in meaning ofsentences. We also propose the method of classifying reputations using proposed featuresand evaluate this method. At the end; we describe application of classifier to extractingreputations.,電子情報通信学会第 16 回データ工学ワークショップ; 6C-i8,2005,25
Hyper mochi sheet: a predictive focusing interface for navigating and editing nested networks through a multi-focus distortion-oriented view,Masashi Toyoda; Etsuya Shibayama,Abstract Multi-focus distortion-oriented views are useful in viewing large information on asmall screen; but still have problems in managing multiple foci during editing. The user mayhave to navigate information space by focusing and defocusing multiple parts to obtain multi-focus layouts that change according to various editing situations. As a result; it becomeshaphazard to navigate and edit large nested networks such as hypertexts. We propose auser interface for quickly obtaining desirable layouts. The interface uses two techniques:focus size prediction and predictive focus selection. These techniques are based on a usertest and experiences in applications. We also describe two example applications.,Proceedings of the SIGCHI conference on Human factors in computing systems,1999,25
