Optimal histograms with quality guarantees,Hosagrahar Visvesvaraya Jagadish; Nick Koudas; S Muthukrishnan; Viswanath Poosala; Kenneth C Sevcik; Torsten Suel,Abstract Histograms are commonly used to capture attribute value distribution statistics forquery optimizers. More recently; histograms have also been considered as a way to producequick approximate answers to decision support queries. This widespread interest inhistograms motivates the problem of computing histograms that are good under a givenerror metric. In particular; we are interested in an e® cient algorithm for choosing the bucketboundaries in a way that either minimizes the estimation error for a given amount of space(number of buckets) or; conversely; minimizes the space needed for a given upper bound onthe error. Under the assumption that finding optimal bucket boundaries is computationallyine® cient; previous research has focused on heuristics with no provable bounds on thequality of the solutions. In this paper; we present algorithms for computing optimal bucket …,VLDB,1998,468
BSPlib: The BSP programming library,Jonathan Hill; Bill McColl; Dan C Stefanescu; Mark W Goudreau; Kevin Lang; Satish B Rao; Torsten Suel; Thanasis Tsantilas; Rob H Bisseling,Abstract BSPlib is a small communications library for bulk synchronous parallel (BSP)programming which consists of only 20 basic operations. This paper presents the fulldefinition of BSPlib in C; motivates the design of its basic operations; and gives examples oftheir use. The library enables programming in two distinct styles: direct remote memoryaccess (DRMA) using put or get operations; and bulk synchronous message passing(BSMP). Currently; implementations of BSPlib exist for a variety of modern architectures;including massively parallel computers with distributed memory; shared memorymultiprocessors; and networks of workstations. BSPlib has been used in several scientificand industrial applications; this paper briefly describes applications in benchmarking; FastFourier Transforms (FFTs); sorting; and molecular dynamics.,Parallel Computing,1998,466
Design and implementation of a high-performance distributed web crawler,Vladislav Shkapenyuk; Torsten Suel,Broad Web search engines as well as many more specialized search tools rely on Webcrawlers to acquire large collections of pages for indexing and analysis. Such a Web crawlermay interact with millions of hosts over a period of weeks or months; and thus issues ofrobustness; flexibility; and manageability are of major importance. In addition; I/Operformance; network resources; and OS limits must be taken into account in order toachieve high performance at a reasonable cost. In this paper; we describe the design andimplementation of a distributed Web crawler that runs on a network of workstations. Thecrawler scales to (at least) several hundred pages per second; is resilient against systemcrashes and other events; and can be adapted to various crawling applications. We presentthe software architecture of the system; discuss the; performance bottlenecks; and …,Data Engineering; 2002. Proceedings. 18th International Conference on,2002,460
Efficient query processing in geographic web search engines,Yen-Yu Chen; Torsten Suel; Alexander Markowetz,Abstract Geographic web search engines allow users to constrain and order search resultsin an intuitive manner by focusing a query on a particular geographic region. Geographicsearch technology; also called local search; has recently received significant interest frommajor search engine companies. Academic research in this area has focused primarily ontechniques for extracting geographic knowledge from the web. In this paper; we study theproblem of efficient query processing in scalable geographic search engines. Queryprocessing is a major bottleneck in standard web search engines; and the main reason forthe thousands of machines used by the major engines. Geographic search engine queryprocessing is different in that it requires a combination of text and spatial data processingtechniques. We propose several algorithms for efficient query processing in geographic …,Proceedings of the 2006 ACM SIGMOD international conference on Management of data,2006,390
An efficient distributed algorithm for constructing small dominating sets,Lujun Jia; Rajmohan Rajaraman; Torsten Suel,Abstract. The dominating set problem asks for a small subset D of nodes in a graph such thatevery node is either in D or adjacent to a node in D. This problem arises in a number ofdistributed network applications; where it is important to locate a small number of centers inthe network such that every node is nearby at least one center. Finding a dominating set ofminimum size is NP-complete; and the best known approximation is logarithmic in themaximum degree of the graph and is provided by the same simple greedy approach thatgives the well-known logarithmic approximation result for the closely related set coverproblem. We describe and analyze new randomized distributed algorithms for thedominating set problem that run in polylogarithmic time; independent of the diameter of thenetwork; and that return a dominating set of size within a logarithmic factor from optimal …,Distributed Computing,2002,258
Inverted index compression and query processing with optimized document ordering,Hao Yan; Shuai Ding; Torsten Suel,Abstract Web search engines use highly optimized compression schemes to decreaseinverted index size and improve query throughput; and many index compression techniqueshave been studied in the literature. One approach taken by several recent studies firstperforms a renumbering of the document IDs in the collection that groups similar documentstogether; and then applies standard compression techniques. It is known that this cansignificantly improve index compression compared to a random document ordering. Westudy index compression and query processing techniques for such reordered indexes.Previous work has focused on determining the best possible ordering of documents. Incontrast; we assume that such an ordering is already given; and focus on how to optimizecompression methods and query processing for this case. We perform an extensive study …,Proceedings of the 18th international conference on World wide web,2009,240
Scalable sweeping-based spatial join,Lars Arge; Octavian Procopiuc; Sridhar Ramaswamy; Torsten Suel; Jeffrey Scott Vitter,Abstract In this paper; we consider the filter step of the spatial join problem; for the casewhere neither of the inputs are indexed. We present a new algorithm; Scalable Sweeping-Based Spatial Join (SSSJ); that achieves both efficiency on real-life data and robustnessagainst highly skewed and worst-case data sets. The algorithm combines a method withtheoretically optimal bounds on I/O transfers based on the recently proposed distribution-sweeping technique with a highly optimized implementation of internal-memory plane-sweeping. We present experimental results based on an efficient implementation of theSSSJ algorithm; and compare it to the state-ofthe-art Partition-Based Spatial-Merge (PBSM)algorithm of Pate1 and Dewitt.,VLDB,1998,239
Performance of compressed inverted list caching in search engines,Jiangong Zhang; Xiaohui Long; Torsten Suel,Abstract Due to the rapid growth in the size of the web; web search engines are facingenormous performance challenges. The larger engines in particular have to be able toprocess tens of thousands of queries per second on tens of billions of documents; makingquery throughput a critical issue. To satisfy this heavy workload; search engines use avariety of performance optimizations including index compression; caching; and earlytermination. We focus on two techniques; inverted index compression and index caching;which play a crucial rule in web search engines as well as other high-performanceinformation retrieval systems. We perform a comparison and evaluation of several invertedlist compression algorithms; including new variants of existing algorithms that have not beenstudied before. We then evaluate different inverted list caching policies on large query …,Proceedings of the 17th international conference on World Wide Web,2008,228
ODISSEA: A Peer-to-Peer Architecture for Scalable Web Search and Information Retrieval.,Torsten Suel; Chandan Mathur; Jo-Wen Wu; Jiangong Zhang; Alex Delis; Mehdi Kharrazi; Xiaohui Long; Kulesh Shanmugasundaram,ABSTRACT We consider the problem of building a P2P-based search engine for massivedocument collections. We describe a prototype system called ODISSEA (Open DIStributedSearch Engine Architecture) that is currently under development in our group. ODISSEAprovides a highly distributed global indexing and query execution service that can be usedfor content residing inside or outside of a P2P network. ODISSEA is different from manyother approaches to P2P search in that it assumes a two-tier search engine architecture anda global index structure distributed over the network. We give an overview of the proposedsystem and discuss the basic design choices. Our main focus is on efficient query execution;and we discuss how recent work on top-k queries in the database community can be appliedin a highly distributed environment. We also give preliminary simulation results on a real …,WebDB,2003,218
The Perron-Frobenius theorem: some of its applications,SU Pillai; Torsten Suel; Seunghun Cha,The Perron-Frobenius theorem provides a simple characterization of the eigenvectors andeigenvalues of certain types of matrices with nonnegative entries. The importance of thePerron-Frobenius theorem stems from the fact that eigenvalue problems on these types ofmatrices frequently arise in many different fields of science and engineering. In this article;the authors discuss the applications of this theorem in diverse areas such as steady statebehavior of Markov chains; power control in wireless networks; commodity pricing models ineconomics; population growth models; and Web search engines. The article starts with areview and discussion of the mathematical foundations.,Signal Processing Magazine; IEEE,2005,186
