A measure of similarity between graph vertices: Applications to synonym extraction and web searching,Vincent D Blondel; Anahí Gajardo; Maureen Heymans; Pierre Senellart; Paul Van Dooren,We introduce a concept of {similarity} between vertices of directed graphs. Let GA and GBbetwo directed graphs with; respectively; n A and n B vertices. We define an n B\times n Asimilarity matrix S whose real entry sij expresses how similar vertex j (in GA) is to vertex i (inGB): we say that sij is their similarity score. The similarity matrix can be obtained as the limitof the normalized even iterates of S k+ 1= BS kAT+ BTSkA; where A and B are adjacencymatrices of the graphs and S 0 is a matrix whose entries are all equal to 1. In the specialcase where GA= GB= G; the matrix S is square and the score sij is the similarity scorebetween the vertices i and j of G. We point out that Kleinberg's" hub and authority" method toidentify web-pages relevant to a given query can be viewed as a special case of ourdefinition in the case where one of the graphs has two vertices and a unique directed …,Siam Review,2004,421
Corroborating information from disagreeing views,Alban Galland; Serge Abiteboul; Amélie Marian; Pierre Senellart,Abstract We consider a set of views stating possibly conflicting facts. Negative facts in theviews may come; eg; from functional dependencies in the underlying database schema. Wewant to predict the truth values of the facts. Beyond simple methods such as voting (typicallyrather accurate); we explore techniques based on" corroboration"; ie; taking into accounttrust in the views. We introduce three fixpoint algorithms corresponding to different levels ofcomplexity of an underlying probabilistic model. They all estimate both truth values of factsand trust in the views. We present experimental studies on synthetic and real-world data.This analysis illustrates how and in which context these methods improve corroborationresults over baseline methods. We believe that corroboration can serve in a wide range ofapplications such as source selection in the semantic Web; data quality assessment or …,Proceedings of the third ACM international conference on Web search and data mining,2010,241
PARIS: Probabilistic alignment of relations; instances; and schema,Fabian M Suchanek; Serge Abiteboul; Pierre Senellart,Abstract One of the main challenges that the Semantic Web faces is the integration of agrowing number of independently designed ontologies. In this work; we present paris; anapproach for the automatic alignment of ontologies. paris aligns not only instances; but alsorelations and classes. Alignments at the instance level cross-fertilize with alignments at theschema level. Thereby; our system provides a truly holistic solution to the problem ofontology alignment. The heart of the approach is probabilistic; ie; we measure degrees ofmatchings based on probability estimates. This allows paris to run without any parametertuning. We demonstrate the efficiency of the algorithm and its precision through extensiveexperiments. In particular; we obtain a precision of around 90% in experiments with some ofthe world's largest ontologies.,Proceedings of the VLDB Endowment,2011,216
Web data management,Serge Abiteboul; Ioana Manolescu; Philippe Rigaux; Marie-Christine Rousset; Pierre Senellart,The Internet and World Wide Web have revolutionized access to information. Users nowstore information across multiple platforms from personal computers to smartphones andwebsites. As a consequence; data management concepts; methods and techniques areincreasingly focused on distribution concerns. Now that information largely resides in thenetwork; so do the tools that process this information. This book explains the foundations ofXML with a focus on data distribution. It covers the many facets of distributed datamanagement on the Web; such as description logics; that are already emerging in today'sdata integration applications and herald tomorrow's semantic Web. It also introduces themachinery used to manipulate the unprecedented amount of data collected on the Web.Several'Putting into Practice'chapters describe detailed practical applications of the …,*,2011,118
Querying and updating probabilistic information in XML,Serge Abiteboul; Pierre Senellart,Abstract We present in this paper a new model for representing probabilistic information in asemi-structured (XML) database; based on the use of probabilistic event variables. This workis motivated by the need of keeping track of both confidence and lineage of the informationstored in a semi-structured warehouse. For instance; the modules of a (Hidden Web) contentwarehouse may derive information concerning the semantics of discovered Web servicesthat is by nature not certain. Our model; namely the fuzzy tree model; supports both querying(tree pattern queries with join) and updating (transactions containing an arbitrary set ofinsertions and deletions) over probabilistic tree data. We highlight its expressive power anddiscuss implementation issues.,International Conference on Extending Database Technology,2006,117
On the complexity of managing probabilistic XML data,Pierre Senellart; Serge Abiteboul,Abstract In [3]; we introduced a framework for querying and updating probabilisticinformation over unordered labeled trees; the probabilistic tree model. The data model isbased on trees where nodes are annotated with conjunctions of probabilistic eventvariables. We briefly described an implementation and scenarios of usage. We develop herea mathematical foundation for this model. In particular; we present complexity results. Weidentify a very large class of queries for which simple variations of querying and updatingalgorithms from [3] compute the correct answer. A main contribution is a full complexityanalysis of queries and updates. We also exhibit a decision procedure for the equivalence ofprobabilistic trees and prove it is in co-RP. Furthermore; we study the issue of removing lessprobable possible worlds; and that of validating a probabilistic tree against a DTD. We …,Proceedings of the twenty-sixth ACM SIGMOD-SIGACT-SIGART symposium on Principles of database systems,2007,104
On the expressiveness of probabilistic XML models,Serge Abiteboul; Benny Kimelfeld; Yehoshua Sagiv; Pierre Senellart,Abstract Various known models of probabilistic XML can be represented as instantiations ofthe abstract notion of p-documents. In addition to ordinary nodes; p-documents havedistributional nodes that specify the possible worlds and their probabilistic distribution.Particular families of p-documents are determined by the types of distributional nodes thatcan be used as well as by the structural constraints on the placement of those nodes in a p-document. Some of the resulting families provide natural extensions and combinations ofpreviously studied probabilistic XML models. The focus of the paper is on the expressivepower of families of p-documents. In particular; two main issues are studied. The first is theability to (efficiently) translate a given p-document of one family into another family. Thesecond is closure under updates; namely; the ability to (efficiently) represent the result of …,The VLDB Journal,2009,92
Automatic Discovery of Similar Words,Pierre Senellart; Vincent D Blondel,The purpose of this chapter is to review some methods used for automatic extraction ofsimilar words from different kinds of sources: large corpora of documents; the World WideWeb; and monolingual dictionaries. The underlying goal of these methods is in general theautomatic discovery of synonyms. This goal; however; is most of the time too difficult toachieve since it is often hard to distinguish in an automatic way among synonyms;antonyms; and; more generally; words that are semantically close to each others. Mostmethods provide words that are “similar” to each other; with some vague notion of semanticsimilarity. We mainly describe two kinds of methods: techniques that; upon input of a word;automatically compile a list of good synonyms or near-synonyms; and techniques thatgenerate a thesaurus (from some source; they build a complete lexicon of related words) …,Survey of Text Mining II,2008,89
Crowd mining,Yael Amsterdamer; Yael Grossman; Tova Milo; Pierre Senellart,Abstract Harnessing a crowd of Web users for data collection has recently become a wide-spread phenomenon. A key challenge is that the human knowledge forms an open worldand it is thus difficult to know what kind of information we should be looking for. Classicdatabases have addressed this problem by data mining techniques that identify interestingdata patterns. These techniques; however; are not suitable for the crowd. This is mainly dueto properties of the human memory; such as the tendency to remember simple trends andsummaries rather than exact details. Following these observations; we develop here for thefirst time the foundations of crowd mining. We first define the formal settings. Based on these;we design a framework of generic components; used for choosing the best questions to askthe crowd and mining significant patterns from the answers. We suggest general …,Proceedings of the 2013 ACM SIGMOD International Conference on Management of Data,2013,75
Automatic extraction of synonyms in a dictionary,Vincent D Blondel; Pierre P Senellart,Abstract We propose a method for automatic synonym extraction in a dictionary. Our methodis based on an algorithm that computes similarity measures between vertices in graphs. Thisalgorithm can be thought of as a generalization of Kleinberg's web search algorithm tostructure graphs that are more general than the hub-authority graph used by Kleinberg. Weuse the 1913 Webster's Dictionary and apply our method on four synonym queries. Theresults obtained are analyzed and compared to those obtained with two other methods.,Text Mining Workshop,2002,67
Finding related pages using Green measures: An illustration with Wikipedia,Yann Ollivier; Pierre Senellart,Abstract We introduce a new method for finding nodes semantically related to a given nodein a hyperlinked graph: the Green method; based on a classical Markov chain tool. It isgeneric; adjustment-free and easy to implement. We test it in the case of the hyperlinkstructure of the English version of Wikipedia; the on-line encyclopedia. We present anextensive comparative study of the performance of our method versus several other classicalmethods in the case of Wikipedia. The Green method is found to have both the best averageresults and the best robustness.,AAAI,2007,62
Automatic wrapper induction from hidden-web sources with domain knowledge,Pierre Senellart; Avin Mittal; Daniel Muschick; Rémi Gilleron; Marc Tommasi,Abstract We present an original approach to the automatic induction of wrappers for sourcesof the hidden Web that does not need any human supervision. Our approach only needsdomain knowledge expressed as a set of concept names and concept instances. There aretwo parts in extracting valuable data from hidden-Web sources: understanding the structureof a given HTML form and relating its fields to concepts of the domain; and understandinghow resulting records are represented in an HTML result page. For the former problem; weuse a combination of heuristics and of probing with domain instances; for the latter; we use asupervised machine learning technique adapted to tree-like information on an automatic;imperfect; and imprecise; annotation using the domain knowledge. We show experimentsthat demonstrate the validity and potential of the approach.,Proceeding of the 10th ACM workshop on Web information and data management,2008,61
Probabilistic XML: Models and complexity,Benny Kimelfeld; Pierre Senellart,Abstract Uncertainty in data naturally arises in various applications; such as data integrationand Web information extraction. Probabilistic XML is one of the concepts that have beenproposed to model and manage various kinds of uncertain data. In essence; a probabilisticXML document is a compact representation of a probability distribution over ordinary XMLdocuments. Various models of probabilistic XML provide different languages; with variousdegrees of expressiveness; for such compact representations. Beyond representation;probabilistic XML systems are expected to support data management in a way that properlyreflects the uncertainty. For instance; query evaluation entails probabilistic inference; andupdate operations need to properly change the entire probability space. Efficiently andeffectively accomplishing data-management tasks in that manner is a major technical …,*,2013,54
Schema mapping discovery from data instances,Georg Gottlob; Pierre Senellart,Abstract We introduce a theoretical framework for discovering relationships between twodatabase instances over distinct and unknown schemata. This framework is grounded in thecontext of data exchange. We formalize the problem of understanding the relationshipbetween two instances as that of obtaining a schema mapping so that a minimum repair ofthis mapping provides a perfect description of the target instance given the source instance.We show that this definition yields “intuitive” results when applied on database instancesderived from each other by basic operations. We study the complexity of decision problemsrelated to this optimality notion in the context of different logical languages and show that;even in very restricted cases; the problem is of high complexity.,Journal of the ACM (JACM),2010,50
