Superplume Metasomatism: Evidence from Siberian mantle xenoliths,Geoffrey Howarth; Peter Barry; John Pernet-Fisher; Ioannis Baziotis; Nikolay Pokhilenko; Lyudmila Pokhilenko; Robert Bodnar; Lawrence Taylor,Abstract The Siberian craton contains> 1000 kimberlite intrusions of various ages (Silurianto Jurassic); making it an ideal locality for a craton-wide study on the evolution of the sub-continental lithospheric mantle (SCLM). The primary objective of this study is to characterizethe temporal and spatial metasomatic effects on the Siberian SCLM; focusing on themetasomatic imprint rendered by the Siberian superplume. We report new major-and trace-element mineral data for mantle peridotite xenoliths; obtained from the Late DevonianUdachnaya and the Late Jurassic Obnazhennaya kimberlites; which bracket the thermalclimax of the Siberian superplume.,Lithos,2014,50
The Tissint Martian meteorite as evidence for the largest impact excavation,Ioannis P. Baziotis; Yang Liu; Paul S. DeCarli; H. Jay Melosh; Harry Y. McSween; Robert J. Bodnar; Lawrence A. Taylor,Abstract High-pressure minerals in meteorites provide clues for the impact processes thatexcavated; launched and delivered these samples to Earth. Most Martian meteorites aresuggested to have been excavated from 3 to 7 km diameter impact craters. Here we showthat the Tissint meteorite; a 2011 meteorite fall; contains virtually all the high-pressurephases (seven minerals and two mineral glasses) that have been reported in isolatedoccurrences in other Martian meteorites. Particularly; one ringwoodite (75× 140 μm 2)represents the largest grain observed in all Martian samples. Collectively; the ubiquitoushigh-pressure minerals of unusually large sizes in Tissint indicate that shock metamorphismwas widely dispersed in this sample (~ 25 GPa and~ 2;000 C). Using the size and growthkinetics of the ringwoodite grains; we infer an initial impact crater with~ 90 km diameter …,NATURE COMMUNICATIONS,2013,43
High-pressure/low-temperature metamorphism of basalts in Lavrion (Greece): implications for the preservation of peak metamorphic assemblages in blueschists and...,Ioannis Baziotis; Alexander Proyer; Evripidis Mposkos,Abstract The Upper Tectonic Unit of the Lavrion area is part of the Attic-Cycladic blueschistbelt and was affected by high-pressure; low-temperature metamorphism. Blueschists andgreenschists occur in the same outcrop and are believed to have experienced the samepressure–temperature (P–T) history which has been quantified using geothermobarometryand pseudosections for specific bulk-rock compositions. Calculated P–T conditions indicateminimum pressure of~ 0.9 GPa and temperature of~ 370° C for the peak of metamorphism.The prograde and retrograde paths followed a very similar low geothermal gradient (10–12°C/km) with cooling during decompression. Pseudosections show that both blueschists andgreenschists can exist stably at the metamorphic peak; the dominant amphibole being afunction of bulk composition: the blueschists; on average; have lower Mg# than the …,European Journal of Mineralogy,2009,26
Tracing high-pressure metamorphism in marbles: Phase relations in high-grade aluminous calcite–dolomite marbles from the Greek Rhodope massif in the system...,A Proyer; E Mposkos; I Baziotis; G Hoinkes,Abstract Four different types of parageneses of the minerals calcite; dolomite; diopside;forsterite; spinel; amphibole (pargasite);(Ti–) clinohumite and phlogopite were observed incalcite–dolomite marbles collected in the Kimi-Complex of the Rhodope MetamorphicProvince (RMP). The presence of former aragonite can be inferred from carbonateinclusions; which; in combination with an analysis of phase relations in the simplified systemCaO–MgO–Al 2 O 3–SiO 2–CO 2 (CMAS–CO 2) show that the mineral assemblagespreserved in these marbles most likely equilibrated at the aragonite–calcite transition;slightly below the coesite stability field; at ca. 720° C; 25 kbar and a CO 2~ 0.01. Thethermodynamic model predicts that no matter what activity of CO 2; garnet has to be presentin aluminous calcite–dolomite-marble at UHP conditions.,Lithos,2008,19
Pressure–temperature evolution of eclogites from the Kechros complex in the Eastern Rhodope (NE Greece),E Mposkos; I Baziotis; A Proyer,Abstract The Rhodope Domain in NE Greece consists of different tectonometamorphiccomplexes involved in the Alpine collisional history between the Eurasian and Africanplates. In the Kechros Complex; which is the lowermost tectonic unit in the East Rhodope; alense of kyanite eclogite occurs within orthogneiss and common eclogites are foundbetween serpentinized peridotite and underlying pelitic gneisses. In kyanite eclogite; thehigh-pressure (HP) mineral assemblage is Grt+ Omp (Jd 35–55)+ Ky+ Ph+ Qz+Rt+(indirectly inferred Tlc+ Law); a Na-rich tremolite and zoisite formed at or near peakmetamorphic conditions. In common eclogites; the HP mineral assemblage is Grt+ Omp(Jd29–41)+ Rt and; with less certainty; Amp (Gln-rich+ Brs+ Wnc+ Hbl)±Czo. The inclusionsin garnet are glaucophane; actinolite; barroisite; hornblende; omphacite; clinozoisite …,International Journal of Earth Sciences,2012,15
Origin of metabasites from upper tectonic unit of the Lavrion area (SE Attica; Greece): Geochemical implications for dual origin with distinct provenance of blueschist...,I Baziotis; E Mposkos,Abstract The Lavrion area forms the westernmost part of the Attic–Cycladic crystalline belt(ACCB) and is built up by two tectonic units metamorphosed at HP/LT conditions. In theUpper Tectonic Unit metabasic rocks occur as greenschists and blueschists. Major and traceelements plotted against Mg# show a systematic increase in TiO 2; Fe 2 O 3*; Na 2 O; Zr; Y;V; La and Yb and a decrease in Al 2 O 3; Ni and Cr with decreasing Mg#. Typically; theblueschists always exhibit a more evolved basaltic composition. The greenschists arecharacterized by LREE-depleted chondrite-normalized REE patterns and Zr/Nb values thatrange from 15 to 24. The blueschists are characterized by slightly LREE-enriched chondrite-normalized REE patterns and lower Zr/Nb ratios (6.6–11.3). Both rock types share commongeochemical features like flat HFSE patterns or slight positive Nb anomalies with La/Nb< …,Lithos,2011,15
Removal of phosphate from aqueous solutions by adsorption onto Ca (OH) 2 treated natural clinoptilolite,Dimitris Mitrogiannis; Maria Psychoyou; Ioannis Baziotis; Vassilis J Inglezakis; Nikolaos Koukouzas; Nikolaos Tsoukalas; Dimitrios Palles; Efstratios Kamitsos; Georgios Oikonomou; Giorgos Markou,Abstract Phosphorus (P) recovery from wastewater is of great interest especially when theloaded adsorbent can be used in the agriculture as slow-release fertilizer. The applicationdepends on environmental concerns related to the chemical modification of the adsorbentand the release of toxic compounds from the loaded material to the soil or the water duringadsorption. The present work focused on the phosphate (PO 4-P) removal from aqueoussolutions under low P concentrations (0.5–10 mg/L) by using Ca (OH) 2-pretreated naturalzeolite (CaT-Z). As activation agent; Ca (OH) 2 presents benefits in terms of pretreatmentcosts and environmental impact of the applied adsorbent. The pretreatment of natural zeolite(clinoptilolite) with 0.25 mol/L Ca (OH) 2 led to an increase of P removal from 1.7 to 97.6% atinitial P concentration of 10 mg/L; pH 7 and 298 K. Low residual concentrations of 81–238 …,Chemical Engineering Journal,2017,13
Alpine polyphase metamorphism in metapelites from Sidironero complex (Rhodope domain; NE Greece),Ε Μπόσκος; A Krohe; Ι Μπαζιώτης,Abstract: Metamorphic mineral ages from garnet-kyanite gneisses in the area north of Xanthidocumented a Jurassic and an Eocene metamorphic event in the Sidironero complex of theRhodope domain. The two metamorphic events are well imprinted in the mineralassemblages; mineral compositions and textural relationships of metapelites within theNestos Shear Zone in the Sidironero complex. The Jurassic event at HP-UHP metamorphicconditions is characterized by the mineral assemblage garnetkyanite-Ti-rich phengite at thepeak pressure. The Eocene metamorphic event at moderate HP conditions and minimumpressure> 0.9 GPa is characterized by the mineral assemblages St-Grt-Ms-Ky-Bt with garnetgrowth at the expense of kyanite or staurolite; and Grt-St-Ky-Bt with peak PT conditionswithin the St+ Bt+ Ky stability field.,Επιστημονική Επετηρίδα του Τμήματος Γεωλογίας (ΑΠΘ),2010,11
Geochemistry of amphibolitized eclogites and cross-cutting tonalitic–trondhjemitic dykes in the Metamorphic Kimi Complex in East Rhodope (NE Greece): implicatio...,I Baziotis; E Mposkos; V Perdikatsis,Abstract In the ultra-high pressure Metamorphic Kimi Complex widespread tonalitic–trondhjemitic dykes; with an intrusion age ca. 65–63 Ma; cross-cut boudins and layers ofamphibolitized eclogites. Geochemical investigation proclaims the tied genetic relationshipof the amphibolitized eclogites and the associated tonalitic–trondhjemitic dykes. The majorand trace element contents and rare earth element patterns of the amphibolitized eclogitesindicate formation of their protoliths by fractional crystallization of tholeiitic magmas in a back-arc environment. The tonalites and trondhjemites are characterized by moderate to high Srcontents (> 130 ppm); and low Y (< 8.2 ppm) and heavy rare earth element contents (Ybcontent of 0.19–0.88 ppm). The chemical composition of the tonalitic and trondhjemitic dykesare best explained by partial melting of a tholeiitic source like the amphibolitized eclogites …,International Journal of Earth Sciences,2008,11
Dolomitic marbles from the ultrahigh-pressure metamorphic Kimi complex in Rhodope; NE Greece,E Mposkos; I Baziotis; A Proyer; G Hoinkes,Summary Dolomitic marbles from the Organi and Pandrosos areas of the ultrahigh-pressure(UHP) metamorphic Kimi complex in East Rhodope; NE Greece have the mineralassemblage: Cal+ Dol+ Ol+ Phl±Di±Hbl±Spl±Ti–Chu+ retrograde Srp and Chl. Severalgenerations of calcite and dolomite with variable composition and texture represent differentstages of the P–T evolution: The first stage is represented by matrix dolomite(\rmX_\rmMgCO_3= 0.48) and relic domains of homogenous composition in matrix calcite(\rmX_\rmMgCO_3= 0.11–0.13); the second stage is evident from precipitation of lath-shaped and vermicular dolomite in matrix calcite. The third stage is represented by veinletsof almost pure CaCO 3 and domainal replacement of prior calcite by nearly pure CaCO 3+Ca-rich dolomite (\rmX_\rmMgCO_3= 0.34–0.43). Matrix dolomite adjacent to CaCO 3 …,Mineralogy and Petrology,2006,11
Petrogenesis of ultramafic rocks from the ultrahigh-pressure metamorphic Kimi Complex in Eastern Rhodope (NE Greece),I Baziotis; E Mposkos; Paul D Asimow,Abstract Widespread bodies of garnet–spinel metaperidotites with pyroxenitic layers occur inthe ultrahigh-pressure metamorphic Kimi Complex. In this study we address the origin ofsuch peridotite–pyroxenite associations in the context of polybaric melting regimes. Weconduct a detailed geochemical investigation of major and trace element relations andcompare them with a range of major element modelling scenarios. With increasing bulk-rockMgO content; the garnet–spinel metaperidotites exhibit decreasing CaO; Al2O3; TiO2; andNa2O along with increasing Ni and a gradually increasing Zr/Zr* anomaly; consistent with anorigin as residues after variable degrees of melt extraction. The major element modellingfurther suggests a polybaric adiabatic decompression melting regime beginning at high toultrahigh pressure; with an intermediate character between pure batch and fractional …,Journal of Petrology,2008,10
