Holistic twig joins: optimal XML pattern matching,Nicolas Bruno; Nick Koudas; Divesh Srivastava,Abstract XML employs a tree-structured data model; and; naturally; XML queries specifypatterns of selection predicates on multiple elements related by a tree structure. Finding alloccurrences of such a twig pattern in an XML database is a core operation for XML queryprocessing. Prior work has typically decomposed the twig pattern into binary structural(parent-child and ancestor-descendant) relationships; and twig matching is achieved by:(i)using structural join algorithms to match the binary relationships against the XML database;and (ii) stitching together these basic matches. A limitation of this approach for matching twigpatterns is that intermediate result sizes can get large; even when the input and output sizesare more manageable. In this paper; we propose a novel holistic twig join algorithm;TwigStack; for matching an XML query twig pattern. Our technique uses a chain of linked …,Proceedings of the 2002 ACM SIGMOD international conference on Management of data,2002,1306
Structural joins: A primitive for efficient XML query pattern matching,Shurug Al-Khalifa; HV Jagadish; Nick Koudas; Jignesh M Patel; Divesh Srivastava; Yuqing Wu,XML queries typically specify patterns of selection predicates on multiple elements that havesome specified tree structured relationships. The primitive tree structured relationships areparent-child and ancestor-descendant; and finding all occurrences of these relationships inan XML database is a core operation for XML query processing. We develop two families ofstructural join algorithms for this task: tree-merge and stack-tree. The tree-merge algorithmsare a natural extension of traditional merge joins and the multi-predicate merge joins; whilethe stack-tree algorithms have no counterpart in traditional relational join processing. Wepresent experimental results on a range of data and queries using the TIMBER native XMLquery engine built on top of SHORE. We show that while; in some cases; tree-mergealgorithms can have performance comparable to stack-tree algorithms; in many cases …,Data Engineering; 2002. Proceedings. 18th International Conference on,2002,1206
Twittermonitor: trend detection over the twitter stream,Michael Mathioudakis; Nick Koudas,Abstract We present TwitterMonitor; a system that performs trend detection over the Twitterstream. The system identifies emerging topics (ie'trends') on Twitter in real time and providesmeaningful analytics that synthesize an accurate description of each topic. Users interactwith the system by ordering the identified trends using different criteria and submitting theirown description for each trend.,Proceedings of the 2010 ACM SIGMOD International Conference on Management of data,2010,776
Approximate string joins in a database (almost) for free,Luis Gravano; Panagiotis G Ipeirotis; Hosagrahar Visvesvaraya Jagadish; Nick Koudas; Shanmugauelayut Muthukrishnan; Divesh Srivastava,Abstract String data is ubiquitous; and its management has taken on particular importance inthe past few years. Approximate queries are very important on string data especially formore complex queries involving joins. This is due; for example; to the prevalence oftypographical errors in data; and multiple conventions for recording attributes such as nameand address. Commercial databases do not support approximate string joins directly; and itis a challenge to implement this functionality efficiently with user-defined functions (UDFs). Inthis paper; we develop a technique for building approximate string join capabilities on top ofcommercial databases by exploiting facilities already available in them. At the core; ourtechnique relies on matching short substrings of length а; called а-grams; and taking intoaccount both positions of individual matches and the total number of such matches. Our …,VLDB,2001,634
Objectrank: Authority-based keyword search in databases,Andrey Balmin; Vagelis Hristidis; Yannis Papakonstantinou,Abstract The ObjectRank system applies authority-based ranking to keyword search indatabases modeled as labeled graphs. Conceptually; authority originates at the nodes(objects) containing the keywords and flows to objects according to their semanticconnections. Each node is ranked according to its authority with respect to the particularkeywords. One can adjust the weight of global importance; the weight of each keyword of thequery; the importance of a result actually containing the keywords versus being referencedby nodes containing them; and the volume of authority flow via each type of semanticconnection. Novel performance challenges and opportunities are addressed. First; schemasimpose constraints on the graph; which are exploited for performance purposes. Second; inorder to address the issue of authority ranking with respect to the given keywords (as …,Proceedings of the Thirtieth international conference on Very large data bases-Volume 30,2004,607
Optimal histograms with quality guarantees,Hosagrahar Visvesvaraya Jagadish; Nick Koudas; S Muthukrishnan; Viswanath Poosala; Kenneth C Sevcik; Torsten Suel,Abstract Histograms are commonly used to capture attribute value distribution statistics forquery optimizers. More recently; histograms have also been considered as a way to producequick approximate answers to decision support queries. This widespread interest inhistograms motivates the problem of computing histograms that are good under a givenerror metric. In particular; we are interested in an e® cient algorithm for choosing the bucketboundaries in a way that either minimizes the estimation error for a given amount of space(number of buckets) or; conversely; minimizes the space needed for a given upper bound onthe error. Under the assumption that finding optimal bucket boundaries is computationallyine® cient; previous research has focused on heuristics with no provable bounds on thequality of the solutions. In this paper; we present algorithms for computing optimal bucket …,VLDB,1998,468
Monitoring k-nearest neighbor queries over moving objects,Xiaohui Yu; Ken Q Pu; Nick Koudas,Many location-based applications require constant monitoring of k-nearest neighbor (k-NN)queries over moving objects within a geographic area. Existing approaches to this problemhave focused on predictive queries; and relied on the assumption that the trajectories of theobjects are fully predictable at query processing time. We relax this assumption; andpropose two efficient and scalable algorithms using grid indices. One is based on indexingobjects; and the other on queries. For each approach; a cost model is developed; and adetailed analysis along with the respective applicability is presented. The object-indexingapproach is further extended to multi-levels to handle skewed data. We show byexperiments that our grid-based algorithms significantly outperform R-tree-based solutions.Extensive experiments are also carried out to study the properties and evaluate the …,Data Engineering; 2005. ICDE 2005. Proceedings. 21st International Conference on,2005,388
Aggregate query answering on anonymized tables,Qing Zhang; Nick Koudas; Divesh Srivastava; Ting Yu,Privacy is a serious concern when microdata need to be released for ad hoc analyses. Theprivacy goals of existing privacy protection approaches (eg; k-anonymity and l-diversity) aresuitable only for categorical sensitive attributes. Since applying them directly to numericalsensitive attributes (eg; salary) may result in undesirable information leakage; we proposeprivacy goals to better capture the need of privacy protection for numerical sensitiveattributes. Complementing the desire for privacy is the need to support ad hoc aggregateanalyses over microdata. Existing generalization-based anonymization approaches cannotanswer aggregate queries with reasonable accuracy. We present a general framework ofpermutation-based anonymization to support accurate answering of aggregate queries andshow that; for the same grouping; permutation-based techniques can always answer …,Data Engineering; 2007. ICDE 2007. IEEE 23rd International Conference on,2007,372
Data-streams and histograms,Sudipto Guha; Nick Koudas; Kyuseok Shim,Abstract Histograms have been used widely to capture data distribution; to represent thedata by a small number of step functions. Dynamic programming algorithms which provideoptimal construction of these histograms exist; albeit running in quadratic time and linearspace. In this paper we provide linear time construction of 1+ &egr; approximation of optimalhistograms; running in polylogarithmic space. Our results extend to the context of data-streams; and in fact generalize to give 1+ &egr; approximation of several problems in data-streams which require partitioning the index set into intervals. The only assumptionsrequired are that the cost of an interval is monotonic under inclusion (larger interval haslarger cost) and that the cost can be computed or approximated in small space. This exhibitsa nice class of problems for which we can have near optimal data-stream algorithms.,Proceedings of the thirty-third annual ACM symposium on Theory of computing,2001,346
PREFER: A system for the efficient execution of multi-parametric ranked queries,Vagelis Hristidis; Nick Koudas; Yannis Papakonstantinou,Abstract Users often need to optimize the selection of objects by appropriately weighting theimportance of multiple object attributes. Such optimization problems appear often inoperations' research and applied mathematics as well as everyday life; eg; a buyer mayselect a home as a weighted function of a number of attributes like its distance from office; itsprice; its area; etc. We capture such queries in our definition of preference queries that use aweight function over a relation's attributes to derive a score for each tuple. Database systemscannot efficiently produce the top results of a preference query because they need toevaluate the weight function over all tuples of the relation. PREFER answers preferencequeries efficiently by using materialized views that have been pre-processed and stored.,ACM Sigmod Record,2001,345
