Hadoop++: making a yellow elephant run like a cheetah (without it even noticing),Jens Dittrich; Jorge-Arnulfo Quiané-Ruiz; Alekh Jindal; Yagiz Kargin; Vinay Setty; Jörg Schad,Abstract MapReduce is a computing paradigm that has gained a lot of attention in recentyears from industry and research. Unlike parallel DBMSs; MapReduce allows non-expertusers to run complex analytical tasks over very large data sets on very large clusters andclouds. However; this comes at a price: MapReduce processes tasks in a scan-orientedfashion. Hence; the performance of Hadoop---an open-source implementation ofMapReduce---often does not match the one of a well-configured parallel DBMS. In thispaper we propose a new type of system named Hadoop++: it boosts task performancewithout changing the Hadoop framework at all (Hadoop does not even'notice it'). To reachthis goal; rather than changing a working system (Hadoop); we inject our technology at theright places through UDFs only and affect Hadoop from inside. This has three important …,Proceedings of the VLDB Endowment,2010,464
Only aggressive elephants are fast elephants,Jens Dittrich; Jorge-Arnulfo Quiané-Ruiz; Stefan Richter; Stefan Schuh; Alekh Jindal; Jörg Schad,Abstract Yellow elephants are slow. A major reason is that they consume their inputs entirelybefore responding to an elephant rider's orders. Some clever riders have trained their yellowelephants to only consume parts of the inputs before responding. However; the teachingtime to make an elephant do that is high. So high that the teaching lessons often do not payoff. We take a different approach. We make elephants aggressive; only this will make themvery fast. We propose HAIL (Hadoop Aggressive Indexing Library); an enhancement ofHDFS and Hadoop MapReduce that dramatically improves runtimes of several classes ofMapReduce jobs. HAIL changes the upload pipeline of HDFS in order to create differentclustered indexes on each data block replica. An interesting feature of HAIL is that wetypically create a win-win situation: we improve both data upload to HDFS and the …,Proceedings of the VLDB Endowment,2012,122
Trojan data layouts: right shoes for a running elephant,Alekh Jindal; Jorge-Arnulfo Quiané-Ruiz; Jens Dittrich,Abstract MapReduce is becoming ubiquitous in large-scale data analysis. Several recentworks have shown that the performance of Hadoop MapReduce could be improved; forinstance; by creating indexes in a non-invasive manner. However; they ignore the impact ofthe data layout used inside data blocks of Hadoop Distributed File System (HDFS). In thispaper; we analyze different data layouts in detail in the context of MapReduce and arguethat Row; Column; and PAX layouts can lead to poor system performance. We propose anew data layout; coined Trojan Layout; that internally organizes data blocks into attributegroups according to the workload in order to improve data access times. A salient feature ofTrojan Layout is that it fully preserves the fault-tolerance properties of MapReduce. Weimplement our Trojan Layout idea in HDFS 0.20. 3 and call the resulting system Trojan …,Proceedings of the 2nd ACM Symposium on Cloud Computing,2011,99
Performance and resource modeling in highly-concurrent OLTP workloads,Barzan Mozafari; Carlo Curino; Alekh Jindal; Samuel Madden,Abstract Database administrators of Online Transaction Processing (OLTP) systemsconstantly face difficult questions. For example;" What is the maximum throughput I cansustain with my current hardware?";" How much disk I/O will my system perform if therequests per second double?"; or" What will happen if the ratio of transactions in my systemchanges?". Resource prediction and performance analysis are both vital and difficult in thissetting. Here the challenge is due to high degrees of concurrency; competition for resources;and complex interactions between transactions; all of which non-linearly impactperformance. Although difficult; such analysis is a key component in enabling databaseadministrators to understand which queries are eating up the resources; and how theirsystem would scale under load. In this paper; we introduce our framework; called DBSeer …,Proceedings of the 2013 acm sigmod international conference on management of data,2013,55
Bigdansing: A system for big data cleansing,Zuhair Khayyat; Ihab F Ilyas; Alekh Jindal; Samuel Madden; Mourad Ouzzani; Paolo Papotti; Jorge-Arnulfo Quiané-Ruiz; Nan Tang; Si Yin,Abstract Data cleansing approaches have usually focused on detecting and fixing errorswith little attention to scaling to big datasets. This presents a serious impediment since datacleansing often involves costly computations such as enumerating pairs of tuples; handlinginequality joins; and dealing with user-defined functions. In this paper; we presentBigDansing; a Big Data Cleansing system to tackle efficiency; scalability; and ease-of-useissues in data cleansing. The system can run on top of most common general purpose dataprocessing platforms; ranging from DBMSs to MapReduce-like frameworks. A user-friendlyprogramming interface allows users to express data quality rules both declaratively andprocedurally; with no requirement of being aware of the underlying distributed platform.BigDansing takes these rules into a series of transformations that enable distributed …,Proceedings of the 2015 ACM SIGMOD International Conference on Management of Data,2015,52
Relax and Let the Database do the Partitioning Online,Alekh Jindal; Jens Dittrich,Abstract Vertical and Horizontal partitions allow database administrators (DBAs) toconsiderably improve the performance of business intelligence applications. However;finding and defining suitable horizontal and vertical partitions is a daunting task even forexperienced DBAs. This is because the DBA has to understand the physical query executionplans for each query in the workload very well to make appropriate design decisions. Tofacilitate this process several algorithms and advisory tools have been developed over thepast years. These tools; however; still keep the DBA in the loop. This means; the physicaldesign cannot be changed without human intervention. This is problematic in situationswhere a skilled DBA is either not available or the workload changes over time; eg due tonew DB applications; changed hardware; an increasing dataset size; or bursts in the …,*,2011,50
Relax and Let the Database do the Partitioning Online,Alekh Jindal; Jens Dittrich,Abstract Vertical and Horizontal partitions allow database administrators (DBAs) toconsiderably improve the performance of business intelligence applications. However;finding and defining suitable horizontal and vertical partitions is a daunting task even forexperienced DBAs. This is because the DBA has to understand the physical query executionplans for each query in the workload very well to make appropriate design decisions. Tofacilitate this process several algorithms and advisory tools have been developed over thepast years. These tools; however; still keep the DBA in the loop. This means; the physicaldesign cannot be changed without human intervention. This is problematic in situationswhere a skilled DBA is either not available or the workload changes over time; eg due tonew DB applications; changed hardware; an increasing dataset size; or bursts in the …,VLDB BIRTE,2011,50
Towards a One Size Fits All Database Architecture.,Jens Dittrich; Alekh Jindal,ABSTRACT We propose a new type of database system coined OctopusDB. Our approachsuggests a unified; one size fits all data processing architecture for OLTP; OLAP; streamingsystems; and scan-oriented database systems. OctopusDB radically departs from existingarchitectures in the following way: it uses a logical event log as its primary storage structure.To make this approach efficient we introduce the concept of Storage Views (SV); iesecondary; alternative physical data representations covering all or subsets of the primarylog. OctopusDB (1) allows us to use different types of SVs for different subsets of the data;and (2) eliminates the need to use different types of database systems for differentapplications. Thus; based on the workload; OctopusDB emulates different types of systems(row stores; column stores; streaming systems; and more importantly; any hybrid …,CIDR,2011,44
Vertexica: your relational friend for graph analytics!,Alekh Jindal; Praynaa Rawlani; Eugene Wu; Samuel Madden; Amol Deshpande; Mike Stonebraker,Abstract In this paper; we present Vertexica; a graph analytics tools on top of a relationaldatabase; which is user friendly and yet highly efficient. Instead of constraining programmersto SQL; Vertexica offers a popular vertex-centric query interface; which is more natural foranalysts to express many graph queries. The programmers simply provide their vertex-compute functions and Vertexica takes care of efficiently executing them in the standard SQLengine. The advantage of using Vertexica is its ability to leverage the relational features andenable much more sophisticated graph analysis. These include expressing graphalgorithms which are difficult in vertex-centric but straightforward in SQL and the ability tocompose end-to-end data processing pipelines; including pre-and post-processing ofgraphs as well as combining multiple algorithms for deeper insights. Vertexica has a …,Proceedings of the VLDB Endowment,2014,35
The uncracked pieces in database cracking,Felix Martin Schuhknecht; Alekh Jindal; Jens Dittrich,Abstract Database cracking has been an area of active research in recent years. The coreidea of database cracking is to create indexes adaptively and incrementally as a side-product of query processing. Several works have proposed different cracking techniques fordifferent aspects including updates; tuple-reconstruction; convergence; concurrency-control;and robustness. However; there is a lack of any comparative study of these differentmethods by an independent group. In this paper; we conduct an experimental study ondatabase cracking. Our goal is to critically review several aspects; identify the potential; andpropose promising directions in database cracking. With this study; we hope to expand thescope of database cracking and possibly leverage cracking in database engines other thanMonetDB. We repeat several prior database cracking works including the core cracking …,Proceedings of the VLDB Endowment,2013,30
