Crowder: Crowdsourcing entity resolution,Jiannan Wang; Tim Kraska; Michael J Franklin; Jianhua Feng,Abstract Entity resolution is central to data integration and data cleaning. Algorithmicapproaches have been improving in quality; but remain far from perfect. Crowdsourcingplatforms offer a more accurate but expensive (and slow) way to bring human insight into theprocess. Previous work has proposed batching verification tasks for presentation to humanworkers but even with batching; a human-only approach is infeasible for data sets of evenmoderate size; due to the large numbers of matches to be tested. Instead; we propose ahybrid human-machine approach in which machines are used to do an initial; coarse passover all the data; and people are used to verify only the most likely matching pairs. We showthat for such a hybrid system; generating the minimum number of verification tasks of a givensize is NP-Hard; but we develop a novel two-tiered heuristic approach for creating …,Proceedings of the VLDB Endowment,2012,333
Pass-join: A partition-based method for similarity joins,Guoliang Li; Dong Deng; Jiannan Wang; Jianhua Feng,Abstract As an essential operation in data cleaning; the similarity join has attractedconsiderable attention from the database community. In this paper; we study string similarityjoins with edit-distance constraints; which find similar string pairs from two large sets ofstrings whose edit distance is within a given threshold. Existing algorithms are efficient eitherfor short strings or for long strings; and there is no algorithm that can efficiently andadaptively support both short strings and long strings. To address this problem; we proposea partition-based method called Pass-Join. Pass-Join partitions a string into a set ofsegments and creates inverted indices for the segments. Then for each string; Pass-Joinselects some of its substrings and uses the selected substrings to find candidate pairs usingthe inverted indices. We devise efficient techniques to select the substrings and prove that …,Proceedings of the VLDB Endowment,2011,140
Trie-join: Efficient trie-based string similarity joins with edit-distance constraints,Jiannan Wang; Jianhua Feng; Guoliang Li,Abstract A string similarity join finds similar pairs between two collections of strings. It is anessential operation in many applications; such as data integration and cleaning; and hasattracted significant attention recently. In this paper; we study string similarity joins with edit-distance constraints. Existing methods usually employ a filter-and-refine framework andhave the following disadvantages:(1) They are inefficient for the data sets with short strings(the average string length is no larger than 30);(2) They involve large indexes;(3) They areexpensive to support dynamic update of data sets. To address these problems; we proposea novel framework called trie-join; which can generate results efficiently with small indexes.We use a trie structure to index the strings and utilize the trie structure to efficiently find thesimilar string pairs based on subtrie pruning. We devise efficient trie-join algorithms and …,Proceedings of the VLDB Endowment,2010,140
Leveraging transitive relations for crowdsourced joins,Jiannan Wang; Guoliang Li; Tim Kraska; Michael J Franklin; Jianhua Feng,Abstract The development of crowdsourced query processing systems has recently attracteda significant attention in the database community. A variety of crowdsourced queries havebeen investigated. In this paper; we focus on the crowdsourced join query which aims toutilize humans to find all pairs of matching objects from two collections. As a human-onlysolution is expensive; we adopt a hybrid human-machine approach which first usesmachines to generate a candidate set of matching pairs; and then asks humans to label thepairs in the candidate set as either matching or non-matching. Given the candidate pairs;existing approaches will publish all pairs for verification to a crowdsourcing platform.However; they neglect the fact that the pairs satisfy transitive relations. As an example; if o 1matches with o 2; and o 2 matches with o 3; then we can deduce that o 1 matches with o 3 …,Proceedings of the 2013 ACM SIGMOD International Conference on Management of Data,2013,131
Can we beat the prefix filtering?: an adaptive framework for similarity join and search,Jiannan Wang; Guoliang Li; Jianhua Feng,Abstract As two important operations in data cleaning; similarity join and similarity searchhave attracted much attention recently. Existing methods to support similarity join usuallyadopt a prefix-filtering-based framework. They select a prefix of each object and pruneobject pairs whose prefixes have no overlap. We have an observation that prefix lengthshave significant effect on the performance. Different prefix lengths lead to significantlydifferent performance; and prefix filtering does not always achieve high performance. Toaddress this problem; in this paper we propose an adaptive framework to support similarityjoin. We propose a cost model to judiciously select an appropriate prefix for each object. Toefficiently select prefixes; we devise effective indexes. We extend our method to supportsimilarity search. Experimental results show that our framework beats the prefix-filtering …,Proceedings of the 2012 ACM SIGMOD International Conference on Management of Data,2012,129
Fast-join: An efficient method for fuzzy token matching based string similarity join,Jiannan Wang; Guoliang Li; Jianhua Fe,String similarity join that finds similar string pairs between two string sets is an essentialoperation in many applications; and has attracted significant attention recently in thedatabase community. A significant challenge in similarity join is to implement an effectivefuzzy match operation to find all similar string pairs which may not match exactly. In thispaper; we propose a new similarity metrics; called “fuzzy token matching based similarity”;which extends token-based similarity functions (eg; Jaccard similarity and Cosine similarity)by allowing fuzzy match between two tokens. We study the problem of similarity join usingthis new similarity metrics and present a signature-based method to address this problem.We propose new signature schemes and develop effective pruning techniques to improvethe performance. Experimental results show that our approach achieves high efficiency …,Data Engineering (ICDE); 2011 IEEE 27th International Conference on,2011,94
Massjoin: A mapreduce-based method for scalable string similarity joins,Dong Deng; Guoliang Li; Shuang Hao; Jiannan Wang; Jianhua Feng,String similarity join is an essential operation in data integration. The era of big data calls forscalable algorithms to support large-scale string similarity joins. In this paper; we studyscalable string similarity joins using MapReduce. We propose a MapReduce-basedframework; called MASSJOIN; which supports both set-based similarity functions andcharacter-based similarity functions. We extend the existing partition-based signaturescheme to support set-based similarity functions. We utilize the signatures to generate key-value pairs. To reduce the transmission cost; we merge key-value pairs to significantlyreduce the number of key-value pairs; from cubic to linear complexity; while not sacrificingthe pruning power. To improve the performance; we incorporate “light-weight” filter units intothe key-value pairs which can be utilized to prune large number of dissimilar pairs without …,Data Engineering (ICDE); 2014 IEEE 30th International Conference on,2014,68
Entity matching: How similar is similar,Jiannan Wang; Guoliang Li; Jeffrey Xu Yu; Jianhua Feng,Abstract Entity matching that finds records referring to the same entity is an importantoperation in data cleaning and integration. Existing studies usually use a given similarityfunction to quantify the similarity of records; and focus on devising index structures andalgorithms for efficient entity matching. However it is a big challenge to define" how similar issimilar" for real applications; since it is rather hard to automatically select appropriatesimilarity functions. In this paper we attempt to address this problem. As there are a largenumber of similarity functions; and even worse thresholds may have infinite values; it israther expensive to find appropriate similarity functions and thresholds. Fortunately; we havean observation that different similarity functions and thresholds have redundancy; and wehave an opportunity to prune inappropriate similarity functions. To this end; we propose …,Proceedings of the VLDB Endowment,2011,64
A Sample-and-Clean Framework for Fast and Accurate Query Processing on Dirty Data,Jiannan Wang; Sanjay Krishnan; Michael J Franklin; Ken Goldberg; Tova Milo; Tim Kraska,Abstract In emerging Big Data scenarios; obtaining timely; high-quality answers toaggregate queries is difficult due to the challenges of processing and cleaning large; dirtydata sets. To increase the speed of query processing; there has been a resurgence ofinterest in sampling-based approximate query processing (SAQP). In its usual formulation;however; SAQP does not address data cleaning at all; and in fact; exacerbates answerquality problems by introducing sampling error. In this paper; we explore an intriguingopportunity. That is; we explore the use of sampling to actually improve answer quality. Weintroduce the Sample-and-Clean framework; which applies data cleaning to a relativelysmall subset of the data and uses the results of the cleaning process to lessen the impact ofdirty data on aggregate query answers. We derive confidence intervals as a function of …,SIGMOD,2014,62
QASCA: A quality-aware task assignment system for crowdsourcing applications,Yudian Zheng; Jiannan Wang; Guoliang Li; Reynold Cheng; Jianhua Feng,Abstract A crowdsourcing system; such as the Amazon Mechanical Turk (AMT); provides aplatform for a large number of questions to be answered by Internet workers. Such systemshave been shown to be useful to solve problems that are difficult for computers; includingentity resolution; sentiment analysis; and image recognition. In this paper; we investigate theonline task assignment problem: Given a pool of n questions; which of the k questionsshould be assigned to a worker? A poor assignment may not only waste time and money;but may also hurt the quality of a crowdsourcing application that depends on the workers'answers. We propose to consider quality measures (also known as evaluation metrics) thatare relevant to an application during the task assignment process. Particularly; we explorehow Accuracy and F-score; two widely-used evaluation metrics for crowdsourcing …,Proceedings of the 2015 ACM SIGMOD International Conference on Management of Data,2015,57
