On indexing mobile objects,George Kollios; Dimitrios Gunopulos; Vassilis J Tsotras,Abstract We show how to index mobile objects in one and two dimensions using efficientdynamic external memory data structures. The problem is motivated by real life applicationsin traffic monitoring; intelligent navigation and mobile communications domains. For the l-dimensional case; we give (i) a dynamic; external memory algorithm with guaranteed worstcase performance and linear space and (ii) a practical approximation algorithm also in thedynamic; external memory setting; which has linear space and expected logarithmic querytime. We also give an algorithm with guaranteed logarithmic query time for a restrictedversion of the problem. We present extensions of our techniques to two dimensions. Inaddition we give a lower bound on the number of I/O's needed to answer the d-dimensionalproblem. Initial experimental results and comparisons to traditional indexing approaches …,Proceedings of the eighteenth ACM SIGMOD-SIGACT-SIGART symposium on Principles of database systems,1999,485
Efficient structural joins on indexed XML documents,Shu-Yao Chien; Zografoula Vagena; Donghui Zhang; Vassilis J Tsotras; Carlo Zaniolo,This chapter proposes efficient structural join algorithms in the presence of tag indices.Queries on XML documents typically combine selections on element contents; and; via pathexpressions; the structural relationships between tagged elements. Structural joins are usedto find all pairs of elements satisfying the primitive structural relationships specified in thequery; namely; parent–child and ancestor descendant relationships. Efficient support forstructural joins is thus the key to efficient implementations of XML queries. The recentlyproposed node numbering schemes enable the capturing of the XML document structureusing traditional indices. The problem of managing and querying XML documents efficientlypose interesting challenges for database researchers. XML documents can have a rathercomplex internal structure; in fact; an XML document can be viewed as an ordered tree …,*,2002,457
Comparison of access methods for time-evolving data,Betty Salzberg; Vassilis J Tsotras,Abstract This paper compares different indexing techniques proposed for supporting efficientaccess to temporal data. The comparison is based on a collection of important performancecriteria; including the space consumed; update processing; and query time forrepresentative queries. The comparison is based on worst-case analysis; hence noassumptions on data distribution or query frequencies are made. When a number ofmethods have the same asymptotic worst-case behavior; features in the methods that affectaverage case behavior are discussed. Additional criteria examined are the pagination of anindex; the ability to cluster related data together; and the ability to efficiently separate oldfrom current data (so that larger archival storage media such as write-once optical disks canbe used). The purpose of the paper is to identify the difficult problems in accessing …,ACM Computing Surveys (CSUR),1999,435
Broadcast scheduling for information distribution,Chi-Jiun Su; Leandros Tassiulas; Vassilis J Tsotras,Abstract Broadcast data delivery is encountered in many applications where there is a needto disseminate information to a large user community in a wireless asymmetriccommunication environment. In this paper; we consider the problem of scheduling the databroadcast such that average response time experienced by the users is low. In a push-based system; where the users cannot place requests directly to the server and thebroadcast schedule should be determined based solely on the access probabilities; weformulate a deterministic dynamic optimization problem; the solution of which provides theoptimal broadcast schedule. Properties of the optimal solution are obtained and then wepropose a suboptimal dynamic policy which achieves average response time close to thelower bound. The policy has low complexity; it is adaptive to changing access statistics …,Wireless Networks,1999,333
Approximating multi-dimensional aggregate range queries over real attributes,Dimitrios Gunopulos; George Kollios; Vassilis J Tsotras; Carlotta Domeniconi,Abstract Finding approximate answers to multi-dimensional range queries over real valuedattributes has significant applications in data exploration and database query optimization.In this paper we consider the following problem: given a table of d attributes whose domainis the real numbers; and a query that specifies a range in each dimension; find a goodapproximation of the number of records in the table that satisfy the query. We present a newhistogram technique that is designed to approximate the density of multi-dimensionaldatasets with real attributes. Our technique finds buckets of variable size; and allows thebuckets to overlap. Overlapping buckets allow more efficient approximation of the density.The size of the cells is based on the local density of the data. This technique leads to a fasterand more compact approximation of the data distribution. We also show how to …,Acm Sigmod Record,2000,226
Efficient indexing of spatiotemporal objects,Marios Hadjieleftheriou; George Kollios; Vassilis J Tsotras; Dimitrios Gunopulos,Abstract Spatiotemporal objects ie; objects which change their position and/or extent overtime; appear in many applications. This paper addresses the problem of indexing largevolumes of such data. We consider general object movements and extent changes. Wefurther concentrate on “snapshot” as well as small “interval” historical queries on thegathered data. The obvious approach that approximates spatiotemporal objects with MBRsand uses a traditional multidimensional access method to index them is inefficient. Objectsthat “live” for long time intervals have large MBRs which introduce a lot of empty space.Clustering long intervals has been dealt in temporal databases by the use of partiallypersistent indices. What differentiates this problem from traditional temporal indexing is thatobjects are allowed to move/change during their lifetime. Better methods are thus needed …,International Conference on Extending Database Technology,2002,192
Designing access methods for bitemporal databases,Anil Kumar; Vassilis J Tsotras; Christos Faloutsos,By supporting the valid and transaction time dimensions; bitemporal databases representreality more accurately than conventional databases. The authors examine the issuesinvolved in designing efficient access methods for bitemporal databases; and propose thepartial-persistence and the double-tree methodologies. The partial-persistence methodologyreduces bitemporal queries to partial persistence problems for which an efficient accessmethod is then designed. The double-tree methodology" sees" each bitemporal data objectas consisting of two intervals (a valid-time and a transaction-time interval) and dividesobjects into two categories according to whether the right endpoint of the transaction timeinterval is already known. A common characteristic of both methodologies is that they takeinto account the properties of each time dimension. Their performance is compared with a …,IEEE Transactions on Knowledge and Data Engineering,1998,167
Efficient management of multiversion documents by object referencing,Shu-Yao Chien; Vassilis J Tsotras; Carlo Zaniolo,Abstract Traditional approaches to versioning documents are edit-based; and representsuccessive versions using edit scripts. This paper proposes a reference-based versioningscheme that preserves the rich logical structure of the evolving document via objectreferences. This approach produces better support for queries; and reconciles the storage-level and transport-level representations of multiversioned XML documents. In particular; wepresent efficient algorithms for supporting projection and selection queries; and for queryingthe document evolution history. Then; we show that our representation is also efficient at thetransport level; where XML documents are exchanged between remote parties. In fact; withthe reference-based scheme; an XML document's history can also be viewed and processedas yet another XML document. Finally; we demonstrate the effectiveness of the new …,VLDB,2001,157
Advanced database indexing,Yannis Manolopoulos; Yannis Theodoridis; Vassilis Tsotras,Advanced Database Indexing begins by introducing basic material on storage media;including magnetic disks; RAID systems and tertiary storage such as optical disk and tapes.Typical access methods (eg B+ trees; dynamic hash files and secondary key retrieval) arealso introduced. The remainder of the book discusses recent advances in indexing andaccess methods for particular database applications. More specifically; issues such asexternal sorting; file structures for intervals; temporal access methods; spatial and spatio-temporal indexing; image and multimedia indexing; perfect external hashing methods;parallel access methods; concurrency issues in indexing and parallel external sorting arepresented for the first time in a single book. Advanced Database Indexing is an excellentreference for database professionals and may be used as a text for advanced courses on …,*,2012,140
On-line discovery of flock patterns in spatio-temporal data,Marcos R Vieira; Petko Bakalov; Vassilis J Tsotras,Abstract With the recent advancements and wide usage of location detection devices; largequantities of data are collected by GPS and cellular technologies in the form of trajectories.While most previous work on trajectory-based queries has concentrated on traditional range;nearest-neighbor and similarity queries; there is an increasing interest in queries thatcapture the" aggregate" behavior of trajectories as groups. Consider; for example; findinggroups of moving objects that move" together"; ie within a predefined distance to each other;for a certain continuous period of time. Such queries typically arise in surveillanceapplications; eg identify groups of suspicious people; convoys of vehicles; flocks of animals;etc. In this paper we first show that the on-line flock discovery problem is polynomial andthen propose a framework and several strategies to discover such patterns in streaming …,Proceedings of the 17th ACM SIGSPATIAL international conference on advances in geographic information systems,2009,134
Nearest neighbor queries in a mobile environment,George Kollios; Dimitrios Gunopulos; Vassilis J Tsotras,Abstract Nearest neighbor queries have received much interest in recent years due to theirincreased importance in advanced database applications. However; past work hasaddressed such queries in a static setting. In this paper we consider instead a dynamicsetting where data objects move continuously. Such a mobile spatiotemporal environment ismotivated by real life applications in traffic management; intelligent navigation and cellularcommunication systems. We consider two versions of nearest neighbor queries dependingon whether the temporal predicate is a single time instant or an interval. For example:“findthe closest object to a given object o after 10 minutes from now”; or;“find the object that willbe the closest to object o between 10 and 15 minutes from now”. Since data objects movecontinuously it is inefficient to update the database about their position at each time …,*,1999,132
