Comparison of Niblack inspired Binarization methods for ancient documents,Khurram Khurshid; Imran Siddiqi; Claudie Faure; Nicole Vincent,In this paper; we present a new sliding window based local thresholdingtechnique'NICK'and give a detailed comparison of some existing sliding-window basedthresholding algorithms with our method. The proposed method aims at achieving betterbinarization results; specifically; for ancient document images. NICK has been inspired fromthe Niblack's binarization method and exhibits its robustness and effectiveness whenevaluated on low quality ancient document images.,Document Recognition and Retrieval XVI,2009,128
Text independent writer recognition using redundant writing patterns with contour-based orientation and curvature features,Imran Siddiqi; Nicole Vincent,Abstract We propose an effective method for automatic writer recognition from unconstrainedhandwritten text images. Our method relies on two different aspects of writing: the presenceof redundant patterns in the writing and its visual attributes. Analyzing small writingfragments; we seek to extract the patterns that an individual employs frequently as he writes.We also exploit two important visual attributes of writing; orientation and curvature; bycomputing a set of features from writing samples at different levels of observation. Finally wecombine the two facets of handwriting to characterize the writer of a handwritten sample. Theproposed methodology evaluated on two different data sets exhibits promising results onwriter identification and verification.,Pattern Recognition,2010,123
A review of real-time segmentation of uncompressed video sequences for content-based search and retrieval,Sébastien Lefèvre; Jérôme Holler; Nicole Vincent,Abstract We present in this paper a review of methods for segmentation of uncompressedvideo sequences. Video segmentation is usually performed in the temporal domain by shotchange detection. In case of real-time segmentation; computational complexity is one of thecriteria which has to be taken into account when comparing different methods. When dealingwith uncompressed video sequences; this criterion is even more significant. However;previous published reviews did not involve complexity criterion when comparing shotchange detection methods. Only recognition rate and ability to classify detected shotchanges were considered. So contrary to previous reviews; we give here the complexity ofmost of the described methods. We review in this paper an extensive set of methodspresented in the literature and classify them in several parts; depending on the …,*,2003,104
A set of chain code based features for writer recognition,Imran Siddiqi; Nicole Vincent,This communication presents an effective method for writer recognition in handwrittendocuments. We have introduced a set of features that are extracted from the contours ofhandwritten images at different observation levels. At the global level; we extract thehistograms of the chain code; the first and second order differential chain codes and; thehistogram of the curvature indices at each point of the contour of handwriting. At the locallevel; the handwritten text is divided into a large number of small adaptive windows andwithin each window the contribution of each of the eight directions (and their differentials) iscounted in the corresponding histograms. Two writings are then compared by computing thedistances between their respective histograms. The system trained and tested on twodifferent data sets of 650 and 225 writers respectively; exhibited promising results on …,Document Analysis and Recognition; 2009. ICDAR'09. 10th International Conference on,2009,73
Writer identification in handwritten documents,Imran Siddiqi; Nicole Vincent,This work presents an effective method for writer identification in handwritten documents. Wehave developed a local approach; based on the extraction of characteristics that are specificto a writer. To exploit the existence of redundant patterns within a handwriting; the writing isdivided into a large number of small sub-images; and the sub-images that aremorphologically similar are grouped together in the same classes. The patterns; which occurfrequently for a writer are thus extracted. The author of the unknown document is thenidentified by a Bayesian classifier. The system trained and tested on 50 documents of thesame number of authors; reported an identification rate of 94%.,Document analysis and recognition; 2007. icdar 2007. ninth international conference on,2007,62
Detection; extraction and representation of tables,J-Y Ramel; Michel Crucianu; Nicole Vincent; Claudie Faure,We are concerned with the extraction of tables from exchange format representations of verydiverse composite documents. We put forward a flexible representation scheme for complextables; based on a clear distinction between the physical layout of a table and its logicalstructure. Relying on this scheme; we develop a new method for the detection and theextraction of tables by an analysis of the graphic lines. To deal with tables that lack all ormost of the graphic marks; one must focus on the regularities of the text elements alone. Wepropose such a method; based on a multi-level analysis of the layout of text components ona page. A general graph representation of the relative positions of blocks of text is exploited.,Document Analysis and Recognition; 2003. Proceedings. Seventh International Conference on,2003,60
Shape-based alphabet for off-line Arabic handwriting recognition,F Menasri; Nicole Vincent; Mohamed Cheriet; Emmanuel Augustin,This article describes an off-line handwritten Arabic words recognition system. Both explicitgrapheme segmentation and feature extraction are originally designed for Latin cursivehandwriting. The recognizer itself is a hybrid HMM/NN. We introduce a new shape-basedalphabet for handwriting Arabic recognition which is intended to benefit from somespecificities of Arabic writing. We performed several experiments using IFN/ENIT benchmarkdatabase to validate our approach. Our recognizer performs as close as the state of the artrecognition rate with 87%. The latter results are indeed very encouraging as manyperspectives and improvements may be considered. Especially; the explicit processing ofdots and diacritics; therefore making use of more prior knowledge of Arabic writingspecificities.,Document Analysis and Recognition; 2007. ICDAR 2007. Ninth International Conference on,2007,48
Handwriting and signature: one or two personality identifiers?,Viviane Bouletreau; Nicole Vincent; Robert Sabourin; Hubert Emptoz,Handwriting and signature are often studied without any connection; In this paper; wepresent a method applied both to handwriting and signature classification that is based ontheir fractal behavior. First is presented the method we have developed for the computationof the fractal dimension and the secondary dimension of writing. We describe how theseparameters allow us to define a pertinent representation space. We also show how thisapproach has permitted to extract classes related to writing and signature styles. Lastly; thismethod has allowed us to give evidence of the independence between the behaviors of thewriter when he signs and when he writes. Such an independence will be a source of veryenriching information within the context of signature authentication.,Pattern Recognition; 1998. Proceedings. Fourteenth International Conference on,1998,39
Combining global and local features for writer identification,Imran Siddiqi; Nicole Vincent,Abstract This communication presents an effective method for writer identification inhandwritten documents. We have developed a two-step approach; the first one dividing thehandwritings into distinct classes according to the writing style and the second oneidentifying the writer of the unknown document; searching within the specific writer class. Inthe first step a set of gabor filters is applied to the document image and similar writings aregrouped together based on the gabor response in each direction. In the second step thewriting is divided into a large number of small sub-images; and morphologically similar sub-images are clustered together. The patterns; which occur frequently for a writer are thusextracted. The writer of the unknown document is identified by finding the writing style classto which it belongs and then using a Bayesian classifier on the extracted subset. The …,Proceedings of the 11. Int. Conference on Frontiers in Handwriting Recognition; Montreal,2008,38
Force implication: A new approach to human reasoning,Ch Dujet; Nicole Vincent,Abstract As it is well known the logical “material implication” is not natural from the point ofview of human reasoning; besides; in fuzzy logic; it is possible to classify the ply operatorsrefering either to the boolean implication; or to the boolean conjunction (Mamdani'soperator). Combining the aim to modelize human reasoning in a more natural way(subsequently in the spirit of Mamdani) with the necessity to get an implication (that is to saya non-symmetric operator); a new ply operator is introduced here; named the forceimplication. Then conditional objects and generalized modus ponens are evoked; throughtheir links with the force implication.,Fuzzy Sets and Systems,1995,37
