Web services,Gustavo Alonso; Fabio Casati; Harumi Kuno; Vijay Machiraju,Abstract In previous chapters we have discussed the architecture of information systems(Chapter 1); middleware and enterprise application integration (Chapters 2 and 3); and thebasics of Web technology (Chapter 4). These chapters have shown a chronologicalevolution of the technology used for EAI and for building distributed applications. All thesetechnologies have been rather successful in addressing several of the problems created byapplication integration. The success; however; has been restricted to certain settings (eg;LAN-based systems; homogeneous middleware platforms; etc.). True application integrationrequires tools that go one step beyond what conventional middleware and EAI platformshave achieved. Web services and the associated technology are being leveraged to takesuch a step.,*,2004,3554
Understanding replication in databases and distributed systems,Matthias Wiesmann; Fernando Pedone; André Schiper; Bettina Kemme; Gustavo Alonso,Replication is an area of interest to both distributed systems and databases. The solutionsdeveloped from these two perspectives are conceptually similar but differ in many aspects:model; assumptions; mechanisms; guarantees provided; and implementation. In this paper;we provide an abstract and" neutral" framework to compare replication techniques from bothcommunities. The framework has been designed to emphasize the role played by differentmechanisms and to facilitate comparisons. The paper describes the replication techniquesused in both communities; compares them; and points out ways in which they can beintegrated to arrive to better; more robust replication protocols.,Distributed Computing Systems; 2000. Proceedings. 20th International Conference on,2000,480
Advanced transaction models in workflow contexts,Gustavo Alonso; Divyakant Agrawal; Amr El Abbadi; Mohan Kamath; Roger Gunthor; Chandrasekaran Mohan,In recent years; numerous transaction models have been proposed to address the problemsposed by advanced database applications; but only a few of these models are being used incommercial products. In this paper; we make the case that such models may be too centeredaround databases to be useful in real environments. Advanced applications raise a varietyof issues that are not addressed at all by transaction models. These same issues; however;are the basis for existing workflow systems; which are having considerable success ascommercial products in spite of not having a solid theoretical foundation. We explore someof these issues and show that; in many aspects; workflow models are a superset oftransaction models and have the added advantage of incorporating a variety of ideas thathave so far remained outside the scope of traditional transaction processing.,Data Engineering; 1996. Proceedings of the Twelfth International Conference on,1996,448
Exception handling in workflow management systems,Claus Hagen; Gustavo Alonso,Fault tolerance is a key requirement in process support systems (PSS); a class of distributedcomputing middleware encompassing applications such as workflow management systemsand process centered software engineering environments. A PSS controls the flow of workbetween programs and users in networked environments based on a" metaprogram"(theprocess). The resulting applications are characterized by a high degree of distribution and ahigh degree of heterogeneity (properties that make fault tolerance both highly desirable anddifficult to achieve). We present a solution for implementing more reliable processes byusing exception handling; as it is used in programming languages; and atomicity; as it isknown from the transaction concept in database management systems. We describe themechanism incorporating both transactions and exceptions and present a validation …,IEEE Transactions on software engineering,2000,425
Dynamic weaving for aspect-oriented programming,Andrei Popovici; Thomas Gross; Gustavo Alonso,Abstract When using Aspect Oriented Programming in the development of softwarecomponents; a developer must understand the program units actually changed by weaving;how they behave; and possibly correct the aspects used. Support for rapid AOP prototypingand debugging is therefore crucial in such situations. Rapid prototyping is difficult withcurrent aspect weaving tools because they do not support dynamic changes. This paperdescribes PROSE (PROgrammable extenSions of sErvices); a platform based on Javawhich addresses dynamic AOP. Aspects are expressed in the same source language as theapplication (Java); and PROSE allows aspects to be woven; unwoven; or replaced at run-time.,Proceedings of the 1st international conference on Aspect-oriented software development,2002,392
Functionality and limitations of current workflow management systems,Gustavo Alonso; Divyakant Agrawal; Amr El Abbadi; Carl Mohan,Abstract Work ow systems hold the promise of facilitating the everyday operation of manyenterprises and work environments. As a result; many commercial work ow managementsystems have been developed. These systems; although useful; do not scale well; havelimited fault-tolerance; and are in exible in terms of interoperating with other work owsystems. In this paper; we discuss the limitations of contemporary work ow managementsystems; and then elaborate on various directions for research and potential futureextensions to the design and modeling of work ow management systems.,IEEE expert,1997,382
Don't be lazy; be consistent: Postgres-r; a new way to implement database replication,Bettina Kemme; Gustavo Alonso,Abstract Database designers often point out that eager; update everywhere replication suers from high deadlock rates; message overhead and poor response times. In this paper; weshow that these limitations can be circumvented by using a combination of known and noveltechniques. Moreover; we show how the proposed solution can be incorporated into a realdatabase system. The paper discusses the new protocols and their implementation inPostgreSQL. It also provides experimental results proving that many of the dangers andlimitations of replication can be avoided by using the appropriate techniques.,VLDB,2000,376
A new approach to developing and implementing eager database replication protocols,Bettina Kemme; Gustavo Alonso,Abstract Database replication is traditionally seen as a way to increase the availability andperformance of distributed databases. Although a large number of protocols providing dataconsistency and fault-tolerance have been proposed; few of these ideas have ever beenused in commercial products due to their complexity and performance implications. Instead;current products allow inconsistencies and often resort to centralized approaches whicheliminates some of the advantages of replication. As an alternative; we propose a suite ofreplication protocols that addresses the main problems related to database replication. Onthe one hand; our protocols maintain data consistency and the same transactionalsemantics found in centralized systems. On the other hand; they provide flexibility andreasonable performance. To do so; our protocols take advantage of the rich semantics of …,ACM Transactions on Database Systems (TODS),2000,329
Calling the cloud: enabling mobile phones as interfaces to cloud applications,Ioana Giurgiu; Oriana Riva; Dejan Juric; Ivan Krivulev; Gustavo Alonso,Abstract Mobile phones are set to become the universal interface to online services andcloud computing applications. However; using them for this purpose today is limited to twoconfigurations: applications either run on the phone or run on the server and are remotelyaccessed by the phone. These two options do not allow for a customized and flexible serviceinteraction; limiting the possibilities for performance optimization as well. In this paper wepresent a middleware platform that can automatically distribute different layers of anapplication between the phone and the server; and optimize a variety of objective functions(latency; data transferred; cost; etc.). Our approach builds on existing technology fordistributed module management and does not require new infrastructures. In the paper wediscuss how to model applications as a consumption graph; and how to process it with a …,Proceedings of the 10th ACM/IFIP/USENIX International Conference on Middleware,2009,319
Ganymed: Scalable replication for transactional web applications,Christian Plattner; Gustavo Alonso,Abstract Data grids; large scale web applications generating dynamic content and databaseservice providing pose significant scalability challenges to database engines. Replication isthe most common solution but it involves difficult trade-offs. The most difficult one is thechoice between scalability and consistency. Commercial systems give up consistency.Research solutions typically either offer a compromise (limited scalability in exchange forconsistency) or impose limitations on the data schema and the workload. In this paper weintroduce Ganymed; a database replication middleware intended to provide scalabilitywithout sacrificing consistency and avoiding the limitations of existing approaches. The mainidea is to use a novel transaction scheduling algorithm that separates update and read-onlytransactions. Transactions can be submitted to Ganymed through a special JDBC driver …,Proceedings of the 5th ACM/IFIP/USENIX international conference on Middleware,2004,293
