Distributed GraphLab: a framework for machine learning and data mining in the cloud,Yucheng Low; Danny Bickson; Joseph Gonzalez; Carlos Guestrin; Aapo Kyrola; Joseph M Hellerstein,Abstract While high-level data parallel frameworks; like MapReduce; simplify the design andimplementation of large-scale data processing systems; they do not naturally or efficientlysupport many important data mining and machine learning algorithms and can lead toinefficient learning systems. To help fill this critical void; we introduced the GraphLababstraction which naturally expresses asynchronous; dynamic; graph-parallel computationwhile ensuring data consistency and achieving a high degree of parallel performance in theshared-memory setting. In this paper; we extend the GraphLab framework to thesubstantially more challenging distributed setting while preserving strong data consistencyguarantees. We develop graph based extensions to pipelined locking and data versioning toreduce network congestion and mitigate the effect of network latency. We also introduce …,Proceedings of the VLDB Endowment,2012,1294
Powergraph: distributed graph-parallel computation on natural graphs.,Joseph E Gonzalez; Yucheng Low; Haijie Gu; Danny Bickson; Carlos Guestrin,Abstract Large-scale graph-structured computation is central to tasks ranging from targetedadvertising to natural language processing and has led to the development of several graph-parallel abstractions including Pregel and GraphLab. However; the natural graphscommonly found in the real-world have highly skewed power-law degree distributions;which challenge the assumptions made by these abstractions; limiting performance andscalability. In this paper; we characterize the challenges of computation on natural graphs inthe context of existing graphparallel abstractions. We then introduce the PowerGraphabstraction which exploits the internal structure of graph programs to address thesechallenges. Leveraging the PowerGraph abstraction we introduce a new approach todistributed graph placement and representation that exploits the structure of power-law …,OSDI,2012,1002
Graphlab: A new framework for parallel machine learning,Yucheng Low; Joseph E Gonzalez; Aapo Kyrola; Danny Bickson; Carlos E Guestrin; Joseph Hellerstein,Abstract: Designing and implementing efficient; provably correct parallel machine learning(ML) algorithms is challenging. Existing high-level parallel abstractions like MapReduce areinsufficiently expressive while low-level tools like MPI and Pthreads leave ML expertsrepeatedly solving the same design challenges. By targeting common patterns in ML; wedeveloped GraphLab; which improves upon abstractions like MapReduce by compactlyexpressing asynchronous iterative algorithms with sparse computational dependencieswhile ensuring data consistency and achieving a high degree of parallel performance. Wedemonstrate the expressiveness of the GraphLab framework by designing andimplementing parallel versions of belief propagation; Gibbs sampling; Co-EM; Lasso andCompressed Sensing. We show that using GraphLab we can achieve excellent parallel …,arXiv preprint arXiv:1408.2041,2014,931
Graphlab: A new framework for parallel machine learning,Yucheng Low; Joseph E Gonzalez; Aapo Kyrola; Danny Bickson; Carlos E Guestrin; Joseph Hellerstein,Abstract: Designing and implementing efficient; provably correct parallel machine learning(ML) algorithms is challenging. Existing high-level parallel abstractions like MapReduce areinsufficiently expressive while low-level tools like MPI and Pthreads leave ML expertsrepeatedly solving the same design challenges. By targeting common patterns in ML; wedeveloped GraphLab; which improves upon abstractions like MapReduce by compactlyexpressing asynchronous iterative algorithms with sparse computational dependencieswhile ensuring data consistency and achieving a high degree of parallel performance. Wedemonstrate the expressiveness of the GraphLab framework by designing andimplementing parallel versions of belief propagation; Gibbs sampling; Co-EM; Lasso andCompressed Sensing. We show that using GraphLab we can achieve excellent parallel …,arXiv preprint arXiv:1408.2041,2014,931
GraphX: Graph Processing in a Distributed Dataflow Framework.,Joseph E Gonzalez; Reynold S Xin; Ankur Dave; Daniel Crankshaw; Michael J Franklin; Ion Stoica,Abstract In pursuit of graph processing performance; the systems community has largelyabandoned general-purpose distributed dataflow frameworks in favor of specialized graphprocessing systems that provide tailored programming abstractions and accelerate theexecution of iterative graph algorithms. In this paper we argue that many of the advantagesof specialized graph processing systems can be recovered in a modern general-purposedistributed dataflow system. We introduce GraphX; an embedded graph processingframework built on top of Apache Spark; a widely used distributed dataflow system. GraphXpresents a familiar composable graph abstraction that is sufficient to express existing graphAPIs; yet can be implemented using only a few basic dataflow operators (eg; join; map;group-by). To achieve performance parity with specialized graph systems; GraphX …,OSDI,2014,467
A quantitative analysis of NSAID-induced small bowel pathology by capsule enteroscopy,Laurence Maiden; Bjarni Thjodleifsson; Asgeir Theodors; Juan Gonzalez; Ingvar Bjarnason,Background & Aims: Conventional acidic nonsteroidal anti-inflammatory drugs frequentlycause small bowel inflammation. Diagnosis is largely based on assay of surrogate markersof inflammation in stool; such as fecal calprotectin. However; stool markers are not widelyavailable and the precise nature of this inflammation is uncertain. We used wireless capsuleenteroscopy to quantitate and assess the nature of the small bowel damage caused bynonsteroidal anti-inflammatory drugs when taken on a short-term basis. Methods: Fortyhealthy volunteers underwent a baseline capsule enteroscopy and fecal calprotectin test.After taking diclofenac slow-release 75 mg twice a day (with omeprazole 20 mg twice a dayfor gastroprotection) for a total of 14 days; both investigations were repeated. Results: Afterdrug treatment; 30 subjects (75%) had increased repeat fecal calprotectin concentrations …,Gastroenterology,2005,455
Mutations in progranulin are a major cause of ubiquitin-positive frontotemporal lobar degeneration,Jennifer Gass; Ashley Cannon; Ian R Mackenzie; Bradley Boeve; Matt Baker; Jennifer Adamson; Richard Crook; Stacey Melquist; Karen Kuntz; Ron Petersen; Keith Josephs; Stuart M Pickering-Brown; Neill Graff-Radford; Ryan Uitti; Dennis Dickson; Zbigniew Wszolek; John Gonzalez; Thomas G Beach; Eileen Bigio; Nancy Johnson; Sandra Weintraub; Marsel Mesulam; Charles L White III; Bryan Woodruff; Richard Caselli; Ging-Yuek Hsiung; Howard Feldman; Dave Knopman; Mike Hutton; Rosa Rademakers,Abstract Null mutations in the progranulin gene (PGRN) were recently reported to cause tau-negative frontotemporal dementia linked to chromosome 17. We assessed the geneticcontribution of PGRN mutations in an extended population of patients with frontotemporallobar degeneration (FTLD)(N= 378). Mutations were identified in 10% of the total FTLDpopulation and 23% of patients with a positive family history. This mutation frequencydropped to 5% when analysis was restricted to an unbiased FTLD subpopulation (N= 167)derived from patients referred to Alzheimer's Disease Research Centers (ADRC). Among theADRC patients; PGRN mutations were equally frequent as mutations in the tau gene(MAPT). We identified 23 different pathogenic PGRN mutations; including a total of 21nonsense; frameshift and splice-site mutations that cause premature termination of the …,Human molecular genetics,2006,446
Graphx: A resilient distributed graph system on spark,Reynold S Xin; Joseph E Gonzalez; Michael J Franklin; Ion Stoica,Abstract From social networks to targeted advertising; big graphs capture the structure indata and are central to recent advances in machine learning and data mining. Unfortunately;directly applying existing data-parallel tools to graph computation tasks can be cumbersomeand inefficient. The need for intuitive; scalable tools for graph computation has lead to thedevelopment of new graph-parallel systems (eg.; Pregel; PowerGraph) which are designedto efficiently execute graph algorithms. Unfortunately; these new graph-parallel systems donot address the challenges of graph construction and transformation which are often just asproblematic as the subsequent computation. Furthermore; existing graph-parallel systemsprovide limited fault-tolerance and support for interactive data mining. We introduce GraphX;which combines the advantages of both data-parallel and graph-parallel systems by …,First International Workshop on Graph Data Management Experiences and Systems,2013,412
Prevalencia de la obesidad en España: resultados del estudio SEEDO 2000,Javier Aranceta; Carmen Pérez Rodrigo; Lluís Serra Majem; Lourdes Ribas Barba; Joan Quiles Izquierdo; Jesús Vioque; Josep Tur Marí; José Mataix Verdú; Juan Llopis González; Rafael Tojo; Màrius Foz Sala,Fundamento y objetivo La obesidad es un importante problema de salud pública en lassociedades desarrolladas. Es necesario delimitar su magnitud e identificar los principalescolectivos de riesgo. En este trabajo se ha estimado la prevalencia de la obesidad enEspaña sobre la base de datos poblacionales de mediciones del peso y de la talla en lapoblación adulta de 25 a 60 años. Sujetos y método Análisis de un pool de datosprocedentes de encuestas nutricionales transversales sobre muestras representativas depoblación adulta. Se seleccionó una muestra aleatoria de población de 25 a 60 añosparticipante en las encuestas nutricionales de Andalucía; Baleares; Canarias; Cataluña;Comunidad Valenciana; Galicia; Madrid y País Vasco (n= 9.885); efectuadas entre 1990 y2000; en la que se había realizado una medición individual del peso y de la talla …,Medicina clínica,2003,314
Educação e diversidade: bases didáticas e organizativas,José Antonio Torres González; Ernani Rosa; Sandra Mara Corazza,*,*,2002,260
A survey of cognitive functioning at different glucose levels in diabetic persons,Clarissa Smith Holmes; John T Hayford; Jose L Gonzalez; Joy A Weydert,Cognitive functioning was assessed in diabetic patients during hypoglycemia (60 mg/dl);euglycemia/control (110 mg/dl); and hyperglycemia (300 mg/dl). Blood glucose levels wereset and maintained to within 4% of targeted levels by an artificial insulin/glucose infusionsystem (Biostator). Attention and fine motor skills; assessedby visual reaction time; wasslowed at altered glucose levels. Performance was less impaired during hyperglycemia thanhypoglycemia when a longer interstimulus interval was used; although it was still slowerthan normal. The time required to solve simple addition problems was increased duringhypoglycemia; although reading comprehension was not affected. The possibility that someautomatic brain skills are disrupted at altered glucose concentrations is discussed; whileassociative or inferential skills may be less affected.,Diabetes Care,1983,251
