Trajectory clustering: a partition-and-group framework,Jae-Gil Lee; Jiawei Han; Kyu-Young Whang,Abstract Existing trajectory clustering algorithms group similar trajectories as a whole; thusdiscovering common trajectories. Our key observation is that clustering trajectories as awhole could miss common sub-trajectories. Discovering common sub-trajectories is veryuseful in many applications; especially if we have regions of special interest for analysis. Inthis paper; we propose a new partition-and-group framework for clustering trajectories;which partitions a trajectory into a set of line segments; and then; groups similar linesegments together into a cluster. The primary advantage of this framework is to discovercommon sub-trajectories from a trajectory database. Based on this partition-and-groupframework; we develop a trajectory clustering algorithm TRACLUS. Our algorithm consists oftwo phases: partitioning and grouping. For the first phase; we present a formal trajectory …,Proceedings of the 2007 ACM SIGMOD international conference on Management of data,2007,1088
Trajectory outlier detection: A partition-and-detect framework,Jae-Gil Lee; Jiawei Han; Xiaolei Li,Outlier detection has been a popular data mining task. However; there is a lack of seriousstudy on outlier detection for trajectory data. Even worse; an existing trajectory outlierdetection algorithm has limited capability to detect outlying sub-trajectories. In this paper; wepropose a novel partition-and-detect framework for trajectory outlier detection; whichpartitions a trajectory into a set of line segments; and then; detects outlying line segments fortrajectory outliers. The primary advantage of this framework is to detect outlying sub-trajectories from a trajectory database. Based on this partition-and-detect framework; wedevelop a trajectory outlier detection algorithm TRAOD. Our algorithm consists of twophases: partitioning and detection. For the first phase; we propose a two-level trajectorypartitioning strategy that ensures both high quality and high efficiency. For the second …,Data Engineering; 2008. ICDE 2008. IEEE 24th International Conference on,2008,313
TraClass: trajectory classification using hierarchical region-based and trajectory-based clustering,Jae-Gil Lee; Jiawei Han; Xiaolei Li; Hector Gonzalez,Abstract Trajectory classification; ie; model construction for predicting the class labels ofmoving objects based on their trajectories and other features; has many important; real-world applications. A number of methods have been reported in the literature; but due tousing the shapes of whole trajectories for classification; they have limited classificationcapability when discriminative features appear at parts of trajectories or are not relevant tothe shapes of trajectories. These situations are often observed in long trajectories spreadingover large geographic areas. Since an essential task for effective classification is generatingdiscriminative features; a feature generation framework TraClass for trajectory data isproposed in this paper; which generates a hierarchy of features by partitioning trajectoriesand exploring two types of clustering:(1) region-based and (2) trajectory-based. The …,Proceedings of the VLDB Endowment,2008,264
Traffic density-based discovery of hot routes in road networks,Xiaolei Li; Jiawei Han; Jae-Gil Lee; Hector Gonzalez,Abstract Finding hot routes (traffic flow patterns) in a road network is an important problem.They are beneficial to city planners; police departments; real estate developers; and manyothers. Knowing the hot routes allows the city to better direct traffic or analyze congestioncauses. In the past; this problem has largely been addressed with domain knowledge of city.But in recent years; detailed information about vehicles in the road network have becomeavailable. With the development and adoption of RFID and other location sensors; anenormous amount of moving object trajectories are being collected and can be usedtowards finding hot routes. This is a challenging problem due to the complex nature of thedata. If objects traveled in organized clusters; it would be straightforward to use a clusteringalgorithm to find the hot routes. But; in the real world; objects move in unpredictable ways …,International Symposium on Spatial and Temporal Databases,2007,212
n-gram/2l: A space and time efficient two-level n-gram inverted index structure,Min-Soo Kim; Kyu-Young Whang; Jae-Gil Lee; Min-Jae Lee,Abstract The n-gram inverted index has two major advantages: language-neutral and error-tolerant. Due to these advantages; it has been widely used in information retrieval or insimilar sequence matching for DNA and protein databases. Nevertheless; the n-graminverted index also has drawbacks: the size tends to be very large; and the performance ofqueries tends to be bad. In this paper; we propose the two-level n-gram inverted index(simply; the n-gram/2L index) that significantly reduces the size and improves the queryperformance while preserving the advantages of the n-gram inverted index. The proposedindex eliminates the redundancy of the position information that exists in the n-gram invertedindex. The proposed index is constructed in two steps: 1) extracting subsequences of lengthm from documents and 2) extracting n-grams from those subsequences. We formally …,Proceedings of the 31st international conference on Very large data bases,2005,111
Incremental clustering for trajectories,Zhenhui Li; Jae-Gil Lee; Xiaolei Li; Jiawei Han,Abstract Trajectory clustering has played a crucial role in data analysis since it revealsunderlying trends of moving objects. Due to their sequential nature; trajectory data are oftenreceived incrementally; eg; continuous new points reported by GPS system. However; sinceexisting trajectory clustering algorithms are developed for static datasets; they are notsuitable for incremental clustering with the following two requirements. First; clusteringshould be processed efficiently since it can be frequently requested. Second; huge amountsof trajectory data must be accommodated; as they will accumulate constantly. Anincremental clustering framework for trajectories is proposed in this paper. It contains twoparts: online micro-cluster maintenance and offline macro-cluster creation. For online part;when a new bunch of trajectories arrives; each trajectory is simplified into a set of directed …,International Conference on Database Systems for Advanced Applications,2010,110
MoveMine: mining moving object databases,Zhenhui Li; Ming Ji; Jae-Gil Lee; Lu-An Tang; Yintao Yu; Jiawei Han; Roland Kays,Abstract With the maturity of GPS; wireless; and Web technologies; increasing amounts ofmovement data collected from various moving objects; such as animals; vehicles; mobiledevices; and climate radars; have become widely available. Analyzing such data has broadapplications; eg; in ecological study; vehicle control; mobile communication management;and climatological forecast. However; few data mining tools are available for flexible andscalable analysis of massive-scale moving object data. Our system; MoveMine; is designedfor sophisticated moving object data mining by integrating several attractive functionsincluding moving object pattern mining and trajectory mining. We explore the state-of-the-artand novel techniques at implementation of the selected functions. A user-friendly interface isprovided to facilitate interactive exploration of mining results and flexible tuning of the …,Proceedings of the 2010 ACM SIGMOD International Conference on Management of data,2010,107
Temporal outlier detection in vehicle traffic data,Xiaolei Li; Zhenhui Li; Jiawei Han; Jae-Gil Lee,Outlier detection in vehicle traffic data is a practical problem that has gained traction latelydue to an increasing capability to track moving vehicles in city roads. In contrast to otherapplications; this particular domain includes a very dynamic dimension: time. Many existingalgorithms have studied the problem of outlier detection at a single instant in time. This studyproposes a method for detecting temporal outliers with an emphasis on historical similaritytrends between data points. Outliers are calculated from drastic changes in the trends.Experiments with real world traffic data show that this approach is effective and efficient.,Data Engineering; 2009. ICDE'09. IEEE 25th International Conference on,2009,102
Movemine: Mining moving object data for discovery of animal movement patterns,Zhenhui Li; Jiawei Han; Ming Ji; Lu-An Tang; Yintao Yu; Bolin Ding; Jae-Gil Lee; Roland Kays,Abstract With the maturity and wide availability of GPS; wireless; telecommunication; andWeb technologies; massive amounts of object movement data have been collected fromvarious moving object targets; such as animals; mobile devices; vehicles; and climateradars. Analyzing such data has deep implications in many applications; such as; ecologicalstudy; traffic control; mobile communication management; and climatological forecast. In thisarticle; we focus our study on animal movement data analysis and examine advanced datamining methods for discovery of various animal movement patterns. In particular; weintroduce a moving object data mining system; MoveMine; which integrates multiple datamining functions; including sophisticated pattern mining and trajectory analysis. In thissystem; two interesting moving object pattern mining functions are newly developed:(1) …,ACM Transactions on Intelligent Systems and Technology (TIST),2011,84
Mining discriminative patterns for classifying trajectories on road networks,Jae-Gil Lee; Jiawei Han; Xiaolei Li; Hong Cheng,Classification has been used for modeling many kinds of data sets; including sets of items;text documents; graphs; and networks. However; there is a lack of study on a new kind ofdata; trajectories on road networks. Modeling such data is useful with the emerging GPS andRFID technologies and is important for effective transportation and traffic planning. In thiswork; we study methods for classifying trajectories on road networks. By analyzing thebehavior of trajectories on road networks; we observe that; in addition to the locations wherevehicles have visited; the order of these visited locations is crucial for improvingclassification accuracy. Based on our analysis; we contend that (frequent) sequentialpatterns are good feature candidates since they preserve this order information.Furthermore; when mining sequential patterns; we propose to confine the length of …,IEEE Transactions on Knowledge and Data Engineering,2011,82
Geospatial big data: challenges and opportunities,Jae-Gil Lee; Minseo Kang,Abstract Geospatial big data refers to spatial data sets exceeding capacity of currentcomputing systems. A significant portion of big data is actually geospatial data; and the sizeof such data is growing rapidly at least by 20% every year. In this paper; we explore thechallenges and opportunities which geospatial big data brought us. Several case studiesare introduced to show the importance and benefits of the analytics of geospatial big data;including fuel and time saving; revenue increase; urban planning; and health care. Then; weintroduce new emerging platforms for sharing the collected geospatial big data and fortracking human mobility via mobile devices. The researchers in academia and industry havespent a lot of efforts to improve the value of geospatial big data as well as take advantage ofits value. Along the same line; we present our current research activities toward the …,Big Data Research,2015,80
Continuous query processing in data streams using duality of data and queries,Hyo-Sang Lim; Jae-Gil Lee; Min-Jae Lee; Kyu-Young Whang; Il-Yeol Song,Abstract Recent data stream systems such as TelegraphCQ have employed the well-knownproperty of duality between data and queries. In these systems; query processing methodsare classified into two dual categories--data-initiative and query-initiative--depending onwhether query processing is initiated by selecting a data element or a query. Although theduality property has been widely recognized; previous data stream systems do not fully takeadvantages of this property since they use the two dual methods independently: data-initiative methods only for continuous queries and query-initiative methods only for ad-hocqueries. We contend that continuous query processing can be better optimized by adoptingan approach that integrates the two dual methods. Our primary contribution is based on theobservation that spatial join is a powerful tool for achieving this objective. In this paper …,Proceedings of the 2006 ACM SIGMOD international conference on Management of data,2006,64
Spatial join processing using corner transformation,Ju-Won Song; Kyu-Young Whang; Young-Koo Lee; Min-Jae Lee,Spatial join finds pairs of spatial objects having a specific spatial relationship in spatialdatabase systems. Since spatial join is a fairly expensive operation; we need an efficientalgorithm taking advantage of the characteristics of available spatial access methods. In thispaper; we propose a spatial join algorithm using corner transformation and show itsexcellence through experiments. To the extent of authors' knowledge; the spatial joinprocessing using corner transformation is new. In corner transformation; two regions in onefile joined with two adjacent regions in the other file share a large common area. Theproposed algorithm utilizes this property in order to reduce the number of disk accesses forspatial join. Experimental results show that the performance of the algorithm is generallybetter than that of the R*-tree based algorithm proposed by Brinkhoff et al.(1993. 1994) …,IEEE Transactions on Knowledge and Data Engineering,1999,44
LinkSCAN*: Overlapping community detection using the link-space transformation,Sungsu Lim; Seungwoo Ryu; Sejeong Kwon; Kyomin Jung; Jae-Gil Lee,In this paper; for overlapping community detection; we propose a novel framework of the link-space transformation that transforms a given original graph into a link-space graph. Itsunique idea is to consider topological structure and link similarity separately using twodistinct types of graphs: the line graph and the original graph. For topological structure; eachlink of the original graph is mapped to a node of the link-space graph; which enables us todiscover overlapping communities using non-overlapping community detection algorithmsas in the line graph. For link similarity; it is calculated on the original graph and carried overinto the link-space graph; which enables us to keep the original structure on the transformedgraph. Thus; our transformation; by combining these two advantages; facilitates overlappingcommunity detection as well as improves the resulting quality. Based on this framework …,Data Engineering (ICDE); 2014 IEEE 30th International Conference on,2014,43
Odysseus: a high-performance ORDBMS tightly-coupled with IR features,Kyu-Young Whang; Min-Jae Lee; Jae-Gil Lee; Min-Soo Kim; Wook-Shin Han,We propose the notion of tight-coupling [K. Whang et al.;(1999)] to add new data types intothe DBMS engine. In this paper; we introduce the Odysseus ORDBMS and present its tightly-coupled IR features (US patented). We demonstrate a Web search engine capable ofmanaging 20 million Web pages in a non-parallel configuration using Odysseus.,Data Engineering; 2005. ICDE 2005. Proceedings. 21st International Conference on,2005,41
Mining massive rfid; trajectory; and traffic data sets,Jiawei Han; Jae-Gil Lee; Hector Gonzalez; Xiaolei Li,*,Proceedings of the 14th ACM SIGKDD international conference on Knowledge discovery and data mining,2008,40
An overview of clustering methods in geographic data analysis,Jiawei Han; Jae-Gil Lee; Micheline Kamber,Clustering is the process of grouping a set of physical or abstract objects into classes ofsimilar objects. A cluster is a collection of data objects that are similar to one another withinthe same cluster and are dissimilar to the objects in other clusters. Although classification isan effective means for distinguishing groups or classes of objects; it often requires costlycollection and labeling of a large set of training tuples or patterns; which the classifier usesto model each group. In contrast; clustering does not require such labeling at all. Clusteranalysis has been widely used in numerous applications; including market research; patternrecognition; data analysis; and image processing. In business; clustering can help marketersdiscover distinct groups in their customer bases and characterize customer groups based onpurchasing patterns. In biology; it can be used to derive plant and animal taxonomies …,Geographic data mining and knowledge discovery,2009,35
Sampling cube: a framework for statistical olap over sampling data,Xiaolei Li; Jiawei Han; Zhijun Yin; Jae-Gil Lee; Yizhou Sun,Abstract Sampling is a popular method of data collection when it is impossible or too costlyto reach the entire population. For example; television show ratings in the United States aregathered from a sample of roughly 5;000 households. To use the results effectively; thesamples are further partitioned in a multidimensional space based on multiple attributevalues. This naturally leads to the desirability of OLAP (Online Analytical Processing) oversampling data. However; unlike traditional data; sampling data is inherently uncertain; ie; notrepresenting the full data in the population. Thus; it is desirable to return not only queryresults but also the confidence intervals indicating the reliability of the results. Moreover; acertain segment in a multidimensional space may contain none or too few samples. Thisrequires some additional analysis to return trustable results. In this paper we propose a …,Proceedings of the 2008 ACM SIGMOD international conference on Management of data,2008,35
Community detection in multi-layer graphs: A survey,Jungeun Kim; Jae-Gil Lee,Abstract Community detection; also known as graph clustering; has been extensivelystudied in the literature. The goal of community detection is to partition vertices in a complexgraph into densely-connected components socalled communities. In recent applications;however; an entity is associated with multiple aspects of relationships; which brings newchallenges in community detection. The multiple aspects of interactions can be modeled asa multi-layer graph comprised of multiple interdependent graphs; where each graphrepresents an aspect of the interactions. Great efforts have therefore been made to tackle theproblem of community detection in multi-layer graphs. In this survey; we provide readers witha comprehensive understanding of community detection in multi-layer graphs and comparethe state-of-the-art algorithms with respect to their underlying properties.,ACM SIGMOD Record,2015,33
Business Analytics in (a) Blink.,Ronald Barber; Peter Bendel; Marco Czech; Oliver Draese; Frederick Ho; Namik Hrle; Stratos Idreos; Min-Soo Kim; Oliver Koeth; Jae-Gil Lee; Tianchao Tim Li; Guy M Lohman; Konstantinos Morfonios; René Müller; Keshava Murthy; Ippokratis Pandis; Lin Qiao; Vijayshankar Raman; Richard Sidle; Knut Stolze; Sandor Szabo,Abstract The Blink project's ambitious goal is to answer all Business Intelligence (BI) queriesin mere seconds; regardless of the database size; with an extremely low total cost ofownership. Blink is a new DBMS aimed primarily at read-mostly BI query processing thatexploits scale-out of commodity multi-core processors and cheap DRAM to retain a (copy ofa) data mart completely in main memory. Additionally; it exploits proprietary compressiontechnology and cache-conscious algorithms that reduce memory bandwidth consumptionand allow most SQL query processing to be performed on the compressed data. Blinkalways scans (portions of) the data mart in parallel on all nodes; without using any indexesor materialized views; and without any query optimizer to choose among them. The Blinktechnology has thus far been incorporated into two IBM accelerator products generally …,IEEE Data Eng. Bull.,2012,30
Secure query processing against encrypted XML data using Query-Aware Decryption,Jae-Gil Lee; Kyu-Young Whang,Abstract Dissemination of XML data on the internet could breach the privacy of dataproviders unless access to the disseminated XML data is carefully controlled. Recently; themethods using encryption have been proposed for such access control. However; in thesemethods; the performance of processing queries has not been addressed. A queryprocessor cannot identify the contents of encrypted XML data unless the data are decrypted.This limitation incurs overhead of decrypting the parts of the XML data that would notcontribute to the query result. In this paper; we propose the notion of Query-AwareDecryption for efficient processing of queries against encrypted XML data. Query-AwareDecryption allows us to decrypt only those parts that would contribute to the query result. Forthis purpose; we disseminate an encrypted XML index along with the encrypted XML data …,Information sciences,2006,30
Scalable community detection from networks by computing edge betweenness on mapreduce,Seunghyeon Moon; Jae-Gil Lee; Minseo Kang,Community detection from social network data gains much attention from academia andindustry since it has many real-world applications. The Girvan-Newman (GN) algorithm is adivisive hierarchical clustering algorithm for community detection; which is regarded as oneof the most popular algorithms. It exploits the concept of edge betweenness to divide anetwork into multiple communities. Though it is being widely used; it has limitations insupporting large-scale networks since it needs to calculate the shortest path between everypair of nodes in a network. In this paper; we develop a parallel version of the GN algorithm tosupport large-scale networks. To this end; we propose a new algorithm; which we callShortest Path Betweenness MapReduce Algorithm (SPB-MRA); that utilizes the MapReducemodel. This algorithm consists of four major stages; and all operations are executed in …,Big Data and Smart Computing (BIGCOMP); 2014 International Conference on,2014,26
