High-speed high-security signatures,Daniel J Bernstein; Niels Duif; Tanja Lange; Peter Schwabe; Bo-Yin Yang,Abstract This paper shows that a $390 mass-market quad-core 2.4 GHz Intel Westmere(Xeon E5620) CPU can create 109000 signatures per second and verify 71000 signaturesper second on an elliptic curve at a 2 128 security level. Public keys are 32 bytes; andsignatures are 64 bytes. These performance figures include strong defenses againstsoftware side-channel attacks: there is no data flow from secret keys to array indices; andthere is no data flow from secret keys to branch conditions.,Journal of Cryptographic Engineering,2012,180
Asymptotic expansion of the degree of regularity for semi-regular systems of equations,Magali Bardet,CiNii 国立情報学研究所 学術情報ナビゲータ[サイニィ]. メニュー 検索 …,MEGA'05,2005,170
High-speed high-security signatures,Daniel J Bernstein; Niels Duif; Tanja Lange; Peter Schwabe; Bo-Yin Yang,Abstract This paper shows that a $390 mass-market quad-core 2.4 GHz Intel Westmere(Xeon E5620) CPU can create 108000 signatures per second and verify 71000 signaturesper second on an elliptic curve at a 2 128 security level. Public keys are 32 bytes; andsignatures are 64 bytes. These performance figures include strong defenses againstsoftware side-channel attacks: there is no data flow from secret keys to array indices; andthere is no data flow from secret keys to branch conditions.,International Workshop on Cryptographic Hardware and Embedded Systems,2011,101
SPATE: small-group PKI-less authenticated trust establishment,Yue-Hsun Lin; Ahren Studer; Yao-Hsin Chen; Hsu-Chun Hsiao; Li-Hsiang Kuo; Jonathan M McCune; King-Hang Wang; Maxwell Krohn; Adrian Perrig; Bo-Yin Yang; Hung-Min Sun; Phen-Lan Lin; Jason Lee,Establishing trust between a group of individuals remains a difficult problem. Prior worksassume trusted infrastructure; require an individual to trust unknown entities; or providerelatively low probabilistic guarantees of authenticity (95 percent for realistic settings). Thiswork presents SPATE; a primitive that allows users to establish trust via mobile devices andphysical interaction. Once the SPATE protocol runs to completion; its participants' mobiledevices have authentic data that their applications can use to interact securely (ie; theprobability of a successful attack is 2-24). For this work; we leverage SPATE as part of alarger system to facilitate efficient; secure; and user-friendly collaboration via e-mail; file-sharing; and text messaging services. Our implementation of SPATE on Nokia N70smartphones allows users to establish trust in small groups of up to eight users in less …,IEEE Transactions on Mobile Computing,2010,99
Building secure tame-like multivariate public-key cryptosystems: The new TTS,Bo-Yin Yang; Jiun-Ming Chen,Abstract Multivariate public-key cryptosystems (sometimes polynomial-based PKC's or justmultivariates) handle polynomials of many variables over relatively small fields instead ofelements of a large ring or group. The “tame-like” or “sparse” class of multivariates aredistinguished by the relatively few terms that they have per central equation. We explain howthey differ from the “big-field” type of multivariates; represented by derivatives of C∗ andHFE; how they are better; and give basic security criteria for them. The last is shown to besatisfied by efficient schemes called “Enhanced TTS” which is built on a combination of theOil-and-Vinegar and Triangular ideas. Their security levels are estimated. In this process wesummarize and in some cases; improve rank-based attacks; which seek linear combinationsof certain matrices at given ranks. These attacks are responsible for breaking many prior …,Australasian Conference on Information Security and Privacy,2005,96
ECM on graphics cards,Daniel J Bernstein; Tien-Ren Chen; Chen-Mou Cheng; Tanja Lange; Bo-Yin Yang,Abstract This paper reports record-setting performance for the elliptic-curve method ofinteger factorization: for example; 926.11 curves/second for ECM stage 1 with B 1= 8192 for280-bit integers on a single PC. The state-of-the-art GMP-ECM software handles 124.71curves/second for ECM stage 1 with B 1= 8192 for 280-bit integers using all four cores of a2.4 GHz Core 2 Quad Q6600. The extra speed takes advantage of extra hardware;specifically two NVIDIA GTX 295 graphics cards; using a new ECM implementationintroduced in this paper. Our implementation uses Edwards curves; relies on new paralleladdition formulas; and is carefully tuned for the highly parallel GPU architecture. On a singleGTX 295 the implementation performs 41.88 million modular multiplications per second for ageneral 280-bit modulus. GMP-ECM; using all four cores of a Q6600; performs 13.03 …,Annual International Conference on the Theory and Applications of Cryptographic Techniques,2009,93
On asymptotic security estimates in XL and Gröbner bases-related algebraic cryptanalysis,Bo-Yin Yang; Jiun-Ming Chen; Nicolas T Courtois,Abstract “Algebraic Cryptanalysis” against a cryptosystem often comprises finding enoughrelations that are generally or probabilistically valid; then solving the resultant system. Thesecurity of many schemes (most important being AES) thus depends on the difficulty ofsolving multivariate polynomial equations. Generically; this is NP-hard. The related methodsof XL (eXtended Linearization); Gröbner Bases; and their variants (of which a large numberhas been proposed) form a unified approach to solving equations and thus affect ourassessment and understanding of many cryptosystems. Building on prior theory; we analyzethese XL variants and derive asymptotic formulas giving better security estimates under XL-related algebraic attacks; through this examination we have hopefully improved ourunderstanding of such variants. In particular; guessing a portion of variables is a good …,*,2004,88
GAnGS: gather; authenticate'n group securely,Chia-Hsin Owen Chen; Chung-Wei Chen; Cynthia Kuo; Yan-Hao Lai; Jonathan M McCune; Ahren Studer; Adrian Perrig; Bo-Yin Yang; Tzong-Chen Wu,Abstract Establishing secure communication among a group of physically collocated peopleis a challenge. This problem can be reduced to establishing authentic public keys among allthe participants-these public keys then serve to establish a shared secret symmetric key forencryption and authentication of messages. Unfortunately; in most real-world settings; publickey infrastructures (PKI) are uncommon and distributing a secret in a public space is difficult.Thus; it is a challenge to exchange authentic public keys in a scalable; secure; and easy touse fashion. In this paper; we propose GAnGS; a protocol for the secure exchange ofauthenticated information among a group of people. In contrast to prior work; GAnGS resistsGroup-in-the-Middle and Sybil attacks by malicious insiders; as well as infiltration attacks bymalicious bystanders. GAnGS is designed to be robust to user errors; such as …,Proceedings of the 14th ACM international conference on Mobile computing and networking,2008,84
All in the XL family: Theory and practice,Bo-Yin Yang; Jiun-Ming Chen,Abstract The XL (eXtended Linearization) equation-solving algorithm belongs to the sameextended family as the advanced Gröbner Bases methods F 4/F 5. XL and its relatives maybe used as direct attacks against multivariate Public-Key Cryptosystems and as final stagesfor many “algebraic cryptanalysis” used today. We analyze the applicability and performanceof XL and its relatives; particularly for generic systems of equations over medium-sized finitefields. In examining the extended family of Gröbner Bases and XL from theoretical; empiricaland practical viewpoints; we add to the general understanding of equation-solving.Moreover; we give rigorous conditions for the successful termination of XL; Gröbner Basesmethods and relatives. Thus we have a better grasp of how such algebraic attacks should beapplied. We also compute revised security estimates for multivariate cryptosystems. For …,International Conference on Information Security and Cryptology,2004,79
SSE implementation of multivariate PKCs on modern x86 CPUs,Anna Inn-Tung Chen; Ming-Shing Chen; Tien-Ren Chen; Chen-Mou Cheng; Jintai Ding; Eric Li-Hsiang Kuo; Frost Yu-Shuang Lee; Bo-Yin Yang,Abstract Multivariate Public Key Cryptosystems (MPKCs) are often touted as future-proofingagainst Quantum Computers. It also has been known for efficiency compared to “traditional”alternatives. However; this advantage seems to erode with the increase of arithmeticresources in modern CPUs and improved algorithms; especially with respect to EllipticCurve Cryptography (ECC). In this paper; we show that hardware advances do not just favorECC. Modern commodity CPUs also have many small integer arithmetic/logic resources;embodied by SSE2 or other vector instruction sets; that are useful for MPKCs. In particular;Intel's SSSE3 instructions can speed up both public and private maps over prior softwareimplementations of Rainbow-type systems up to 4×. Furthermore; MPKCs over fields ofrelatively small odd prime characteristics can exploit SSE2 instructions; supported by …,*,2009,78
