Serializable isolation for snapshot databases,Michael J Cahill; Uwe Röhm; Alan D Fekete,Abstract Many popular database management systems implement a multiversionconcurrency control algorithm called snapshot isolation rather than providing fullserializability based on locking. There are well-known anomalies permitted by snapshotisolation that can lead to violations of data consistency by interleaving transactions thatwould maintain consistency if run serially. Until now; the only way to prevent theseanomalies was to modify the applications by introducing explicit locking or artificial updateconflicts; following careful analysis of conflicts between all pairs of transactions. This articledescribes a modification to the concurrency control algorithm of a database managementsystem that automatically detects and prevents snapshot isolation anomalies at runtime forarbitrary applications; thus providing serializable isolation. The new algorithm preserves …,ACM Transactions on Database Systems (TODS),2009,199
Serializable isolation for snapshot databases,Michael J Cahill; Uwe Röhm; Alan D Fekete,Abstract Many popular database management systems implement a multiversionconcurrency control algorithm called snapshot isolation rather than providing fullserializability based on locking. There are well-known anomalies permitted by snapshotisolation that can lead to violations of data consistency by interleaving transactions thatwould maintain consistency if run serially. Until now; the only way to prevent theseanomalies was to modify the applications by introducing explicit locking or artificial updateconflicts; following careful analysis of conflicts between all pairs of transactions. This articledescribes a modification to the concurrency control algorithm of a database managementsystem that automatically detects and prevents snapshot isolation anomalies at runtime forarbitrary applications; thus providing serializable isolation. The new algorithm preserves …,ACM SIGMOD International Conference on Management of Data; SIGMOD 2008,2008,199
FAS: a freshness-sensitive coordination middleware for a cluster of OLAP components,Uwe Röhm; Klemens Böhm; Hans-Jörg Schek; Heiko Schuldt,Data warehouses offer a compromise between freshness of data and query evaluation time.However; a fixed preference ratio between these two variables is too undifferentiated. Datawarehouses are closely tied to online analytical processing (OLAP) of the vast amount ofdata of an organization. They typically offer a compromise between freshness of data andwarehouse maintenance costs. Different application scenarios and users; however; havedifferent preferences in this respect; and a fixed preference ratio is too undifferentiated. Withthe approach presented in this chapter; clients submit query or update transactions to thismiddleware; instead of directly communicating with specific cluster nodes. The middlewareschedules and routes updates and queries to cluster nodes. The scheduler generates acorrect; interleaved execution order. In general; scheduling allows for several cluster …,Proceedings of the 28th international conference on Very Large Data Bases,2002,141
OLAP query routing and physical design in a database cluster,Uwe Rohm; Klemens Bohm; S Hans-Jorg,Abstract This article quantifies the benefit from simple data organization schemes andelementary query routing techniques for the PowerDB engine; a system that coordinates acluster of databases. We report on evaluations for a specific scenario: the workload containsOLAP queries; OLTP queries; and simple updates; borrowed from the TPC-R benchmark.We investigate affinity of OLAP queries and different routing strategies for such queries. Wethen compare two simple data placement schemes; namely full replication and a hybrid onecombining partial replication with partitioning. We run different experiments with queriesonly; with updates only; and with queries concurrently to simple updates. It turns out thathybrid is superior to full replication; even without updates. Our overall conclusion is thatcoordinator-based routing has good scaleup properties for scenarios with complex …,Lecture Notes in Computer Science,2000,140
OLAP query routing and physical design in a database cluster,Uwe Röhm; Klemens Böhm; Hans-Jörg Schek,Abstract This article quantifies the benefit from simple data organization schemes andelementary query routing techniques for the PowerDB engine; a system that coordinates acluster of databases. We report on evaluations for a specific scenario: the workload containsOLAP queries; OLTP queries; and simple updates; borrowed from the TPC-R benchmark.We investigate affinity of OLAP queries and different routing strategies for such queries. Wethen compare two simple data placement schemes; namely full replication and a hybrid onecombining partial replication with partitioning. We run different experiments with queriesonly; with updates only; and with queries concurrently to simple updates. It turns out thathybrid is superior to full replication; even without updates. Our overall conclusion is thatcoordinator-based routing has good scaleup properties for scenarios with complex …,Advances in Database Technology—EDBT 2000,2000,140
Resource-aware online data mining in wireless sensor networks,Nhan Duc Phung; Mohamed Medhat Gaber; Uwe Röhm,Data processing in wireless sensor networks often relies on high-speed data stream input;but at the same time is inherently constrained by limited resource availability. Thus; energyefficiency and good resource management are vital for in-network processing techniques.We propose enabling resource-awareness for in-network processing algorithms by meansof a resource monitoring component and designed a corresponding framework. As proof ofconcept; we implement an online clustering algorithm; which uses the resource monitor toadapt to resource availability; on the Sun SPOT sensor nodes from Sun Microsystem. Werefer to this adaptive clustering algorithm as extended resource-aware cluster (ERA-cluster).Finally; we report on the outcome of several experiments to evaluate the validity of ourapproach in terms of resource adaptiveness and accuracy of the ERA-cluster. Results …,Computational Intelligence and Data Mining; 2007. CIDM 2007. IEEE Symposium on,2007,53
Cache-aware query routing in a cluster of databases,Uwe Röhm; Klemens Böhm; Hans-Jörg Schek,We investigate query routing techniques in a cluster of databases for a query-dominantenvironment. The objective is to decrease query response time. Each component of thecluster runs an off-the-shelf DBMS and holds a copy of the whole database. The cluster hasa coordinator that routes each query to an appropriate component. Considering queries ofrealistic complexity; eg; TPC-R; this article addresses the following questions: Can routingbenefit from caching effects due to previous queries? Since our components are black-boxes; how can we approximate their cache content? How to route a query; given suchcache approximations? To answer these questions; we have developed a cache-awarequery router that is based on signature approximations of queries. We report onexperimental evaluations with the TPC-R benchmark using our PowerDB database …,Data Engineering; 2001. Proceedings. 17th International Conference on,2001,53
Serializable snapshot isolation for replicated databases in high-update scenarios,Hyungsoo Jung; Hyuck Han; Alan Fekete; Uwe Röhm,ABSTRACT Many proposals for managing replicated data use sites running the SnapshotIsolation (SI) concurrency control mechanism; and provide 1-copy SI or something similar;as the global isolation level. This allows good scalability; since only ww-conflicts need to bemanaged globally. However; 1-copy SI can lead to data corruption and violation of integrityconstraints [5]. 1-copy serializability is the global correctness condition that prevents datacorruption. We propose a new algorithm Replicated Serializable Snapshot Isolation (RSSI)that uses SI at each site; and combines this with a certification algorithm to guarantee 1-copyserializable global execution. Management of ww-conflicts is similar to what is done in 1-copy SI. But unlike previous designs for 1-copy serializable systems; we do not need toprevent all rw-conflicts among concurrent transactions. We formalize this in a theorem that …,Proceedings of the VLDB Endowment,2011,41
Data management for high-throughput genomics,Uwe Röhm; Jose Blakeley,Abstract: Today's sequencing technology allows sequencing an individual genome within afew weeks for a fraction of the costs of the original Human Genome project. Genomics labsare faced with dozens of TB of data per week that have to be automatically processed andmade available to scientists for further analysis. This paper explores the potential and thelimitations of using relational database systems as the data processing platform for high-throughput genomics. In particular; we are interested in the storage management for high-throughput sequence data and in leveraging SQL and user-defined functions for dataanalysis inside a database system. We give an overview of a database design for high-throughput genomics; how we used a SQL Server database in some unconventional ways toprototype this scenario; and we will discuss some initial findings about the scalability and …,CIDR 2009,2009,36
Evaluating the coordination overhead of replica maintenance in a cluster of databases,Klemens Böhm; Torsten Grabs; Uwe Röhm; Hans-Jörg Schek,Abstract We investigate the design of a coordinator for a cluster of databases. We considerthe following alternatives: TP-Heavy using the TUXEDO TP-monitor; TP-Lite with theORACLE8 database system; and a TP-Less coordinator implemented in EmbeddedSQL/C++. In particular; we investigate the scalability of full replication. We assume thatupdate actions on all replica are executed either synchronously or asynchronously. It turnsout that the TP-Less approach outperforms commercial TP-middleware for small clustersizes already. Another observation is that asynchronous updates are the preferred optioncompared to synchronous updates. The conclusion is that a transaction protocol at thesecond layer must be replication-aware.,Euro-Par 2000 Parallel Processing,2000,34
Corona: Energy-efficient multi-query processing in wireless sensor networks,Raymes Khoury; Tim Dawborn; Bulat Gafurov; Glen Pink; Edmund Tse; Quincy Tse; K Almi’Ani; Mohamed Gaber; Uwe Röhm; Bernhard Scholz,Abstract Wireless sensor networks (WSNs) are a core infrastructure for automaticenvironmental monitoring. We developed Corona as an in-network distributed queryprocessor that allows to share a sensor network between several users with a declarativequery language. It includes a novel approach for minimising sensor activations in sharedwireless sensor networks: we introduce the notion of freshness into WSN so that users canask for cached sensor reading with freshness guarantees. We further integrated a resource-awareness framework that allows the query processor to dynamically adapt to changingresource levels. The capabilities of this system are demonstrated with several aggregationqueries for different users with different freshness and result precision needs.,Database Systems for Advanced Applications,2010,32
Hyperdatabases,H-J Schek; Klemens Böhm; Torsten Grabs; Uwe Röhm; Heiko Schuldt; Roger Weber,When relational database systems were introduced twenty years ago (1980); they were aninfrastructure and main platform for application development. With today's informationsystems; the database system is a storage manager; far away from the applications. Ourvision is that hyperdatabases become available that move up and extend databaseconcepts to a higher level; closer to the applications. A hyperdatabase manages distributedobjects and software components as well as workflows; in analogy to a database system thatmanages data and transactions. In short; hyperdatabases; also called" higher orderdatabases"; will provide" higher order data independence"; eg; immunity of applicationsagainst changes in the implementation of components and workload transparency. They willbe the infrastructure for distributed information systems engineering of the future; and they …,Web Information Systems Engineering; 2000. Proceedings of the First International Conference on,2000,32
YCSB+T: Benchmarking web-scale transactional databases,Akon Dey; Alan Fekete; Raghunath Nambiar; Uwe Röhm,Database system benchmarks like TPC-C and TPC-E focus on emulating databaseapplications to compare different DBMS implementations. These benchmarks use carefullyconstructed queries executed within the context of transactions to exercise specific RDBMSfeatures; and measure the throughput achieved. Cloud services benchmark frameworks likeYCSB; on the other hand; are designed for performance evaluation of distributed NoSQL key-value stores; early examples of which did not support transactions; and so the benchmarksuse single operations that are not inside transactions. Recent implementations of web-scaledistributed NoSQL systems like Spanner and Percolator; offer transaction features to cater tonew web-scale applications. This has exposed a gap in standard benchmarks. We identifythe issues that need to be addressed when evaluating transaction support in NoSQL …,Data Engineering Workshops (ICDEW); 2014 IEEE 30th International Conference on,2014,31
The cost of serializability on platforms that use snapshot isolation,Mohammad Alomari; Michael Cahill; Alan Fekete; Uwe Röhm,Several common DBMS engines use the multiversion concurrency control mechanismcalled Snapshot Isolation; even though application programs can experience non-serializable executions when run concurrently on such a platform. Several proposals existfor modifying the application programs; without changing their semantics; so that they arecertain to execute serializably even on an engine that uses SI. We evaluate the performanceimpact of these proposals; and find that some have limited impact (only a few percent drop inthroughput at a given multi-programming level) while others lead to much greater reductionin throughput of up-to 60% in high contention scenarios. We present experimental results forboth an open-source and a commercial engine. We relate these to the theory; givingguidelines on which conflicts to introduce so as to ensure correctness with little impact on …,Data Engineering; 2008. ICDE 2008. IEEE 24th International Conference on,2008,29
A robust technique to ensure serializable executions with snapshot isolation DBMS,Mohammad Alomari; Alan Fekete; U Röhm,Snapshot Isolation (SI) is a popular concurrency control mechanism that has beenimplemented by many commercial and open-source platforms (eg Oracle; Postgre SQL; andMS SQL Server 2005). Unfortunately; SI can result in nonserializable execution; in whichdatabase integrity constraints can be violated. The literature reports some techniques toensure that all executions are serializable when run in an engine that uses SI forconcurrency control. These modify the application by introducing conflicting SQL statements.However; with each of these techniques the DBA has to make a choice among possibletransactions to modify—and as we previously showed; making a bad choice of whichtransactions to modify can come with a hefty performance reduction. In this paper wepropose a novel technique called ELM to introduce conflicts in a separate lock-manager …,Data Engineering; 2009. ICDE'09. IEEE 25th International Conference on,2009,17
Working together in harmony-an implementation of the CORBA object query service and its evaluation,Uwe Röhm; Klemens Böhm,The CORBA standard; together with its service specifications; has gained considerableattention in recent years. The CORBA Object Query Service allows for declarative access toheterogeneous storage systems. We have come up with an implementation of this servicecalled Harmony. The objective of the article is to provide a detailed description andquantitative assessment of Harmony. Its main technical characteristics are data-flowevaluation; bulk transfer and intra-query parallelism. To carry out the evaluation; we haveclassified data exchange between components of applications in several dimensions: one isto distinguish between point-; context-and bulk data access. We have compared Harmonywith:(1) data access through application-specific CORBA objects; and (2) conventionalclient/server communication; ie; Embedded SQL. Our results show that Harmony performs …,Data Engineering; 1999. Proceedings.; 15th International Conference on,1999,17
Scalable transactions across heterogeneous NoSQL key-value data stores,Akon Dey; Alan Fekete; Uwe Röhm,Abstract Many cloud systems provide data stores with limited features; especially they maynot provide transactions; or else restrict transactions to a single item. We propose aapproach that gives multi-item transactions across heterogeneous data stores; using only aminimal set of features from each store such as single item consistency; conditional update;and the ability to include extra metadata within a value. We offer a client-coordinatedtransaction protocol that does not need a central coordinating infrastructure. A prototypeimplementation has been built as a Java library and measured with an extension of YCSBbenchmark to exercise multi-item transactions.,Proceedings of the VLDB Endowment,2013,16
Enabling resource-awareness for in-network data processing in wireless sensor networks,Uwe Röhm; Mohamed Medhat Gaber; Quincy Tse,Abstract The next-generation of wireless sensor platforms allows for more advanced in-network data processing. The central challenge remains energy and communicationefficiency. This paper presents a resource-awareness framework for wireless sensornetworks that allows in-network data processing to adapt to changing resource levels suchas battery power or available memory. We have implemented the proposed framework aspart of a query processing system for the Sun SPOT sensor network platform. As a casestudy; we have applied the framework to the query processor's on-line data clusteringalgorithm; making it resource-aware. In an experimental study; we demonstrate howcommunication costs can be significantly reduced by de-coupling clustering and datacommunication. The results also show the effectiveness of the resource-aware clustering …,Proceedings of the nineteenth conference on Australasian database-Volume 75,2008,16
User Awareness and Policy Compliance of Data Privacy in Cloud Computing,Audrey Mei Yi Quah; Uwe Röhm,Abstract Cloud computing is promising many technical benefits such as enhancedscalability; computing elasticity; and cost efficiency. However; with the benefits of cloud-based; hosted software platforms also comes the responsibility to data privacy. This paperinvestigates the data privacy issues brought about by cloud computing from an Australianperspective with specific focus on two aspects: How does cloud computing affectorganisations' compliance to Australian privacy and data protection regulations? And towhat extent are end-users aware of how cloud computing technologies affect their privacy?We present the results of an online survey among cloud computing users and contrast thesewith the technological possibilities and the cloud provider positions. According to this survey;almost half of the end-users were unaware that they are in fact using one or more cloud …,First Australasian Web Conference (AWC 2013),2013,10
Serializable executions with snapshot isolation: Modifying application code or mixing isolation levels?,Mohammad Alomari; Michael Cahill; Alan Fekete; Uwe Röhm,Abstract Snapshot Isolation concurrency control (SI) allows substantial performance gainscompared to holding commit-duration readlocks; while still avoiding many anomalies suchas lost updates or inconsistent reads. However; for some sets of application programs; SIcan result in non-serializable execution; in which database integrity constraints can beviolated. The literature reports two different approaches to ensuring all executions areserializable while still using SI for concurrency control. In one approach; the applicationprograms are modified (without changing their stand-alone semantics) by introducing extraconflicts. In the other approach; the application programs are not changed; but a smallsubset of them must be run using standard two-phase locking rather than SI. We comparethe performance impact of these two approaches. Our conclusion is that the convenience …,Database Systems for Advanced Applications,2008,10
How to BLAST your database—a study of stored procedures for BLAST searches,Uwe Röhm; Thanh-Mai Diep,Abstract Stored procedures are an important feature of all major database systems thatallows to execute application logic within database servers. This paper reports onexperiences to implement a popular scientific algorithm; the Basic Local Alignment SearchTool (BLAST); as stored procedures within a relational database. We implemented the un-gapped; nucleotide version of the BLAST algorithm with four different relational databaseengines; both commercial and open source. In an experimental evaluation; we comparedour dbBLAST implementations with a standard file-based BLAST implementation from NCBIwith regard to the implementation effort; runtime performance; and scalability. It shows thatalthough our dbBLAST runs faster than the file-based BLAST program for short querysequences; all implementations lack scalability. However; the results also indicate that …,Database Systems for Advanced Applications,2006,10
The Efficacy of Commutativity-Based Semantic Locking in a Real-World Application,Paul Wu; Alan Fekete; Uwe Röhm,While the dominant approach to persistent storage in practice is to use a relational DBMS;there are some specialist applications that rely on object stores. The performance of theseapplications depends on the efficiency of the object store's concurrency control mechanism.Today's predominant concurrency control mechanism is strict two-phase object locking. Inthe 1980s; an interesting alternative was developed: commutativity-based semantic locking.In theory; it can outperform traditional locking schemes in certain scenarios with appropriatecommutativity potential. In this paper; we study the real-world performance of differentlocking strategies in a particular industrial application from the telecommunications sector.We compare object-based locking and commutativity-based semantic locking. We foundthat; in this application; semantic locking performs equally to; but no better than; object …,Knowledge and Data Engineering; IEEE Transactions on,2008,9
