The MADlib analytics library: or MAD skills; the SQL,Joseph M Hellerstein; Christoper Ré; Florian Schoppmann; Daisy Zhe Wang; Eugene Fratkin; Aleksander Gorajek; Kee Siong Ng; Caleb Welton; Xixuan Feng; Kun Li; Arun Kumar,Abstract MADlib is a free; open-source library of in-database analytic methods. It provides anevolving suite of SQL-based algorithms for machine learning; data mining and statistics thatrun at scale within a database engine; with no need for data import/export to other tools. Thegoal is for MADlib to eventually serve a role for scalable database systems that is similar tothe CRAN library for R: a community repository of statistical methods; this time written withscale and parallelism in mind. In this paper we introduce the MADlib project; including thebackground that led to its beginnings; and the motivation for its open-source nature. Weprovide an overview of the library's architecture and design patterns; and provide adescription of various statistical methods in that context. We include performance andspeedup results of a core design pattern from one of those methods over the Greenplum …,Proceedings of the VLDB Endowment,2012,235
Towards a unified architecture for in-RDBMS analytics,Xixuan Feng; Arun Kumar; Benjamin Recht; Christopher Ré,Abstract The increasing use of statistical data analysis in enterprise applications has createdan arms race among database vendors to offer ever more sophisticated in-databaseanalytics. One challenge in this race is that each new statistical technique must beimplemented from scratch in the RDBMS; which leads to a lengthy and complexdevelopment process. We argue that the root cause for this overhead is the lack of a unifiedarchitecture for in-database analytics. Our main contribution in this work is to take a steptowards such a unified architecture. A key benefit of our unified architecture is thatperformance optimizations for analytics techniques can be studied generically instead of anad hoc; per-technique fashion. In particular; our technical contributions are theoretical andempirical studies of two key factors that we found impact performance: the order data is …,SIGMOD 2012,2012,114
Materialization optimizations for feature selection workloads,Ce Zhang; Arun Kumar; Christopher Ré,Abstract There is an arms race in the data management industry to support statisticalanalytics. Feature selection; the process of selecting a feature set that will be used to build astatistical model; is widely regarded as the most critical step of statistical analytics. Thus; weargue that managing the feature selection process is a pressing data managementchallenge. We study this challenge by describing a feature selection language and asupporting prototype system that builds on top of current industrial R-integration layers. Fromour interactions with analysts; we learned that feature selection is an interactive human-in-the-loop process; which means that feature selection workloads are rife with reuseopportunities. Thus; we study how to materialize portions of this computation using not onlyclassical database materialization optimizations but also methods that have not …,SIGMOD 2014,2014,69
Hazy: Making it easier to build and maintain big-data analytics,Arun Kumar; Feng Niu; Christopher Ré,The challenges are also tremendous. For one; more and more data comes in diverse forms:text; audio; video; OCR (optical character recognition); sensor data; etc. While existing data managementsystems predominantly assume that data has rigid; precise semantics; increasingly more data(albeit valuable) contains imprecision or inconsistency. For another; the proliferation ofever-evolving algorithms to gain insights from data (under names including machinelearning; data mining; and statistical analysis) can often be daunting to a developer with a particulardata set and specific goals: the developer not only has to keep up with the state of the art; butalso must expend significant development effort in experimenting with different algorithms …Many state-of-the-art approaches to both of these challenges are largely statistical and combinerich databases with software driven by statistical analysis and machine learning …,Communications of the ACM,2013,68
Brainwash: A Data System for Feature Engineering.,Michael Anderson; Dolan Antenucci; Victor Bittorf; Matthew Burgess; Michael J Cafarella; Arun Kumar; Feng Niu; Yongjoo Park; Christopher Ré; Ce Zhang,ABSTRACT A new generation of data processing systems; including web search; Google'sKnowledge Graph; IBM's Watson; and several different recommendation systems; combinerich databases with software driven by machine learning. The spectacular successes ofthese trained systems have been among the most notable in all of computing and havegenerated excitement in health care; finance; energy; and general business. But buildingthem can be challenging; even for computer scientists with PhD-level training. If thesesystems are to have a truly broad impact; building them must become easier. We exploreone crucial pain point in the construction of trained systems: feature engineering. Given thesheer size of modern datasets; feature developers must (1) write code with few effectiveclues about how their code will interact with the data and (2) repeatedly endure long …,CIDR 2013,2013,67
Learning Generalized Linear Models Over Normalized Data,Arun Kumar; Jeffrey Naughton; Jignesh M Patel,Abstract Enterprise data analytics is a booming area in the data management industry. Manycompanies are racing to develop toolkits that closely integrate statistical and machinelearning techniques with data management systems. Almost all such toolkits assume that theinput to a learning algorithm is a single table. However; most relational datasets are notstored as single tables due to normalization. Thus; analysts often perform key-foreign keyjoins before learning on the join output. This strategy of learning after joins introducesredundancy avoided by normalization; which could lead to poorer end-to-end performanceand maintenance overheads due to data duplication. In this work; we take a step towardsenabling and optimizing learning over joins for a common class of machine learningtechniques called generalized linear models that are solved using gradient descent …,SIGMOD 2015,2015,46
Energy-efficient mobile data collection in wireless sensor networks with delay reduction using wireless communication,Arun K Kumar; Krishna M Sivalingam,In a Wireless Sensor Network (WSN); battery power is a limited resource on the sensornodes. Hence; the amount of power consumption by the nodes determines the node andnetwork lifetime. This in turn has an impact on the connectivity and coverage of the network.One way to reduce power consumed is to use a special Mobile Data Collector (MDC) fordata gathering; instead of multi-hop data transmission to the sink. The MDC collects the datafrom the nodes and transfers it to the sink. Various kinds of MDC approaches have beenexplored for different assumptions and constraints. But in all the models proposed; the datalatency is usually high; due to the slow speed of the mobile nodes. In this paper; we proposea new model of mobile data collection that reduces the data latency significantly. Using acombination of a new touring strategy based on clustering and a data collection …,Communication Systems and Networks (COMSNETS); 2010 Second International Conference on,2010,39
Model Selection Management Systems: The Next Frontier of Advanced Analytics,Arun Kumar; Robert McCann; Jeffrey Naughton; Jignesh M. Patel,Abstract John Boyd recognized in the 1960's the importance of situation awareness formilitary operations and introduced the notion of the OODA loop (Observe; Orient; Decide;and Act). Today we realize that many applications have to deal with situation awareness:Customer Relationship Management; Human Capital Management; Supply ChainManagement; patient care; power grid management; and cloud services management; aswell as any IoT (Internet of Things) related application; the list seems to be endless. Situationawareness requires applications to support the management of data; knowledge; processes;and other services such as social networking in an integrated way. These applicationsadditionally require high personalization as well as rapid and continuous evolution. Theymust provide a wide variety of operational and functional requirements; including real …,SIGMOD Record,2015,30
On reducing delay in mobile data collection based wireless sensor networks,Arun K Kumar; Krishna M Sivalingam; Adithya Kumar,Abstract In a wireless sensor network; battery power is a limited resource on the sensornodes. Hence; the amount of power consumption by the nodes determines the node andnetwork lifetime. This in turn has an impact on the connectivity and coverage of the network.One way to reduce power consumed is to use a special mobile data collector (MDC) for datagathering; instead of multi-hop data transmission to the sink. The MDC collects the data fromthe nodes and transfers it to the sink. Various kinds of MDC approaches have been exploredfor different assumptions and constraints. But in all the models proposed; the data latency isusually high; due to the slow speed of the mobile nodes. In this paper; we propose a newmodel of mobile data collection that reduces the data latency significantly. Using acombination of a new touring strategy based on clustering and a data collection …,Wireless networks,2013,28
To Join or Not to Join? Thinking Twice about Joins before Feature Selection,Arun Kumar; Jeffrey Naughton; Jignesh M. Patel; Xiaojin Zhu,Abstract Closer integration of machine learning (ML) with data processing is a booming areain both the data management industry and academia. Almost all ML toolkits assume that theinput is a single table; but many datasets are not stored as single tables due tonormalization. Thus; analysts often perform key-foreign key joins to obtain features from allbase tables and apply a feature selection method; either explicitly or implicitly; with the aimof improving accuracy. In this work; we show that the features brought in by such joins canoften be ignored without affecting ML accuracy significantly; ie; we can" avoid joins safely."We identify the core technical issue that could cause accuracy to decrease in some casesand analyze this issue theoretically. Using simulations; we validate our analysis andmeasure the effects of various properties of normalized data on accuracy. We apply our …,SIGMOD 2016,2016,21
