Practical data-oriented microaggregation for statistical disclosure control,Josep Domingo-Ferrer; Josep Maria  Mateo-Sanz,Microaggregation is a statistical disclosure control technique for microdata disseminated instatistical databases. Raw microdata (ie; individual records or data vectors) are grouped intosmall aggregates prior to publication. Each aggregate should contain at least k data vectorsto prevent disclosure of individual information; where k is a constant value preset by the dataprotector. No exact polynomial algorithms are known to date to microaggregate optimally; ie;with minimal variability loss. Methods in the literature rank data and partition them intogroups of fixed-size; in the multivariate case; ranking is performed by projecting data vectorsonto a single axis. In this paper; candidate optimal solutions to the multivariate andunivariate microaggregation problems are characterized. In the univariate case; twoheuristics based on hierarchical clustering and genetic algorithms are introduced which …,IEEE Transactions on Knowledge and data Engineering,2002,575
Ordinal; continuous and heterogeneous k-anonymity through microaggregation,Josep Domingo-Ferrer; Vicenç Torra,Abstract k-Anonymity is a useful concept to solve the tension between data utility andrespondent privacy in individual data (microdata) protection. However; the generalizationand suppression approach proposed in the literature to achieve k-anonymity is not equallysuited for all types of attributes:(i) generalization/suppression is one of the few possibilitiesfor nominal categorical attributes;(ii) it is just one possibility for ordinal categorical attributeswhich does not always preserve ordinality;(iii) and it is completely unsuitable for continuousattributes; as it causes them to lose their numerical meaning. Since attributes leading todisclosure (and thus needing k-anonymization) may be nominal; ordinal and alsocontinuous; it is important to devise k-anonymization procedures which preserve thesemantics of each attribute type as much as possible. We propose in this paper to use …,Data Mining and Knowledge Discovery,2005,382
Efficient remote data possession checking in critical information infrastructures,Francesc Sebé; Josep Domingo-Ferrer; Antoni Martinez-Balleste; Yves Deswarte; Jean-Jacques Quisquater,Checking data possession in networked information systems such as those related to criticalinfrastructures (power facilities; airports; data vaults; defense systems; etc.) is a matter ofcrucial importance. Remote data possession checking protocols permit to check that aremote server can access an uncorrupted file in such a way that the verifier does not need toknow beforehand the entire file that is being verified. Unfortunately; current protocols onlyallow a limited number of successive verifications or are impractical from the computationalpoint of view. In this paper; we present a new remote data possession checking protocolsuch that: 1) it allows an unlimited number of file integrity verifications; 2) its maximumrunning time can be chosen at set-up time and traded off against storage at the verifier.,IEEE Transactions on Knowledge and Data Engineering,2008,327
A quantitative comparison of disclosure control methods for microdata,Josep Domingo-Ferrer; Vicenc Torra,As described in Chapter 5; there is a plethora of statistical disclosure control (SDC) methodsto protect microdata. This chapter provides guidance in choosing a particular SDC methodby comparing some of the methods discussed in Chapter 5 on the basis of both informationloss and disclosure risk. Information loss can be readily quantified using analyticalmeasures (either generic or data-use-specific). It is far more difficult to assess disclosure riskin a way that is both analytical and applicable to all methods. For this reason; our approachto disclosure risk evaluation is empirical; based on reidentification experiments carried outusing record-linkage algorithms.,Confidentiality; disclosure and data access: theory and practical applications for statistical agencies,2001,314
A provably secure additive and multiplicative privacy homomorphism,Josep Domingo-Ferrer,Abstract Privacy homomorphisms (PHs) are encryption transformations mapping a set ofoperations on cleartext to another set of operations on ciphertext. If addition is one of theciphertext operations; then it has been shown that a PH is insecure against a chosen-cleartext attack. Thus; a PH allowing full arithmetic on encrypted data can be at best secureagainst known-cleartext attacks. We present one such PH (none was known so far) whichcan be proven secure against known-cleartext attacks; as long as the ciphertext space ismuch larger than the cleartext space. Some applications to delegation of sensitivecomputing and data and to e-gambling are briefly outlined.,International Conference on Information Security,2002,312
Statistical disclosure control,Anco Hundepool; Josep Domingo-Ferrer; Luisa Franconi; Sarah Giessing; Eric Schulte Nordholt; Keith Spicer; Peter-Paul De Wolf,A reference to answer all your statistical confidentiality questions. This handbook providestechnical guidance on statistical disclosure control and on how to approach the problem ofbalancing the need to provide users with statistical outputs and the need to protect theconfidentiality of respondents. Statistical disclosure control is combined with other tools suchas administrative; legal and IT in order to define a proper data dissemination strategy basedon a risk management approach. The key concepts of statistical disclosure control arepresented; along with the methodology and software that can be used to apply variousmethods of statistical disclosure control. Numerous examples and guidelines are alsofeatured to illustrate the topics covered. Statistical Disclosure Control: Presents acombination of both theoretical and practical solutions Introduces all the key concepts …,*,2012,257
Disclosure control methods and information loss for microdata,Josep Domingo-Ferrer; Vicenc Torra,Statistical disclosure control (SDC) seeks to modify statistical data so that they can bepublished without giving away confidential information that can be linked to specificrespondents. The challenge for SDC is to achieve this modification with minimum loss of thedetail and accuracy sought by database users. SDC methods for microdata are usuallyknown as masking methods; of which there is a wide range. From the point of view of theiroperational principles; current masking methods fall into the following two categories(Willenborg and De Waal 2001):• Perturbative. The microdata set is distorted beforepublication. In this way; unique combinations of scores in the original dataset may disappearand new unique combinations may appear in the perturbed dataset; such confusion isbeneficial for preserving statistical confidentiality. The perturbation method used should …,Confidentiality; disclosure; and data access: theory and practical applications for statistical agencies,2001,218
A new privacy homomorphism and applications,Josep Domingo i Ferrer,Abstract An additive and multiplicative privacy homomorphism is an encryption functionmapping addition and multiplication of cleartext data into two operations on encrypted data.One such privacy homomorphism is introduced which has the novel property of seemingsecure against a known-cleartext attack. An application to multilevel statistical computationis presented; namely classified retrieval of exact statistics from unclassified computation ondisclosure-protected (perturbed) data.,Information Processing Letters,1996,212
A scalable robust authentication protocol for secure vehicular communications,Lei Zhang; Qianhong Wu; Agusti Solanas; Josep Domingo-Ferrer,Existing authentication protocols to secure vehicular ad hoc networks (VANETs) raisechallenges such as certificate distribution and revocation; avoidance of computation andcommunication bottlenecks; and reduction of the strong reliance on tamper-proof devices.This paper efficiently copes with these challenges with a decentralized group-authenticationprotocol in the sense that the group is maintained by each roadside unit (RSU) rather thanby a centralized authority; as in most existing protocols that are employing group signatures.In our proposal; we employ each RSU to maintain and manage an on-the-fly group within itscommunication range. Vehicles entering the group can anonymously broadcast vehicle-to-vehicle (V2V) messages; which can be instantly verified by the vehicles in the same group(and neighboring groups). Later; if the message is found to be false; a third party can be …,IEEE Transactions on vehicular Technology,2010,207
On the complexity of optimal microaggregation for statistical disclosure control,Anna Oganian; Josep Domingo-Ferrer,Abstract Statistical disclosure control (SDC); also termed inference control two decades ago;is an integral part of data security dealing with the protection of statistical data. The basicproblem in SDC is to release data in a way that does not lead to disclosure of individualinformation (high security) but preserves the informational content as much as possible (lowinformation loss). SDC is dual with data mining in the sense that progress of data miningtechniques forces official statistics to continuously improve SDC techniques: the morepowerful the inferences that can be made on a released data set; the more protection isneeded so that no inference jeopardizes the privacy of individual respondents' data. Thispaper deals with the computational complexity of optimal microaggregation; where optimalmeans yielding minimal information loss for a fixed security level. More specifically; we …,Statistical Journal of the United Nations Economic Commission for Europe,2001,202
µ -Argus User’s Manual versions 4.1 (2007); 4.0 (2005) and 3.2 (2003),A Hundepool; A Van de Wetering; R Ramaswamy; F Franconi; S Polettini; A Capobianchi; PP De Wolf; J Domingo-Ferrer; V Torra; R Brand; S Giessing,*,Statistics Netherlands; Voorburg NL,2007,190
