Managing trust in a peer-2-peer information system,Karl Aberer; Zoran Despotovic,Abstract Managing trust is a problem of particular importance in peer-to-peer environmentswhere one frequently encounters unknown agents. Existing methods for trust management;that are based on reputation; focus on the semantic properties of the trust model. They donot scale as they either rely on a central database or require to maintain global knowledgeat each agent to provide data on earlier interactions. In this paper we present an approachthat addresses the problem of reputation-based trust management at both the datamanagement and the semantic level. We employ at both levels scalable data structures andalgorithms that require no central control and allow to assess trust by computing an agentsreputation from its former interactions with other agents. Thus the meethod can beimplemented in a peer-to-peer environment and scales well for very large numbers of …,Proceedings of the tenth international conference on Information and knowledge management,2001,1377
P-Grid: A self-organizing access structure for P2P information systems,Karl Aberer,Abstract Peer-To-Peer systems are driving a major paradigm shift in the era of genuinelydistributed computing. Gnutella is a good example of a Peer-To-Peer success story: a rathersimple software enables Internet users to freely exchange files; such as MP3 music files. Butit shows up also some of the limitations of current P2P information systems with respect totheir ability to manage data efficiently. In this paper we introduce P-Grid; a scalable accessstructure that is specifically designed for Peer-To-Peer information systems. P-Grids areconstructed and maintained by using randomized algorithms strictly based on localinteractions; provide reliable data access even with unreliable peers; and scale gracefullyboth in storage and communication cost.,International Conference on Cooperative Information Systems,2001,672
P-Grid: a self-organizing structured P2P system,Karl Aberer; Philippe Cudré-Mauroux; Anwitaman Datta; Zoran Despotovic; Manfred Hauswirth; Magdalena Punceva; Roman Schmidt,In the P2P community a fundamental distinction is made among unstructured and structuredP2P systems for resource location. In unstructured P2P systems in principle peers areunaware of the resources that neighboring peers in the overlay networks maintain. Typicallythey resolve search requests by flooding techniques. Gnutella [9] is the most prominentexample of this class. In contrast; in structured P2P systems peers maintain informationabout what resources neighboring peers offer. Thus queries can be directed and inconsequence substantially fewer messages are needed. This comes at the cost of increasedmaintenance efforts during changes in the overlay network as a result of peers joining orleaving. The most prominent class of approaches to structured P2P systems are distributedhash tables (DHT); for example Chord [17]. Unstructured P2P systems have generated …,ACM SIGMOD Record,2003,532
CrossFlow: Cross-organizational workflow management in dynamic virtual enterprises,Paul Grefen; Karl Aberer; Yigal Hoffner; Heiko Ludwig,Nowadays; many organizations form dynamic partnerships to effectively deal with marketrequirements. Companies focus on their core business and outsource secondary activities toother organizations. Growing complexity of products requires co-makership relationsbetween organizations. Value chains require a tight cooperation between companiesparticipating in these chains. As a result; the creation of virtual organizations has become amajor issue. To enable their operation; the information processing infrastructures of theparticipating organizations need to be linked. In the context of the close cooperationbetween companies; automated support for processes crossing organizational boundariesis an essential element [27]. The advent of business-to-business electronic commerce addsa dynamic dimension to this: virtual enterprises are formed and dismantled dynamically in …,Computer Systems Science & Engineering,2000,461
Infrastructure for data processing in large-scale interconnected sensor networks,Karl Aberer; Manfred Hauswirth; Ali Salehi,With the price of wireless sensor technologies diminishing rapidly we can expect largenumbers of autonomous sensor networks being deployed in the near future. These sensornetworks will typically not remain isolated but the need of interconnecting them on thenetwork level to enable integrated data processing will arise; thus realizing the vision of aglobal" sensor Internet." This requires a flexible middleware layer which abstracts from theunderlying; heterogeneous sensor network technologies and supports fast and simpledeployment and addition of new platforms; facilitates efficient distributed query processingand combination of sensor data; provides support for sensor mobility; and enables thedynamic adaption of the system configuration during runtime with minimal (zero-programming) effort. This paper describes the global sensor networks (GSN) middleware …,Mobile Data Management; 2007 International Conference on,2007,391
QoS-based service selection and ranking with trust and reputation management,Le-Hung Vu; Manfred Hauswirth; Karl Aberer,Abstract QoS-based service selection mechanisms will play an essential role in service-oriented architectures; as e-Business applications want to use services that most accuratelymeet their requirements. Standard approaches in this field typically are based on theprediction of services' performance from the quality advertised by providers as well as fromfeedback of users on the actual levels of QoS delivered to them. The key issue in this settingis to detect and deal with false ratings by dishonest providers and users; which has onlyreceived limited attention so far. In this paper; we present a new QoS-based semantic webservice selection and ranking solution with the application of a trust and reputationmanagement method to address this problem. We will give a formal description of ourapproach and validate it with experiments which demonstrate that our solution yields high …,OTM Confederated International Conferences" On the Move to Meaningful Internet Systems",2005,348
A middleware for fast and flexible sensor network deployment,Karl Aberer; Manfred Hauswirth; Ali Salehi,Abstract A key problem in current sensor network technology is the heterogeneity of theavailable software and hardware platforms which makes deployment and applicationdevelopment a tedious and time consuming task. To minimize the unnecessary andrepetitive implementation of identical functionalities for different platforms; we present ourGlobal Sensor Networks (GSN) middleware which supports the flexible integration anddiscovery of sensor networks and sensor data; enables fast deployment and addition of newplatforms; provides distributed querying; filtering; and combination of sensor data; andsupports the dynamic adaption of the system configuration during operation. GSN's centralconcept is the virtual sensor abstraction which enables the user to declaratively specify XML-based deployment descriptors in combination with the possibility to integrate sensor …,Proceedings of the 32nd international conference on Very large data bases,2006,311
Improving data access in p2p systems,Karl Aberer; Magdalena Punceva; Manfred Hauswirth; Roman Schmidt,The authors present Gridella; a Gnutella-compatible P2P system. Gridella is based on thePeer-Grid (P-Grid) approach; which draws on research in distributed and cooperativeinformation systems to provide a decentralized; scalable data access structure. Gridellaimproves the highly chaotic and inefficient Gnutella infrastructure with directed search andadvanced concepts; thus enhancing efficiency and providing a model for further analysisand research.,IEEE Internet Computing,2002,292
Gridvine: Building internet-scale semantic overlay networks,Karl Aberer; Philippe Cudré-Mauroux; Manfred Hauswirth; Tim Van Pelt,Abstract This paper addresses the problem of building scalable semantic overlay networks.Our approach follows the principle of data independence by separating a logical layer; thesemantic overlay for managing and mapping data and metadata schemas; from a physicallayer consisting of a structured peer-to-peer overlay network for efficient routing ofmessages. The physical layer is used to implement various functions at the logical layer;including attribute-based search; schema management and schema mapping management.The separation of a physical from a logical layer allows us to process logical operations inthe semantic overlay using different physical execution strategies. In particular we identifyiterative and recursive strategies for the traversal of semantic overlay networks as twoimportant alternatives. At the logical layer we support semantic interoperability through …,International semantic web conference,2004,291
Outtweeting the twitterers-predicting information cascades in microblogs.,Wojciech Galuba; Karl Aberer; Dipanjan Chakraborty; Zoran Despotovic; Wolfgang Kellerer,Abstract Microblogging sites are a unique and dynamic Web 2.0 communication medium.Understanding the information flow in these systems can not only provide better insights intothe underlying sociology; but is also crucial for applications such as content ranking;recommendation and filtering; spam detection and viral marketing. In this paper; wecharacterize the propagation of URLs in the social network of Twitter; a popularmicroblogging site. We track 15 million URLs exchanged among 2.7 million users over a300 hour period. Data analysis uncovers several statistical regularities in the user activity;the social graph; the structure of the URL cascades and the communication dynamics.,WOSN,2010,272
Updates in highly unreliable; replicated peer-to-peer systems,Anwitaman Datta; Manfred Hauswirth; Karl Aberer,This paper studies the problem of updates in decentralised and self-organising P2P systemsin which peers have low online probabilities and only local knowledge. The update strategywe propose for this environment is based on a hybrid push/pull rumor spreading algorithmand provides a fully decentralised; efficient and robust communication scheme which offersprobabilistic guarantees rather than ensuring strict consistency. We describe a genericanalytical model to investigate the utility of our hybrid update propagation scheme from theperspective of communication overhead.,Distributed Computing Systems; 2003. Proceedings. 23rd International Conference on,2003,259
The chatty web: emergent semantics through gossiping,Karl Aberer; Philippe Cudré-Mauroux; Manfred Hauswirth,Abstract This paper describes a novel approach for obtaining semantic interoperabilityamong data sources in a bottom-up; semi-automatic manner without relying on pre-existing;global semantic models. We assume that large amounts of data exist that have beenorganized and annotated according to local schemas. Seeing semantics as a form ofagreement; our approach enables the participating data sources to incrementally developglobal agreement in an evolutionary and completely decentralized process that solely relieson pair-wise; local interactions: Participants provide translations between schemas they areinterested in and can learn about other translations by routing queries (gossiping). Tosupport the participants in assessing the semantic quality of the achieved agreements wedevelop a formal framework that takes into account both syntactic and semantic criteria …,Proceedings of the 12th international conference on World Wide Web,2003,232
Jedi: Extracting and synthesizing information from the web,Gerald Huck; Peter Frankhauser; Karl Aberer; Erich Neuhold,Jedi (Java based Extraction and Dissemination of Information) is a lightweight tool for thecreation of wrappers and mediators to extract; combine; and reconcile information fromseveral independent information sources. For wrappers it uses attributed grammars; whichare evaluated with a fault-tolerant parsing strategy to cope with ambiguous grammars andirregular sources. For mediation it uses a simple generic object-model that can be extendedwith Java-libraries for specific models such as HTML; XML or the relational model. Thispaper describes the architecture of Jedi; and then focuses on Jedi's wrapper generator.,Cooperative Information Systems; 1998. Proceedings. 3rd IFCIS International Conference on,1998,218
Energy-efficient continuous activity recognition on mobile phones: An activity-adaptive approach,Zhixian Yan; Vigneshwaran Subbaraju; Dipanjan Chakraborty; Archan Misra; Karl Aberer,Power consumption on mobile phones is a painful obstacle towards adoption of continuoussensing driven applications; eg; continuously inferring individual's locomotive activities(such as' sit';'stand'or'walk') using the embedded accelerometer sensor. To reduce theenergy overhead of such continuous activity sensing; we first investigate how the choice ofaccelerometer sampling frequency & classification features affects; separately for eachactivity; the" energy overhead" vs." classification accuracy" tradeoff. We find that suchtradeoff is activity specific. Based on this finding; we introduce an activity-sensitive strategy(dubbed" A3R"-Adaptive Accelerometer-based Activity Recognition) for continuous activityrecognition; where the choice of both the accelerometer sampling frequency and theclassification features are adapted in real-time; as an individual performs daily lifestyle …,Wearable Computers (ISWC); 2012 16th International Symposium on,2012,201
The essence of P2P: A reference architecture for overlay networks,Karl Aberer; Luc Onana Alima; Ali Ghodsi; Sarunas Girdzijauskas; Seif Haridi; Manfred Hauswirth,The success of the P2P idea has created a huge diversity of approaches; among whichoverlay networks; for example; Gnutella; Kazaa; Chord; Pastry; Tapestry; P-Grid; or DKS;have received specific attention from both developers and researchers. A wide variety ofalgorithms; data structures; and architectures have been proposed. The terminologies andabstractions used; however; have become quite inconsistent since the P2P paradigm hasattracted people from many different communities; eg; networking; databases; distributedsystems; graph theory; complexity theory; biology; etc. In this paper we propose a referencemodel for overlay networks which is capable of modeling different approaches in thisdomain in a generic manner. It is intended to allow researchers and users to assess theproperties of concrete systems; to establish a common vocabulary for scientific discussion …,Peer-to-Peer Computing; 2005. P2P 2005. Fifth IEEE International Conference on,2005,178
Autonomous gossiping: A self-organizing epidemic algorithm for selective information dissemination in wireless mobile ad-hoc networks,Anwitaman Datta; Silvia Quarteroni; Karl Aberer,Abstract We introduce autonomous gossiping (A/G); a new genre epidemic algorithm forselective dissemination of information in contrast to previous usage of epidemic algorithmswhich flood the whole network. A/G is a paradigm which suits well in a mobile ad-hocnetworking (MANET) environment because it does not require any infrastructure ormiddleware like multicast tree and (un) subscription maintenance for publish/subscribe; butuses ecological and economic principles in a self-organizing manner in order to achieve anyarbitrary selectivity (flexible casting). The trade-off of using a stateless self-organizingmechanism like A/G is that it does not guarantee completeness deterministically as is one ofthe original objectives of alternate selective dissemination schemes like publish/subscribe.We argue that such incompleteness is not a problem in many non-critical real-life civilian …,*,2004,174
SeMiTri: a framework for semantic annotation of heterogeneous trajectories,Zhixian Yan; Dipanjan Chakraborty; Christine Parent; Stefano Spaccapietra; Karl Aberer,Abstract GPS devices allow recording the movement track of the moving object they areattached to. This data typically consists of a stream of spatio-temporal (x; y; t) points. Forapplication purposes the stream is transformed into finite subsequences called trajectories.Existing knowledge extraction algorithms defined for trajectories mainly assume a specificcontext (eg vehicle movements) or analyze specific parts of a trajectory (eg stops); inassociation with data from chosen geographic sources (eg points-of-interest; road networks).We investigate a more comprehensive semantic annotation framework that allows enrichingtrajectories with any kind of semantic data provided by multiple 3rd party sources. This paperpresents SeMiTri-the framework that enables annotating trajectories for any kind of movingobjects. Doing so; the application can benefit from a" semantic trajectory" representation …,Proceedings of the 14th international conference on extending database technology,2011,169
An Overview of Peer-to-Peer Information Systems.,Karl Aberer; Manfred Hauswirth,Abstract The limitations of client/server systems become evident in an Internetscaledistributed environment. P2P systems offer an alternative to traditional client/server systems:Every node acts both as a client and a server and “pays” its participation by providing accessto its computing resources. Systems such as Napster and Gnutella have proven theirpractical applicability. In this article we briefly introduce the key concepts and properties ofthe P2P paradigm and overview commercial systems and research approaches.,WDAS,2002,166
