Evaluating window joins over unbounded streams,Jaewoo Kang; Jeffrey F Naughton; Stratis D Viglas,We investigate algorithms for evaluating sliding window joins over pairs of unboundedstreams. We introduce a unit-time-basis cost model to analyze the expected performance ofthese algorithms. Using this cost model; we propose strategies for maximizing the efficiencyof processing joins in three scenarios. First; we consider the case where one stream is muchfaster than the other. We show that asymmetric combinations of join algorithms;(eg; hashjoin on one input; nested-loops join on the other) can outperform symmetric join algorithmimplementations. Second; we investigate the case where system resources are insufficientto keep up with the input streams. We show that we can maximize the number of join resulttuples produced in this case by properly allocating computing resources across the two inputstreams. Finally; we investigate strategies for maximizing the number of result tuples …,Data Engineering; 2003. Proceedings. 19th International Conference on,2003,485
Catching the boat with Strudel: Experiences with a web-site management system,Mary Fernandez; Daniela Florescu; Jaewoo Kang; Alon Levy; Dan Suciu,Abstract The Strudel system applies concepts from database management systems to theprocess of building Web sites. Strudel's key idea is separating the management of the site'sdata; the creation and management of the site's structure; and the visual presentation of thesite's pages. First; the site builder creates a uniform model of all data available at the site.Second; the builder uses this model to declaratively define the Web site's structure byapplying a “site-definition query” to the underlying data. The result of evaluating this query isa “site graph”; which represents both the site's content and structure. Third; the builderspecifies the visual presentation of pages in Strudel's HTML-template language. The datamodel underlying Strudel is a semi-structured model of labeled directed graphs. Wedescribe Strudel's key characteristics; report on our experiences using Strudel; and …,ACM SIGMOD Record,1998,442
On schema matching with opaque column names and data values,Jaewoo Kang; Jeffrey F Naughton,Abstract Most previous solutions to the schema matching problem rely in some fashion uponidentifying" similar" column names in the schemas to be matched; or by recognizingcommon domains in the data stored in the schemas. While each of these approaches isvaluable in many cases; they are not infallible; and there exist instances of the schemamatching problem for which they do not even apply. Such problem instances typically arisewhen the column names in the schemas and the data in the columns are" opaque" or verydifficult to interpret. In this paper we propose a two-step technique that works even in thepresence of opaque column names and data values. In the first step; we measure the pair-wise attribute correlations in the tables to be matched and construct a dependency graphusing mutual information as a measure of the dependency between attributes. In the …,Proceedings of the 2003 ACM SIGMOD international conference on Management of data,2003,272
Reviews of evidence regarding interventions to reduce tobacco use and exposure to environmental tobacco smoke1,David P Hopkins; Peter A Briss; Connie J Ricard; Corinne G Husten; Vilma G Carande-Kulis; Jonathan E Fielding; Mary O Alao; Jeffrey W McKenna; Donald J Sharp; Jeffrey R Harris; Trevor A Woollery; Kate W Harris,Abstract Overview: This report presents the results of systematic reviews of effectiveness;applicability; other effects; economic evaluations; and barriers to use of selected population-based interventions intended to reduce tobacco use and exposure to environmental tobaccosmoke. The related systematic reviews are linked by a common conceptual approach. Thesereviews form the basis of recommendations by the Task Force on Community PreventiveServices (TFCPS) regarding the use of these selected interventions. The TFCPSrecommendations are presented on page 67 of this supplement.,American journal of preventive medicine,2001,265
The Niagara internet query system,Jeffrey F.  Naughton; David J.  DeWitt; David Maier; Ashraf Aboulnaga; Jianjun Chen; Leonidas Galanis; Jaewoo Kang; Rajasekar Krishnamurthy; Qiong Luo; Naveen Prakash; Ravishankar Ramamurthy; Jayavel Shanmugasundaram; Feng Tian; Kristin Tufte; Stratis Viglas; Yuan Wang; Chun Zhang; Bruce Jackson; Anurag Gupta; Rushan Chen,Abstract Recently; there has been a great deal of research into XML query languages toenable the execution of database-style queries over XML files. However; merely being anXML query-processing engine does not render a system suitable for querying the Internet. Auseful system must provide mechanisms to (a) find the XML files that are relevant to a givenquery; and (b) deal with remote data sources that either provide unpredictable data accessand transfer rates; or are infinite streams; or both. The Niagara Internet Query System wasdesigned from the bottom-up to provide these mechanisms. In this article we describe theoverall Niagara architecture; and how Niagara finds relevant XML documents by using acollaboration between the Niagara XML-QL query processor and the Niagara “text-in-context” XML search engine. The Niagara Internet Query System is public domain …,IEEE Data Eng. Bull.,2001,256
STRUDEL: a Web site management system,Mary Fernandez; Daniela Florescu; Jaewoo Kang; Alon Levy; Dan Suciu,The growth of the World-Wide Web has created a new kind of data management problem: buildingand main- taining Web sites. Building a Web site involves several tasks; such as choosing whatinformation will be avail- able at the site; organizing that information in individ- ual pages or ingraphs of linked pages; and specifying the visual presentation of pages in HTML. Creating andmanaging large sites is tedious; because a user often must perform these tasks simultaneouslywhen creat- ing HTML pages. The task of building and manag- ing Web sites presents a uniqueopportunity for apply- ing concepts from database management systems; such as the separationbetween the logical view of informa- tion and its storage and maintenance and the ability to restructureinformation via queries. Furthermore; re- cent research results on information integration[U1197] … Web site by creating different views of the underlying data. Building …,ACM SIGMOD Record,1997,224
Comparative study of name disambiguation problem using a scalable blocking-based framework,Prasenjit Mitra; Jaewoo Kang; Dongwon Lee; Byung-won On,In this paper; we consider the problem of ambiguous author names in bibliographic citations;and comparatively study alternative approaches to identify and correct such name variants(eg;" Vannevar Bush" and" V. Vush"). Our study is based on a scalable two-step framework;where step 1 is to substantially reduce the number of candidates via blocking; and step 2 isto measure the distance of two names via coauthor information. Combining four blockingmethods and seven distance measures on four data sets; we present extensiveexperimental results; and identify combinations that are scalable and effective todisambiguate author names in citations,Digital Libraries; 2005. JCDL'05. Proceedings of the 5th ACM/IEEE-CS Joint Conference on,2005,129
Effective and scalable solutions for mixed and split citation problems in digital libraries,Dongwon Lee; Byung-Won On; Jaewoo Kang; Sanghyun Park,Abstract In this paper; we consider two important problems that commonly occur inbibliographic digital libraries; which seriously degrade their data qualities: Mixed Citation(MC) problem (ie; citations of different scholars with their names being homonyms are mixedtogether) and Split Citation (SC) problem (ie; citations of the same author appear underdifferent name variants). In particular; we investigate an effective yet scalable solution sincecitations in such digital libraries tend to be large-scale. After formally defining the problemsand accompanying challenges; we present an effective solution that is based on the state-of-the-art sampling-based approximate join algorithm. Our claim is verified through preliminaryexperimental results.,Proceedings of the 2nd international workshop on Information quality in information systems,2005,95
Are your citations clean?,Dongwon Lee; Jaewoo Kang; Prasenjit Mitra; C Lee Giles; Byung-Won On,"Citations" play an important role in many scientific-publication digital libraries (DLs); includingCiteSeer; arXiv e-Print; DBLP; and Google Scholar. By "citation;" we mean the collection of bibliographicinformation (such as author name; article title; publication venue; and year published) pertinentto a particular article. Users often use citations to find information of interest in DLs; and researchersdepend on citations to determine the impact of a particular article in a DL. In addition; when DLsare integrated; citations serve as unique identifiers of associated documents. Therefore; citationsof stored documents in DLs must be consistent and up-to-date. But maintaining consistency isgenerally nontrivial. Challenges include: data-entry errors; citation formats; lack of (enforcementof) standards; imperfect citation-gathering software; common author names or abbreviationsof publication venue; and large-scale citation data … Many of these problems can be …,Communications of the ACM,2007,80
Method and apparatus for web site management,*,A method and apparatus for managing a web-site. An information definition query isreceived for defining an integrated view of non-uniform information retrieved from a multiplesources across a network; and stored in multiple formats. An integrated view is createdaccording to the information definition query. A site definition query is received for defining asite view for the non-uniform information at the web-site. The site view is created accordingto the site definition query. The non-uniform information is then presented on the web-site;typically in the form of a HTML document.,*,1999,56
