Towards identity anonymization on graphs,Kun Liu; Evimaria Terzi,Abstract The proliferation of network data in various application domains has raised privacyconcerns for the individuals involved. Recent studies show that simply removing theidentities of the nodes before publishing the graph/social network data does not guaranteeprivacy. The structure of the graph itself; and in its basic form the degree of the nodes; canbe revealing the identities of individuals. To address this issue; we study a specific graph-anonymization problem. We call a graph k-degree anonymous if for every node v; there existat least k-1 other nodes in the graph with the same degree as v. This definition of anonymityprevents the re-identification of individuals by adversaries with a priori knowledge of thedegree of certain nodes. We formally define the graph-anonymization problem that; given agraph G; asks for the k-degree anonymous graph that stems from G with the minimum …,Proceedings of the 2008 ACM SIGMOD international conference on Management of data,2008,699
Finding a team of experts in social networks,Theodoros Lappas; Kun Liu; Evimaria Terzi,Abstract Given a task T; a pool of individuals X with different skills; and a social network Gthat captures the compatibility among these individuals; we study the problem of finding X; asubset of X; to perform the task. We call this the T EAM F ORMATION problem. We requirethat members of X'not only meet the skill requirements of the task; but can also workeffectively together as a team. We measure effectiveness using the communication costincurred by the subgraph in G that only involves X'. We study two variants of the problem fortwo different communication-cost functions; and show that both variants are NP-hard. Weexplore their connections with existing combinatorial problems and give novel algorithms fortheir solution. To the best of our knowledge; this is the first work to consider the T EAM FORMATION problem in the presence of a social network of individuals. Experiments on …,Proceedings of the 15th ACM SIGKDD international conference on Knowledge discovery and data mining,2009,412
A framework for computing the privacy scores of users in online social networks,Kun Liu; Evimaria Terzi,Abstract A large body of work has been devoted to address corporate-scale privacyconcerns related to social networks. Most of this work focuses on how to share socialnetworks owned by organizations without revealing the identities or the sensitiverelationships of the users involved. Not much attention has been given to the privacy risk ofusers posed by their daily information-sharing activities. In this article; we approach theprivacy issues raised in online social networks from the individual users' viewpoint: wepropose a framework to compute the privacy score of a user. This score indicates the user'spotential risk caused by his or her participation in the network. Our definition of privacy scoresatisfies the following intuitive properties: the more sensitive information a user discloses;the higher his or her privacy risk. Also; the more visible the disclosed information …,ACM Transactions on Knowledge Discovery from Data (TKDD),2010,202
Detecting anomalous access patterns in relational databases,Ashish Kamra; Evimaria Terzi; Elisa Bertino,Abstract A considerable effort has been recently devoted to the development of DatabaseManagement Systems (DBMS) which guarantee high assurance and security. An importantcomponent of any strong security solution is represented by Intrusion Detection (ID)techniques; able to detect anomalous behavior of applications and users. To date; however;there have been few ID mechanisms proposed which are specifically tailored to functionwithin the DBMS. In this paper; we propose such a mechanism. Our approach is based onmining SQL queries stored in database audit log files. The result of the mining process isused to form profiles that can model normal database access behavior and identify intruders.We consider two different scenarios while addressing the problem. In the first case; weassume that the database has a Role Based Access Control (RBAC) model in place …,The VLDB Journal—The International Journal on Very Large Data Bases,2008,181
Finding effectors in social networks,Theodoros Lappas; Evimaria Terzi; Dimitrios Gunopulos; Heikki Mannila,Abstract Assume a network (V; E) where a subset of the nodes in V are active. We considerthe problem of selecting a set of k active nodes that best explain the observed activationstate; under a given information-propagation model. We call these nodes effectors. Weformally define the k-Effectors problem and study its complexity for different types of graphs.We show that for arbitrary graphs the problem is not only NP-hard to solve optimally; but alsoNP-hard to approximate. We also show that; for some special cases; the problem can besolved optimally in polynomial time using a dynamic-programming algorithm. To the best ofour knowledge; this is the first work to consider the k-Effectors problem in networks. Weexperimentally evaluate our algorithms using the DBLP co-authorship graph; where wesearch for effectors of topics that appear in research papers.,Proceedings of the 16th ACM SIGKDD international conference on Knowledge discovery and data mining,2010,174
Intrusion detection in RBAC-administered databases,Elisa Bertino; Evimaria Terzi; Ashish Kamra; Athena Vakali,A considerable effort has been recently devoted to the development of databasemanagement systems (DBMS) which guarantee high assurance security and privacy. Animportant component of any strong security solution is represented by intrusion detection(ID) systems; able to detect anomalous behavior by applications and users. To date;however; there have been very few ID mechanisms specifically tailored to databasesystems. In this paper; we propose such a mechanism. The approach we propose to ID isbased on mining database traces stored in log files. The result of the mining process is usedto form user profiles that can model normal behavior and identify intruders. An additionalfeature of our approach is that we couple our mechanism with role based access control(RBAC). Under a RBAC system permissions are associated with roles; usually grouping …,Computer security applications conference; 21st annual,2005,158
Context-sensitive ranking,Rakesh Agrawal; Ralf Rantzau; Evimaria Terzi,Abstract Contextual preferences take the form that item i1 is preferred to item i 2 in thecontext of X. For example; a preference might state the choice for Nicole Kidman overPenelope Cruz in drama movies; whereas another preference might choose Penelope Cruzover Nicole Kidman in the context of Spanish dramas. Various sources provide preferencesindependently and thus preferences may contain cycles and contradictions. We reconciledemocratically the preferences accumulated from various sources and use them to create apriori orderings of tuples in an off-line preprocessing step. Only a few representative ordersare saved; each corre-sponding to a set of contexts. These orders and associated contextsare used at query time to expeditiously provide ranked answers. We formally definecontextual preferences; provide algorithms for creating orders and processing queries …,Proceedings of the 2006 ACM SIGMOD international conference on Management of data,2006,132
Relational link-based ranking,Floris Geerts; Heikki Mannila; Evimaria Terzi,More specifically; we associate with each rela- tional database and set of queries a unique weighteddirected graph; which we call the database graph. We explore the properties of databasegraphs. In analogy to link analysis algorithms; which use the Web graph to rank web pages; weuse the database graph to rank partial tuples. In this way we can; eg; ex- tend the PageRanklink analysis algorithm to relational databases and give this extension a random querierinterpretation … Similarly; we extend the HITS link analysis al- gorithm to relationaldatabases. We conclude with some preliminary experimental results … * Work done while atthe Basic Research Unit; Helsinki In- stitute for Information Technology; Department of ComputerScience; University of Helsinki Permission to copy without fee all or part of this material is grantedprovided that the copies are not made or distributed for direct commercial advantage; the …,Proceedings of the Thirtieth international conference on Very large data bases-Volume 30,2004,97
Selecting a comprehensive set of reviews,Panayiotis Tsaparas; Alexandros Ntoulas; Evimaria Terzi,Abstract Online user reviews play a central role in the decision-making process of users for avariety of tasks; ranging from entertainment and shopping to medical services. As user-generated reviews proliferate; it becomes critical to have a mechanism for helping the users(information consumers) deal with the information overload; and presenting them with asmall comprehensive set of reviews that satisfies their information need. This is particularlyimportant for mobile phone users; who need to make decisions quickly; and have a devicewith limited screen real-estate for displaying the reviews. Previous approaches haveaddressed the problem by ranking reviews according to their (estimated) helpfulness.However; such approaches do not account for the fact that the top few high-quality reviewsmay be highly redundant; repeating the same information; or presenting the same …,Proceedings of the 17th ACM SIGKDD international conference on Knowledge discovery and data mining,2011,82
Efficient algorithms for sequence segmentation,Evimaria Terzi; Panayiotis Tsaparas,Abstract The sequence segmentation problem asks for a partition of the sequence into k non-overlapping segments that cover all data points such that each segment is as homogeneousas possible. This problem can be solved optimally using dynamic programming in O (n 2 k)time; where n is the length of the sequence. Given that sequences in practice are too long; aquadratic algorithm is not an adequately fast solution. Here; we present an alternativeconstantfactor approximation algorithm with running time O (n 4/3 k 5/3). We call thisalgorithm the DNS algorithm. We also consider the recursive application of the DNSalgorithm; that results in a faster algorithm (O (n log log n) running time) with O (log n)approximation factor; and study the accuracy/efficiency tradeoff. Extensive experimentalresults show that these algorithms outperform other widely-used heuristics. The same …,*,2006,73
Clustering large probabilistic graphs,George Kollios; Michalis Potamias; Evimaria Terzi,We study the problem of clustering probabilistic graphs. Similar to the problem of clusteringstandard graphs; probabilistic graph clustering has numerous applications; such as findingcomplexes in probabilistic protein-protein interaction (PPI) networks and discovering groupsof users in affiliation networks. We extend the edit-distance-based definition of graphclustering to probabilistic graphs. We establish a connection between our objective functionand correlation clustering to propose practical approximation algorithms for our problem. Abenefit of our approach is that our objective function is parameter-free. Therefore; thenumber of clusters is part of the output. We also develop methods for testing the statisticalsignificance of the output clustering and study the case of noisy clusterings. Using a realprotein-protein interaction network and ground-truth data; we show that our methods …,IEEE Transactions on Knowledge and Data Engineering,2013,67
Using high throughput sequencing to explore the biodiversity in oral bacterial communities,Patricia I Diaz; AK Dupuy; L Abusleme; B Reese; C Obergfell; L Choquette; Anna Dongari‐Bagtzoglou; Douglas E Peterson; E Terzi; LD Strausbaugh,Summary High throughput sequencing of 16S ribosomal RNA gene amplicons is a cost-effective method for characterization of oral bacterial communities. However; beforeundertaking large-scale studies; it is necessary to understand the technique-associatedlimitations and intrinsic variability of the oral ecosystem. In this work we evaluated bias inspecies representation using an in vitro-assembled mock community of oral bacteria. Wethen characterized the bacterial communities in saliva and buccal mucosa of five healthysubjects to investigate the power of high throughput sequencing in revealing their diversityand biogeography patterns. Mock community analysis showed primer and DNA isolationbiases and an overestimation of diversity that was reduced after eliminating singletonoperational taxonomic units (OTUs). Sequencing of salivary and mucosal communities …,Molecular oral microbiology,2012,64
Constructing comprehensive summaries of large event sequences,Jerry Kiernan; Evimaria Terzi,Abstract Event sequences capture system and user activity over time. Prior research onsequence mining has mostly focused on discovering local patterns appearing in asequence. While interesting; these patterns do not give a comprehensive summary of theentire event sequence. Moreover; the number of patterns discovered can be large. In thisarticle; we take an alternative approach and build short summaries that describe an entiresequence; and discover local dependencies between event types. We formally define thesummarization problem as an optimization problem that balances shortness of the summarywith accuracy of the data description. We show that this problem can be solved optimally inpolynomial time by using a combination of two dynamic-programming algorithms. We alsoexplore more efficient greedy alternatives and demonstrate that they work well on large …,ACM Transactions on Knowledge Discovery from Data (TKDD),2009,54
Selecting a characteristic set of reviews,Theodoros Lappas; Mark Crovella; Evimaria Terzi,Abstract Online reviews provide consumers with valuable information that guides theirdecisions on a variety of fronts: from entertainment and shopping to medical services.Although the proliferation of online reviews gives insights about different aspects of aproduct; it can also prove a serious drawback: consumers cannot and will not readthousands of reviews before making a purchase decision. This need to extract usefulinformation from large review corpora has spawned considerable prior work; but so far allhave drawbacks. Review summarization (generating statistical descriptions of review sets)sacrifices the immediacy and narrative structure of reviews. Likewise; review selection(identifying a subset of'helpful'or'important'reviews) leads to redundant or non-representativesummaries. In this paper; we fill the gap between existing review-summarization and …,Proceedings of the 18th ACM SIGKDD international conference on Knowledge discovery and data mining,2012,53
On honesty in sovereign information sharing,Rakesh Agrawal; Evimaria Terzi,Abstract We study the following problem in a sovereign information-sharing setting: How toensure that the individual participants; driven solely by self-interest; will behave honestly;even though they can benefit from cheating. This benefit comes from learning more thannecessary private information of others or from preventing others from learning thenecessary information. We take a game-theoretic approach and design a game (strategiesand payoffs) that models this kind of interactions. We show that if nobody is punished forcheating; rational participants will not behave honestly. Observing this; our game includesan auditing device that periodically checks the actions of the participants and penalizesinappropriate behavior. In this game we give conditions under which there exists a uniqueequilibrium (stable rational behavior) in which every participant provides truthful …,International Conference on Extending Database Technology,2006,53
Opinion maximization in social networks,Aristides Gionis; Evimaria Terzi; Panayiotis Tsaparas,Abstract The process of opinion formation through synthesis and contrast of differentviewpoints has been the subject of many studies in economics and social sciences. Today;this process manifests itself also in online social networks and social media. The keycharacteristic of successful promotion campaigns is that they take into consideration suchopinion-formation dynamics in order to create a overall favorable opinion about a specificinformation item; such as a person; a product; or an idea. In this paper; we adopt a well-established model for social-opinion dynamics and formalize the campaigndesign problemas the problem of identifying a set of target individuals whose positive opinion about aninformation item will maximize the overall positive opinion for the item in the social network.We call this problem CAMPAIGN. We study the complexity of the CAMPAIGN problem …,*,2013,51
