Xyleme; a dynamic warehouse for XML data of the Web,Serge Abiteboul; V Aguilera; S Ailleret; B Amann; F Arambarri; S Cluet; G Cobena; G Corona; G Ferran; A Galland; M Hascoet; C-C Kanne; B Koechlin; D Le Niniven; A Marian; L Mignet; G Moerkotte; B Nguyen; M Preda; M-C Rousset; M Sebag; J-P Sirot; P Veltri; D Vodislav; F Watez; T Westmann,The current development of the Web and the generalization of XML technology provide amajor opportunity which can radically change the face of the Web. Xyleme intends to be aleader of this revolution by providing database services over the XML data of the Web.Originally; Xyleme was a research project functioning as an open; loosely coupled networkof researchers. At the end of 2000; a prototype had been implemented. A start-up company;also called Xyleme; is now turning into a product. The authors summarize the main researchefforts of the Xyleme team. They concern: a scalable architecture; the efficient storage ofhuge quantities of XML data (hundreds of millions of pages); XML query processing with full-text and structural indexing; data acquisition strategies to build the repository and keep it up-to-date; change control with services such as query subscription; and semantic data …,Database Engineering and Applications; 2001 International Symposium on.,2001,202
Ontology-based integration of XML web resources,Bernd Amann; Catriel Beeri; Irini Fundulaki; Michel Scholl,Abstract This paper deals with some modeling aspects that have to be addressed in thecontext of the integration of heterogeneous and autonomous XML resources. We proposean integration system; but the emphasis of this paper is neither on its algorithmic aspects noron its technical details. Instead; we focus on the significance of offering appropriate high-level primitives and mechanisms for representing the semantics of XML data. We posit thatsupport for such primitives and mechanisms is a pre-requisite for realizing the goals of thesemantic Web.,International Semantic Web Conference,2002,166
Exchanging intensional XML data,Tova Milo; Serge Abiteboul; Bernd Amann; Omar Benjelloun; Fred Dang Ngoc,Abstract XML is becoming the universal format for data exchange between applications.Recently; the emergence of Web services as standard means of publishing and accessingdata on the Web introduced a new class of XML documents; which we call intensionaldocuments. These are XML documents where some of the data is given explicitly while otherparts are defined only intensionally by means of embedded calls to Web services. Whensuch documents are exchanged between applications; one has the choice of whether or notto materialize the intensional data (ie; to invoke the embedded calls) before the document issent. This choice may be influenced by various parameters; such as performance andsecurity considerations. This article addresses the problem of guiding this materializationprocess. We argue that---like for regular XML data---schemas (à la DTD and XML …,ACM Transactions on Database Systems (TODS),2005,151
Gram: a graph data model and query languages,Bernd Amann; Michel Scholl,Abstract We present a model for data organized aa graphs. Regular expressions over thetypes of the node and edge labels are used to qualify connected subgraphs. An algebraiclanguage based on these regular expressions and supporting a restricted form of recursionis introduced. A natural application of this model and its query language is hypertextquerying.,Proceedings of the ACM conference on Hypertext,1992,148
Active Views for Electronic Commerce.,Serge Abiteboul; Bernd Amann; Sophie Cluet; Anat Eyal; Laurent Mignet; Tova Milo,Abstract Electronic commerce is emerging as a major Web-supported application. In thispaper we argue that database technology can; and should; provide the backbone for a widerange of such applications. More precisely; we present here the ActiveViews system; which;relaying on an extensive use of database features including views; active rules (triggers);and enhanced mechanisms for notification; access control and logging/tracing of usersactivities; provides the needed basis for electronic commerce. Based on the emerging XMLstandards (DOM; query languages for XML; etc.); the system offers a novel declarative viewspecification language; describing the relevant data and activities of all actors (eg vendorsand clients) participating in electronic commerce activities. Then; acting as an applicationgenerator; the system generates an actual; possibly customized; Web application that …,VLDB,1999,128
Querying XML sources using an ontology-based mediator,Bernd Amann; Catriel Beeri; Irini Fundulaki; Michel Scholl,Abstract In this paper we propose a mediator architecture for the querying and integration ofWeb-accessible XML data sources. Our contributions are (i) the definition of a simple butexpressive mapping language; following the local as view approach and describing XMLresources as local views of some global schema; and (ii) efficient algorithms for rewritinguser queries according to existing source descriptions. The approach has been validated bythe ST YX prototype.,OTM Confederated International Conferences" On the Move to Meaningful Internet Systems",2002,72
Mapping XML fragments to community Web ontologies,Bernd Amann; Irini Fundulaki; Michel Scholl; Catriel Beeri; Anne-Marie Vercoustre,In this paper we are interested in the publication and querying of XPath enabled XMLresources. More precisely; we want to take advantage of the structure of XML documents(generally described by a DTD) for mapping pieces of information contained in XMLfragments to domain specific ontologies. The objective here is to be able to forward userqueries to diverse XML repositories while hiding their DTD heterogeneity to the end-user.Our contribution is two-fold:(1) we propose a simple mapping language describing sourcesby a set of rules relating XPath location paths to the concepts and roles of an ontology and(2) a query rewriting algorithm for translating user queries into queries expressed in an XMLquery language that are sent for evaluation to XML sources.,WebDB 2001-International Workshop on the Web and Databases,2001,63
Integrating ontologies and thesauri to build RDF schemas,Bernd Amann; Irini Fundulaki,Abstract In this paper we present a new approach for building RDF schemas by integratingexisting ontologies and structured vocabularies (thesauri). We will present a simplemechanism based on the specification of inclusion relationships between thesaurus termsand ontology concepts and show how these relationships can be exploited to createapplication-specific RDF schemas incorporating the structural views of ontologies and deepclassification schemes provided by thesauri.,International Conference on Theory and Practice of Digital Libraries,1999,61
Ingénierie des systèmes d'information,Corine Cauvet,RÉSUMÉ La recherche en systèmes d'information est guidée par l'objectif de produire dessystèmes de qualité c'est-à-dire; à la fois adaptés à l'usage que l'on veut en faire etsatisfaisant des critères de réutilisabilité; de flexibilité; de fiabilité; d'ouverture… Elle s' estdéveloppée autour de la proposition de méthodes; d'architectures et de techniques pourconcevoir et réaliser de tels systèmes. L'objectif de ce numéro est de présenter; d'une part;l'étendue de la recherche en systèmes d'information et; d'autre part; des travaux particuliersqui illustrent son évolution pour tenir compte des nouveaux environnements et desnouveaux usages des systèmes d'information. Ce numéro est composé d'un articledécrivant les thèmes de recherche porteurs sur lesquels la communauté francophone des SIest engagée actuellement et de quatre articles présentant des travaux représentatifs de …,Revue des sciences et technologies de l'information,2001,51
Managing RDF metadata for community webs,Sofia Alexaki; Vassilis Christophides; Gregory Karvounarakis; Dimitris Plexousakis; Karsten Tolle; Bernd Amann; Irini Fundulaki; Michel Scholl; Anne-Marie Vercoustre,Abstract The need for descriptive information; ie; metadata; about Web resources has beenrecognized in several application contexts (eg; digital libraries; portals). The ResourceDescription Framework (RDF) aims at facilitating the creation and exchange of metadata; asdirected labeled graphs serialized in XML. In particular; the definition of schemavocabularies enables the interpretation of semistructured RDF descriptions usingtaxonomies of node and edge labels. In this paper; we propose (i) a formal model capturingRDF schema constructs;(ii) a declarative query language featuring generalized pathexpressions for taxonomies of labels (iii) a metadata management architecture for efficientstorage and querying of RDF descriptions and schemas.,International Conference on Conceptual Modeling,2000,49
