Query processing in spatial network databases,Dimitris Papadias; Jun Zhang; Nikos Mamoulis; Yufei Tao,Abstract Despite the importance of spatial networks in real-life applications; most of thespatial database literature focuses on Euclidean spaces. In this paper we propose anarchitecture that integrates network and Euclidean information; capturing pragmaticconstraints. Based on this architecture; we develop a Euclidean restriction and a networkexpansion framework that take advantage of location and connectivity to efficiently prune thesearch space. These frameworks are successfully applied to the most popular spatialqueries; namely nearest neighbors; range search; closest pairs and e-distance joins; in thecontext of spatial network databases.,Proceedings of the 29th international conference on Very large data bases-Volume 29,2003,772
Secure knn computation on encrypted databases,Wai Kit Wong; David Wai-lok Cheung; Ben Kao; Nikos Mamoulis,Abstract Service providers like Google and Amazon are moving into the SaaS (Software as aService) business. They turn their huge infrastructure into a cloud-computing environmentand aggressively recruit businesses to run applications on their platforms. To enforcesecurity and privacy on such a service model; we need to protect the data running on theplatform. Unfortunately; traditional encryption methods that aim at providing" unbreakable"protection are often not adequate because they do not support the execution of applicationssuch as database queries on the encrypted data. In this paper we discuss the generalproblem of secure computation on an encrypted database and propose a SCONEDB SecureComputation ON an Encrypted DataBase) model; which captures the execution and securityrequirements. As a case study; we focus on the problem of k-nearest neighbor (kNN) …,Proceedings of the 2009 ACM SIGMOD International Conference on Management of data,2009,464
On discovering moving clusters in spatio-temporal data,Panos Kalnis; Nikos Mamoulis; Spiridon Bakiras,Abstract A moving cluster is defined by a set of objects that move close to each other for along time interval. Real-life examples are a group of migrating animals; a convoy of carsmoving in a city; etc. We study the discovery of moving clusters in a database of objecttrajectories. The difference of this problem compared to clustering trajectories and miningmovement patterns is that the identity of a moving cluster remains unchanged while itslocation and content may change over time. For example; while a group of animals aremigrating; some animals may leave the group or new animals may enter it. We provide aformal definition for moving clusters and describe three algorithms for their automaticdiscovery:(i) a straight-forward method based on the definition;(ii) a more efficient methodwhich avoids redundant checks and (iii) an approximate algorithm which trades accuracy …,International Symposium on Spatial and Temporal Databases,2005,412
Mining; indexing; and querying historical spatiotemporal data,Nikos Mamoulis; Huiping Cao; George Kollios; Marios Hadjieleftheriou; Yufei Tao; David W Cheung,Abstract In many applications that track and analyze spatiotemporal data; movements obeyperiodic patterns; the objects follow the same routes (approximately) over regular timeintervals. For example; people wake up at the same time and follow more or less the sameroute to their work everyday. The discovery of hidden periodic patterns in spatiotemporaldata; apart from unveiling important information to the data analyst; can facilitate datamanagement substantially. Based on this observation; we propose a framework thatanalyzes; manages; and queries object movements that follow such patterns. We define thespatiotemporal periodic pattern mining problem and propose an effective and fast miningalgorithm for retrieving maximal periodic patterns. We also devise a novel; specialized indexstructure that can benefit from the discovered patterns to support more efficient execution …,Proceedings of the tenth ACM SIGKDD international conference on Knowledge discovery and data mining,2004,318
Mining frequent spatio-temporal sequential patterns,Huiping Cao; Nikos Mamoulis; David W Cheung,Many applications track the movement of mobile objects; which can be represented assequences of timestamped locations. Given such a spatiotemporal series; we study theproblem of discovering sequential patterns; which are routes frequently followed by theobject. Sequential pattern mining algorithms for transaction data are not directly applicablefor this setting. The challenges to address are:(i) the fuzziness of locations in patterns; and(ii) the identification of non-explicit pattern instances. In this paper; we define patternelements as spatial regions around frequent line segments. Our method first transforms theoriginal sequence into a list of sequence segments; and detects frequent regions in aheuristic way. Then; we propose algorithms to find patterns by employing a newly proposedsubstring tree structure and improving a priori technique. A performance evaluation …,Data Mining; Fifth IEEE International Conference on,2005,299
Continuous nearest neighbor monitoring in road networks,Kyriakos Mouratidis; Man Lung Yiu; Dimitris Papadias; Nikos Mamoulis,Abstract Recent research has focused on continuous monitoring of nearest neighbors (NN)in highly dynamic scenarios; where the queries and the data objects move frequently andarbitrarily. All existing methods; however; assume the Euclidean distance metric. In thispaper we study k-NN monitoring in road networks; where the distance between a query anda data object is determined by the length of the shortest path connecting them. We proposetwo methods that can handle arbitrary object and query moving patterns; as well asfluctuations of edge weights. The first one maintains the query results by processing onlyupdates that may invalidate the current NN sets. The second method follows the sharedexecution paradigm to reduce the processing time. In particular; it groups together thequeries that fall in the path between two consecutive intersections in the network; and …,Proceedings of the 32nd international conference on Very large data bases,2006,289
An efficient and scalable algorithm for clustering XML documents by structure,Wang Lian; Nikos Mamoulis; Siu-Ming Yiu,With the standardization of XML as an information exchange language over the Internet; ahuge amount of information is formatted in XML documents. In order to analyze thisinformation efficiently; decomposing the XML documents and storing them in relationaltables is a popular practice. However; query processing becomes expensive since; in manycases; an excessive number of joins is required to recover information from the fragmenteddata. If a collection consists of documents with different structures (for example; they comefrom different DTDs); mining clusters in the documents could alleviate the fragmentationproblem. We propose a hierarchical algorithm (S-GRACE) for clustering XML documentsbased on structural information in the data. The notion of structure graph (s-graph) isproposed; supporting a computationally efficient distance metric defined between …,IEEE transactions on Knowledge and Data Engineering,2004,270
Fast data anonymization with low information loss,Gabriel Ghinita; Panagiotis Karras; Panos Kalnis; Nikos Mamoulis,Abstract Recent research studied the problem of publishing microdata without revealingsensitive information; leading to the privacy preserving paradigms of k-anonymity and l-diversity. k-anonymity protects against the identification of an individual's record. l-diversity;in addition; safeguards against the association of an individual with specific sensitiveinformation. However; existing approaches suffer from at least one of the followingdrawbacks:(i) The information loss metrics are counter-intuitive and fail to capture datainaccuracies inflicted for the sake of privacy.(ii) l-diversity is solved by techniques developedfor the simpler k-anonymity problem; which introduces unnecessary inaccuracies.(iii) Theanonymization process is inefficient in terms of computation and I/O cost. In this paper wepropose a framework for efficient privacy preservation that addresses these deficiencies …,Proceedings of the 33rd international conference on Very large data bases,2007,269
Privacy-preserving anonymization of set-valued data,Manolis Terrovitis; Nikos Mamoulis; Panos Kalnis,Abstract In this paper we study the problem of protecting privacy in the publication of set-valued data. Consider a collection of transactional data that contains detailed informationabout items bought together by individuals. Even after removing all personal characteristicsof the buyer; which can serve as links to his identity; the publication of such data is stillsubject to privacy attacks from adversaries who have partial knowledge about the set. Unlikemost previous works; we do not distinguish data as sensitive and non-sensitive; but weconsider them both as potential quasi-identifiers and potential sensitive data; depending onthe point of view of the adversary. We define a new version of the k-anonymity guarantee;the k m-anonymity; to limit the effects of the data dimensionality and we propose efficientalgorithms to transform the database. Our anonymization model relies on generalization …,Proceedings of the VLDB Endowment,2008,266
Privacy preservation in the publication of trajectories,Manolis Terrovitis; Nikos Mamoulis,We study the problem of protecting privacy in the publication of location sequences.Consider a database of trajectories; corresponding to movements of people; captured bytheir transactions when they use credit or RFID debit cards. We show that; if such trajectoriesare published exactly (by only hiding the identities of persons that followed them); there is ahigh risk of privacy breach by adversaries who hold partial information about them (eg; shopowners). In particular; we show that one can use partial trajectory knowledge as a quasi-identifier for the remaining locations in the sequence. We device a data suppressiontechnique; which prevents this type of breach; while keeping the posted data as accurate aspossible.,Mobile Data Management; 2008. MDM'08. 9th International Conference on,2008,260
