FLUX-CIM: flexible unsupervised extraction of citation metadata,Eli Cortez; Altigran S da Silva; Marcos André Gonçalves; Filipe Mesquita; Edleno S de Moura,Abstract In this paper we propose a knowledge-base approach to help extracting the correctcomponents of citations in any given format. Differently from related approaches that rely onmanually built knowledge-bases (KBs) for recognizing the components of a citation; in ourcase; such a KB is automatically constructed from an existing set of sample metadatarecords from a given area (eg; computer science or health sciences). Our approach does notrely on patterns encoding specific delimitators of a particular citation style. It is alsounsupervised; in the sense that it does not rely on a learning method that requires a trainingphase. These features assign to our technique a high degree of automation and flexibility.To demonstrate the effectiveness and applicability of our proposed approach we have runexperiments in which we applied it to extract information from citations in papers of two …,Proceedings of the 7th ACM/IEEE-CS joint conference on Digital libraries,2007,75
Ondux: on-demand unsupervised learning for information extraction,Eli Cortez; Altigran S da Silva; Marcos André Gonçalves; Edleno S de Moura,Abstract Information extraction by text segmentation (IETS) applies to cases in which datavalues of interest are organized in implicit semi-structured records available in textualsources (eg postal addresses; bibliographic information; ads). It is an important practicalproblem that has been frequently addressed in the recent literature. In this paper weintroduce ONDUX (On Demand Unsupervised Information Extraction); a new unsupervisedprobabilistic approach for IETS. As other unsupervised IETS approaches; ONDUX relies oninformation available on pre-existing data to associate segments in the input string withattributes of a given domain. Unlike other approaches; we rely on very effective matchingstrategies instead of explicit learning strategies. The effectiveness of this matching strategyis also exploited to disambiguate the extraction of certain attributes through a …,Proceedings of the 2010 ACM SIGMOD International Conference on Management of data,2010,35
A probabilistic approach for automatically filling form-based web interfaces,Guilherme A Toda; Eli Cortez; Altigran S da Silva; Edleno de Moura,Abstract In this paper we present a proposal for the implementation and evaluation of anovel method for automatically using data-rich text for filling form-based input interfaces. Oursolution takes a text as input; extracts implicit data values from it and fills appropriate fields.For this task; we rely on knowledge obtained from values of previous submissions for eachfield; which are freely obtained from the usage of the interfaces. Our approach; called iForm;exploits features related to the content and the style of these values; which are combinedthrough a Bayesian framework. Through extensive experimentation; we show that ourapproach is feasible and effective; and that it works well even when only a few previoussubmissions to the input interface are available.,Proceedings of the VLDB Endowment,2010,34
A flexible approach for extracting metadata from bibliographic citations,Eli Cortez; Altigran S da Silva; Marcos André Gonçalves; Filipe Mesquita; Edleno S de Moura,Abstract In this article we present FLUX-CiM; a novel method for extracting components (eg;author names; article titles; venues; page numbers) from bibliographic citations. Our methoddoes not rely on patterns encoding specific delimiters used in a particular citation style. Thisfeature yields a high degree of automation and flexibility; and allows FLUX-CiM to extractfrom citations in any given format. Differently from previous methods that are based onmodels learned from user-driven training; our method relies on a knowledge baseautomatically constructed from an existing set of sample metadata records from a given field(eg; computer science; health sciences; social sciences; etc.). These records are usuallyavailable on the Web or other public data repositories. To demonstrate the effectiveness andapplicability of our proposed method; we present a series of experiments in which we …,Journal of the Association for Information Science and Technology,2009,25
Joint unsupervised structure discovery and information extraction,Eli Cortez; Daniel Oliveira; Altigran S da Silva; Edleno S de Moura; Alberto HF Laender,Abstract In this paper we present JUDIE (Joint Unsupervised Structure Discovery andInformation Extraction); a new method for automatically extracting semi-structured datarecords in the form of continuous text (eg; bibliographic citations; postal addresses;classified ads; etc.) and having no explicit delimiters between them. While in state-of-the-artInformation Extraction methods the structure of the data records is manually supplied the byuser as a training step; JUDIE is capable of detecting the structure of each individual recordbeing extracted without any user assistance. This is accomplished by a novel StructureDiscovery algorithm that; given a sequence of labels representing attributes assigned topotential values; groups these labels into individual records by looking for frequent patternsof label repetitions among the given sequence. We also show how to integrate this …,Proceedings of the 2011 ACM SIGMOD International Conference on Management of data,2011,23
Adaptive and flexible blocking for record linkage tasks,Luiz Osvaldo Evangelista; Eli Cortez; Altigran S da Silva; Wagner Meira Jr,Abstract In data integration tasks; records from a single dataset or from different sourcesmust often be compared to identify records that represent the same real world entity. Thecost of this search process for finding duplicate records grows quadratically as the number ofrecords available in the data sources increases and; for this reason; direct approaches; suchas comparing all record pairs; must be avoided. In this context; blocking methods are used tocreate,Journal of Information and Data Management,2010,12
Building a research social network from an individual perspective,Alberto HF Laender; Mirella M Moro; Marcos André Gonçalves; Clodoveu A Davis Jr; Altigran S da Silva; Allan JC Silva; Carolina AS Bigonha; Daniel Hasan Dalip; Eduardo M Barbosa; Eli Cortez; Peterson S Procópio Jr; Rafael Odon de Alencar; Thiago NC Cardoso; Thiago Salles,Abstract In this poster paper; we present an overview of CiênciaBrasil; a research socialnetwork involving researchers within the Brazilian INCT program. We describe itsarchitecture and the solutions adopted for data collection; extraction; and deduplication; andfor materializing and visualizing the network.,Proceedings of the 11th annual international ACM/IEEE joint conference on Digital libraries,2011,10
Automatically filling form-based web interfaces with free text inputs,Guilherme A Toda; Eli Cortez; Filipe Mesquita; Altigran S da Silva; Edleno Moura; Marden Neubert,Abstract On the web of today the most prevalent solution for users to interact with data-intensive applications is the use of form-based interfaces composed by several data inputfields; such as text boxes; radio buttons; pull-down lists; check boxes; etc. Although theseinterfaces are popular and effective; in many cases; free text interfaces are preferred overform-based ones. In this paper we discuss the proposal and the implementation of a novelIR-based method for using data rich free text to interact with form-based interfaces. Oursolution takes a free text as input; extracts implicitly data values from it and fills appropriatefields using them. For this task; we rely on values of previous submissions for each field;which are freely obtained from the usage of form-based interfaces,Proceedings of the 18th international conference on World wide web,2009,10
Unsupervised strategies for information extraction by text segmentation,Eli Cortez; Altigran S da Silva,Abstract Information extraction by text segmentation (IETS) applies to cases in which datavalues of interest are organized in implicit semi-structured records available in textualsources (eg postal addresses; bibliographic information; ads). It is an important practicalproblem that has been frequently addressed in the recent literature. We report here partialresults from a PhD thesis work in which we introduce ONDUX (On Demand UnsupervisedInformation Extraction); a new unsupervised probabilistic approach for IETS. As otherunsupervised IETS approaches; ONDUX relies on information available on pre-existing datato associate segments in the input string with attributes of a given domain. Unlike otherapproaches; we rely on very effective matching strategies instead of explicit learningstrategies. The effectiveness of this matching strategy is also exploited to disambiguate …,Proceedings of the Fourth SIGMOD PhD Workshop on Innovative Database Research,2010,7
CiênciaBrasil-The Brazilian Portal of Science and Technology,Alberto HF Laender; Mirella M Moro; Altigran S Silva; Clodoveu A Davis Jr; Marcos André Gonçalves; Renata Galante; Allan JC Silva; Carolina AS Bigonha; Daniel Hasan Dalip; Eduardo M Barbosa; Eduardo N Borges; Eli Cortez; Peterson Procópio Jr; Rafael Odon de Alencar; Thiago NC Cardoso; Thiago Salles,Research social networks are a potentially useful resource for studying science andtechnology indicators from specific communities (eg; acountry). However; building andanalyzing such networks beget challenges beyond those from regular social networks; sincedata about actors and their relationships are usually dispersed across various sources. Inthis paper; we present a research social network built from an individual perspective bygathering data from a Brazilian curricula vitae repository. We describe its architecture andthe solutions adopted for data collection; extraction and deduplication; and for materializingand visualizing the network.,SEMISH,2011,6
CiênciaBrasil-The Brazilian Portal of Science and Technology,Alberto HF Laender; Mirella M Moro; Altigran S Silva; Clodoveu A Davis Jr; Marcos André Gonçalves; Renata Galante; Allan JC Silva; Carolina AS Bigonha; Daniel Hasan Dalip; Eduardo M Barbosa; Eduardo N Borges; Eli Cortez; Peterson Procópio Jr; Rafael Odon de Alencar; Thiago NC Cardoso; Thiago Salles,Research social networks are a potentially useful resource for studying science andtechnology indicators from specific communities (eg; acountry). However; building andanalyzing such networks beget challenges beyond those from regular social networks; sincedata about actors and their relationships are usually dispersed across various sources. Inthis paper; we present a research social network built from an individual perspective bygathering data from a Brazilian curricula vitae repository. We describe its architecture andthe solutions adopted for data collection; extraction and deduplication; and for materializingand visualizing the network.,JCDL,2011,6
