Accelerating CUDA graph algorithms at maximum warp,Sungpack Hong; Sang Kyun Kim; Tayo Oguntebi; Kunle Olukotun,Abstract Graphs are powerful data representations favored in many computational domains.Modern GPUs have recently shown promising results in accelerating computationallychallenging graph problems but their performance suffered heavily when the graph structureis highly irregular; as most real-world graphs tend to be. In this study; we first observe thatthe poor performance is caused by work imbalance and is an artifact of a discrepancybetween the GPU programming model and the underlying GPU architecture. We thenpropose a novel virtual warp-centric programming method that exposes the traits ofunderlying GPU architectures to users. Our method significantly improves the performanceof applications with heavily imbalanced workloads; and enables trade-offs betweenworkload imbalance and ALU underutilization for fine-tuning the performance. Our …,ACM SIGPLAN Notices,2011,293
Efficient parallel graph exploration on multi-core CPU and GPU,Sungpack Hong; Tayo Oguntebi; Kunle Olukotun,Graphs are a fundamental data representation that has been used extensively in variousdomains. In graph-based applications; a systematic exploration of the graph such as abreadth-first search (BFS) often serves as a key component in the processing of theirmassive data sets. In this paper; we present a new method for implementing the parallel BFSalgorithm on multi-core CPUs which exploits a fundamental property of randomly shapedreal-world graph instances. By utilizing memory bandwidth more efficiently; our methodshows improved performance over the current state-of-the-art implementation and increasesits advantage as the size of the graph increases. We then propose a hybrid method which;for each level of the BFS algorithm; dynamically chooses the best implementation from: asequential execution; two different methods of multicore execution; and a GPU execution …,Parallel Architectures and Compilation Techniques (PACT); 2011 International Conference on,2011,245
Green-Marl: A DSL for Easy and Efficient Graph Analysis,Sungpack Hong; Hassan Chafi; Eric Sedlar; Kunle Olukotun,Abstract The increasing importance of graph-data based applications is fueling the need forhighly efficient and parallel implementations of graph analysis software. In this paper wedescribe Green-Marl; a domain-specific language (DSL) whose high level languageconstructs allow developers to describe their graph analysis algorithms intuitively; butexpose the data-level parallelism inherent in the algorithms. We also present our Green-Marl compiler which translates high-level algorithmic description written in Green-Marl intoan efficient C++ implementation by exploiting this exposed data-level parallelism.Furthermore; our Green-Marl compiler applies a set of optimizations that take advantage ofthe high-level semantic knowledge encoded in the Green-Marl DSL. We demonstrate thatgraph analysis algorithms can be written very intuitively with Green-Marl through some …,ASPLOS,2012,215
A scalable processing-in-memory accelerator for parallel graph processing,Junwhan Ahn; Sungpack Hong; Sungjoo Yoo; Onur Mutlu; Kiyoung Choi,Abstract The explosion of digital data and the ever-growing need for fast data analysis havemade in-memory big-data processing in computer systems increasingly important. Inparticular; large-scale graph processing is gaining attention due to its broad applicabilityfrom social science to machine learning. However; scalable hardware design that canefficiently process large graphs in main memory is still an open problem. Ideally; cost-effective and scalable graph processing systems can be realized by building a systemwhose performance increases proportionally with the sizes of graphs that can be stored inthe system; which is extremely challenging in conventional systems due to severe memorybandwidth limitations. In this work; we argue that the conventional concept of processing-in-memory (PIM) can be a viable solution to achieve such an objective. The key modern …,ACM SIGARCH Computer Architecture News,2016,177
Eigenbench: A simple exploration tool for orthogonal TM characteristics,Sungpack Hong; Tayo Oguntebi; Jared Casper; Nathan Bronson; Christos Kozyrakis; Kunle Olukotun,There are a significant number of Transactional Memory (TM) proposals; varying in almostall aspects of the design space. Although several transactional benchmarks have beensuggested; a simple; yet thorough; evaluation framework is still needed to completelycharacterize a TM system and allow for comparison among the various proposals.Unfortunately; TM system evaluation is difficult because the application characteristics whichaffect performance are often difficult to isolate from each other. We propose a set oforthogonal application characteristics that form a basis for transactional behavior and areuseful in fully understanding the performance of a TM system. In this paper; we presentEigenBench; a lightweight yet powerful microbenchmark for fully evaluating a transactionalmemory system. We show that EigenBench is useful for thoroughly exploring the …,Workload Characterization (IISWC); 2010 IEEE International Symposium on,2010,67
On fast parallel detection of strongly connected components (SCC) in small-world graphs,Sungpack Hong; Nicole C Rodia; Kunle Olukotun,Detecting strongly connected components (SCCs) in a directed graph is a fundamentalgraph analysis algorithm that is used in many science and engineering domains. Traditionalapproaches in parallel SCC detection; however; show limited performance and poor scalingbehavior when applied to large real-world graph instances. In this paper; we investigate theshortcomings of the conventional approach and propose a series of extensions that considerthe fundamental properties of real-world graphs; eg the small-world property. Our scalableimplementation offers excellent performance on diverse; small-world graphs resulting in a5.01× to 29.41× parallel speedup over the optimal sequential algorithm with 16 cores and 32hardware threads.,High Performance Computing; Networking; Storage and Analysis (SC); 2013 International Conference for,2013,57
Bus-invert coding for low-power I/O-a decomposition approach,Sungpack Hong; Unni Narayanan; Ki-Seok Chung; Taewhan Kim,This paper proposes a new bus-invert coding scheme for reducing the number of bustransitions. Unlike the previous schemes in which the entire bus lines or one subset of thebus fines are considered for bus-invert coding; in the proposed scheme the bus lines arepartitioned and each partitioned group is considered independently for bus-invert coding tomaximize the effectiveness of reducing the total number of bus transitions. Experimentalresults show that the decomposed bus-invert coding scheme reduces the total number ofbus transitions by 47.2% and 11.9% on average than those of the conventional and thepartial bus-invert coding schemes; respectively.,Circuits and Systems; 2000. Proceedings of the 43rd IEEE Midwest Symposium on,2000,42
Simplifying scalable graph processing with a domain-specific language,Sungpack Hong; Semih Salihoglu; Jennifer Widom; Kunle Olukotun,Abstract Large-scale graph processing; with its massive data sets; requires distributedprocessing. However; conventional frameworks for distributed graph processing; such asPregel; use non-traditional programming models that are well-suited for parallelism andscalability but inconvenient for implementing non-trivial graph algorithms. In this paper; weuse Green-Marl; a Domain-Specific Language for graph analysis; to intuitively describegraph algorithms and extend its compiler to generate equivalent Pregel implementations.Using the semantic information captured by Green-Marl; the compiler applies a set oftransformation rules that convert imperative graph algorithms into Pregel's programmingmodel. Our experiments show that the Pregel programs generated by the Green-Marlcompiler perform similarly to manually coded Pregel implementations of the same …,Proceedings of Annual IEEE/ACM International Symposium on Code Generation and Optimization,2014,38
PGX. D: a fast distributed graph processing engine,Sungpack Hong; Siegfried Depner; Thomas Manhardt; Jan Van Der Lugt; Merijn Verstraaten; Hassan Chafi,Abstract Graph analysis is a powerful method in data analysis. Although several frameworkshave been proposed for processing large graph instances in distributed environments; theirperformance is much lower than using efficient single-machine implementations providedwith enough memory. In this paper; we present a fast distributed graph processing system;namely PGX. D. We show that PGX. D outperforms other distributed graph systems likeGraphLab significantly (3x--90x). Furthermore; PGX. D on 4 to 16 machines is also fasterthan an implementation optimized for single-machine execution. Using a fast cooperativecontext-switching mechanism; we implement PGX. D as a low-overhead; bandwidth-efficientcommunication framework that supports remote data-pulling patterns. Moreover; PGX. Dachieves large traffic reduction and good workload balance by applying selective ghost …,Proceedings of the International Conference for High Performance Computing; Networking; Storage and Analysis,2015,34
Creation and utilization of a virtual platform for embedded software optimization:: an industrial case study,Sungpack Hong; Sungjoo Yoo; Sheayun Lee; Sangwoo Lee; Hye Jeong Nam; Bum-Seok Yoo; Jaehyung Hwang; Donghyun Song; Janghwan Kim; Jeongeun Kim; HoonSang Jin; Kyu-Myung Choi; Jeong-Taek Kong; SooKwan Eo,Abstract Virtual platform (ViP); or ESL (Electronic System Level) simulation model; is one ofthe most widely renowned system level design techniques. In this paper; we present a casestudy of creating and applying the ViP in the development of a new hard disk system calledHybrid-HDD that is one of the main features in the Windows VISTA (R). First; we summarizehow we developed the ViP including the levels of timing accuracy of models; automaticgeneration of models from RTL code; external subsystem models; etc. Then; we explain howwe exploited the ViP in software optimization. Compared with the conventional flow ofsoftware development; eg based on the real board; the ViP gives a better profiling capabilitythereby allowing designers to find more chances of code optimization. Based on thesimulation and analysis with the ViP; the software optimization could improve system …,Proceedings of the 4th international conference on Hardware/software codesign and system synthesis,2006,32
Hardware acceleration of transactional memory on commodity systems,Jared Casper; Tayo Oguntebi; Sungpack Hong; Nathan G Bronson; Christos Kozyrakis; Kunle Olukotun,Abstract The adoption of transactional memory is hindered by the high overhead of softwaretransactional memory and the intrusive design changes required by previously proposed TMhardware. We propose that hardware to accelerate software transactional memory (STM)can reside outside an unmodified commodity processor core; thereby substantially reducingimplementation costs. This paper introduces Transactional Memory Acceleration usingCommodity Cores (TMACC); a hardware-accelerated TM system that does not modify theprocessor; caches; or coherence protocol. We present a complete hardware implementationof TMACC using a rapid prototyping platform. Using this hardware; we implement twounique conflict detection schemes which are accelerated using Bloom filters on an FPGA.These schemes employ novel techniques for tolerating the latency of fine-grained …,ACM SIGPLAN Notices,2011,30
