Hybrid parallelization strategies for large-scale machine learning in SystemML,Matthias Boehm; Shirish Tatikonda; Berthold Reinwald; Prithviraj Sen; Yuanyuan Tian; Douglas R Burdick; Shivakumar Vaithyanathan,Abstract SystemML aims at declarative; large-scale machine learning (ML) on top ofMapReduce; where high-level ML scripts with R-like syntax are compiled to programs of MRjobs. The declarative specification of ML algorithms enables---in contrast to existing large-scale machine learning libraries---automatic optimization. SystemML's primary focus is ondata parallelism but many ML algorithms inherently exhibit opportunities for task parallelismas well. A major challenge is how to efficiently combine both types of parallelism for arbitraryML scripts and workloads. In this paper; we present a systematic approach for combiningtask and data parallelism for large-scale machine learning on top of MapReduce. Weemploy a generic Parallel FOR construct (ParFOR) as known from high performancecomputing (HPC). Our core contributions are (1) complementary parallelization strategies …,Proceedings of the VLDB Endowment,2014,46
Data management in the mirabel smart grid system,Matthias Boehm; Lars Dannecker; Andreas Doms; Erik Dovgan; Bogdan Filipič; Ulrike Fischer; Wolfgang Lehner; Torben Bach Pedersen; Yoann Pitarch; Laurynas Šikšnys; Tea Tušar,Abstract Nowadays; Renewable Energy Sources (RES) are attracting more and moreinterest. Thus; many countries aim to increase the share of green energy and have to facewith several challenges (eg; balancing; storage; pricing). In this paper; we address thebalancing challenge and present the MIRABEL project which aims to prototype an EnergyData Management System (EDMS) which takes benefit of flexibilities to efficiently balanceenergy demand and supply. The EDMS consists of millions of heterogeneous nodes thateach incorporates advanced components (eg; aggregation; forecasting; scheduling;negotiation). We describe each of these components and their interaction. Preliminaryexperimental results confirm the feasibility of our EDMS.,Proceedings of the 2012 Joint EDBT/ICDT Workshops,2012,39
Efficient In-Memory Indexing with Generalized Prefix Trees.,Matthias Boehm; Benjamin Schlegel; Peter Benjamin Volk; Ulrike Fischer; Dirk Habich; Wolfgang Lehner,Abstract: Efficient data structures for in-memory indexing gain in importance due to (1) theexponentially increasing amount of data;(2) the growing main-memory capacity; and (3) thegap between main-memory and CPU speed. In consequence; there are high performancedemands for in-memory data structures. Such index structures are used—with minorchanges—as primary or secondary indices in almost every DBMS. Typically; tree-based orhash-based structures are used; while structures based on prefix-trees (tries) are neglectedin this context. For tree-based and hash-based structures; the major disadvantages areinherently caused by the need for reorganization and key comparisons. In contrast; themajor disadvantage of trie-based structures in terms of high memory consumption (createdand accessed nodes) could be improved. In this paper; we argue for reconsidering prefix …,BTW,2011,37
Compressed linear algebra for large-scale machine learning,Ahmed Elgohary; Matthias Boehm; Peter J Haas; Frederick R Reiss; Berthold Reinwald,Abstract Large-scale machine learning (ML) algorithms are often iterative; using repeatedread-only data access and I/O-bound matrix-vector multiplications to converge to an optimalmodel. It is crucial for performance to fit the data into single-node or distributed mainmemory. General-purpose; heavy-and lightweight compression techniques struggle toachieve both good compression ratios and fast decompression speed to enable block-wiseuncompressed operations. Hence; we initiate work on compressed linear algebra (CLA); inwhich lightweight database compression techniques are applied to matrices and then linearalgebra operations such as matrix-vector multiplication are executed directly on thecompressed representations. We contribute effective column compression schemes; cache-conscious operations; and an efficient sampling-based compression algorithm. Our …,Proceedings of the VLDB Endowment,2016,23
Resource elasticity for large-scale machine learning,Botong Huang; Matthias Boehm; Yuanyuan Tian; Berthold Reinwald; Shirish Tatikonda; Frederick R Reiss,Abstract Declarative large-scale machine learning (ML) aims at flexible specification of MLalgorithms and automatic generation of hybrid runtime plans ranging from single node; in-memory computations to distributed computations on MapReduce (MR) or similarframeworks. State-of-the-art compilers in this context are very sensitive to memoryconstraints of the master process and MR cluster configuration. Different memoryconfigurations can lead to significant performance differences. Interestingly; resourcenegotiation frameworks like YARN allow us to explicitly request preferred resourcesincluding memory. This capability enables automatic resource elasticity; which is not justimportant for performance but also removes the need for a static cluster configuration; whichis always a compromise in multi-tenancy environments. In this paper; we introduce a …,Proceedings of the 2015 ACM SIGMOD International Conference on Management of Data,2015,23
SystemML's Optimizer: Plan Generation for Large-Scale Machine Learning Programs.,Matthias Boehm; Douglas R Burdick; Alexandre V Evfimievski; Berthold Reinwald; Frederick R Reiss; Prithviraj Sen; Shirish Tatikonda; Yuanyuan Tian,Abstract SystemML enables declarative; large-scale machine learning (ML) via a high-levellanguage with R-like syntax. Data scientists use this language to express their MLalgorithms with full flexibility but without the need to hand-tune distributed runtime executionplans and system configurations. These ML programs are dynamically compiled andoptimized based on data and cluster characteristics using ruleand cost-based optimizationtechniques. The compiler automatically generates hybrid runtime execution plans rangingfrom in-memory; single node execution to distributed MapReduce (MR) computation anddata access. This paper describes the SystemML optimizer; its compilation chain; andselected optimization phases for generating efficient execution plans.,IEEE Data Eng. Bull.,2014,22
SystemML: Declarative machine learning on spark,Matthias Boehm; Michael W Dusenberry; Deron Eriksson; Alexandre V Evfimievski; Faraz Makari Manshadi; Niketan Pansare; Berthold Reinwald; Frederick R Reiss; Prithviraj Sen; Arvind C Surve; Shirish Tatikonda,Abstract The rising need for custom machine learning (ML) algorithms and the growing datasizes that require the exploitation of distributed; data-parallel frameworks such asMapReduce or Spark; pose significant productivity challenges to data scientists. ApacheSystemML addresses these challenges through declarative ML by (1) increasing theproductivity of data scientists as they are able to express custom algorithms in a familiardomain-specific language covering linear algebra primitives and statistical functions; and (2)transparently running these ML algorithms on distributed; data-parallel frameworks byapplying cost-based compilation techniques to generate efficient; low-level execution planswith in-memory single-node and large-scale distributed operations. This paper describesSystemML on Apache Spark; end to end; including insights into various optimizer and …,Proceedings of the VLDB Endowment,2016,20
Dipbench toolsuite: A framework for benchmarking integration systems,Matthias Bohm; Dirk Habich; Wolfgang Lehner; Uwe Wloka,So far the optimization of integration processes between heterogeneous data sources is stillan open challenge. A first step towards sufficient techniques was the specification of auniversal benchmark for integration systems. This DIPBench allows to compare solutionsunder controlled conditions and would help generate interest in this research area.However; we see the requirement for providing a sophisticated toolsuite in order to minimizethe effort for benchmark execution. This demo illustrates the use of the DIPBench toolsuite.We show the macro-architecture as well as the micro-architecture of each tool. Furthermore;we also present the first reference benchmark implementation using a federated DBMS.Thereby; we discuss the impact of the defined benchmark scale factors. Finally; we want togive guidance on how to benchmark other integration systems and how to extend the …,Data Engineering; 2008. ICDE 2008. IEEE 24th International Conference on,2008,19
Context-aware parameter estimation for forecast models in the energy domain,Lars Dannecker; Robert Schulze; Matthias Böhm; Wolfgang Lehner; Gregor Hackenbroich,Abstract Continuous balancing of energy demand and supply is a fundamental prerequisitefor the stability and efficiency of energy grids. This balancing task requires accurateforecasts of future electricity consumption and production at any point in time. For thispurpose; database systems need to be able to rapidly process forecasting queries and toprovide accurate results in short time frames. However; time series from the electricitydomain pose the challenge that measurements are constantly appended to the time series.Using a naive maintenance approach for such evolving time series would mean a re-estimation of the employed mathematical forecast model from scratch for each newmeasurement; which is very time consuming. We speed-up the forecast model maintenanceby exploiting the particularities of electricity time series to reuse previously employed …,International Conference on Scientific and Statistical Database Management,2011,18
Towards Self-Optimization of Message Transformation Processes.,Matthias Böhm; Dirk Habich; Uwe Wloka; Jürgen Bittner; Wolfgang Lehner,Abstract. The Message Transformation Model (MTM); for modeling complex messagetransformation processes in data centric application scenarios; provides strong capabilitiesfor describing the data and control flow; transactional behavior and even the interaction withexternal systems. Thus; this general model could be used for different integration platformslike EAI-Servers; Message-Brokers and Subscription-Systems; as well as for ETL-Tools. Inthis paper; we describe self-optimization strategies for MTM processes to determine anoptimal executable process. Our proposed strategies can be distinguished into rule-basedand workload-based techniques. Aside from theoretical consideration; we describeimplementation aspects within the integration platform Trans-ConnectR©. Furthermore; wepresent some first evaluation results.,ADBIS Research Communications,2007,15
Towards integrated data analytics: Time series forecasting in DBMS,Ulrike Fischer; Lars Dannecker; Laurynas Siksnys; Frank Rosenthal; Matthias Boehm; Wolfgang Lehner,Abstract Integrating sophisticated statistical methods into database management systems isgaining more and more attention in research and industry in order to be able to cope withincreasing data volume and increasing complexity of the analytical algorithms. Oneimportant statistical method is time series forecasting; which is crucial for decision makingprocesses in many domains. The deep integration of time series forecasting offers additionaladvanced functionalities within a DBMS. More importantly; however; it allows foroptimizations that improve the efficiency; consistency; and transparency of the overallforecasting process. To enable efficient integrated forecasting; we propose to enhance thetraditional 3-layer ANSI/SPARC architecture of a DBMS with forecasting functionalities. Thisarticle gives a general overview of our proposed enhancements and presents how …,Datenbank-Spektrum,2013,12
