The object-oriented database system manifesto,Malcolm Atkinson; David DeWitt; David Maier; Francois Bancilhon; Klaus Dittrich; Stanley Zdonik,Download full text in PDF Opens in a new window. Article suggestions will be shown in a dialogon return to ScienceDirect … Please enable JavaScript to use all the features on this page.… This paper attempts to define an object-oriented database system. It describes the main featuresand characteristics that a system must have to qualify as an object-oriented databasesystem … Mandatory; the ones the system must satisfy in order to be termed an object-orienteddatabase system. These are complex objects; object identity; encapsulation; types orclasses; inheritance; overriding combined with late binding; extensibility; computationalcompleteness; persistence; secondary storage management; concurrency; recovery and an adhoc query facility … Optional; the ones that can be added to make the system better; but whichare not mandatory. These are multiple inheritance; type checking and inferencing …,*,1990,1738
Aurora: a new model and architecture for data stream management,Daniel J Abadi; Don Carney; Ugur Çetintemel; Mitch Cherniack; Christian Convey; Sangdon Lee; Michael Stonebraker; Nesime Tatbul; Stan Zdonik,Abstract. This paper describes the basic processing model and architecture of Aurora; a newsystem to manage data streams for monitoring applications. Monitoring applications differsubstantially from conventional business data processing. The fact that a software systemmust process and react to continual inputs from many sources (eg; sensors) rather than fromhuman operators requires one to rethink the fundamental architecture of a DBMS for thisapplication area. In this paper; we present Aurora; a new DBMS currently under constructionat Brandeis University; Brown University; and MIT We first provide an overview of the basicAurora model and architecture and then describe in detail a stream-oriented set ofoperators.,the VLDB Journal,2003,1722
The Design of the Borealis Stream Processing Engine.,Daniel J Abadi; Yanif Ahmad; Magdalena Balazinska; Ugur Cetintemel; Mitch Cherniack; Jeong-Hyon Hwang; Wolfgang Lindner; Anurag Maskey; Alex Rasin; Esther Ryvkina; Nesime Tatbul; Ying Xing; Stanley B Zdonik,Abstract Borealis is a second-generation distributed stream processing engine that is beingdeveloped at Brandeis University; Brown University; and MIT. Borealis inherits core streamprocessing functionality from Aurora [14] and distribution functionality from Medusa [51].Borealis modifies and extends both systems in non-trivial and critical ways to provideadvanced capabilities that are commonly required by newly-emerging stream processingapplications. In this paper; we outline the basic design and functionality of Borealis. Throughsample real-world applications; we motivate the need for dynamically revising query resultsand modifying query specifications. We then describe how Borealis addresses thesechallenges through an innovative set of features; including revision records; time travel; andcontrol lines. Finally; we present a highly flexible and scalable QoS-based optimization …,Cidr,2005,1512
Broadcast disks: data management for asymmetric communication environments,Swarup Acharya; Rafael Alonso; Michael Franklin; Stanley Zdonik,Abstract This paper proposes the use of repetitive broadcast as a way of augmenting thememory hierarchy of clients in an asymmetric communication environment. We describe anew technique called “Broadcast Disks” for structuring the broadcast in a way that providesimproved performance for non-uniformly accessed data. The Broadcast Disk superimposesmultiple disks spinning at different speeds on a single broadcast channel—in effect creatingan arbitrarily fine-grained memory hierarchy. In addition to proposing and defining themechanism; a main result of this work is that exploiting the potential of the broadcaststructure requires a re-evaluation of basic cache management policies. We examine several“pure” cache management policies and develop and measure implementableapproximations to these policies. These results and others are presented in a set of …,*,1995,1336
C-store: a column-oriented DBMS,Mike Stonebraker; Daniel J Abadi; Adam Batkin; Xuedong Chen; Mitch Cherniack; Miguel Ferreira; Edmond Lau; Amerson Lin; Sam Madden; Elizabeth O'Neil; Pat O'Neil; Alex Rasin; Nga Tran; Stan Zdonik,Abstract This paper presents the design of a read-optimized relational DBMS that contrastssharply with most current systems; which are write-optimized. Among the many differencesin its design are: storage of data by column rather than by row; careful coding and packing ofobjects into storage including main memory during query processing; storing an overlappingcollection of column-oriented projections; rather than the current fare of tables and indexes;a non-traditional implementation of transactions which includes high availability andsnapshot isolation for read-only transactions; and the extensive use of bitmap indexes tocomplement B-tree structures. We present preliminary performance data on a subset of TPC-H and show that the system we are building; C-Store; is substantially faster than popularcommercial products. Hence; the architecture looks very encouraging.,Proceedings of the 31st international conference on Very large data bases,2005,1250
Monitoring streams—a new class of data management applications,Don Carney; Uğur Çetintemel; Mitch Cherniack; Christian Convey; Sangdon Lee; Greg Seidman; Nesime Tatbul; Stan Zdonik; Michael Stonebraker,Monitoring applications are those where streams of information; triggers; real-timerequirements; and imprecise data are prevalent. Traditional DBMSs are based on the HADPmodel; and thus cannot provide adequate support for such applications. Traditional DBMSshave been oriented toward business data processing; and consequently are designed toaddress the needs of these applications. First; they have assumed that the DBMS is apassive repository storing a large collection of data elements; and that humans initiatequeries and transactions on this repository. Second; they have assumed that the currentstate of the data is the only thing that is important. Hence; current values of data elementsare easy to obtain; while previous values can only be found torturously by decoding theDBMS log. The third assumption is that triggers and alerters are second-class citizens …,*,2002,1148
-Load Shedding in a Data Stream Manager,Nesime Tatbul; Uğur Çetintemel; Stan Zdonik; Mitch Cherniack; Michael Stonebraker,This chapter discusses load shedding in a data stream manager. A Data Stream Manageraccepts push-based inputs from a set of data sources; processes these inputs with respect toa set of standing queries; and produces outputs based on Quality-of-Service (QoS)specifications. When input rates exceed system capacity; the system will becomeoverloaded and latency will deteriorate. Under these conditions; the system will shed load;thus degrading the answer; to improve the observed latency of the results. The chapterexamines a technique for dynamically inserting and removing drop operators into queryplans as required by the current load. It examines two types of drops: the first drops a fractionof the tuples in a randomized fashion; and the second drops tuples based on the importanceof their content. The chapter addresses the problems of determining when load shedding …,*,2003,689
Scalable Distributed Stream Processing.,Mitch Cherniack; Hari Balakrishnan; Magdalena Balazinska; Donald Carney; Ugur Cetintemel; Ying Xing; Stanley B Zdonik,Abstract Stream processing fits a large class of new applications for which conventionalDBMSs fall short. Because many stream-oriented systems are inherently geographicallydistributed and because distribution offers scalable load management and higheravailability; future stream processing systems will operate in a distributed fashion. They willrun across the Internet on computers typically owned by multiple cooperating administrativedomains. This paper describes the architectural challenges facing the design of large-scaledistributed stream processing systems; and discusses novel approaches for addressing loadmanagement; high availability; and federated operation issues. We describe two streamprocessing systems; Aurora* and Medusa; which are being designed to explorecomplementary solutions to these challenges. This paper discusses the architectural …,CIDR,2003,616
Balancing push and pull for data broadcast,Swarup Acharya; Michael Franklin; Stanley Zdonik,Abstract The increasing ability to interconnect computers through internet-working; wirelessnetworks; high-bandwidth satellite; and cable networks has spawned a new class ofinformation-centered applications based on data dissemination. These applications employbroadcast to deliver data to very large client populations. We have proposed the BroadcastDisks paradigm [Zdon94; Acha95b] for organizing the contents of a data broadcast programand for managing client resources in response to such a program. Our previous work onBroadcast Disks focused exclusively on the “push-based” approach; where data is sent outon the broadcast channel according to a periodic schedule; in anticipation of client requests.In this paper; we study how to augment the push-only model with a “pull-based” approach ofusing a backchannel to allow clients to send explicit requests for data to the server. We …,ACM SIGMOD Record,1997,581
The 8 requirements of real-time stream processing,Michael Stonebraker; Uǧur Çetintemel; Stan Zdonik,Abstract Applications that require real-time processing of high-volume data steams arepushing the limits of traditional data processing infrastructures. These stream-basedapplications include market feed processing and electronic trading on Wall Street; networkand infrastructure monitoring; fraud detection; and command and control in militaryenvironments. Furthermore; as the" sea change" caused by cheap micro-sensor technologytakes hold; we expect to see everything of material significance on the planet get" sensor-tagged" and report its state or location in real time. This sensorization of the real world willlead to a" green field" of novel monitoring and control applications with high-volume and low-latency processing requirements. Recently; several technologies have emerged---includingoff-the-shelf stream processing engines---specifically to address the challenges of …,ACM Sigmod Record,2005,550
