Holistic twig joins: optimal XML pattern matching,Nicolas Bruno; Nick Koudas; Divesh Srivastava,Abstract XML employs a tree-structured data model; and; naturally; XML queries specifypatterns of selection predicates on multiple elements related by a tree structure. Finding alloccurrences of such a twig pattern in an XML database is a core operation for XML queryprocessing. Prior work has typically decomposed the twig pattern into binary structural(parent-child and ancestor-descendant) relationships; and twig matching is achieved by:(i)using structural join algorithms to match the binary relationships against the XML database;and (ii) stitching together these basic matches. A limitation of this approach for matching twigpatterns is that intermediate result sizes can get large; even when the input and output sizesare more manageable. In this paper; we propose a novel holistic twig join algorithm;TwigStack; for matching an XML query twig pattern. Our technique uses a chain of linked …,Proceedings of the 2002 ACM SIGMOD international conference on Management of data,2002,1306
Structural joins: A primitive for efficient XML query pattern matching,Shurug Al-Khalifa; HV Jagadish; Nick Koudas; Jignesh M Patel; Divesh Srivastava; Yuqing Wu,XML queries typically specify patterns of selection predicates on multiple elements that havesome specified tree structured relationships. The primitive tree structured relationships areparent-child and ancestor-descendant; and finding all occurrences of these relationships inan XML database is a core operation for XML query processing. We develop two families ofstructural join algorithms for this task: tree-merge and stack-tree. The tree-merge algorithmsare a natural extension of traditional merge joins and the multi-predicate merge joins; whilethe stack-tree algorithms have no counterpart in traditional relational join processing. Wepresent experimental results on a range of data and queries using the TIMBER native XMLquery engine built on top of SHORE. We show that while; in some cases; tree-mergealgorithms can have performance comparable to stack-tree algorithms; in many cases …,Data Engineering; 2002. Proceedings. 18th International Conference on,2002,1206
Answering queries using views,Alon Y Levy; Alberto O Mendelzon; Yehoshua Sagiv,Abstract We consider the problem of computing answers to queries by using materializedviews. Aside from its potential in optimizing query evaluation; the problem also arises inapplications such as Global Information Systems; Mobile Computing and maintainingphysical data independence. We consider the problem of finding a rewriting of a query thatuses the materialized views; the problem of finding minimal rewritings; and finding completerewritings(ie; rewritings that use only the views). We show that all the possible rewritings canbe obtained by considering cent ainment mappings from the views to the query; and that theproblems we consider are NP-complete when both the query and the views are conjunctiveand don't involve builtin comparison predicates. We show that the problem has twoindependent sources of complexity(the number of possible containment mappings; and …,Proceedings of the fourteenth ACM SIGACT-SIGMOD-SIGART symposium on Principles of database systems,1995,921
Semantic data caching and replacement,Shaul Dar; Michael J Franklin; Bjorn T Jonsson; Divesh Srivastava; Michael Tan,Abstract We propose a semantic model for client-side caching and replacement in a client-server database system and compare this approach to page caching and tuple cachingstrategies. Our caching model is based on; and derives its advantages from; three key ideas.First; the client maintains a semantic description of the data in its cache; which allows for acompact specification; as a remainder query; of the tuples needed to answer a query that arenot available in the cache. Second; usage information for replacement policies is maintainedin an adaptive fashion for semantic regions; which are associated with collections of tuples.This avoids the high overheads of tuple caching and; unlike page caching; is insensitive tobad clustering. Third; maintaining a semantic description of cached data enables the use ofsophisticated value functions that incorporate semantic notions of locality; not just LRU or …,Proceedings of the international conference on Very Large Data Bases,1996,717
Semantic data caching and replacement,Michael J Franklin; Bjorn T Jonsson; Divesh Srivastava; Michael Tan Shaul Dar,*,Proceedings of the 22th International Conference on Very Large Data Bases,1996,717
Approximate string joins in a database (almost) for free,Luis Gravano; Panagiotis G Ipeirotis; Hosagrahar Visvesvaraya Jagadish; Nick Koudas; Shanmugauelayut Muthukrishnan; Divesh Srivastava,Abstract String data is ubiquitous; and its management has taken on particular importance inthe past few years. Approximate queries are very important on string data especially formore complex queries involving joins. This is due; for example; to the prevalence oftypographical errors in data; and multiple conventions for recording attributes such as nameand address. Commercial databases do not support approximate string joins directly; and itis a challenge to implement this functionality efficiently with user-defined functions (UDFs). Inthis paper; we develop a technique for building approximate string join capabilities on top ofcommercial databases by exploiting facilities already available in them. At the core; ourtechnique relies on matching short substrings of length а; called а-grams; and taking intoaccount both positions of individual matches and the total number of such matches. Our …,Proceedings of the international conference on very large data bases,2001,634
Objectrank: Authority-based keyword search in databases,Andrey Balmin; Vagelis Hristidis; Yannis Papakonstantinou,Abstract The ObjectRank system applies authority-based ranking to keyword search indatabases modeled as labeled graphs. Conceptually; authority originates at the nodes(objects) containing the keywords and flows to objects according to their semanticconnections. Each node is ranked according to its authority with respect to the particularkeywords. One can adjust the weight of global importance; the weight of each keyword of thequery; the importance of a result actually containing the keywords versus being referencedby nodes containing them; and the volume of authority flow via each type of semanticconnection. Novel performance challenges and opportunities are addressed. First; schemasimpose constraints on the graph; which are exploited for performance purposes. Second; inorder to address the issue of authority ranking with respect to the given keywords (as …,Proceedings of the Thirtieth international conference on Very large data bases-Volume 30,2004,607
Yu.; C.: Timber: a Native XML Database,HV Jagadish; Shurug Al-Khalifa; Adriane Chapman; LV Lakshmanan; Andrew Nierman; Stelios Paparizos; J Patel; Divesh Srivastava; N Wiwatwattana; Y Wu,*,VLDB Journal,2002,570
The information manifold,Thomas Kirk; Alon Y Levy; Yehoshua Sagiv; Divesh Srivastava,Abstract We describe the Information Manifold (IM); a system for browsing and querying ofmultiple networked information sources. As a first contribution; the system demonstrates theviability of knowledge representation technology for retrieval and organization of informationfrom disparate (structured and unstructured) information sources. Such an organizationallows the user to pose high-level queries that use data from multiple information sources.As a second contribution; we describe novel query processing algorithms used to combineinformation from multiple sources. In particular; our algorithms are guaranteed to find exactlythe set of information sources relevant to a query; and to completely exploit knowledgeabout local closed world information (Etzioni et al. 1994).,Proceedings of the AAAI 1995 Spring Symp. on Information Gathering from Heterogeneous; Distributed Enviroments,1995,554
On computing correlated aggregates over continual data streams,Johannes Gehrke; Flip Korn; Divesh Srivastava,Abstract In many applications from telephone fraud detection to network management; dataarrives in a stream; and there is a need to maintain a variety of statistical summaryinformation about a large number of customers in an online fashion. At present; suchapplications maintain basic aggregates such as running extrema values (MIN; MAX);averages; standard deviations; etc.; that can be computed over data streams with limitedspace in a straightforward way. However; many applications require knowledge of morecomplex aggregates relating different attributes; so-called correlated aggregates. As anexample; one might be interested in computing the percentage of international phone callsthat are longer than the average duration of a domestic phone call. Exact computation of thisaggregate requires multiple passes over the data stream; which is infeasible. We propose …,ACM SIGMOD Record,2001,387
