Overview of SciDB: large scale array storage; processing and analysis,Paul G Brown,Abstract SciDB [4; 3] is a new open-source data management system intended primarily foruse in application domains that involve very large (petabyte) scale array data; for example;scientific applications such as astronomy; remote sensing and climate modeling; bio-scienceinformation management; risk management systems in financial applications; and theanalysis of web log data. In this talk we will describe our set of motivating examples and usethem to explain the features of SciDB. We then briefly give an overview of the project'inflight'; explaining our novel storage manager; array data model; query language; andextensibility frameworks.,Proceedings of the 2010 ACM SIGMOD International Conference on Management of data,2010,280
A demonstration of SciDB: a science-oriented DBMS,Philippe Cudré-Mauroux; Hideaki Kimura; K-T Lim; Jennie Rogers; Roman Simakov; Emad Soroush; Pavel Velikhov; Daniel L Wang; Magdalena Balazinska; Jacek Becla; D DeWitt; Bobbi Heath; David Maier; Samuel Madden; J Patel; Michael Stonebraker; S Zdonik,Abstract In CIDR 2009; we presented a collection of requirements for SciDB; a DBMS thatwould meet the needs of scientific users. These included a nested-array data model; science-specific operations such as regrid; and support for uncertainty; lineage; and named versions.In this paper; we present an overview of SciDB's key features and outline a demonstration ofthe first version of SciDB on data and operations from one of our lighthouse users; the LargeSynoptic Survey Telescope (LSST).,Proceedings of the VLDB Endowment,2009,153
One size fits all? Part 2: Benchmarking results,Michael Stonebraker; Chuck Bear; Uğur Çetintemel; Mitch Cherniack; Tingjian Ge; Nabil Hachem; Stavros Harizopoulos; John Lifter; Jennie Rogers; Stan Zdonik,ABSTRACT Two years ago; some of us wrote a paper predicting the demise of “One SizeFits All (OSFA)”[Sto05a]. In that paper; we examined the stream processing and datawarehouse markets and gave reasons for a substantial performance advantage tospecialized architectures in both markets. Herein; we make three additional contributions.First; we present reasons why the same performance advantage is enjoyed by specializedimplementations in the text processing market. Second; the major contribution of the paper isto show “apples to apples” performance numbers between commercial implementations ofspecialized architectures and relational DBMSs in both stream processing and datawarehouses. Finally; we also show comparison numbers between an academic prototype ofa specialized architecture for scientific and intelligence applications; a relational DBMS …,Proc. CIDR,2007,122
Performance prediction for concurrent database workloads,Jennie Duggan; Ugur Cetintemel; Olga Papaemmanouil; Eli Upfal,Abstract Current trends in data management systems; such as cloud and multi-tenantdatabases; are leading to data processing environments that concurrently executeheterogeneous query workloads. At the same time; these systems need to satisfy diverseperformance expectations. In these newly-emerging settings; avoiding potential Quality-of-Service (QoS) violations heavily relies on performance predictability; ie; the ability toestimate the impact of concurrent query execution on the performance of individual queriesin a continuously evolving workload. This paper presents a modeling approach to estimatethe impact of concurrency on query performance for analytical workloads. Our solution relieson the analysis of query behavior in isolation; pairwise query interactions and samplingtechniques to predict resource contention under various query mixes and concurrency …,Proceedings of the 2011 ACM SIGMOD International Conference on Management of data,2011,114
The bigdawg polystore system,Jennie Duggan; Aaron J Elmore; Michael Stonebraker; Magda Balazinska; Bill Howe; Jeremy Kepner; Sam Madden; David Maier; Tim Mattson; Stan Zdonik,Abstract This paper presents a new view of federated databases to address the growingneed for managing information that spans multiple data models. This trend is fueled by theproliferation of storage engines and query languages based on the observation that “no onesize fits all”. To address this shift; we propose a polystore architecture; it is designed to unifyquerying over multiple data models. We consider the challenges and opportunitiesassociated with polystores. Open questions in this space revolve around query optimizationand the assignment of objects to storage engines. We introduce our approach to thesetopics and discuss our prototype in the context of the Intel Science and Technology Centerfor Big Data,ACM Sigmod Record,2015,62
A demonstration of the bigdawg polystore system,Aaron Elmore; Jennie Duggan; Mike Stonebraker; Magdalena Balazinska; Ugur Cetintemel; Vijay Gadepally; Jeffrey Heer; Bill Howe; Jeremy Kepner; Tim Kraska; Samuel Madden; David Maier; Timothy Mattson; Stavros Papadopoulos; Jeff Parkhurst; Nesime Tatbul; Manasi Vartak; Stan Zdonik,Abstract This paper presents BigDAWG; a reference implementation of a new architecturefor" Big Data" applications. Such applications not only call for large-scale analytics; but alsofor real-time streaming support; smaller analytics at interactive speeds; data visualization;and cross-storage-system queries. Guided by the principle that" one size does not fit all"; webuild on top of a variety of storage engines; each designed for a specialized use case. Toillustrate the promise of this approach; we demonstrate its effectiveness on a hospitalapplication using data from an intensive care unit (ICU). This complex application serves theneeds of doctors and researchers and provides real-time support for streams of patient data.It showcases novel approaches for querying across multiple storage engines; datavisualization; and scalable real-time analytics.,Proceedings of the VLDB Endowment,2015,55
E-store: Fine-grained elastic partitioning for distributed transaction processing systems,Rebecca Taft; Essam Mansour; Marco Serafini; Jennie Duggan; Aaron J Elmore; Ashraf Aboulnaga; Andrew Pavlo; Michael Stonebraker,Abstract On-line transaction processing (OLTP) database management systems (DBMSs)often serve time-varying workloads due to daily; weekly or seasonal fluctuations in demand;or because of rapid growth in demand due to a company's business success. In addition;many OLTP workloads are heavily skewed to" hot" tuples or ranges of tuples. For example;the majority of NYSE volume involves only 40 stocks. To deal with such fluctuations; anOLTP DBMS needs to be elastic; that is; it must be able to expand and contract resources inresponse to load fluctuations and dynamically balance load as hot tuples vary over time.This paper presents E-Store; an elastic partitioning framework for distributed OLTP DBMSs.It automatically scales resources in response to demand spikes; periodic events; andgradual changes in an application's workload. E-Store addresses localized bottlenecks …,Proceedings of the VLDB Endowment,2014,54
A generic auto-provisioning framework for cloud databases,Jennie Rogers; Olga Papaemmanouil; Ugur Cetintemel,We discuss the problem of resource provisioning for database management systemsoperating on top of an Infrastructure-As-A-Service (IaaS) cloud. To solve this problem; wedescribe an extensible framework that; given a target query workload; continually optimizesthe system's operational cost; estimated based on the IaaS provider's pricing model; whilesatisfying QoS expectations. Specifically; we describe two different approaches; a “white-box” approach that uses a fine-grained estimation of the expected resource consumption fora workload; and a “black-box” approach that relies on coarse-grained profiling tocharacterize the workload's end-to-end performance across various cloud resources. Weformalize both approaches as a constraint programming problem and use a genericconstraint solver to efficiently tackle them. We present preliminary experimental numbers …,Data Engineering Workshops (ICDEW); 2010 IEEE 26th International Conference on,2010,44
Ss-db: A standard science dbms benchmark,Philippe Cudre-Mauroux; Hideaki Kimura; Kian-Tat Lim; Jennie Rogers; Samuel Madden; Michael Stonebraker; Stanley B Zdonik; Paul G Brown,*,Under submission,2010,21
The bigdawg polystore system and architecture,Vijay Gadepally; Peinan Chen; Jennie Duggan; Aaron Elmore; Brandon Haynes; Jeremy Kepner; Samuel Madden; Tim Mattson; Michael Stonebraker,Organizations are often faced with the challenge of providing data management solutions forlarge; heterogenous datasets that may have different underlying data and programmingmodels. For example; a medical dataset may have unstructured text; relational data; timeseries waveforms and imagery. Trying to fit such datasets in a single data managementsystem can have adverse performance and efficiency effects. As a part of the Intel Scienceand Technology Center on Big Data; we are developing a polystore system designed forsuch problems. BigDAWG (short for the Big Data Analytics Working Group) is a polystoresystem designed to work on complex problems that naturally span across differentprocessing or storage engines. BigDAWG provides an architecture that supports diversedatabase systems working with different data models; support for the competing notions …,High Performance Extreme Computing Conference (HPEC); 2016 IEEE,2016,18
