Workshop on CP studies and non-standard Higgs physics,E Accomando; R Noriega-Papaqui; MG Ryskin; T Han; F Franke; D Rainwater; H Przysiezniak; JS Lee; P Min; M Schumacher; P Niezurawski; G Moortgat-Pick; A Bartl; Bob McElrath; SY Choi; G Shaughnessy; D Zerwas; W Bernreuther; N Amapane; M Dolgopolov; M Boonekamp; M Hirsch; SP Fitzgerald; H Schrder; A Kyriakis; JL Hewett; Francesca Borzumati; W Khater; M Velasco; MC Lemaire; M Krawczyk; HE Logan; Gerald Jean Grenier; DD Dietrich; O Eboli; AG Akeroyd; M Bluj; D Zeppenfeld; H Rzehak; MM Muhlleitner; G Azuelos; A Nikitenko; S Gennai; J Albert; E Akhmetzyanova; A Deandrea; G Blanger; T Mahmoud; K Hidaka; A De Roeck; D Rousseau; Vladimir A Litvine; A Alves; M Aoki; J Kalinowski; A Raspereza; C Grojean; R Dermisek; A Pukhov; C Hugonie; Y Liao; J Ferland; S Rindani; S Moretti; J Hosek; A Rosado; AF Zarnecki; H-S Lee; Y Okada; S Baffioni; G Weiglein; L Vacavant; RM Godbole; KE Williams; B Lillie; MA Diaz; J Ziethe; P Bechtle; IF Ginzburg; D Hooper; SB Gudnason; J Williams; C Collard; R Bellan; J Terning; AD Martin; A Pilaftsis; P Osland; V Kashkan; DP Roy; John A Conley; F Sannino; C Mariotti; P Marquard; H Newman; E Schmidt; H Fraas; SF King; O Kittel; G Dewhirst; VA Khoze; J Hubisz; Tomas Brauner; HE Haber; T Gregoire; V Barger; E Maina; T Hahn; S Kraml; Petr Benes; JL Kneur; A Brandenburg; AR Zerwekh; E Ros; L Fano; F von der Pahlen; C Kouvaris; D Cavalli; F Boudjema; M Besanon; A Belhouari; S Heinemeyer; S Riemann; CP Buszello; W Porod; K Benslama; D Dominici; JM Butterworth; JF Gunion; V Hankele; M Beyer; DJ Miller; S Ferrag; Christopher Paul Hays; P Langacker; Marcela Carena; B Clerbaux; A Semenov; W Hollik; G Klamke; S De Curtis; T Kernreiter; R Nevzorov; JL Diaz-Cruz; TG Rizzo; PM Zerwas; G Cerminara; S Munir; S Bolognesi; S Hesselbach,Abstract There are many possibilities for new physics beyond the Standard Model thatfeature non-standard Higgs sectors. These may introduce new sources of CP violation; andthere may be mixing between multiple Higgs bosons or other new scalar bosons.Alternatively; the Higgs may be a composite state; or there may even be no Higgs at all.These non-standard Higgs scenarios have important implications for collider physics as wellas for cosmology; and understanding their phenomenology is essential for a fullcomprehension of electroweak symmetry breaking. This report discusses the most relevanttheories which go beyond the Standard Model and its minimal; CP-conservingsupersymmetric extension: two-Higgs-doublet models and minimal supersymmetric modelswith CP violation; supersymmetric models with an extra singlet; models with extra gauge …,*,2006,177
The dark Z′ portal: direct; indirect and collider searches,Alexandre Alves; Stefano Profumo; Farinaldo S Queiroz,A bstract We perform a detailed study of the dark Z′ portal using a generic parametrizationof the Z′-quarks couplings; both for light (8-15) GeV and heavy (100-1000) GeV dark matterscenarios. We present a comprehensive study of the collider phenomenology including jetclustering; hadronization; and detector artifacts; which allows us to derive accurate boundsfrom the search for new resonances in dijet events and from mono-jet events in the LHC 7TeV; LHC 8 TeV; and Tevatron 1.96 TeV data. We also compute the dark matter relicabundance; the relevant scattering cross sections and pair-annihilation spectrum; andcompare our results with the current PLANCK; Fermi-LAT and XENON100/LUX bounds.Lastly; we highlight the importance of complementary searches for dark matter; and outlinethe excluded versus still viable parameter space regions of the dark Z′ portal.,Journal of High Energy Physics,2014,131
The 750 GeV S-cion: Where else should we look for it?,Alexandre Alves; Alex G Dias; Kuver Sinha,Abstract The resonance S at∼ 750 GeV in the diphoton channel observed by ATLAS andCMS; if it holds up; is almost certainly the (S) cion of a larger dynasty in a UV completion thatmay very well be connected to the hierarchy problem. At this stage; however; an effectivefield theory framework provides a useful way to parametrize searches for this resonance inother channels. Assuming that the excess is due to a new scalar or pseudoscalar boson; westudy associated production of S (“S-strahlung”) at the LHC and propose searches in severalclean channels like γ γ ℓ ℓ; γ γ ℓ E̸ T and ℓ ℓ ℓ γ E̸ T to probe dimension-5 operatorscoupling S to Standard Model gauge bosons. We consider a range of widths for S; from 5GeV to 45 GeV; and find that the three channels probe complementary regions of parameterspace and the suppression scale Λ. The finding of most immediate relevance is that with …,Physics Letters B,2016,120
Dirac-fermionic dark matter in U (1) X models,Alexandre Alves; Asher Berlin; Stefano Profumo; Farinaldo S Queiroz,A bstract We study a number of U (1) X models featuring a Dirac fermion dark matter particle.We perform a comprehensive analysis which includes the study of corrections to the muonmagnetic moment; dilepton searches with LHC data; as well as direct and indirect darkmatter detection constraints. We consider four different coupling structures; namely U (1) B−L; U (1) d− u; U (1) universal; and U 1 10+ 5¯ U (1) _ 10+ 5; all motivated by compellingextensions to the standard model. We outline the viable and excluded regions of parameterspace using a large set of probes. Our key findings are that (i) the combination of directdetection and collider constraints rule out dark matter particle masses lighter than∼ 1 TeV;unless rather suppressed Z′-fermion couplings exist; and that (ii) for several of the modelsunder consideration; collider constraints rule out Z′ masses up to∼ 3 TeV. Lastly; we …,Journal of High Energy Physics,2015,96
Effective field theory approach to the Galactic Center gamma-ray excess,Alexandre Alves; Stefano Profumo; Farinaldo S Queiroz; William Shepherd,Abstract We explore the possibility of explaining a gamma-ray excess in the Galactic center;originally pointed out by Hooper; collaborators; and other groups; in an effective field theoryframework. We assume that dark matter annihilation is mediated by particles heavy enoughto be integrated out and that such particles couple to all quark families. We calculate theeffective coupling required to explain the annihilation signal in the Galactic center andcompare with bounds from direct detection; collider searches; and the requirement that thedark matter particles make up the appropriate fraction of the universal energy budget. Wefind that only a very small set of operators can explain the gamma-ray excess while beingconsistent with other constraints. Specifically; for scalar dark matter; the viable options areone scalar-type coupling to quarks and one interaction with gluons; while for fermionic …,Physical Review D,2014,96
It is a gluino,Alexandre Alves; Oscar Eboli; Tilman Plehn,Abstract For a long time it has been known that the like-sign dilepton signature can helpestablish the existence of a gluino at the LHC. To unambiguously claim that we see astrongly interacting Majorana fermion—which we could call a gluino—we need to prove thatit is indeed a fermion. We propose how to extract this information from a different gluino-decay cascade which is also used to measure its mass. Looking only at angular correlationswe distinguish a universal extra dimensional interpretation assuming a bosonic heavy gluonfrom supersymmetry with a fermionic gluino. Assuming a supersymmetric interpretation; weshow how the same angular correlations can be used to study the left-right nature of thesfermions appearing in the decay chain.,Physical Review D,2006,90
Dark matter complementarity and the Z′ portal,Alexandre Alves; Asher Berlin; Stefano Profumo; Farinaldo S Queiroz,Abstract Z′ gauge bosons arise in many particle physics models as mediators between thedark and visible sectors. We exploit dark matter (DM) complementarity and derive stringentand robust collider; direct and indirect constraints; as well as limits from the muon magneticmoment. We rule out almost the entire region of the parameter space that yields the rightdark matter thermal relic abundance; using a generic parametrization of the Z′-fermioncouplings normalized to the standard model Z-fermion couplings for dark matter masses inthe 8 GeV–5 TeV range. We conclude that mediators lighter than 2.1 TeV are excludedregardless of the DM mass; and that depending on the Z′-fermion coupling strength muchheavier masses are needed to reproduce the DM thermal relic abundance while avoidingexisting limits.,Physical Review D,2015,84
Probing 3-3-1 models in diphoton Higgs boson decay,A Alves; E Ramirez Barreto; AG Dias; CA de S Pires; FS Queiroz; PS Rodrigues da Silva,Abstract We investigate the Higgs boson production through gluon fusion and its decay intotwo photons at the LHC in the context of the minimal 3-3-1 model and its alternative versionwith exotic leptons. The diphoton Higgs decay channel presents an enhanced signal in thismodel compared to the standard model due to the presence of an extra singly chargedvector boson and a doubly charged one. Prospects for the Higgs boson detection at 7 TeVcenter-of-mass energy with up to 10 fb− 1 are presented. Our results suggest that a Higgsboson from these 3-3-1 models can potentially explain the small excess for m H≤ 145 GeVobserved at the LHC. Otherwise; if this excess reveals to be only a statistical fluctuation ofthe standard model backgrounds; severe constraints can be put on these models.,Physical Review D,2011,70
Explaining the Higgs decays at the LHC with an extended electroweak model,Alexandre Alves; E Ramirez Barreto; AG Dias; CA de S Pires; Farinaldo S Queiroz; PS Rodrigues da Silva,Abstract We show that the observed enhancement in the diphoton decays of the recentlydiscovered new boson at the LHC; which we assume to be a Higgs boson; can be naturallyexplained by a new doublet of charged vector bosons from extended electroweak modelswith SU (3) C⊗ SU (3) L⊗ U (1) X symmetry. These models are also rather economical inexplaining the measured signal strengths; within the current experimental errors; demandingfewer assumptions and less parameters tuning. Our results show a good agreementbetween the theoretical expected sensitivity to a 126–125 GeV Higgs boson; and theexperimental significance observed in the diphoton channel at the 8 TeV LHC. Effects of aninvisible decay channel for the Higgs boson are also taken into account; in order toanticipate a possible confirmation of deficits in the branching ratios into ZZ∗; WW∗ …,The European Physical Journal C,2013,52
CP studies and non-standard Higgs physics,Sabine Kraml; E Accomando; AG Akeroyd; E Akhmetzyanova; J Albert; A Alves; N Amapane; M Aoki; G Azuelos; S Baffioni; A Ballestrero; V Barger; A Bartl; P Bechtle; G Belanger; A Belhouari; R Bellan; A Belyaev; P Benes; K Benslama; W Bernreuther; M Besancon; G Bevilacqua; M Beyer; M Bluj; Stefano Bolognesi; M Boonekamp; F Borzumati; F Boudjema; A Brandenburg; Tina Brauner; CP Buszello; JM Butterworth; M Carena; D Cavalli; G Cerminara; SY Choi; B Clerbaux; C Collard; JA Conley; A Deandrea; S De Curtis; R Dermisek; A De Roeck; G Dewhirst; MA Diaz; JL Diaz-Cruz; DD Dietrich; M Dolgopolov; D Dominici; M Dubinin; O Eboli; J Ellis; N Evans; L Fano; J Ferland; S Ferrag; SP Fitzgerald; H Fraas; F Franke; S Gennai; IF Ginzburg; RM Godbole; T Gregoire; G Grenier; C Grojean; SB Gudnason; JF Gunion; HE Haber; Thomas Hahn; T Han; V Hankele; C Hays; S Heinemeyer; S Hesselbach; JL Hewett; K Hidaka; M Hirsch; W Hollik; D Hooper; J Hosek; J Hubisz; C Hugonie; J Kalinowski; S Kanemura; V Kashkan; T Kernreiter; W Khater; VA Khoze; W Kilian; SF King; O Kittel; G Klamke; JL Kneur; Christoforos Kouvaris; M Krawczyk; P Krstonosic; A Kyriakis; P Langacker; MP Le,Abstract: There are many possibilities for new physics beyond the Standard Model thatfeature non-standard Higgs sectors. These may introduce new sources of CP violation; andthere may be mixing between multiple Higgs bosons or other new scalar bosons.Alternatively; the Higgs may be a composite state; or there may even be no Higgs at all.These non-standard Higgs scenarios have important implications for collider physics as wellas for cosmology; and understanding their phenomenology is essential for a fullcomprehension of electroweak symmetry breaking. This report discusses the most relevanttheories which go beyond the Standard Model and its minimal; CP-conservingsupersymmetric extension: two-Higgs-doublet models and minimal supersymmetric modelswith CP violation; supersymmetric models with an extra singlet; models with extra gauge …,arXiv preprint hep-ph/0608079,2006,45
